,Blood_3_corr,Blood_3_pval,Blood_3_qval,Blood_3_ci_low,Blood_3_ci_high,gene_annotation
ENSMUSG00000052217,0.42921573365076243,0.0,0.0,0.42125288835053204,0.43711241087412994,Hbb-bh1
ENSMUSG00000055609,0.38610823635811625,0.0,0.0,0.3778058154884183,0.39434857037133897,Hba-x
ENSMUSG00000028332,0.37142378964873385,0.0,0.0,0.36301403755256645,0.37977303545355645,Hemgn
ENSMUSG00000063856,0.3548514676704514,0.0,0.0,0.3463256750146962,0.36331864668385444,Gpx1
ENSMUSG00000005161,0.35183935749156464,0.0,0.0,0.34329305323506126,0.36032740412265724,Prdx2
ENSMUSG00000051839,0.3496010265692682,0.0,0.0,0.34103959533142886,0.35810446708736654,Gypa
ENSMUSG00000054191,0.34543545377547447,0.0,0.0,0.3368461328939146,0.35396728593037385,Klf1
ENSMUSG00000069919,0.34370271543124276,0.0,0.0,0.3351018937396096,0.352246259214506,Hba-a1
ENSMUSG00000032126,0.3380199457983835,0.0,0.0,0.3293818192132069,0.3466014940638679,Hmbs
ENSMUSG00000008843,0.3366482402865461,0.0,0.0,0.3280012040445399,0.34523886893749506,Cldn13
ENSMUSG00000073063,0.33133498275301565,0.0,0.0,0.3226537838620425,0.33996044211680004,Hbq1b
ENSMUSG00000070803,0.3265524754050979,0.0,0.0,0.317841000280351,0.3352088214062145,Cited4
ENSMUSG00000069917,0.32369263917208085,0.0,0.0,0.3149632739792785,0.33236724430321707,Hba-a2
ENSMUSG00000058794,0.3216225739226831,0.0,0.0,0.3128803593063982,0.33031029749341706,Nfe2
ENSMUSG00000040466,0.32010633103315966,0.0,0.0,0.31135475806085744,0.3288036109958092,Blvrb
ENSMUSG00000025573,0.3175355786245982,0.0,0.0,0.30876824186761653,0.3262489600413637,6030468B19Rik
ENSMUSG00000023216,0.3158278548282958,0.0,0.0,0.3070501180318862,0.32455186191112795,Epb42
ENSMUSG00000096982,0.3141321813090344,0.0,0.0,0.30534417447063006,0.32286668350163983,Redrum
ENSMUSG00000021361,0.3129601583865362,0.0,0.0,0.3041650860246792,0.32170188226475216,Tmem14c
ENSMUSG00000069814,0.3124041145787786,0.0,0.0,0.3036056995398104,0.3211492553928296,Ccdc92b
ENSMUSG00000026532,0.3118682073897914,0.0,0.0,0.3030665764655148,0.3206166357622982,Spta1
ENSMUSG00000028684,0.31136559319577634,0.0,0.0,0.302560951291369,0.32011709986118303,Urod
ENSMUSG00000073940,0.31105486669994564,0.0,0.0,0.3022483658241186,0.3198082739955357,Hbb-bt
ENSMUSG00000052187,0.30934096053914023,0.0,0.0,0.30052423997715233,0.31810481791337797,Hbb-y
ENSMUSG00000006574,0.3091302624421499,0.0,0.0,0.30031228950591543,0.31789540058503074,Slc4a1
ENSMUSG00000052305,0.30463594404218397,0.0,0.0,0.2957914645837375,0.31342819806545924,Hbb-bs
ENSMUSG00000027078,0.3014726069917832,0.0,0.0,0.2926097084011244,0.3102837132348393,Ube2l6
ENSMUSG00000025889,0.3003465635678153,0.0,0.0,0.291477155736251,0.30916433404393523,Snca
ENSMUSG00000028644,0.29998906702610617,0.0,0.0,0.2911175978394107,0.30880894815468135,Ermap
ENSMUSG00000059895,0.2966344304195044,0.0,0.0,0.2877437402123464,0.3054739972699716,Ptp4a3
ENSMUSG00000029866,0.29574563401033566,0.0,0.0,0.2868498882544247,0.3045903801661441,Kel
ENSMUSG00000031974,0.29134018415603113,0.0,0.0,0.282419608481181,0.3002103775431868,Abcb10
ENSMUSG00000031543,0.2876056768524331,0.0,0.0,0.2786643507985967,0.2964971489396594,Ank1
ENSMUSG00000047181,0.2842556457913673,0.0,0.0,0.27529593828073123,0.2931659771357248,Samd14
ENSMUSG00000042770,0.2837362457112589,0.0,0.0,0.2747737079751029,0.29264948168583205,Hebp1
ENSMUSG00000024588,0.28233204714821514,0.0,0.0,0.2733618843664803,0.29125310975552965,Fech
ENSMUSG00000023926,0.28126686472574974,0.0,0.0,0.2722909435930066,0.29019383902312323,Rhag
ENSMUSG00000027562,0.27745098744111296,0.0,0.0,0.2684546202838841,0.2863989600401744,Car2
ENSMUSG00000090523,0.27584917658925423,0.0,0.0,0.2668443117313701,0.2848058800897944,Gypc
ENSMUSG00000027961,0.27207673705607277,0.0,0.0,0.26305205782680746,0.28105380730337465,Lrrc39
ENSMUSG00000028328,0.270394309575871,0.0,0.0,0.2613608834728305,0.27938037446365827,Tmod1
ENSMUSG00000032028,0.2683778316807173,0.0,0.0,0.25933399505850147,0.2773746051919264,Nxpe2
ENSMUSG00000000244,0.26491986815661184,0.0,0.0,0.2558583644607032,0.27393482282137127,Tspan32
ENSMUSG00000006235,0.2644047294575465,0.0,0.0,0.2553406139155013,0.27342237286029475,Epor
ENSMUSG00000024661,0.26334988999641,0.0,0.0,0.25428044244880216,0.27237302310271594,Fth1
ENSMUSG00000018659,0.2599626856727224,0.0,0.0,0.250876263840304,0.269003301688804,Pnpo
ENSMUSG00000071713,0.25817022366973125,0.0,0.0,0.24907491020674397,0.26722000184471917,Csf2rb
ENSMUSG00000038871,0.25733519679042105,0.0,0.0,0.2482357626056511,0.2663892220355848,Bpgm
ENSMUSG00000034248,0.2573100706728426,0.0,0.0,0.24821051270641636,0.26636422350466593,Slc25a37
ENSMUSG00000036718,0.2558730980500732,0.0,0.0,0.24676648153589884,0.2649345273451802,Micall2
ENSMUSG00000001014,0.25580894676479077,0.0,0.0,0.24670201607633732,0.2648706999766514,Icam4
ENSMUSG00000027495,0.2507999711467682,0.0,0.0,0.2416687583409541,0.25988677083611683,Fam210b
ENSMUSG00000032285,0.25052870942839933,0.0,0.0,0.24139619564578524,0.25961685169348686,Dnaja4
ENSMUSG00000028825,0.2501326507057215,0.0,0.0,0.24099824000498696,0.2592227506634567,Rhd
ENSMUSG00000054342,0.24773383086673456,0.0,0.0,0.23858799668899877,0.2568357233443352,Kcnn4
ENSMUSG00000021061,0.2477283749456567,0.0,0.0,0.23858251491457316,0.25683029411781116,Sptb
ENSMUSG00000036533,0.24771505324391194,0.0,0.0,0.2385691300892565,0.25681703759364316,Cdc42ep3
ENSMUSG00000034041,0.2472736967684462,0.0,0.0,0.2381256842541958,0.25637783855642815,Lyl1
ENSMUSG00000029613,0.2443561237043335,0.0,0.0,0.23519439548205323,0.253474432601244,Eif2ak1
ENSMUSG00000000253,0.24212048307897818,0.0,0.0,0.23294835773678538,0.25124953658683385,Gmpr
ENSMUSG00000001542,0.2394935924328257,0.0,0.0,0.23030937544474742,0.2486351476427451,Ell2
ENSMUSG00000026815,0.23921831103963512,0.0,0.0,0.2300328347438205,0.24836116863738122,Gfi1b
ENSMUSG00000032596,0.2384588731254795,0.0,0.0,0.22926993038096358,0.24760531612645445,Uba7
ENSMUSG00000001763,0.2364694057239187,0.0,0.0,0.22727143559526164,0.24562518846716497,Tspan33
ENSMUSG00000001348,0.23576638900426558,0.0,0.0,0.2265652474003736,0.24492545385471645,Acp5
ENSMUSG00000104763,0.23377903783701665,0.0,0.0,0.22456898314576645,0.24294732923255463,9830132P13Rik
ENSMUSG00000023328,0.23347266678876827,0.0,0.0,0.22426124492855903,0.24264237376941586,Ache
ENSMUSG00000028542,0.2330957277748633,0.0,0.0,0.22388262635939846,0.24226717391293465,Slc6a9
ENSMUSG00000021102,0.23290941318688763,0.0,0.0,0.22369548262257685,0.24208171794802033,Glrx5
ENSMUSG00000049687,0.2321144892015146,0.0,0.0,0.2228970286496576,0.241290449806852,Fam109b
ENSMUSG00000030000,0.23132604522778696,0.0,0.0,0.2221050956801509,0.24050561982387542,Add2
ENSMUSG00000061436,0.23111502317983493,0.0,0.0,0.22189314188834858,0.2402955630015681,Hipk2
ENSMUSG00000071714,0.23065278902517047,0.0,0.0,0.22142886983653293,0.23983544012515223,Csf2rb2
ENSMUSG00000022742,0.22999030115237273,0.0,0.0,0.22076346847935557,0.2391759710061222,Cpox
ENSMUSG00000062729,0.2263958319537148,0.0,0.0,0.2171533412698663,0.2355977329662521,Ppox
ENSMUSG00000020423,0.22571967473974555,0.0,0.0,0.21647426687339655,0.23492460112208233,Btg2
ENSMUSG00000086804,0.22560499454919913,0.0,0.0,0.2163590927990778,0.2348104331761166,Gm43154
ENSMUSG00000082101,0.2241536800391395,0.0,0.0,0.2149015502673997,0.23336557933966592,Slfn14
ENSMUSG00000032131,0.22285520908881076,0.0,0.0,0.21359754212390974,0.232072854186799,Abcg4
ENSMUSG00000021991,0.22014994473047922,0.0,0.0,0.2108808474081107,0.229379456162369,Cacna2d3
ENSMUSG00000073400,0.220039942152442,0.0,0.0,0.21077038307361845,0.22926993310744043,Trim10
ENSMUSG00000032456,0.21673349376495282,0.0,0.0,0.207450165746922,0.2259777890899711,Nmnat3
ENSMUSG00000071715,0.21595713955913037,0.0,0.0,0.2066706095977069,0.22520476293765904,Ncf4
ENSMUSG00000027869,0.2150398279242637,0.0,0.0,0.2057495298598515,0.22429136860301907,Hsd3b6
ENSMUSG00000028124,0.21370208441948635,0.0,0.0,0.2044063207207225,0.22295930867896313,Gclm
ENSMUSG00000050106,0.21322313542937765,0.0,0.0,0.20392542339301528,0.22248238616279756,Tmc8
ENSMUSG00000033685,0.20962386787885495,0.0,0.0,0.20031165777846824,0.21889820563090193,Ucp2
ENSMUSG00000084796,0.2075551379493292,0.0,0.0,0.19823470954878056,0.21683803390825304,Mir142hg
ENSMUSG00000038725,0.20683545006563,0.0,0.0,0.19751218223454564,0.21612130394143725,Pkhd1l1
ENSMUSG00000002997,0.20618475160670982,0.0,0.0,0.19685892525287663,0.2154732712380514,Prkar2b
ENSMUSG00000028906,0.2047558350300691,0.0,0.0,0.19542441928448387,0.21405017988040037,Epb41
ENSMUSG00000025648,0.201686505122621,0.0,0.0,0.1923432182915511,0.21099322921641012,Pfkfb4
ENSMUSG00000073937,0.2015497882205688,0.0,0.0,0.19220597690225835,0.21085705948679187,Olfr633
ENSMUSG00000026729,0.200968690792084,0.0,0.0,0.19162265428698658,0.21027828371318294,4930562F07Rik
ENSMUSG00000106438,0.20078705944283476,0.0,0.0,0.19144032877422687,0.21009737669589,Gm42749
ENSMUSG00000029780,0.20051605913233705,0.0,0.0,0.19116829394677812,0.20982745592867658,Nt5c3
ENSMUSG00000039956,0.1984236492400726,0.0,0.0,0.18906794483230804,0.2077433334700785,Mrap
ENSMUSG00000026688,0.1981865814219077,0.0,0.0,0.1888299829074865,0.2075071992728688,Mgst3
ENSMUSG00000073938,0.19785350054535455,0.0,0.0,0.18849564766533322,0.20717542830093552,Olfr632
ENSMUSG00000097615,0.19673816154965781,0.0,0.0,0.18737612415223243,0.20606445997894637,Gm2061
ENSMUSG00000028393,0.19634071656651234,0.0,0.0,0.18697719391657638,0.20566856665123284,Alad
ENSMUSG00000028278,0.19563251164483375,0.0,0.0,0.18626635008632902,0.20496311904820955,Rragd
ENSMUSG00000078621,0.1949107810196882,0.0,0.0,0.18554194024141576,0.20424418842882872,Hbb-bh2
ENSMUSG00000035472,0.19446013769708773,0.0,0.0,0.18508962919790745,0.2037952883034296,Slc25a21
ENSMUSG00000051502,0.1933705882039515,0.0,0.0,0.18399606395123017,0.20270993723252964,Ufsp1
ENSMUSG00000027074,0.1923755512682278,0.0,0.0,0.1829973798815919,0.20171871448129464,Slc43a3
ENSMUSG00000027333,0.1921541153696471,0.0,0.0,0.18277513498133927,0.20149812478929885,Smox
ENSMUSG00000033386,0.19204063630918589,0.0,0.0,0.18266124170397566,0.2013850790162497,Frrs1
ENSMUSG00000050549,0.1912777694614332,0.0,0.0,0.181895596803272,0.2006251184962942,5730508B09Rik
ENSMUSG00000026348,0.18959928453288036,0.0,0.0,0.18021103956124324,0.19895298855939453,Acmsd
ENSMUSG00000029722,0.18933355954095754,0.0,0.0,0.17994435829599548,0.1986882646479232,Agfg2
ENSMUSG00000045509,0.18456042910550338,4.1032056124391e-310,1.154856631702535e-309,0.17515428568675923,0.19393288380274054,Gpr150
ENSMUSG00000038893,0.18454921247356998,4.48153315114806e-310,1.260628171912254e-309,0.17514302976594334,0.19392170836274303,Fam117a
ENSMUSG00000110206,0.1833265953424595,6.475403090719923e-306,1.7735971215338053e-305,0.17391614487262422,0.19270356658485568,Flt3l
ENSMUSG00000032656,0.18258748634112612,2.0482555096998708e-303,5.53732227547951e-303,0.1731744700482635,0.19196714905240247,March3
ENSMUSG00000029716,0.18191168122351403,3.870188590197036e-301,1.0356405111578903e-300,0.17249632821104705,0.19129379563779794,Tfr2
ENSMUSG00000038683,0.18098547555397773,4.926966453992882e-298,1.2989629459511947e-297,0.17156693451464952,0.19037093573532513,Pak1ip1
ENSMUSG00000078350,0.18090218226248433,9.353011615088422e-298,2.4593772324713177e-297,0.1714833553468138,0.19028794251432496,Smim1
ENSMUSG00000022099,0.17971204514662217,8.575169793157401e-294,2.216378855817369e-293,0.1702891482918775,0.18910207830591852,Dmtn
ENSMUSG00000020300,0.17849190741953605,9.244850578668646e-290,2.3375096279819583e-289,0.16906486676586902,0.1878862927620781,Cpeb4
ENSMUSG00000084833,0.17793338830370925,6.337188219380088e-288,1.5866770704506983e-287,0.16850446052837875,0.18732975625666048,Gm12649
ENSMUSG00000021118,0.17789923419352488,8.202897975682515e-288,2.0522636916893957e-287,0.16847019121622228,0.18729572318974266,Plek2
ENSMUSG00000054362,0.17751839257561133,1.4522797481000115e-286,3.612636189303511e-286,0.16808806656189235,0.18691622975858949,Lexm
ENSMUSG00000023000,0.17715224413565522,2.2868877060188993e-285,5.656412827155329e-285,0.16772068725827263,0.18655137484661172,Dhh
ENSMUSG00000056234,0.1744788188955609,1.0456081104602882e-276,2.481272212767651e-276,0.16503835428127375,0.18388731569810568,Ncoa4
