,Extra-Embryonic ectoderm_corr,Extra-Embryonic ectoderm_pval,Extra-Embryonic ectoderm_qval,Extra-Embryonic ectoderm_ci_low,Extra-Embryonic ectoderm_ci_high,gene_annotation
ENSMUSG00000023041,0.6392051691703177,0.0,0.0,0.6334204375244349,0.6449184600335396,Krt6b
ENSMUSG00000020722,0.6270640342958945,0.0,0.0,0.6211296326331808,0.632926530397637,Cacng1
ENSMUSG00000024521,0.6178983720091786,0.0,0.0,0.6118529138242021,0.623871643295853,Pmaip1
ENSMUSG00000053797,0.6090816069983506,0.0,0.0,0.6029308888313915,0.615159923189016,Krt16
ENSMUSG00000064201,0.603044377626372,0.0,0.0,0.5968224705905794,0.6091937664254063,Krt2
ENSMUSG00000028640,0.6024421802969074,0.0,0.0,0.5962132119179798,0.6085986202134402,Tfap2c
ENSMUSG00000057454,0.5906511429488628,0.0,0.0,0.5842853586945521,0.596944248122375,Lypd3
ENSMUSG00000003032,0.5900622621291713,0.0,0.0,0.5836897169676919,0.5963621231441198,Klf4
ENSMUSG00000025064,0.5791844342984905,0.0,0.0,0.5726882347280864,0.5856078976309562,Col17a1
ENSMUSG00000041523,0.5717205691229877,0.0,0.0,0.5651408769501282,0.5782275343547659,Upk2
ENSMUSG00000032807,0.5713547942167991,0.0,0.0,0.5647710387039447,0.5778658241762563,Alox12b
ENSMUSG00000028680,0.564685480754343,0.0,0.0,0.5580281004962163,0.5712701759030178,Plk3
ENSMUSG00000032013,0.5613386484398476,0.0,0.0,0.5546446526531673,0.5679599901654389,Trim29
ENSMUSG00000050335,0.5603230696564614,0.0,0.0,0.553618006853324,0.5669554892318116,Lgals3
ENSMUSG00000058354,0.5556016749500814,0.0,0.0,0.5488454295312123,0.5622853360900765,Krt6a
ENSMUSG00000022986,0.5545254907444972,0.0,0.0,0.5477576405117023,0.5612207721046374,Krt75
ENSMUSG00000043430,0.5490067592780579,0.0,0.0,0.5421797584365664,0.5557612816618976,Psapl1
ENSMUSG00000006411,0.5472048910022924,0.0,0.0,0.540358707747075,0.5539786294351479,Nectin4
ENSMUSG00000067006,0.5447300794868704,0.0,0.0,0.5378576542961369,0.5515301093342849,Serpinb5
ENSMUSG00000026413,0.5441486708271619,0.0,0.0,0.5372700981541112,0.5509548603304014,Pkp1
ENSMUSG00000075296,0.5429770931141666,0.0,0.0,0.5360861531305235,0.5497956750917636,Aldh3b2
ENSMUSG00000038754,0.5380164869944128,0.0,0.0,0.5310734826551692,0.5448872492160441,Elovl3
ENSMUSG00000050463,0.5377609125627119,0.0,0.0,0.5308152389890948,0.5446343503971806,Krt78
ENSMUSG00000024659,0.5316858286894669,0.0,0.0,0.5246770862883012,0.5386224986520631,Anxa1
ENSMUSG00000039813,0.5315393446245098,0.0,0.0,0.5245290904879369,0.5384775305357828,Tbc1d2
ENSMUSG00000055333,0.5244898311106847,0.0,0.0,0.5174073257784109,0.5315004862003652,Fat2
ENSMUSG00000004988,0.5234633647489714,0.0,0.0,0.5163704208777646,0.5304844925919215,Fxyd4
ENSMUSG00000053747,0.5216244919780688,0.0,0.0,0.5145128998896672,0.5286643308946046,Sox14
ENSMUSG00000068452,0.5199130606241934,0.0,0.0,0.5127841726804023,0.5269702556932346,Duox2
ENSMUSG00000001270,0.5183222024849576,0.0,0.0,0.5111772890508348,0.5253954806419578,Ckb
ENSMUSG00000106874,0.5105019362629942,0.0,0.0,0.503278971676156,0.5176535702477464,Gm20186
ENSMUSG00000056270,0.5101602370887189,0.0,0.0,0.5029338896467221,0.5173152680521981,Prr9
ENSMUSG00000042306,0.509882384840757,0.0,0.0,0.5026532883326844,0.5170401764046619,S100a14
ENSMUSG00000048455,0.5050718113996568,0.0,0.0,0.4977953606256154,0.5122771639832117,Sprr1b
ENSMUSG00000107714,0.5047024987148983,0.0,0.0,0.49742243137568365,0.51191148428567,Gm44398
ENSMUSG00000026630,0.5041415202384224,0.0,0.0,0.49685596455777725,0.5113560192446749,Batf3
ENSMUSG00000003051,0.4978513780628416,0.0,0.0,0.49050470773073623,0.5051272853650153,Elf3
ENSMUSG00000107768,0.49709981309804857,0.0,0.0,0.48974589280008385,0.5043830069508056,Gm44275
ENSMUSG00000022468,0.4946855776894705,0.0,0.0,0.48730844385929195,0.5019921047461883,Endou
ENSMUSG00000034282,0.4945310964351175,0.0,0.0,0.4871524811386477,0.5018391127270935,Evpl
ENSMUSG00000006777,0.4937062928337029,0.0,0.0,0.48631977568324797,0.5010222526859384,Krt23
ENSMUSG00000044294,0.4920602040694807,0.0,0.0,0.48465795702503245,0.4993919781880905,Krt84
