,Extra-Embryonic endoderm_2_corr,Extra-Embryonic endoderm_2_pval,Extra-Embryonic endoderm_2_qval,Extra-Embryonic endoderm_2_ci_low,Extra-Embryonic endoderm_2_ci_high,gene_annotation
ENSMUSG00000031633,0.7745143570684564,0.0,0.0,0.7705954662189252,0.778374681584185,Slc25a4
ENSMUSG00000046959,0.7499698655973088,0.0,0.0,0.7456855318800513,0.754192185941259,Slc26a1
ENSMUSG00000023262,0.7474032236660786,0.0,0.0,0.7430813667061082,0.7516627366690931,Acy1
ENSMUSG00000029455,0.7454968917093431,0.0,0.0,0.7411472496761233,0.749783947864274,Aldh2
ENSMUSG00000030934,0.7440418236083061,0.0,0.0,0.7396710223273091,0.7483498564246189,Oat
ENSMUSG00000020733,0.7423767998215463,0.0,0.0,0.7379818377723533,0.7467087866650477,Slc9a3r1
ENSMUSG00000034371,0.74161652054249,0.0,0.0,0.7372105445752408,0.745959427678861,Tkfc
ENSMUSG00000020868,0.7397252008392281,0.0,0.0,0.7352918757522537,0.7440952262948508,Xylt2
ENSMUSG00000021474,0.7370610112152663,0.0,0.0,0.732589281592458,0.7414691211801063,Sfxn1
ENSMUSG00000052459,0.7343823616061999,0.0,0.0,0.7298721611394988,0.7388286266318761,Atp6v1a
ENSMUSG00000026621,0.7322189365618879,0.0,0.0,0.7276777689497651,0.7366959180517998,Marc1
ENSMUSG00000038459,0.7307333105229542,0.0,0.0,0.7261709315745565,0.7352313334573288,Abhd17c
ENSMUSG00000030741,0.7289771143418134,0.0,0.0,0.7243897174668458,0.733499956727736,Spns1
ENSMUSG00000085962,0.727997928077614,0.0,0.0,0.7233966087804308,0.7325345833312354,Gm16984
ENSMUSG00000006519,0.7246397722156301,0.0,0.0,0.7199908500649504,0.729223660606669,Cyba
ENSMUSG00000026664,0.7244818058785353,0.0,0.0,0.7198306500226026,0.7290679108120545,Phyh
ENSMUSG00000026589,0.722299526205013,0.0,0.0,0.7176175627689412,0.7269162037134749,Sec16b
ENSMUSG00000021242,0.7200281379338944,0.0,0.0,0.7153142093801649,0.7246765401013323,Npc2
ENSMUSG00000052396,0.7199755851835345,0.0,0.0,0.7152609182702798,0.7246247201969503,Mogat2
ENSMUSG00000045302,0.7199703079052434,0.0,0.0,0.7152555668499225,0.7246195165071867,Preb
ENSMUSG00000024194,0.7179422352860174,0.0,0.0,0.7131990421634724,0.7226196849104736,Cuta
ENSMUSG00000032741,0.7172690112301993,0.0,0.0,0.7125163914199849,0.7219558182261735,Tpcn1
ENSMUSG00000036880,0.7169966306507991,0.0,0.0,0.7122401994414919,0.7216872211059161,Acaa2
ENSMUSG00000029998,0.7162347700223841,0.0,0.0,0.7114676859805952,0.7209359354809259,Pcyox1
ENSMUSG00000016256,0.7152233470487472,0.0,0.0,0.7104421384323066,0.7199385344866731,Ctsz
ENSMUSG00000006299,0.7151114470549137,0.0,0.0,0.710328676996799,0.7198281846347554,Aamp
