,Mid-Hind Gut_corr,Mid-Hind Gut_pval,Mid-Hind Gut_qval,Mid-Hind Gut_ci_low,Mid-Hind Gut_ci_high,gene_annotation
ENSMUSG00000061479,0.8027464806677155,0.0,0.0,0.7992627523813697,0.806176262884498,Snrpa
ENSMUSG00000109336,0.792523588555553,0.0,0.0,0.7888804560119914,0.7961110195701714,Samd4b
ENSMUSG00000001910,0.7917935508984626,0.0,0.0,0.7881391145192831,0.7953921639950369,Nacc1
ENSMUSG00000038459,0.7912896077895316,0.0,0.0,0.7876273745876695,0.7948959339417434,Abhd17c
ENSMUSG00000028367,0.7831106198818649,0.0,0.0,0.7793225507577786,0.7868414541768078,Txn1
ENSMUSG00000032199,0.7810882641089171,0.0,0.0,0.7772692856806006,0.784849688582273,Polr2m
ENSMUSG00000035342,0.780801812220533,0.0,0.0,0.7769784622924346,0.7845675632849385,Lzts2
ENSMUSG00000021810,0.7761573344868854,0.0,0.0,0.7722633336002527,0.7799930184874195,Ecd
ENSMUSG00000003344,0.773601662101279,0.0,0.0,0.7696689677501671,0.7774756525717995,Btbd2
ENSMUSG00000025173,0.773486751210761,0.0,0.0,0.7695523201335641,0.7773624611416448,Wdr45b
ENSMUSG00000031652,0.7693287058978989,0.0,0.0,0.7653316081011167,0.7732664655670587,N4bp1
ENSMUSG00000023791,0.7670863118913754,0.0,0.0,0.7630555612091647,0.7710573979792827,Pigx
ENSMUSG00000032040,0.7657459153670192,0.0,0.0,0.7616950963264941,0.7697368767563991,Dcps
ENSMUSG00000022472,0.7640498822741157,0.0,0.0,0.7599737214885122,0.7680659433650028,Desi1
ENSMUSG00000039740,0.7619633453664514,0.0,0.0,0.757856086460634,0.766010210222911,Alg2
ENSMUSG00000023143,0.7612828468072356,0.0,0.0,0.7571654643432503,0.7653397400356388,Nagpa
ENSMUSG00000031819,0.7601680307779904,0.0,0.0,0.756034083445734,0.7642413338010331,Emc8
ENSMUSG00000062929,0.7562003611909452,0.0,0.0,0.7520076593109519,0.7603318755294469,Cfl2
ENSMUSG00000028437,0.7539372808845489,0.0,0.0,0.7497112066923421,0.7581018637363394,Ubap1
ENSMUSG00000017615,0.7536699080271609,0.0,0.0,0.7494398977677073,0.7578383913431679,Tnfaip1
ENSMUSG00000026848,0.7517635525282388,0.0,0.0,0.7475055194743941,0.7559598065601689,Tor1b
ENSMUSG00000111806,0.7485432145203447,0.0,0.0,0.744238007597233,0.7527862236270876,RP23-407B23.4
ENSMUSG00000026211,0.7479787809696105,0.0,0.0,0.7436653270341868,0.7522299645936084,Obsl1
ENSMUSG00000058239,0.7475184187251694,0.0,0.0,0.7431982430637891,0.7517762651469179,Usf2
ENSMUSG00000039168,0.7457211072038236,0.0,0.0,0.7413747293982603,0.7500049274253994,Dap
ENSMUSG00000030881,0.7450150531430527,0.0,0.0,0.7406583996718614,0.7493090600753451,Arfip2
ENSMUSG00000024487,0.7443792465537149,0.0,0.0,0.7400133482492867,0.7486824185751101,Yipf5
ENSMUSG00000020868,0.7433718033305061,0.0,0.0,0.7389912729208032,0.7476894818001819,Xylt2
ENSMUSG00000062963,0.7430818301270568,0.0,0.0,0.7386970918836406,0.7474036804211023,Ufc1
ENSMUSG00000020107,0.7430749548454462,0.0,0.0,0.7386901168543195,0.7473969040342786,Anapc16
ENSMUSG00000032436,0.7424090402485923,0.0,0.0,0.7380145455097517,0.746740563762765,Cmtm7
ENSMUSG00000024594,0.7420778639783655,0.0,0.0,0.7376785699732109,0.7464141459071211,Prrc1
ENSMUSG00000038612,0.7417805202558684,0.0,0.0,0.7373769191276753,0.7461210727079218,Mcl1
