,Amnion_corr,Amnion_pval,Amnion_qval,Amnion_ci_low,Amnion_ci_high,gene_annotation
ENSMUSG00000062373,0.5988720088722351,0.0,0.0,0.592601324149011,0.6050701095888598,Tmem65
ENSMUSG00000020583,0.588812757269948,0.0,0.0,0.5824258893290533,0.5951269310838181,Matn3
ENSMUSG00000029761,0.5772563579826695,0.0,0.0,0.5707384849817377,0.5837014936615569,Cald1
ENSMUSG00000039911,0.5762665267564023,0.0,0.0,0.5697375556515657,0.5827227609283488,Spsb1
ENSMUSG00000030770,0.5726433166700432,0.0,0.0,0.5660738869160076,0.5791400163677551,Parva
ENSMUSG00000005611,0.5720788287836551,0.0,0.0,0.5655031190286812,0.5785818103224483,Mrvi1
ENSMUSG00000048285,0.5719007685175707,0.0,0.0,0.5653230791258195,0.5784057303164809,Frmd6
ENSMUSG00000070056,0.5699626209949842,0.0,0.0,0.5633634242208005,0.5764890982896818,Mfhas1
ENSMUSG00000039497,0.5679033227225962,0.0,0.0,0.5612813555256216,0.5744525817203239,Dse
ENSMUSG00000024395,0.5659498879221232,0.0,0.0,0.5593063983367866,0.5725206825323947,Lims2
ENSMUSG00000042121,0.5648284626663321,0.0,0.0,0.5581726516112699,0.5714115874449441,Ssh1
ENSMUSG00000097697,0.5647794057697253,0.0,0.0,0.5581230562777283,0.5713630693841923,4833412C05Rik
ENSMUSG00000041734,0.5632962262188423,0.0,0.0,0.5566236201534185,0.5698961591946634,Kirrel
ENSMUSG00000000794,0.5626931949052479,0.0,0.0,0.5560139916710579,0.5692997306511097,Kcnn3
ENSMUSG00000020122,0.5599215307133588,0.0,0.0,0.5532120978617874,0.5665583248012287,Egfr
ENSMUSG00000075284,0.5598879710333676,0.0,0.0,0.5531781730876957,0.5665251305930716,Wipf1
ENSMUSG00000018217,0.5582671098466736,0.0,0.0,0.5515397051255925,0.5649218952758832,Pmp22
ENSMUSG00000059975,0.5545667206837133,0.0,0.0,0.5477993146240747,0.5612615572670424,Zfp74
ENSMUSG00000057530,0.5543993930931606,0.0,0.0,0.5476301846095563,0.5610960345569602,Ece1
ENSMUSG00000044906,0.5534694420038081,0.0,0.0,0.5466902263272394,0.5601761046335759,4930503L19Rik
ENSMUSG00000038305,0.5523771029124938,0.0,0.0,0.5455861544083246,0.5590955154758891,Spats2l
ENSMUSG00000038587,0.5516880834980076,0.0,0.0,0.5448897463516953,0.5584138958780397,Akap12
ENSMUSG00000058925,0.5512467298475185,0.0,0.0,0.544443664810042,0.557977277432631,1700011I03Rik
ENSMUSG00000033453,0.5499253454633768,0.0,0.0,0.5431081484312039,0.556670047668106,Adamts15
ENSMUSG00000022464,0.5488137785771565,0.0,0.0,0.5419847202261665,0.5555703619763279,Slc38a4
ENSMUSG00000029309,0.5487553056742542,0.0,0.0,0.541925624045765,0.5555125134177626,Sparcl1
ENSMUSG00000022639,0.5484581292168877,0.0,0.0,0.5416252809530515,0.5552185090506015,Dubr
ENSMUSG00000072623,0.5483484538921124,0.0,0.0,0.5415144373971357,0.555110003984001,Zfp9
ENSMUSG00000031994,0.5466982304429933,0.0,0.0,0.5398466649088128,0.5534773609757219,Adamts8
ENSMUSG00000030022,0.5465952349971908,0.0,0.0,0.539742575957681,0.5533754610511378,Adamts9
ENSMUSG00000041779,0.5461219806863702,0.0,0.0,0.5392642997868329,0.5529072379476522,Tram2
