,Blood_1_corr,Blood_1_pval,Blood_1_qval,Blood_1_ci_low,Blood_1_ci_high,gene_annotation
ENSMUSG00000052187,0.3765513170246694,0.0,0.0,0.3681785613608009,0.38486300399279455,Hbb-y
ENSMUSG00000069917,0.3740314820842661,0.0,0.0,0.36564048059378074,0.38236168986980634,Hba-a2
ENSMUSG00000069919,0.3412311531913307,0.0,0.0,0.33261402886364183,0.3497913023430986,Hba-a1
ENSMUSG00000073940,0.32843991520858173,0.0,0.0,0.31974033512473987,0.337084124251649,Hbb-bt
ENSMUSG00000055609,0.28394678849059884,0.0,0.0,0.27498539737062216,0.2928588476780143,Hba-x
ENSMUSG00000052305,0.26226476223894063,0.0,0.0,0.25318985232851865,0.2712935202807903,Hbb-bs
ENSMUSG00000027869,0.19651460636874873,0.0,0.0,0.18715173316526268,0.20584177795013692,Hsd3b6
ENSMUSG00000006574,0.19393876785006675,0.0,0.0,0.18456633484202173,0.2032759303431023,Slc4a1
ENSMUSG00000023216,0.18242205756616384,7.403833677795808e-303,7.258660468427262e-301,0.173008468448102,0.1918023212404359,Epb42
ENSMUSG00000034248,0.16706983414208787,1.892511448488821e-253,7.251001718347972e-252,0.1576054128322004,0.17650356522085542,Slc25a37
ENSMUSG00000032656,0.16286763241873276,9.691484822632796e-241,3.0476367366769795e-239,0.15339010000474695,0.17231520386576382,March3
ENSMUSG00000029866,0.15280767719682808,1.0204223449858812e-211,2.0246475098926214e-210,0.143300158239237,0.1622869941133122,Kel
ENSMUSG00000052217,0.13804584537150283,1.1342662035651844e-172,1.2235881376107705e-171,0.12849790170261122,0.14756819943523083,Hbb-bh1
ENSMUSG00000069814,0.1377284592571699,7.053903711643634e-172,7.536221914149181e-171,0.128179693149537,0.14725169231577995,Ccdc92b
ENSMUSG00000071715,0.13340261621339078,2.9899791145529685e-161,2.7710649810500172e-160,0.12384283660405873,0.14293763516374372,Ncf4
ENSMUSG00000082101,0.13171146824368538,3.418759983335359e-157,2.9962839468320414e-156,0.12214748229839091,0.14125099626323728,Slfn14
ENSMUSG00000027562,0.13118386097086657,6.150167317978781e-156,5.261049887064825e-155,0.12161857414742962,0.14072478440345995,Car2
ENSMUSG00000008843,0.12909111472628396,5.1896661469787405e-151,4.079926216178255e-150,0.11952072149191999,0.1386375199472139,Cldn13
ENSMUSG00000073400,0.12885820394268568,1.81257477787453e-150,1.4149686009949494e-149,0.11928724767846248,0.13840521401067898,Trim10
ENSMUSG00000063856,0.12766957711747312,1.0334869370830664e-147,7.770578474308769e-147,0.11809576399545621,0.13721965757448923,Gpx1
ENSMUSG00000032591,0.1263708831165429,9.888473671873981e-145,7.18117187499926e-144,0.11679398010448651,0.13592428700159,Mst1
ENSMUSG00000027495,0.12584040813675307,1.598015080380629e-143,1.1373772814097002e-142,0.11626225246937014,0.13539516013958028,Fam210b
ENSMUSG00000084796,0.12512841810805214,6.564881284169055e-142,4.5748301631840107e-141,0.1155485897882039,0.1346849709536959,Mir142hg
ENSMUSG00000020300,0.12121893808021392,3.2230090400244333e-133,1.9797352825702908e-132,0.11163010160356555,0.1307852042362006,Cpeb4
ENSMUSG00000049044,0.12006906736621685,1.0234627242426796e-130,6.04883406762813e-130,0.1104776381229416,0.1296381340939833,Rapgef4
ENSMUSG00000038725,0.119572318711745,1.2112265987152666e-129,7.001309819163392e-129,0.10997977736116123,0.12914258737523354,Pkhd1l1
ENSMUSG00000001348,0.119039696247835,1.6934116688785477e-128,9.627127168155472e-128,0.10944596782410743,0.12861124833719806,Acp5
ENSMUSG00000021991,0.11590221879729035,7.402498428611884e-122,3.792263539247891e-121,0.1063016100793618,0.1254812195296867,Cacna2d3
ENSMUSG00000020034,0.1154175318594078,7.566611204412242e-121,3.8157393869955836e-120,0.10581587737483657,0.12499766627490613,Tcp11l2
ENSMUSG00000040435,0.11515779367367443,2.618761873281476e-120,1.3126625931235467e-119,0.10555558066037593,0.12473853374398361,Ppp1r15a
ENSMUSG00000071713,0.114206240985437,2.413966336793753e-118,1.1741081404638877e-117,0.10460199303851606,0.1237891887112003,Csf2rb
ENSMUSG00000042351,0.1137385080846155,2.1992661003503082e-117,1.0462731210039525e-116,0.10413326634590052,0.12332253454611436,Grap2
ENSMUSG00000025889,0.11352413681096431,6.0353156092885475e-117,2.8428241211910256e-116,0.10391844102368214,0.12310865626195966,Snca
ENSMUSG00000023926,0.1135048907600879,6.607229621393614e-117,3.10782202323312e-116,0.10389915425259917,0.12308945442765928,Rhag
ENSMUSG00000034059,0.11349779559513085,6.831451500890923e-117,3.210268562448742e-116,0.10389204407773135,0.12308237556158126,Ypel4
ENSMUSG00000070803,0.11220908750484448,2.8282902072894307e-114,1.2826712958228711e-113,0.10260062599352625,0.12179661168997073,Cited4
ENSMUSG00000028644,0.11106523883262759,5.605059780173203e-112,2.4497638899358406e-111,0.10145439908172324,0.12065534933072744,Ermap
ENSMUSG00000024661,0.11060640380721751,4.6046426476408216e-111,1.9856156307204922e-110,0.10099461723742909,0.12019754463561941,Fth1
ENSMUSG00000055401,0.10901559380731456,6.3689365535267164e-108,2.614505974354153e-107,0.09940055634996932,0.11861027526636883,Fbxo6
ENSMUSG00000040466,0.10525310941788694,1.1134805412466389e-100,4.065281275088131e-100,0.09563057955011665,0.11485596980605428,Blvrb
ENSMUSG00000026532,0.10319127700692615,8.034923506666767e-97,2.7773672681184813e-96,0.0935647583957539,0.11279850306943769,Spta1
ENSMUSG00000073938,0.09966087540528178,2.138028989404878e-90,6.662602023698591e-90,0.09002771947733491,0.10927538533926787,Olfr632
ENSMUSG00000073937,0.09692803619115557,1.401709680068766e-85,4.031376704252994e-85,0.08728990924828961,0.10654801859942797,Olfr633
ENSMUSG00000059895,0.09661424731844463,4.908695227066654e-85,1.4004836596481182e-84,0.086975558914179,0.10623484881942957,Ptp4a3
ENSMUSG00000051839,0.09523993515330594,1.1315944135091576e-82,3.114765795511031e-82,0.08559881030912107,0.10486322563069182,Gypa
ENSMUSG00000062729,0.09515011524364536,1.6103063622678766e-82,4.421489187995268e-82,0.08550883244460832,0.10477358018785635,Ppox
ENSMUSG00000027961,0.09347388986224309,1.0945937370159936e-79,2.860935015723977e-79,0.08382968815073315,0.10310058202529189,Lrrc39
ENSMUSG00000058794,0.09286828446425763,1.1218921444479408e-78,2.8833002941350317e-78,0.08322304164352012,0.10249612919839689,Nfe2
ENSMUSG00000037685,0.09108853883605851,9.583033969597054e-76,2.337895576871689e-75,0.08144027779007702,0.10071972958072761,Atp8a1
ENSMUSG00000001542,0.08961272046132794,2.337264523871501e-73,5.4698444275017575e-73,0.0799620034352648,0.09924663924381474,Ell2
ENSMUSG00000056738,0.08928456942400136,7.836552924797967e-73,1.8194922045038232e-72,0.07963331207486399,0.09891908905231965,A730036I17Rik
ENSMUSG00000042066,0.0879125285771141,1.1742713433882019e-70,2.6317152473962392e-70,0.07825903480088657,0.09754953780340293,Tmcc2
ENSMUSG00000027078,0.08633763486797562,3.3492530523264137e-68,7.1995981348375185e-68,0.07668161923919702,0.09597745677949558,Ube2l6
ENSMUSG00000071714,0.08594938548748365,1.3283012732980128e-67,2.825571736434828e-67,0.07629275558790026,0.09558989340456996,Csf2rb2
ENSMUSG00000096982,0.08574910578479587,2.6970454314776317e-67,5.7152901705395885e-67,0.07609216016013885,0.0953899664373123,Redrum
