,Extra-Embryonic endoderm_1_corr,Extra-Embryonic endoderm_1_pval,Extra-Embryonic endoderm_1_qval,Extra-Embryonic endoderm_1_ci_low,Extra-Embryonic endoderm_1_ci_high,gene_annotation
ENSMUSG00000026726,0.5514231913703703,0.0,0.0,0.5446220161713469,0.5581518461781749,Cubn
ENSMUSG00000026295,0.5502187435204643,0.0,0.0,0.5434046813545568,0.5569603057412055,Spp2
ENSMUSG00000020609,0.5446380203040774,0.0,0.0,0.5377646212873687,0.551439025891092,Apob
ENSMUSG00000027690,0.5283209839512703,0.0,0.0,0.5212776227962502,0.5352923727065223,Slc2a2
ENSMUSG00000021278,0.5032596211885139,0.0,0.0,0.4959654499864538,0.5104827755294532,Amn
ENSMUSG00000034854,0.5016295400438336,0.0,0.0,0.4943194845057998,0.5088686534782976,Mfsd12
ENSMUSG00000021190,0.4967477454801056,0.0,0.0,0.4893904327962927,0.5040343489662059,Lgmn
ENSMUSG00000027219,0.4956683772529882,0.0,0.0,0.4883006794356994,0.5029654191847872,Slc28a2
ENSMUSG00000032080,0.47927051654878183,0.0,0.0,0.47174787255487227,0.4867233942821353,Apoa4
ENSMUSG00000019893,0.4788541319618155,0.0,0.0,0.47132762249756727,0.48631089967877517,Ros1
ENSMUSG00000032207,0.4723234884022344,0.0,0.0,0.4647367994188355,0.47984083237187175,Lipc
ENSMUSG00000034738,0.47205054796096907,0.0,0.0,0.4644613621472749,0.47957040584132465,Nostrin
ENSMUSG00000002847,0.4709781272741306,0.0,0.0,0.4633791452872607,0.4785078488248835,Pla1a
ENSMUSG00000038298,0.470585302910024,0.0,0.0,0.462982738287311,0.4781186319743959,Pdzk1
ENSMUSG00000036813,0.4703580142236189,0.0,0.0,0.4627533780720412,0.47789342924877376,Entpd8
ENSMUSG00000029843,0.46126713738165387,0.0,0.0,0.453580480849933,0.4688851724668316,Slc13a4
ENSMUSG00000029470,0.4606772933376711,0.0,0.0,0.4529853713285993,0.4683006343115944,P2rx4
ENSMUSG00000032359,0.45560475844711323,0.0,0.0,0.44786783737856223,0.4632734534867985,Ctsh
ENSMUSG00000025243,0.4548957133730279,0.0,0.0,0.44715254266114446,0.4625707087414319,Slc6a20b
ENSMUSG00000054932,0.4523781190816135,0.0,0.0,0.44461283787734607,0.46007540700221006,Afp
ENSMUSG00000032725,0.45217806633394286,0.0,0.0,0.44441103354327494,0.45987712044741647,Folr2
ENSMUSG00000020838,0.44919448119546806,0.0,0.0,0.4414014188060104,0.45691978517848,Slc6a4
ENSMUSG00000030492,0.44812323017454486,0.0,0.0,0.44032086468073717,0.45585791745742366,Slc7a9
ENSMUSG00000033187,0.44609013633352684,0.0,0.0,0.4382701769203069,0.4538425713385851,BC016579
ENSMUSG00000024992,0.44355440415371095,0.0,0.0,0.43571261518622223,0.4513288634688722,Pde6c
ENSMUSG00000034918,0.4433268848174258,0.0,0.0,0.4354831433769976,0.45110331423841116,Cdhr2
ENSMUSG00000001827,0.4423783428086546,0.0,0.0,0.43452647237307473,0.4501629750175701,Folr1
ENSMUSG00000023959,0.44213046319792426,0.0,0.0,0.4342764713566681,0.44991723617097273,Clic5
ENSMUSG00000032081,0.44139598313956213,0.0,0.0,0.4335357125679621,0.4491890923838364,Apoc3
ENSMUSG00000025194,0.44099989564074127,0.0,0.0,0.4331362435092195,0.44879641758743666,Abcc2
ENSMUSG00000031788,0.437737094810624,0.0,0.0,0.4298457043573917,0.44556161459582594,Kifc3
ENSMUSG00000031844,0.43599222767387935,0.0,0.0,0.42808608945608695,0.4438316361777364,Hsd17b2
