,Mixed mesoderm_corr,Mixed mesoderm_pval,Mixed mesoderm_qval,Mixed mesoderm_ci_low,Mixed mesoderm_ci_high,gene_annotation
ENSMUSG00000057177,0.8050605409383873,0.0,0.0,0.8016131841559558,0.8084543621788658,Gsk3a
ENSMUSG00000049401,0.786649028479537,0.0,0.0,0.7829152354050771,0.7903261538242576,Ogfr
ENSMUSG00000026273,0.7852704435060645,0.0,0.0,0.7815154745484074,0.788968522463474,Mterf4
ENSMUSG00000001518,0.7848026388850868,0.0,0.0,0.7810404927613376,0.788507819968736,Itfg2
ENSMUSG00000032959,0.7816679025230547,0.0,0.0,0.7778577748628177,0.7854205673239726,Pebp1
ENSMUSG00000029126,0.7814301983694654,0.0,0.0,0.777616440285871,0.7851864562002832,Nsg1
ENSMUSG00000059518,0.780571480335631,0.0,0.0,0.7767446165304712,0.784340709219321,Znhit1
ENSMUSG00000027566,0.7732280904734703,0.0,0.0,0.7692897510421118,0.7771076699363009,Psma7
ENSMUSG00000039067,0.7729957251070597,0.0,0.0,0.7690538757779708,0.7768787796420811,Psmd7
ENSMUSG00000005354,0.7707947570128183,0.0,0.0,0.7668197151264894,0.774710676582271,Txn2
ENSMUSG00000103906,0.7693366240454089,0.0,0.0,0.7653396452579055,0.7732742658658451,Tigd5
ENSMUSG00000025465,0.7682877445667863,0.0,0.0,0.7642750120377538,0.7722409868715098,Echs1
ENSMUSG00000030499,0.7677340983185715,0.0,0.0,0.7637130590685115,0.7716955668347414,Kctd15
ENSMUSG00000045757,0.7665871720337133,0.0,0.0,0.7625489440774782,0.7705656633222309,Zfp764
ENSMUSG00000027581,0.7663844818422771,0.0,0.0,0.7623432189364355,0.7703659788747403,Stmn3
ENSMUSG00000106674,0.7641023862553865,0.0,0.0,0.7600270091147725,0.7681176711568013,Gm43153
ENSMUSG00000019362,0.7634187038298269,0.0,0.0,0.7593331267176384,0.7674440918074232,D8Ertd738e
ENSMUSG00000032330,0.7624282322979661,0.0,0.0,0.7583278946575582,0.7664682411461028,Cox7a2
ENSMUSG00000060591,0.7592227027986479,0.0,0.0,0.7550747283478709,0.7633099022821959,Ifitm2
ENSMUSG00000059291,0.7542432017685318,0.0,0.0,0.7500216328620231,0.75840332014563,Rpl11
ENSMUSG00000029581,0.7504226875936271,0.0,0.0,0.7461449875303853,0.7546384331878896,Fscn1
ENSMUSG00000038930,0.7496700455877643,0.0,0.0,0.7453813218739382,0.75389671702283,Rccd1
ENSMUSG00000020922,0.7485357914371861,0.0,0.0,0.7442304760133598,0.7527789080894788,Lsm12
ENSMUSG00000074384,0.7468846518519913,0.0,0.0,0.7425552294811524,0.7511516641523658,AI429214
ENSMUSG00000000486,0.746132120757205,0.0,0.0,0.7417917292611194,0.7504100066465035,Sept1
ENSMUSG00000021621,0.7454748215645246,0.0,0.0,0.7411248582784382,0.7497621961895343,Zcchc9
ENSMUSG00000045969,0.7440681062956233,0.0,0.0,0.7396976868380687,0.748375760570674,Ing1
ENSMUSG00000024847,0.7433134180601342,0.0,0.0,0.7389320402809076,0.7476319366432582,Aip
ENSMUSG00000021494,0.7430068430622463,0.0,0.0,0.7386210169449571,0.7473297719296802,Ddx41
ENSMUSG00000111514,0.7421009863413456,0.0,0.0,0.7377020273449358,0.7464369361105819,RP23-269O24.7
ENSMUSG00000002769,0.7413967879187509,0.0,0.0,0.7369876308955446,0.7457428491424982,Gnmt
ENSMUSG00000029624,0.7410237791035519,0.0,0.0,0.7366092242502822,0.7453751924695701,Ptcd1
ENSMUSG00000055762,0.740745105083098,0.0,0.0,0.7363265193273324,0.74510051529467,Eef1d
ENSMUSG00000025967,0.739136009249745,0.0,0.0,0.7346941787700084,0.7435144688115305,Eef1b2
ENSMUSG00000063457,0.7375310528175175,0.0,0.0,0.7330660886442147,0.7419324533633931,Rps15
ENSMUSG00000034168,0.7366436042810338,0.0,0.0,0.7321658704741117,0.7410576688284742,Irf2bpl
ENSMUSG00000105039,0.7364744550780989,0.0,0.0,0.7319942891322088,0.7408909317055249,Gm42637
ENSMUSG00000024962,0.7352049644037892,0.0,0.0,0.7307065630200241,0.7396395266855601,Vegfb
ENSMUSG00000034748,0.7348049558593156,0.0,0.0,0.7303008152355298,0.7392452104637308,Sirt6
ENSMUSG00000070697,0.734444513682405,0.0,0.0,0.7299352042306714,0.7388898949523603,Utp3
ENSMUSG00000024667,0.7335743690358567,0.0,0.0,0.7290525921330919,0.7380321164182064,Tmem216
ENSMUSG00000036850,0.7332988416260781,0.0,0.0,0.7287731200953956,0.7377605016792411,Mrpl41
ENSMUSG00000061613,0.7317270271714953,0.0,0.0,0.7271788313663782,0.7362109803983512,U2af1
ENSMUSG00000024081,0.7310433283996751,0.0,0.0,0.7264853721773284,0.735536963909612,Cebpz
ENSMUSG00000004937,0.7299407388879908,0.0,0.0,0.7253670617616685,0.7344499701124341,Sgta
