,Amnion_corr,Amnion_pval,Amnion_qval,Amnion_ci_low,Amnion_ci_high,gene_annotation
ENSMUSG00000022676,0.8339579164755697,0.0,0.0,0.8309737351128837,0.836894105075308,Snai2
ENSMUSG00000018217,0.8051359537829059,0.0,0.0,0.8016897841035291,0.808528601381177,Pmp22
ENSMUSG00000022639,0.7846050169148044,0.0,0.0,0.7808398401371758,0.7883131970106029,Dubr
ENSMUSG00000040631,0.7778003281275598,0.0,0.0,0.7739312711290575,0.7816113200659176,Dok4
ENSMUSG00000036655,0.7733629672154466,0.0,0.0,0.7694266656006773,0.7772405290979262,Colec11
ENSMUSG00000020823,0.7717785735137922,0.0,0.0,0.7678183565511408,0.7756798140358209,Sec14l1
ENSMUSG00000032024,0.7677175899231165,0.0,0.0,0.7636963030802376,0.7716793036356016,Clmp
ENSMUSG00000111195,0.7654111705200111,0.0,0.0,0.761355345267957,0.7694070901512914,RP23-55G19.2
ENSMUSG00000036545,0.7611386300875121,0.0,0.0,0.7570191033398416,0.7651976474783195,Adamts2
ENSMUSG00000064080,0.7610481297212445,0.0,0.0,0.7569272575816287,0.7651084798864496,Fbln2
ENSMUSG00000068566,0.7589280029185913,0.0,0.0,0.7547756592360623,0.763019531059448,Myadm
ENSMUSG00000048285,0.7473855627579643,0.0,0.0,0.7430634480562558,0.7516453312473531,Frmd6
ENSMUSG00000067786,0.7464774532359723,0.0,0.0,0.742142094015637,0.7507503506311111,Nnat
ENSMUSG00000076433,0.7462664749501089,0.0,0.0,0.7419280410170862,0.7505424202979073,BC100451
ENSMUSG00000073209,0.7454287100493465,0.0,0.0,0.7410780755956141,0.7497167500292068,Klf14
ENSMUSG00000026837,0.7408335608853348,0.0,0.0,0.736416254438421,0.7451877025912315,Col5a1
ENSMUSG00000029070,0.7398433236134089,0.0,0.0,0.73541170454114,0.7442116573810951,Mxra8
ENSMUSG00000058925,0.7398052050140134,0.0,0.0,0.7353730353750187,0.7441740847238517,1700011I03Rik
ENSMUSG00000023886,0.7394488415652355,0.0,0.0,0.7350115261801453,0.7438228238458764,Smoc2
ENSMUSG00000069833,0.7386528463851233,0.0,0.0,0.7342040462574271,0.7430382173538741,Ahnak
