,Blood_7_corr,Blood_7_pval,Blood_7_qval,Blood_7_ci_low,Blood_7_ci_high,gene_annotation
ENSMUSG00000051839,0.5172245660530801,0.0,0.0,0.510068624711631,0.52430891272515,Gypa
ENSMUSG00000052217,0.5142697972259853,0.0,0.0,0.5070842875966347,0.5213838250062429,Hbb-bh1
ENSMUSG00000096982,0.4751640604774587,0.0,0.0,0.4676034439044956,0.482655156648039,Redrum
ENSMUSG00000025573,0.4747603370318073,0.0,0.0,0.46719600515643744,0.4822551731679359,6030468B19Rik
ENSMUSG00000073063,0.46519039117402233,0.0,0.0,0.45753893156126435,0.4727729651914051,Hbq1b
ENSMUSG00000026532,0.4591011031664752,0.0,0.0,0.4513951443017016,0.46673858987501465,Spta1
ENSMUSG00000058794,0.4556404421548186,0.0,0.0,0.4479038358702609,0.4633088198665563,Nfe2
ENSMUSG00000032126,0.4516645086201642,0.0,0.0,0.44389298292122287,0.4593680932322865,Hmbs
ENSMUSG00000021361,0.45023438949128197,0.0,0.0,0.442450379635564,0.4579505636504436,Tmem14c
ENSMUSG00000005161,0.4472374093315673,0.0,0.0,0.4394273681434123,0.45497983906318556,Prdx2
ENSMUSG00000054191,0.44583363167676754,0.0,0.0,0.43801145831530275,0.45358830018326485,Klf1
ENSMUSG00000008843,0.44281253121583125,0.0,0.0,0.4349643795715026,0.4505934107993076,Cldn13
ENSMUSG00000028332,0.43906811120639994,0.0,0.0,0.43118801092033865,0.446881234317704,Hemgn
ENSMUSG00000069814,0.4389853455325145,0.0,0.0,0.4311045421806882,0.44679917830673044,Ccdc92b
ENSMUSG00000023216,0.43829731991130255,0.0,0.0,0.43041067724084187,0.44611704697771765,Epb42
ENSMUSG00000028644,0.4366424670971638,0.0,0.0,0.4287418177510668,0.4444763340253515,Ermap
ENSMUSG00000031974,0.4342183019285981,0.0,0.0,0.42629723178791457,0.4420727871996235,Abcb10
ENSMUSG00000031543,0.4341876349077557,0.0,0.0,0.4262663071738692,0.4420423802896431,Ank1
ENSMUSG00000070803,0.4277493244145559,0.0,0.0,0.4197743268756738,0.43565827836608767,Cited4
ENSMUSG00000024588,0.42751580404950107,0.0,0.0,0.41953887521747335,0.4354267092150354,Fech
ENSMUSG00000040466,0.4274686848236516,0.0,0.0,0.4194913664296803,0.43537998357392144,Blvrb
ENSMUSG00000028684,0.42620904143465055,0.0,0.0,0.4182213250385356,0.43413084612730873,Urod
ENSMUSG00000063856,0.42334396042377415,0.0,0.0,0.4153327098880954,0.43128954761971466,Gpx1
ENSMUSG00000027562,0.4189294688359399,0.0,0.0,0.41088227332887134,0.4269113913827249,Car2
ENSMUSG00000025889,0.41836456590346255,0.0,0.0,0.41031279835500784,0.4263511111168319,Snca
ENSMUSG00000029866,0.4164927152852209,0.0,0.0,0.4084258427928874,0.4244945342737235,Kel
ENSMUSG00000090523,0.41580937697952036,0.0,0.0,0.40773700745091174,0.4238167550505296,Gypc
ENSMUSG00000000244,0.41325157154822756,0.0,0.0,0.4051587076083265,0.42127967822716395,Tspan32
ENSMUSG00000059895,0.4080037989993782,0.0,0.0,0.39986929024479073,0.4160740405624528,Ptp4a3
ENSMUSG00000027078,0.4070711063939044,0.0,0.0,0.39892925276070595,0.4151487812741771,Ube2l6
ENSMUSG00000042770,0.40421126857404605,0.0,0.0,0.3960470006267109,0.4123116314392699,Hebp1
ENSMUSG00000023926,0.40374872688387403,0.0,0.0,0.3955808488258874,0.4118527444752847,Rhag
ENSMUSG00000055609,0.40318407893758446,0.0,0.0,0.3950117995398081,0.4112925524659566,Hba-x
ENSMUSG00000028328,0.4014635528108203,0.0,0.0,0.393277900855406,0.4095855661564241,Tmod1
ENSMUSG00000047181,0.39968082249384945,0.0,0.0,0.3914813759247749,0.4078168051811168,Samd14
ENSMUSG00000006574,0.39922086399828643,0.0,0.0,0.39101786845392456,0.40736044097602453,Slc4a1
ENSMUSG00000006235,0.39555560766101006,0.0,0.0,0.3873244801898078,0.40372368107991835,Epor
ENSMUSG00000071713,0.39412396732610105,0.0,0.0,0.3858819233397983,0.40230310127784324,Csf2rb
ENSMUSG00000001542,0.39256164101551744,0.0,0.0,0.38430772999976953,0.40075280020592724,Ell2
ENSMUSG00000036533,0.39228745630119904,0.0,0.0,0.3840314675994552,0.4004807210551437,Cdc42ep3
ENSMUSG00000032028,0.3919991480674183,0.0,0.0,0.38374097625045195,0.4001946252861871,Nxpe2
ENSMUSG00000001014,0.38033845937018096,0.0,0.0,0.37199336067993016,0.38862208117635955,Icam4
ENSMUSG00000022742,0.3770591324146091,0.0,0.0,0.368690068890422,0.3853670721525249,Cpox
ENSMUSG00000027961,0.3767419399412197,0.0,0.0,0.368370569632567,0.3850522208614215,Lrrc39
ENSMUSG00000029613,0.3760570763475599,0.0,0.0,0.36768073210764607,0.38437240561532054,Eif2ak1
ENSMUSG00000032285,0.37518623468171325,0.0,0.0,0.3668035791281646,0.38350797017628196,Dnaja4
ENSMUSG00000078621,0.37023636873820853,0.0,0.0,0.3618181227732336,0.3785942402365722,Hbb-bh2
ENSMUSG00000071714,0.3681494970363231,0.0,0.0,0.3597163903788266,0.37652246233985937,Csf2rb2
ENSMUSG00000036718,0.3676097680282701,0.0,0.0,0.3591728318680457,0.3759866234208892,Micall2
