,Cardiac_corr,Cardiac_pval,Cardiac_qval,Cardiac_ci_low,Cardiac_ci_high,gene_annotation
ENSMUSG00000061086,0.8395182417166708,0.0,0.0,0.8366250906444946,0.8423645562957903,Myl4
ENSMUSG00000026418,0.7913994543366955,0.0,0.0,0.7877389202096451,0.7950040996537153,Tnni1
ENSMUSG00000068614,0.7694290499819646,0.0,0.0,0.7654334604429005,0.773365316104789,Actc1
ENSMUSG00000038086,0.7305921889631145,0.0,0.0,0.7260277974016972,0.7350922084674306,Hspb2
ENSMUSG00000020469,0.723665310986525,0.0,0.0,0.719002617475113,0.7282628651914572,Myl7
ENSMUSG00000026414,0.7158831914041613,0.0,0.0,0.7111111952460921,0.7205892332219144,Tnnt2
ENSMUSG00000030470,0.7145365633143428,0.0,0.0,0.7097457753027749,0.7192612609554191,Csrp3
ENSMUSG00000020475,0.714445385840988,0.0,0.0,0.7096533267720163,0.7191713453822782,Pgam2
ENSMUSG00000030785,0.7105744633129701,0.0,0.0,0.7057285939510619,0.7153538505817796,Cox6a2
ENSMUSG00000097487,0.7084853043212067,0.0,0.0,0.7036105168041646,0.7132934082928415,Ptges3l
ENSMUSG00000006221,0.7016237066231437,0.0,0.0,0.6966545502277475,0.7065255424407372,Hspb7
ENSMUSG00000015579,0.6882366819827881,0.0,0.0,0.6830861003690507,0.6933188076565681,Nkx2-5
ENSMUSG00000039376,0.6862275401683777,0.0,0.0,0.6810500368277601,0.6913364293088045,Synpo2l
ENSMUSG00000021798,0.6728160878149123,0.0,0.0,0.6674609268185332,0.6781016582053021,Ldb3
ENSMUSG00000040666,0.6592013871625774,0.0,0.0,0.6536695235275614,0.6646628093289169,Sh3bgr
ENSMUSG00000018845,0.6503827292155936,0.0,0.0,0.6447383702308032,0.6559561697162866,Unc45b
ENSMUSG00000091898,0.6482734874956643,0.0,0.0,0.6426024502829427,0.6538735006601955,Tnnc1
ENSMUSG00000026208,0.6446491660939719,0.0,0.0,0.6389324933752039,0.6502946410046009,Des
ENSMUSG00000001349,0.6354894486986523,0.0,0.0,0.6296586014778104,0.6412487016430503,Cnn1
ENSMUSG00000031880,0.6275447940864685,0.0,0.0,0.6216162634959465,0.6334014355138656,Rrad
ENSMUSG00000062694,0.623468229340042,0.0,0.0,0.6174900605614686,0.6293743751137449,Cav3
ENSMUSG00000040694,0.6182727794689103,0.0,0.0,0.6122318252454216,0.6242415571274599,Apobec2
ENSMUSG00000044086,0.6174557745941129,0.0,0.0,0.6114049957303614,0.6234343544708751,Lmod3
ENSMUSG00000035458,0.6137228492530482,0.0,0.0,0.6076273493304967,0.6197460536775689,Tnni3
ENSMUSG00000019787,0.6115674136493265,0.0,0.0,0.6054462168495511,0.6176162636442291,Trdn
ENSMUSG00000007122,0.6065221577927818,0.0,0.0,0.6003411714455987,0.6126306898165464,Casq1
ENSMUSG00000038216,0.5911018552943617,0.0,0.0,0.5847412502762978,0.5973897852656779,Pnmt
ENSMUSG00000038663,0.5866878928307855,0.0,0.0,0.580276738969159,0.5930263379851703,Fsd2
ENSMUSG00000044938,0.580336872713515,0.0,0.0,0.5738536627524969,0.5867473482497398,Klhl31
ENSMUSG00000034009,0.57725556612041,0.0,0.0,0.570737684233284,0.5837007106855467,Rxfp1
ENSMUSG00000055027,0.5691107927911737,0.0,0.0,0.5625021668726884,0.5756467035644576,Smyd1
ENSMUSG00000059741,0.562637735128899,0.0,0.0,0.5559579255250287,0.5692448777712346,Myl3
ENSMUSG00000002100,0.5587668349878088,0.0,0.0,0.552044853048569,0.5654161915707651,Mybpc3
ENSMUSG00000068196,0.5553817235527745,0.0,0.0,0.5486231044722435,0.5620677614438933,Col8a1
ENSMUSG00000013936,0.5549636039514332,0.0,0.0,0.5482004752619708,0.5616541574084277,Myl2
ENSMUSG00000086733,0.5499797580080225,0.0,0.0,0.5431631422283928,0.5567238780070392,Gm11685
ENSMUSG00000002930,0.54712237980451,0.0,0.0,0.5402753196833193,0.5538969966918504,Ppp1r17
ENSMUSG00000020216,0.5463251857991787,0.0,0.0,0.539469660635218,0.5531082832943568,Jsrp1
ENSMUSG00000038583,0.5461911015824061,0.0,0.0,0.539334153871976,0.5529756242807137,Pln
ENSMUSG00000050503,0.5377850977729681,0.0,0.0,0.5308396767358532,0.5446582824656292,Fbxl22
ENSMUSG00000029683,0.5343860688560311,0.0,0.0,0.5274052691836182,0.5412947207444806,Lmod2
ENSMUSG00000004951,0.5292567812727438,0.0,0.0,0.5222230255048801,0.5362185361363746,Hspb1
ENSMUSG00000106795,0.5215384762352078,0.0,0.0,0.5144260134854218,0.5285791888023362,Gm43050
ENSMUSG00000034057,0.5214791915370938,0.0,0.0,0.5143661287856877,0.5285205061686438,Myrfl
ENSMUSG00000024049,0.5186936565710678,0.0,0.0,0.5115524805054588,0.525763183777653,Myom1
ENSMUSG00000035783,0.5171804839450146,0.0,0.0,0.5100241002091012,0.5242652746571614,Acta2
ENSMUSG00000039873,0.5133239884719638,0.0,0.0,0.5061290505620945,0.5204474817229892,Neurl2
ENSMUSG00000020908,0.5078070219606116,0.0,0.0,0.5005574400221762,0.5149853865184679,Myh3
ENSMUSG00000019528,0.5042401481784622,0.0,0.0,0.4969555569759672,0.5114536782816377,Gyg
ENSMUSG00000053093,0.5021409748106483,0.0,0.0,0.4948358973090191,0.5093750865907452,Myh7
ENSMUSG00000055775,0.5011607460491413,0.0,0.0,0.49384613204981187,0.5084044397244022,Myh8
ENSMUSG00000027861,0.49496408307727197,0.0,0.0,0.4875896212867816,0.5022679241218975,Casq2
ENSMUSG00000099906,0.4938887389214128,0.0,0.0,0.48650396850092054,0.501202942785458,Gm28653
ENSMUSG00000030730,0.49349666572528117,0.0,0.0,0.48610814242553985,0.5008146423873346,Atp2a1
ENSMUSG00000066952,0.49201883776787275,0.0,0.0,0.4846161961186134,0.4993510086310692,Myo1h
ENSMUSG00000018263,0.4885043215973816,0.0,0.0,0.48106827720910433,0.49587008047435344,Tbx5
ENSMUSG00000030046,0.4883565665624501,0.0,0.0,0.48091912321283453,0.49572373234016137,Bmp10
ENSMUSG00000024063,0.4858499834370232,0.0,0.0,0.4783888730704514,0.49324095275828783,Lbh
