,Endothelial_2_corr,Endothelial_2_pval,Endothelial_2_qval,Endothelial_2_ci_low,Endothelial_2_ci_high,gene_annotation
ENSMUSG00000045757,0.7722550883341208,0.0,0.0,0.7683020587909171,0.776149212396781,Zfp764
ENSMUSG00000032959,0.7504640054724332,0.0,0.0,0.7461869109017868,0.7546791509575284,Pebp1
ENSMUSG00000040699,0.7317449069918004,0.0,0.0,0.7271969665618204,0.7362286068920549,Limd2
ENSMUSG00000032330,0.7219765635554699,0.0,0.0,0.717290048837799,0.7265977578979681,Cox7a2
ENSMUSG00000027566,0.7165390013732658,0.0,0.0,0.7117761699108923,0.7212359452750553,Psma7
ENSMUSG00000078787,0.7151542121865059,0.0,0.0,0.7103720388395509,0.7198703573724492,Cyp2t4
ENSMUSG00000103906,0.7093901445467546,0.0,0.0,0.7045278712011563,0.7141858211673464,Tigd5
ENSMUSG00000060591,0.7054513328291763,0.0,0.0,0.7005347032918688,0.7103009925035308,Ifitm2
ENSMUSG00000024309,0.7053839449416686,0.0,0.0,0.7004663881202026,0.7102345256244553,Pfdn6
ENSMUSG00000021902,0.7019616702099082,0.0,0.0,0.6969971400179963,0.7068589103206234,Phf7
ENSMUSG00000038393,0.6995731527352897,0.0,0.0,0.6945759759905562,0.7045028258143632,Txnip
ENSMUSG00000036850,0.6963076381104831,0.0,0.0,0.6912660110702769,0.7012814767981776,Mrpl41
ENSMUSG00000073982,0.6961693303842168,0.0,0.0,0.691125825364563,0.7011450351798472,Rhog
ENSMUSG00000025374,0.6915010551456297,0.0,0.0,0.6863943855988215,0.6965395326085011,Nabp2
ENSMUSG00000029581,0.6896981632242961,0.0,0.0,0.6845672151986238,0.6947607724096112,Fscn1
ENSMUSG00000021871,0.6894695589577756,0.0,0.0,0.6843355370595774,0.6945352235888321,Pnp
ENSMUSG00000057177,0.6867518541449376,0.0,0.0,0.6815813686893661,0.6918537663973082,Gsk3a
ENSMUSG00000096947,0.6864395892430549,0.0,0.0,0.6812649234993995,0.6915456573412221,Gm26723
ENSMUSG00000087045,0.6863851807376964,0.0,0.0,0.6812097868255945,0.6914919727532924,4930515B02Rik
ENSMUSG00000025465,0.6850806997316944,0.0,0.0,0.679887865063134,0.6902048312720971,Echs1
ENSMUSG00000034748,0.6829012576726257,0.0,0.0,0.6776793594154552,0.688054286618261,Sirt6
ENSMUSG00000063800,0.6799514703793882,0.0,0.0,0.6746903857456279,0.6851434666347606,Prpf38a
ENSMUSG00000049299,0.6795606325176741,0.0,0.0,0.6742943687534133,0.684757779381802,Trappc1
ENSMUSG00000026238,0.678498953264894,0.0,0.0,0.6732186361033284,0.6837100766432624,Ptma
ENSMUSG00000050721,0.6739677051744472,0.0,0.0,0.6686276593489932,0.6792382388117485,Plekho2
ENSMUSG00000041773,0.6732871151917813,0.0,0.0,0.6679381333308771,0.6785665383982912,Enc1
ENSMUSG00000022205,0.6714985411560475,0.0,0.0,0.6661261193870968,0.6768012838432753,Sub1
ENSMUSG00000049401,0.6704734710017559,0.0,0.0,0.6650876439076493,0.6757895510930774,Ogfr
ENSMUSG00000024847,0.6679555559635862,0.0,0.0,0.6625368893316455,0.6733043121443972,Aip
ENSMUSG00000037070,0.6671906850514754,0.0,0.0,0.6617620675894416,0.6725493433631139,Rbmxl1
ENSMUSG00000078620,0.6671217432989274,0.0,0.0,0.6616922294870892,0.6724812935926062,Gm10964
ENSMUSG00000022283,0.665766378059409,0.0,0.0,0.6603192615279996,0.6711434459339575,Pabpc1
ENSMUSG00000003573,0.6655291536075152,0.0,0.0,0.6600789598829571,0.670909283916388,Homer3
ENSMUSG00000039810,0.6650582890166161,0.0,0.0,0.6596019907045305,0.6704444947441515,Zc3h10
ENSMUSG00000051695,0.6640591888621278,0.0,0.0,0.6585899521360425,0.6694582716655479,Pcbp1
ENSMUSG00000040272,0.6627081941866125,0.0,0.0,0.6572214934530689,0.6681246592504919,Accs
ENSMUSG00000037826,0.6626184876748759,0.0,0.0,0.6571306286059743,0.6680361056946725,Ppm1k
ENSMUSG00000044147,0.6609160968668272,0.0,0.0,0.6554062859086778,0.6663555658335719,Arf6
ENSMUSG00000097261,0.6608475648776214,0.0,0.0,0.6553368714198418,0.6662879123259436,4930532G15Rik
ENSMUSG00000039725,0.6604724377092068,0.0,0.0,0.6549569153157643,0.6659175921617084,Trp53rka
ENSMUSG00000037373,0.657419839665826,0.0,0.0,0.651865125479882,0.6629040113560564,Ctbp1
ENSMUSG00000078926,0.6572237234389305,0.0,0.0,0.6516664976626956,0.6627103957428732,Cdc20b
ENSMUSG00000002458,0.656505567726131,0.0,0.0,0.6509391512923894,0.6620013907371586,Rgs19
ENSMUSG00000075467,0.6561562061216696,0.0,0.0,0.6505853223988871,0.6616564771258713,Dnlz
ENSMUSG00000028843,0.6548876265921854,0.0,0.0,0.6493005418704492,0.6604040292925892,Sh3bgrl3
ENSMUSG00000026360,0.6546037702285136,0.0,0.0,0.6490130647498664,0.6601237783423922,Rgs2
ENSMUSG00000069301,0.6541765713929314,0.0,0.0,0.6485804197482843,0.6597020026939321,Hist1h2ag
ENSMUSG00000047654,0.6535291051874657,0.0,0.0,0.6479247061806336,0.6590627492816978,Tssk6
ENSMUSG00000025967,0.6502542957235523,0.0,0.0,0.6446083097590664,0.6558293566823583,Eef1b2
ENSMUSG00000026273,0.649382916544121,0.0,0.0,0.6437259006855585,0.6549689634712539,Mterf4
ENSMUSG00000063445,0.6487221216460282,0.0,0.0,0.6430567514927549,0.6543164899303443,Nmral1
ENSMUSG00000020248,0.6484356626533645,0.0,0.0,0.6427666735455559,0.6540336357133949,Nfyb
ENSMUSG00000091471,0.6472381258257296,0.0,0.0,0.6415540253449822,0.6528511516373933,Gm20538
ENSMUSG00000008482,0.6456623498135504,0.0,0.0,0.6399584083552208,0.6512951410693563,Rnf151
ENSMUSG00000034168,0.6453587585334674,0.0,0.0,0.6396510001351021,0.6509953523859168,Irf2bpl
ENSMUSG00000020922,0.6450045225456729,0.0,0.0,0.6392923127782826,0.6506455511162654,Lsm12
ENSMUSG00000075502,0.6431958067580319,0.0,0.0,0.6374609072136506,0.6488594415163372,Kbtbd6
ENSMUSG00000024667,0.6423607285293257,0.0,0.0,0.6366153750544322,0.6480347794307141,Tmem216
ENSMUSG00000019362,0.6407847618284382,0.0,0.0,0.6350197172389129,0.646478433914939,D8Ertd738e
ENSMUSG00000009013,0.6406940165241073,0.0,0.0,0.6349278396038038,0.6463888169697812,Dynll1
ENSMUSG00000026667,0.6380795476222999,0.0,0.0,0.6322808170873696,0.6438067898220807,Uhmk1
ENSMUSG00000047514,0.6380754196548363,0.0,0.0,0.6322766378282659,0.643802712973557,Tspyl1
ENSMUSG00000059291,0.6374626346519213,0.0,0.0,0.6316562424710925,0.6431975128247597,Rpl11
ENSMUSG00000037683,0.6358619296002986,0.0,0.0,0.6300356928855346,0.6416165869759255,Armc3
ENSMUSG00000029030,0.6337533691884131,0.0,0.0,0.6279010693131896,0.6395340064844751,Tprgl
ENSMUSG00000070697,0.6336278366098513,0.0,0.0,0.6277739878482517,0.6394100179374868,Utp3
