,Extra-Embryonic endoderm_2_corr,Extra-Embryonic endoderm_2_pval,Extra-Embryonic endoderm_2_qval,Extra-Embryonic endoderm_2_ci_low,Extra-Embryonic endoderm_2_ci_high,gene_annotation
ENSMUSG00000047675,0.6961154279602185,0.0,0.0,0.6910711911417489,0.7010918599320912,Rps8
ENSMUSG00000057841,0.6724949284127433,0.0,0.0,0.6671355568340567,0.6777846876970197,Rpl32
ENSMUSG00000028234,0.6550136787213254,0.0,0.0,0.6494282023814566,0.6605284798726058,Rps20
ENSMUSG00000063457,0.6521514929805492,0.0,0.0,0.646529573720313,0.6577025848091622,Rps15
ENSMUSG00000090862,0.6450000032926775,0.0,0.0,0.6392877367519072,0.6506410884248152,Rps13
ENSMUSG00000045128,0.6377791233408865,0.0,0.0,0.6319766607960614,0.643510085014023,Rpl18a
ENSMUSG00000012848,0.6284327258482784,0.0,0.0,0.622515050773509,0.6342785424781353,Rps5
ENSMUSG00000050856,0.6118666595069483,0.0,0.0,0.605749024788598,0.6179119543506725,Atp5k
ENSMUSG00000048856,0.61183252434762,0.0,0.0,0.6057144832109022,0.6178782248160357,Slc25a47
ENSMUSG00000000740,0.6079555699725463,0.0,0.0,0.6017915192634796,0.6140471951188288,Rpl13
ENSMUSG00000034932,0.5908654142098787,0.0,0.0,0.5845020916934995,0.5971560595462996,Mrpl54
ENSMUSG00000020163,0.5828541755606805,0.0,0.0,0.5763994304846578,0.5892361932140918,Uqcr11
ENSMUSG00000003970,0.5810203815786485,0.0,0.0,0.5745448881338793,0.5874231420867495,Rpl8
ENSMUSG00000032518,0.5782410554950331,0.0,0.0,0.5717342422575785,0.5846751316595973,Rpsa
ENSMUSG00000003429,0.5755057913729326,0.0,0.0,0.5689683039772419,0.5819705425699434,Rps11
ENSMUSG00000030744,0.5754475931687074,0.0,0.0,0.5689094547260645,0.5819129954843958,Rps3
ENSMUSG00000045136,0.572827973384474,0.0,0.0,0.5662605993275681,0.5793226168280031,Tubb2b
ENSMUSG00000044533,0.5702549964537043,0.0,0.0,0.5636590393781433,0.5767782326701711,Rps2
ENSMUSG00000025794,0.5665948408966288,0.0,0.0,0.5599584488800868,0.5731585333007829,Rpl14
ENSMUSG00000061983,0.5599893742938622,0.0,0.0,0.55328067957722,0.5666254294853673,Rps12
ENSMUSG00000024925,0.5571660651829106,0.0,0.0,0.5504267298563259,0.5638327951369655,Rnaseh2c
ENSMUSG00000007892,0.5564743621188089,0.0,0.0,0.5497275439459925,0.5631485840553501,Rplp1
ENSMUSG00000062997,0.5540409921285467,0.0,0.0,0.5472679248728044,0.5607414976853153,Rpl35
ENSMUSG00000058546,0.542879909994503,0.0,0.0,0.5359879453521659,0.5496995187561242,Rpl23a
