,Mid-Hind Gut_corr,Mid-Hind Gut_pval,Mid-Hind Gut_qval,Mid-Hind Gut_ci_low,Mid-Hind Gut_ci_high,gene_annotation
ENSMUSG00000038400,0.7571178622696033,0.0,0.0,0.7529387192351192,0.7612359421795586,Pmepa1
ENSMUSG00000050296,0.7243374908817672,0.0,0.0,0.7196842947889107,0.7289256203905508,Abca12
ENSMUSG00000107252,0.7014986815342422,0.0,0.0,0.6965278143112964,0.7064022169206038,Gm43786
ENSMUSG00000037035,0.7010999975461935,0.0,0.0,0.6961236768532812,0.7060089505831894,Inhbb
ENSMUSG00000051022,0.6989266879700685,0.0,0.0,0.6939206947291773,0.7038651205163662,Hs3st1
ENSMUSG00000047881,0.6937931485708743,0.0,0.0,0.6887174383828456,0.6988008569332864,Rell1
ENSMUSG00000056569,0.6921755674322422,0.0,0.0,0.6870779977167053,0.6972050006242867,Mpz
ENSMUSG00000044748,0.686713419277355,0.0,0.0,0.6815424191901074,0.691815843148846,Defb1
ENSMUSG00000038782,0.6823205788349426,0.0,0.0,0.6770909529237282,0.6874812917786278,1700028J19Rik
ENSMUSG00000020937,0.6802847873814847,0.0,0.0,0.6750281220421566,0.6854723887595782,Plcd3
ENSMUSG00000073408,0.6800758081369008,0.0,0.0,0.6748163717817609,0.6852661652120023,Dpcr1
ENSMUSG00000038259,0.6798215623361356,0.0,0.0,0.6745587559089496,0.6850152708917134,Gdf5
ENSMUSG00000046167,0.6790466550011722,0.0,0.0,0.6737735849502092,0.6842505708231922,Gldn
ENSMUSG00000046694,0.6787923728950902,0.0,0.0,0.6735159374801438,0.6839996356884825,Fam46b
ENSMUSG00000048911,0.6785969622512361,0.0,0.0,0.673317941493516,0.6838067962868718,Rnf24
ENSMUSG00000022144,0.678403996451827,0.0,0.0,0.6731224234403903,0.6836163688458979,Gdnf
ENSMUSG00000044017,0.6781986035203214,0.0,0.0,0.6729143146994363,0.6834136769651624,Adgrd1
ENSMUSG00000059562,0.6781218764358786,0.0,0.0,0.6728365733051985,0.6833379586855504,Ccdc154
ENSMUSG00000105640,0.677422139884584,0.0,0.0,0.6721275918262715,0.6826474170664693,Gm42912
ENSMUSG00000006205,0.6765040687973929,0.0,0.0,0.6711974058978387,0.6817413957957019,Htra1
ENSMUSG00000048981,0.6761179461617804,0.0,0.0,0.6708061929907432,0.6813603362766059,Krt31
ENSMUSG00000024121,0.6753491834240591,0.0,0.0,0.6700273044220594,0.6806016456450904,Atp6v0c
ENSMUSG00000097173,0.6743568971871774,0.0,0.0,0.6690219655166366,0.6796223434001204,Gm26829
ENSMUSG00000037411,0.6737379523204018,0.0,0.0,0.6683948888506621,0.6790114878764031,Serpine1
ENSMUSG00000028128,0.6734148755511336,0.0,0.0,0.6680675704627624,0.6786926306807827,F3
ENSMUSG00000048988,0.6730499642900443,0.0,0.0,0.6676978708339489,0.6783324829837255,Elfn1
ENSMUSG00000020411,0.6723203412121248,0.0,0.0,0.6669586815539486,0.6776123768187324,Nipal4
ENSMUSG00000029999,0.672284743339189,0.0,0.0,0.6669226172217646,0.6775772430106429,Tgfa
ENSMUSG00000032572,0.6713220144668889,0.0,0.0,0.6659472826905408,0.6766270554078793,Col6a4
ENSMUSG00000029330,0.6699866699389087,0.0,0.0,0.6645944840131164,0.6753090768863529,Cds1
ENSMUSG00000001627,0.6695024063294333,0.0,0.0,0.6641038993784608,0.6748311026717893,Ifrd1
ENSMUSG00000041120,0.6667866864287898,0.0,0.0,0.6613528176990926,0.672150570464187,Nbl1
ENSMUSG00000033722,0.6665771448941671,0.0,0.0,0.6611405537692442,0.6719437381245651,BC034090
ENSMUSG00000029378,0.6664722101875029,0.0,0.0,0.6610342560620958,0.6718401598204168,Areg
ENSMUSG00000046733,0.6661029796750799,0.0,0.0,0.6606602313370972,0.6714757003706449,Gprc5a
ENSMUSG00000027087,0.6658390248752241,0.0,0.0,0.6603928509161621,0.671215154705614,Itgav
ENSMUSG00000025173,0.6654712372422985,0.0,0.0,0.6600202924161843,0.6708521150559342,Wdr45b
ENSMUSG00000068009,0.6652675870659756,0.0,0.0,0.659814001684141,0.6706510928080937,Bpifb6
ENSMUSG00000104000,0.665221284922635,0.0,0.0,0.659767099295647,0.6706053880433283,Gm38335
ENSMUSG00000038859,0.665032594435463,0.0,0.0,0.6595759631289592,0.6704191315705145,Baiap2l1
ENSMUSG00000038170,0.6645056614092697,0.0,0.0,0.659042204087421,0.6698989921259452,Pde4dip
ENSMUSG00000023243,0.6643127995845065,0.0,0.0,0.6588468452606118,0.6697086154845265,Kcnk5
ENSMUSG00000048939,0.6641374018080399,0.0,0.0,0.6586691772310622,0.6695354772369774,Atp13a5
ENSMUSG00000025431,0.6641352250640717,0.0,0.0,0.6586669723163388,0.6695333285308195,Crisp1
ENSMUSG00000021804,0.6636453295853694,0.0,0.0,0.6581707391490359,0.6690497409110445,Rgr
