,Amnion_corr,Amnion_pval,Amnion_qval,Amnion_ci_low,Amnion_ci_high,gene_annotation
ENSMUSG00000025402,0.34936339967832963,0.0,0.0,0.34080036829905286,0.35786846879007245,Nab2
ENSMUSG00000068566,0.33927952939739187,0.0,0.0,0.3306496167351578,0.3478527076015071,Myadm
ENSMUSG00000004665,0.33915321092557565,0.0,0.0,0.3305224731175065,0.3477272299065131,Cnn2
ENSMUSG00000045827,0.33706349526166524,0.0,0.0,0.32841915233225727,0.34565137883958497,Serpinb9
ENSMUSG00000037335,0.3334370049364945,0.0,0.0,0.3247692551664217,0.3420487496037448,Hand1
ENSMUSG00000018217,0.33316187385792245,0.0,0.0,0.3244923588160536,0.34177541846305287,Pmp22
ENSMUSG00000021835,0.331712925283943,0.0,0.0,0.32303413814317383,0.34033592502446414,Bmp4
ENSMUSG00000022676,0.32282764645299106,0.0,0.0,0.3140929018022563,0.3315077432618242,Snai2
ENSMUSG00000001473,0.3227718593509601,0.0,0.0,0.3140367682598374,0.3314523098471248,Tubb6
ENSMUSG00000040631,0.3220933499866429,0.0,0.0,0.3133540502104834,0.3307780973997372,Dok4
ENSMUSG00000022639,0.31507800900773764,0.0,0.0,0.3062957237267514,0.32380666397598984,Dubr
ENSMUSG00000026728,0.313941799495522,0.0,0.0,0.3051526431099209,0.32267747656886153,Vim
ENSMUSG00000028480,0.30709793749712944,0.0,0.0,0.2982679292760844,0.315875385605151,Glipr2
ENSMUSG00000073209,0.3032429366477728,0.0,0.0,0.2943903219564835,0.31204351619462556,Klf14
ENSMUSG00000026421,0.30222629518422073,0.0,0.0,0.29336776727804725,0.31103292724479464,Csrp1
ENSMUSG00000042284,0.2963376764302767,0.0,0.0,0.28744529653900447,0.305178974255572,Itga1
ENSMUSG00000052957,0.2941819240320631,0.0,0.0,0.2852773213594868,0.30303574547898193,Gas1
ENSMUSG00000024899,0.29236341936397564,0.0,0.0,0.28344857690311465,0.30122773558148597,Papss2
ENSMUSG00000029761,0.2913456645951831,0.0,0.0,0.2824251195727024,0.3002158265580217,Cald1
ENSMUSG00000068329,0.2906309185034416,0.0,0.0,0.2817063808397183,0.29950517386677805,Htra2
ENSMUSG00000076433,0.2899064288876578,0.0,0.0,0.28097785437537814,0.2987848234041571,BC100451
