,Blood_5_corr,Blood_5_pval,Blood_5_qval,Blood_5_ci_low,Blood_5_ci_high,gene_annotation
ENSMUSG00000045509,0.37149712183271644,0.0,0.0,0.36308789520531093,0.3798458340470541,Gpr150
ENSMUSG00000039183,0.3621651091554586,0.0,0.0,0.35368986196772045,0.3705808935162716,Nubp2
ENSMUSG00000023995,0.33248393506865065,0.0,0.0,0.3238100766369726,0.34110190860479295,Tspo2
ENSMUSG00000034932,0.329996104119526,0.0,0.0,0.32130638405191264,0.33863025468376884,Mrpl54
ENSMUSG00000033916,0.3211374163319726,0.0,0.0,0.3123922023816332,0.32982820251199185,Chmp2a
ENSMUSG00000038997,0.31578967008659087,0.0,0.0,0.307011701399053,0.3245139141175247,Asb17
ENSMUSG00000025794,0.3128421200626343,0.0,0.0,0.304046337602078,0.3215845697942053,Rpl14
ENSMUSG00000027556,0.3110798021928885,0.0,0.0,0.30227345042777676,0.3198330570334318,Car1
ENSMUSG00000048442,0.30095020767055436,0.0,0.0,0.2920842861904544,0.309764408653944,Smim5
ENSMUSG00000057841,0.2971759320352713,0.0,0.0,0.28828832952813005,0.3060123359168722,Rpl32
ENSMUSG00000084992,0.2966038963268805,0.0,0.0,0.2877130321823105,0.3054436413619444,Gm13842
ENSMUSG00000012848,0.28793109350238827,0.0,0.0,0.2789915647164823,0.29682072210324173,Rps5
ENSMUSG00000060032,0.28452793844529867,0.0,0.0,0.2755697167776285,0.29343674497516153,H2afj
ENSMUSG00000067274,0.280786824215746,0.0,0.0,0.271808315264441,0.2897164555545872,Rplp0
ENSMUSG00000024155,0.27999504275389747,0.0,0.0,0.2710122753084863,0.28892904692371335,Meiob
ENSMUSG00000026158,0.2754707520070723,0.0,0.0,0.2664638869270065,0.2844295109403715,Ogfrl1
ENSMUSG00000053565,0.2754705349221462,0.0,0.0,0.2664636686954495,0.2844292950337609,Eif3k
ENSMUSG00000058833,0.2741646555650251,0.0,0.0,0.26515090846513034,0.28313048741539154,2810428I15Rik
ENSMUSG00000030744,0.27375200166547814,0.0,0.0,0.26473608717871205,0.2827200613259843,Rps3
ENSMUSG00000049539,0.2726021143961457,0.0,0.0,0.2635801779465281,0.28157636467149405,Hist1h1a
ENSMUSG00000026520,0.27175585346771275,0.0,0.0,0.2627295016972055,0.28073464344472776,Pycr2
ENSMUSG00000041237,0.2709856547096477,0.0,0.0,0.26195529666561695,0.27996856435339457,Pklr
