,Cardiac_corr,Cardiac_pval,Cardiac_qval,Cardiac_ci_low,Cardiac_ci_high,gene_annotation
ENSMUSG00000063275,0.7896665568997046,0.0,0.0,0.7859792467902369,0.7932976917188496,Hacd1
ENSMUSG00000027030,0.7869576175133398,0.0,0.0,0.7832285697277397,0.7906300475553963,Stk39
ENSMUSG00000025477,0.7773586208639286,0.0,0.0,0.7734828526008949,0.7811762561313981,Inpp5a
ENSMUSG00000038135,0.7770538994632371,0.0,0.0,0.7731735035494229,0.7808761156150069,Crygn
ENSMUSG00000002688,0.7721439454069419,0.0,0.0,0.7681892390571045,0.7760397297076403,Prkd1
ENSMUSG00000022332,0.7670158321289318,0.0,0.0,0.7629840253371258,0.7709879641363566,Khdrbs3
ENSMUSG00000053414,0.7649765496283767,0.0,0.0,0.7609142278116554,0.7689789036873547,Hunk
ENSMUSG00000020589,0.7642023620089441,0.0,0.0,0.7601284772018962,0.7682161687798623,Fam49a
ENSMUSG00000038146,0.7586678937032058,0.0,0.0,0.7545116950655782,0.7627632410492751,Notch3
ENSMUSG00000027603,0.7576962996785819,0.0,0.0,0.7535257134000439,0.7618059016424936,Ggt7
ENSMUSG00000020176,0.7564151815298575,0.0,0.0,0.7522256527682403,0.7605435518157645,Grb10
ENSMUSG00000032258,0.7551614723152155,0.0,0.0,0.7509534379155086,0.7593081791671265,Lca5
ENSMUSG00000022994,0.7524714128358616,0.0,0.0,0.7482237766647573,0.7566573632238103,Adcy6
ENSMUSG00000032911,0.7513892296203568,0.0,0.0,0.7471257026260681,0.7555909284599167,Cspg4
ENSMUSG00000068699,0.749238589514967,0.0,0.0,0.7449435515099329,0.7534715193884332,Flnc
ENSMUSG00000026335,0.7473739742458564,0.0,0.0,0.7430516904257899,0.7516339103738507,Pam
ENSMUSG00000033419,0.7466471107090489,0.0,0.0,0.7423142246500172,0.7509175564892002,Snap91
ENSMUSG00000052562,0.7455707150729031,0.0,0.0,0.741222147682347,0.7498567058964278,Slc22a30
ENSMUSG00000038347,0.7429573202910731,0.0,0.0,0.7385707757840698,0.7472809614086157,Tcte2
ENSMUSG00000085515,0.7401924256588317,0.0,0.0,0.7357658501913251,0.7445557582317566,C630028M04Rik
ENSMUSG00000109508,0.7368290403707585,0.0,0.0,0.7323539735394303,0.7412404599604705,Gm44956
ENSMUSG00000001761,0.7364006054188803,0.0,0.0,0.7319193777920295,0.7408181349771131,Smo
ENSMUSG00000025026,0.7362721171578999,0.0,0.0,0.7317890426102314,0.7406914784237392,Add3
ENSMUSG00000033059,0.735548834919763,0.0,0.0,0.7310553698594637,0.7399785013175836,Pygb
ENSMUSG00000022723,0.7352895506222855,0.0,0.0,0.7307923632711862,0.7397229088096705,Crybg3
ENSMUSG00000061046,0.7343744555654373,0.0,0.0,0.7298641417628798,0.73882083300379,Haghl
ENSMUSG00000034520,0.733756277492475,0.0,0.0,0.7292371057346965,0.7382114408631355,Gjc1
ENSMUSG00000085271,0.7325976230240631,0.0,0.0,0.7280618691974365,0.7370692343268795,E130006D01Rik
ENSMUSG00000025986,0.7319843342800504,0.0,0.0,0.7274398141704866,0.7364646413172343,Slc39a10
ENSMUSG00000078640,0.7302453363811899,0.0,0.0,0.7256759998428883,0.7347502615013579,Gm11627
ENSMUSG00000027254,0.7286889595076299,0.0,0.0,0.7240974635665857,0.7332158686376874,Map1a
ENSMUSG00000023830,0.7272467173072052,0.0,0.0,0.7226347299316402,0.7317939571279013,Igf2r
ENSMUSG00000019848,0.7266529984768036,0.0,0.0,0.7220325875220763,0.7312085962028293,Popdc3
ENSMUSG00000024245,0.7258743158643461,0.0,0.0,0.7212428677066554,0.730440865100081,Tmem178
ENSMUSG00000022340,0.7251831646667598,0.0,0.0,0.7205419300796372,0.7297594246895065,Sybu
ENSMUSG00000071015,0.7246050822212453,0.0,0.0,0.7199556694981396,0.7291894574139449,Gm136
