,Endothelial_corr,Endothelial_pval,Endothelial_qval,Endothelial_ci_low,Endothelial_ci_high,gene_annotation
ENSMUSG00000037318,0.6880597029252419,0.0,0.0,0.6829067466446492,0.6931441891988376,Traf3ip3
ENSMUSG00000087089,0.6549344252485402,0.0,0.0,0.6493479376248368,0.6604502333862879,Gm12160
ENSMUSG00000064215,0.6512687253476015,0.0,0.0,0.6456355989564602,0.6568309785751979,Ifi27
ENSMUSG00000034786,0.646341469815302,0.0,0.0,0.6406460732899505,0.6519657484679912,Gpsm3
ENSMUSG00000051457,0.6456943148680206,0.0,0.0,0.6399907754006486,0.6513267056470069,Spn
ENSMUSG00000041538,0.6384259767815624,0.0,0.0,0.6326315519695338,0.6441489277958045,H2-Ob
ENSMUSG00000030966,0.6353078055373557,0.0,0.0,0.6294747109646007,0.6410692985856414,Trim21
ENSMUSG00000026360,0.6321022453865215,0.0,0.0,0.6262295980257164,0.637903167217382,Rgs2
ENSMUSG00000030219,0.6310270667546852,0.0,0.0,0.6251411985423557,0.6368411694955475,Erp27
ENSMUSG00000034792,0.6243250619305464,0.0,0.0,0.6183572990439179,0.6302208289661314,Gna15
ENSMUSG00000041481,0.6232863117291078,0.0,0.0,0.6173059355037765,0.629194659251246,Serpina3g
ENSMUSG00000040345,0.6200163490925409,0.0,0.0,0.6139964058131977,0.6259641652235047,Arhgap9
ENSMUSG00000029715,0.613879088393383,0.0,0.0,0.6077854547114038,0.6199004304218938,Pop7
ENSMUSG00000040061,0.6119707999150829,0.0,0.0,0.6058544052506643,0.6180148571312377,Plcb2
ENSMUSG00000093938,0.6100400428912434,0.0,0.0,0.6039006925965539,0.6161070119752765,Evi2b
ENSMUSG00000031506,0.608854200828924,0.0,0.0,0.6027007880977757,0.6149352067499122,Ptpn7
ENSMUSG00000026238,0.6076519793243244,0.0,0.0,0.6014843383250469,0.6137471885513277,Ptma
ENSMUSG00000029204,0.606484348153674,0.0,0.0,0.6003029156392908,0.6125933256051509,Rhoh
ENSMUSG00000020573,0.6063148992301679,0.0,0.0,0.6001314675056237,0.612425872589767,Pik3cg
ENSMUSG00000030220,0.6051546739030944,0.0,0.0,0.5989575687482581,0.6112792986137595,Arhgdib
ENSMUSG00000062007,0.6049210294650528,0.0,0.0,0.5987211739971949,0.611048400154245,Hsh2d
ENSMUSG00000020191,0.6041281263920278,0.0,0.0,0.5979189454282148,0.6102648081465545,4930415F15Rik
ENSMUSG00000106227,0.6023417016865603,0.0,0.0,0.5961115557976765,0.6084993174309888,Gm43464
ENSMUSG00000070354,0.6008692061844115,0.0,0.0,0.5946218270162626,0.6070440313481591,Gm21975
