,Foregut/Placodes_corr,Foregut/Placodes_pval,Foregut/Placodes_qval,Foregut/Placodes_ci_low,Foregut/Placodes_ci_high,gene_annotation
ENSMUSG00000030796,0.7028815305781443,0.0,0.0,0.6979296033438077,0.7077662511967355,Tead2
ENSMUSG00000022203,0.6950783664255602,0.0,0.0,0.6900200613071008,0.7000687782072214,Efs
ENSMUSG00000029581,0.6949877216995265,0.0,0.0,0.6899281879503387,0.6999793544176997,Fscn1
ENSMUSG00000019362,0.6734735048932551,0.0,0.0,0.6681269693856118,0.6787504944368001,D8Ertd738e
ENSMUSG00000030663,0.6723416130532867,0.0,0.0,0.6669802321441783,0.6776333713420845,1110004F10Rik
ENSMUSG00000030499,0.6682189416588055,0.0,0.0,0.66280370431062,0.6735642854281402,Kctd15
ENSMUSG00000030268,0.6628357752102162,0.0,0.0,0.657350722141391,0.6682506002704587,Bcat1
ENSMUSG00000025465,0.6626105565470379,0.0,0.0,0.6571225950751197,0.6680282764945353,Echs1
ENSMUSG00000026273,0.6549171090850092,0.0,0.0,0.6493304005215461,0.6604331372242019,Mterf4
ENSMUSG00000057177,0.6534839687824696,0.0,0.0,0.6478789951421688,0.6590181851118729,Gsk3a
ENSMUSG00000022205,0.6525071475318304,0.0,0.0,0.6468897478289569,0.6580537383906259,Sub1
ENSMUSG00000029844,0.6522069818452066,0.0,0.0,0.6465857675567508,0.65775737159589,Hoxa1
ENSMUSG00000074384,0.6502716970132102,0.0,0.0,0.6446259314669837,0.6558465384366452,AI429214
ENSMUSG00000030042,0.6487328704109776,0.0,0.0,0.6430676360829273,0.6543271034032755,Pole4
ENSMUSG00000026095,0.6474072008775366,0.0,0.0,0.6417252321838431,0.6530181031147837,Asnsd1
ENSMUSG00000039067,0.6449430882461565,0.0,0.0,0.6392301067414187,0.6505848856757136,Psmd7
ENSMUSG00000037070,0.644306698224658,0.0,0.0,0.6385857267902918,0.6499564559293703,Rbmxl1
ENSMUSG00000034748,0.6406478754228503,0.0,0.0,0.6348811228109082,0.6463432495430224,Sirt6
ENSMUSG00000024081,0.639787798418868,0.0,0.0,0.6340103225477404,0.645493858481394,Cebpz
ENSMUSG00000027968,0.6394696159090586,0.0,0.0,0.6336881767180164,0.645179625622288,Larp7
ENSMUSG00000066357,0.639201881578907,0.0,0.0,0.6334171090100723,0.6449152132248586,Wdr6
ENSMUSG00000029726,0.6381872447765002,0.0,0.0,0.6323898525408694,0.6439131531870228,Mepce
ENSMUSG00000073856,0.6372943562484998,0.0,0.0,0.6314858754710252,0.643031316062839,Iqck
ENSMUSG00000027285,0.6357022706799055,0.0,0.0,0.6298740573973693,0.6414588982083834,Haus2
ENSMUSG00000049401,0.6321220499568875,0.0,0.0,0.6262496463361659,0.6379227287911462,Ogfr
ENSMUSG00000021039,0.6316060743632216,0.0,0.0,0.6257273230291759,0.637413081632332,Snw1
