,Amnion_2_corr,Amnion_2_pval,Amnion_2_qval,Amnion_2_ci_low,Amnion_2_ci_high,gene_annotation
ENSMUSG00000046058,0.8120641548558013,0.0,0.0,0.8087275275892025,0.8153485189064438,Eid2
ENSMUSG00000071866,0.791928943330954,0.0,0.0,0.7882766025548132,0.7955254833687088,Ppia
ENSMUSG00000024258,0.7864866924189274,0.0,0.0,0.7827504038025597,0.790166287043963,Polr2d
ENSMUSG00000047945,0.7798595746758539,0.0,0.0,0.7760218569127868,0.7836395463675223,Marcksl1
ENSMUSG00000020949,0.77504976189431,0.0,0.0,0.771138976158849,0.7789020623240275,Fkbp3
ENSMUSG00000040681,0.7732863885142184,0.0,0.0,0.7693489298479669,0.7771650959567339,Hmgn1
ENSMUSG00000020935,0.7668181929555647,0.0,0.0,0.7627834251506113,0.7707932574241899,Dcakd
ENSMUSG00000003429,0.766456462387662,0.0,0.0,0.7624162771776407,0.7704368920919039,Rps11
ENSMUSG00000041881,0.7521275557926778,0.0,0.0,0.7478748678880279,0.7563185125682408,Ndufa7
ENSMUSG00000061650,0.7516022269760257,0.0,0.0,0.7473418258042974,0.7558008279359547,Med9
ENSMUSG00000020180,0.7509754385923547,0.0,0.0,0.7467058416238244,0.7551831532317673,Snrpd3
ENSMUSG00000030423,0.7497447266378121,0.0,0.0,0.7454570962448439,0.753970314435687,Pop4
ENSMUSG00000003038,0.7490558022866545,0.0,0.0,0.7447580903349752,0.7532913824923108,Hmgn2
ENSMUSG00000002477,0.7466718043914848,0.0,0.0,0.7423392783493,0.7509418932928917,Snrpd1
ENSMUSG00000061479,0.7444371351652663,0.0,0.0,0.7400720782476269,0.7487394730462548,Snrpa
ENSMUSG00000056612,0.7423068605090251,0.0,0.0,0.7379108847922354,0.7466398523870776,Ppp1r14b
ENSMUSG00000035585,0.7415689437908216,0.0,0.0,0.7371622789764497,0.7459125339316048,Tsen34
ENSMUSG00000023110,0.7385702600473284,0.0,0.0,0.7341202690717183,0.7429568119285136,Prmt5
ENSMUSG00000032294,0.7385675201870135,0.0,0.0,0.7341174897065015,0.742954111243582,Pkm
ENSMUSG00000023495,0.7339426666265131,0.0,0.0,0.7294261648640296,0.738395181684278,Pcbp4
ENSMUSG00000059878,0.7335738122606795,0.0,0.0,0.7290520273852423,0.7380315675510604,Zfp422
ENSMUSG00000019471,0.7322096645411493,0.0,0.0,0.7276683644098852,0.7366867774842027,Cdc37
ENSMUSG00000079523,0.7318532174598975,0.0,0.0,0.7273068241498998,0.7363353826552422,Tmsb10
ENSMUSG00000008333,0.7301327548489318,0.0,0.0,0.7255618137818923,0.7346392717434369,Snrpb2
ENSMUSG00000030725,0.7294547324813969,0.0,0.0,0.7248741334613358,0.7339708307373751,Lipt2
ENSMUSG00000071172,0.7267747655990633,0.0,0.0,0.7221560816844499,0.7313286497304847,Srsf3
ENSMUSG00000007987,0.7228919648390068,0.0,0.0,0.7182183556004816,0.7275003515622117,Ift22
ENSMUSG00000028955,0.7223605681379216,0.0,0.0,0.7176794651548398,0.726976391713793,Vamp3
ENSMUSG00000044876,0.7216017253290364,0.0,0.0,0.7169099308808944,0.7262281595283969,Zfp444
ENSMUSG00000020018,0.7202883474723254,0.0,0.0,0.7155780756376962,0.7249331202536509,Snrpf
ENSMUSG00000085111,0.7198658781330095,0.0,0.0,0.7151496700262092,0.7245165428373728,Ascl4
ENSMUSG00000060126,0.7118667062143409,0.0,0.0,0.7070387674508275,0.7166282892521412,Tpt1
ENSMUSG00000052419,0.7116765033002166,0.0,0.0,0.7068459232839364,0.716440708906456,2610001J05Rik
ENSMUSG00000000782,0.7115624129669578,0.0,0.0,0.7067302489797953,0.7163281913505771,Tcf7
ENSMUSG00000007564,0.7089265952080521,0.0,0.0,0.7040579088268067,0.7137286403040105,Ppp2r1a
ENSMUSG00000062397,0.7063036441495606,0.0,0.0,0.7013987505330703,0.7111416475911191,Zfp706
ENSMUSG00000041035,0.7058519717497008,0.0,0.0,0.7009408570239399,0.7106961539983789,Gm17018
ENSMUSG00000051234,0.7055251105159308,0.0,0.0,0.7006094962923014,0.7103737617515711,Rnf7
ENSMUSG00000050538,0.7042417563202665,0.0,0.0,0.6993084962366244,0.7091079344472571,B230217C12Rik
ENSMUSG00000063236,0.7037235242841854,0.0,0.0,0.6987831478785826,0.7085967710652371,1110038F14Rik
ENSMUSG00000024212,0.702860895002542,0.0,0.0,0.6979086848571903,0.7077458966523451,Mllt1
ENSMUSG00000029581,0.7023066346516061,0.0,0.0,0.6973468288314361,0.7071991816126751,Fscn1
ENSMUSG00000030268,0.7021550727673606,0.0,0.0,0.6971931909795912,0.7070496819667735,Bcat1
ENSMUSG00000007836,0.7009963774678184,0.0,0.0,0.696018639905574,0.7059067380852041,Hnrnpa0
ENSMUSG00000037935,0.6993579102797044,0.0,0.0,0.6943577971343525,0.7042905007346372,Smarce1
ENSMUSG00000057666,0.6989662291250238,0.0,0.0,0.6939607749089237,0.7039041261252046,Gapdh
ENSMUSG00000040699,0.6984404696410142,0.0,0.0,0.6934278508106754,0.7033854851024708,Limd2
ENSMUSG00000055762,0.6973116442561246,0.0,0.0,0.6922836612576547,0.7022719255329362,Eef1d
ENSMUSG00000018666,0.6971158695021689,0.0,0.0,0.6920852244335334,0.7020787958941667,Cbx1
ENSMUSG00000030614,0.6966722218017285,0.0,0.0,0.691635546995491,0.7016411396215345,Tmem126b
ENSMUSG00000028367,0.6965075341551958,0.0,0.0,0.691468622027778,0.7014786751146774,Txn1
ENSMUSG00000064326,0.6956686760570704,0.0,0.0,0.6906183761917378,0.7006511328514329,Siva1
ENSMUSG00000109324,0.6953429284584084,0.0,0.0,0.6902882102396116,0.7003297758343203,Prmt1
ENSMUSG00000018923,0.6932111201935842,0.0,0.0,0.688127538662892,0.6982266511956498,Med11
ENSMUSG00000044243,0.6917529408218951,0.0,0.0,0.6866496684036943,0.6967880418625532,Bhlha9
ENSMUSG00000006095,0.6917115310006847,0.0,0.0,0.6866077000105777,0.6967471872057153,Tbcb
ENSMUSG00000028639,0.6870473615857593,0.0,0.0,0.6818808338673122,0.6921453393015432,Ybx1
ENSMUSG00000030357,0.6820728235347514,0.0,0.0,0.6768399025396439,0.6872368130152586,Fkbp4
ENSMUSG00000020846,0.6804683359667616,0.0,0.0,0.675214105153006,0.6856535163017302,Rflnb
ENSMUSG00000032959,0.6799735753114984,0.0,0.0,0.6747127836885003,0.6851652801727539,Pebp1
ENSMUSG00000028851,0.6796314600230882,0.0,0.0,0.6743661345943877,0.6848276737116226,Nudc
ENSMUSG00000026095,0.6773962947214385,0.0,0.0,0.6721014053824398,0.6826219113446057,Asnsd1
ENSMUSG00000023106,0.6773317430380434,0.0,0.0,0.672036001363638,0.6825582074047047,Denr
ENSMUSG00000036398,0.676832926209154,0.0,0.0,0.6715306009821308,0.6820659387527671,Ppp1r11
ENSMUSG00000025491,0.6751416862465679,0.0,0.0,0.6698170761840907,0.6803968651047801,Ifitm1
ENSMUSG00000000581,0.674186686215505,0.0,0.0,0.6688495175281425,0.6794543577405634,C1d
ENSMUSG00000031917,0.6735256574228397,0.0,0.0,0.6681798065372312,0.6788019658998915,Nip7
ENSMUSG00000003344,0.6724540390205671,0.0,0.0,0.6670941315054536,0.6777443314855879,Btbd2
ENSMUSG00000024571,0.6703904776576306,0.0,0.0,0.6650035661320114,0.6757076367163054,Gm16286
ENSMUSG00000025465,0.6693199157978187,0.0,0.0,0.6639190280294779,0.6746509810841426,Echs1
ENSMUSG00000030796,0.6666547777022539,0.0,0.0,0.6612191950929922,0.6720203673036568,Tead2
ENSMUSG00000041959,0.6662930686757971,0.0,0.0,0.6608527881795433,0.6716633334349233,S100a10
ENSMUSG00000022223,0.665081509948218,0.0,0.0,0.6596255125840175,0.6704674161624259,Sdr39u1
ENSMUSG00000109511,0.6649783223909118,0.0,0.0,0.6595209877772532,0.6703655594829024,Nup62
ENSMUSG00000006456,0.6646266331478428,0.0,0.0,0.6591647424358812,0.6700184046821622,Rbm14
ENSMUSG00000078941,0.6609885184829748,0.0,0.0,0.6554796402130852,0.6664270590113874,Ak6
ENSMUSG00000024165,0.6600120249663792,0.0,0.0,0.6544905795853906,0.6654630756328375,Hn1l
ENSMUSG00000029394,0.6583579394568363,0.0,0.0,0.6528152497214623,0.6638301395984414,Cdk2ap1
ENSMUSG00000047669,0.6576849420272368,0.0,0.0,0.6521336241237821,0.6631657323182678,Msl3l2
ENSMUSG00000026377,0.6571782760318178,0.0,0.0,0.6516204683356901,0.6626655277160635,Nifk
ENSMUSG00000035198,0.6567246202836128,0.0,0.0,0.6511610061099657,0.6622176531795508,Tubg1
ENSMUSG00000070044,0.6561702810611114,0.0,0.0,0.6505995772679118,0.6616703729113584,Fam149a
ENSMUSG00000091337,0.6551316374902991,0.0,0.0,0.6495476665489717,0.6606449396477645,Eid1
ENSMUSG00000021144,0.6547508462135734,0.0,0.0,0.6491620165773679,0.6602689864275177,Mta1
ENSMUSG00000030753,0.6538471130787703,0.0,0.0,0.648246763787863,0.6593767243970414,Prkrir
ENSMUSG00000033585,0.6529165731983706,0.0,0.0,0.647304379464202,0.6584579796021233,Ndn
ENSMUSG00000020888,0.6515543608261843,0.0,0.0,0.6459248590158372,0.6571130042073655,Dvl2
ENSMUSG00000059689,0.6509818120687183,0.0,0.0,0.6453450465094369,0.656547689724815,Zfp637
ENSMUSG00000011958,0.6503160258753086,0.0,0.0,0.6446708218600102,0.655890308017936,Bnip2
ENSMUSG00000003199,0.6500307589941816,0.0,0.0,0.6443819420732702,0.6556086395876913,Mpnd
ENSMUSG00000005493,0.6494968649271295,0.0,0.0,0.6438412905691533,0.6550814760659611,Msh4
ENSMUSG00000020392,0.6494718044310561,0.0,0.0,0.6438159130239632,0.6550567313618899,Cdkn2aipnl
ENSMUSG00000032966,0.6491059540789575,0.0,0.0,0.6434454355875554,0.6546954897945307,Fkbp1a
ENSMUSG00000020472,0.6488750481257166,0.0,0.0,0.6432116106212957,0.6544674913552719,Zkscan17
ENSMUSG00000049086,0.6474696530790639,0.0,0.0,0.6417884719587522,0.6530797707817841,Bmyc
ENSMUSG00000038028,0.6459805766103339,0.0,0.0,0.6402806380588861,0.6516093800665494,Tigar
ENSMUSG00000031799,0.6448226484333551,0.0,0.0,0.63910815418128,0.6504659529752882,Tpm4
ENSMUSG00000024608,0.643716268725383,0.0,0.0,0.63798789157381,0.6493734048990919,Rps14
ENSMUSG00000039640,0.6434806927757208,0.0,0.0,0.6377493627382086,0.6491407710346097,Mrpl12
ENSMUSG00000020308,0.641476740149766,0.0,0.0,0.6357203355125922,0.6471618027662133,Tpgs1
ENSMUSG00000017188,0.6405880268700002,0.0,0.0,0.6348205276045987,0.6462841450295493,Coa3
ENSMUSG00000007039,0.6404230272126988,0.0,0.0,0.634653469826089,0.6461211963000268,Ddah2
ENSMUSG00000031609,0.6394978128346448,0.0,0.0,0.633716724786952,0.6452074726129079,Sap30
ENSMUSG00000046434,0.6388441838787855,0.0,0.0,0.6330549600749423,0.6445619515500005,Hnrnpa1
ENSMUSG00000028843,0.6379808931989503,0.0,0.0,0.6321809369358585,0.643709357002899,Sh3bgrl3
ENSMUSG00000020831,0.6378006806010422,0.0,0.0,0.6319984857909807,0.6435313754368136,0610010K14Rik
ENSMUSG00000006728,0.6373651825546025,0.0,0.0,0.631557580773368,0.6431012662975424,Cdk4
ENSMUSG00000027566,0.6368632077335159,0.0,0.0,0.6310493782917437,0.6426054984856393,Psma7
ENSMUSG00000044627,0.6359711737460627,0.0,0.0,0.6301462897580916,0.6417244827947967,Swi5
ENSMUSG00000007338,0.6356198012815594,0.0,0.0,0.6297905672305852,0.6413774462721419,Mrpl49
ENSMUSG00000074807,0.6356180160354843,0.0,0.0,0.6297887598890414,0.6413756830500164,Gm10762
ENSMUSG00000072235,0.6347393993040293,0.0,0.0,0.6288992764345148,0.6405078981217409,Tuba1a
ENSMUSG00000027968,0.6337310372327603,0.0,0.0,0.6278784617914103,0.6395119492304625,Larp7
ENSMUSG00000007950,0.6332516453680963,0.0,0.0,0.6273931568317049,0.6390384519896286,Abhd8
ENSMUSG00000035754,0.6329513589948494,0.0,0.0,0.6270891688717147,0.6387418557170008,Wdr18
ENSMUSG00000020219,0.6320890834516765,0.0,0.0,0.6262162741077554,0.6378901667716974,Timm13
ENSMUSG00000040652,0.6298588144272074,0.0,0.0,0.6239586068379821,0.6356872140834483,Oaz2
ENSMUSG00000019124,0.628531772320716,0.0,0.0,0.6226153091181804,0.6343763805396896,Scrn1
ENSMUSG00000031633,0.628407223660158,0.0,0.0,0.6224892365876115,0.6342533513977057,Slc25a4
ENSMUSG00000028617,0.627025853617037,0.0,0.0,0.6210909858853444,0.63288881449253,Lrrc42
ENSMUSG00000040112,0.6269581085763237,0.0,0.0,0.6210224139565125,0.6328218940443263,Mrps35
ENSMUSG00000045136,0.6265028242240724,0.0,0.0,0.6205615748134946,0.6323721491396949,Tubb2b
ENSMUSG00000030435,0.6263093630992744,0.0,0.0,0.6203657545687123,0.6321810406597983,U2af2
ENSMUSG00000060591,0.6262876649226424,0.0,0.0,0.6203437918445576,0.6321596063061159,Ifitm2
ENSMUSG00000025132,0.6258852348974527,0.0,0.0,0.6199364570199059,0.6317620677025197,Arhgdia
ENSMUSG00000027805,0.6252913119209575,0.0,0.0,0.61933530119408,0.6311753580416939,Pfn2
ENSMUSG00000020519,0.623513481742983,0.0,0.0,0.6175358621733652,0.629419079728834,Sap30l
ENSMUSG00000027223,0.6224688940578305,0.0,0.0,0.6164786071093588,0.6283871269871606,Mapk8ip1
ENSMUSG00000015937,0.6220046430335141,0.0,0.0,0.6160087331956158,0.6279284846841379,H2afy
ENSMUSG00000057469,0.6212727995786514,0.0,0.0,0.6152680345045293,0.6272054744395446,E2f6
ENSMUSG00000061613,0.6211500120241559,0.0,0.0,0.6151437622709486,0.627084167905627,U2af1
ENSMUSG00000024962,0.6209854452445149,0.0,0.0,0.6149772061090271,0.626921585621582,Vegfb
ENSMUSG00000032892,0.6208999143114349,0.0,0.0,0.6148906414382698,0.6268370858939346,Rangrf
ENSMUSG00000031984,0.6201304547313777,0.0,0.0,0.614111888583771,0.6260768970390511,2810004N23Rik
ENSMUSG00000049866,0.6198576926126588,0.0,0.0,0.613835834949389,0.6258074185425812,Arl4c
