,Blood_2_corr,Blood_2_pval,Blood_2_qval,Blood_2_ci_low,Blood_2_ci_high,gene_annotation
ENSMUSG00000052187,0.6512948558926241,0.0,0.0,0.6456620610187173,0.6568567789484147,Hbb-y
ENSMUSG00000055609,0.6319534381826799,0.0,0.0,0.6260789596606933,0.6377561855973549,Hba-x
ENSMUSG00000069917,0.5997308245020404,0.0,0.0,0.5934701517395626,0.6059189258267184,Hba-a2
ENSMUSG00000073940,0.5873935187494074,0.0,0.0,0.5809904198647551,0.5937239134349984,Hbb-bt
ENSMUSG00000069919,0.5854221336943896,0.0,0.0,0.5789965554035151,0.5917749960208882,Hba-a1
ENSMUSG00000052305,0.5631686723566596,0.0,0.0,0.5564946702514124,0.5697700025377324,Hbb-bs
ENSMUSG00000027869,0.512440994424072,0.0,0.0,0.5052372703336491,0.5195733090458997,Hsd3b6
ENSMUSG00000052217,0.4944861359457524,0.0,0.0,0.4871070895692143,0.5017945855814042,Hbb-bh1
ENSMUSG00000005161,0.459511447037228,0.0,0.0,0.4518091378016352,0.4671452556464632,Prdx2
ENSMUSG00000073400,0.45471809978064753,0.0,0.0,0.44697336510362684,0.4623946718513481,Trim10
ENSMUSG00000058794,0.44422535583405703,0.0,0.0,0.4363893306205278,0.4519939995477343,Nfe2
ENSMUSG00000027078,0.4277385094445167,0.0,0.0,0.4197634224384358,0.435647553785253,Ube2l6
ENSMUSG00000030217,0.42642543617530126,0.0,0.0,0.41843950383521994,0.43434543821421107,Art4
ENSMUSG00000023216,0.42582747510439917,0.0,0.0,0.41783661514841836,0.43375245620517716,Epb42
ENSMUSG00000063856,0.4210331445103315,0.0,0.0,0.4130030303366307,0.428997798532403,Gpx1
ENSMUSG00000040466,0.4090340118129215,0.0,0.0,0.40090763579118255,0.4170960234253843,Blvrb
ENSMUSG00000036390,0.39802645110154067,0.0,0.0,0.3898142590655219,0.4061753426916048,Gadd45a
ENSMUSG00000033685,0.3976325835700033,0.0,0.0,0.38941736506618513,0.4057845407203811,Ucp2
ENSMUSG00000050708,0.397310360757968,0.0,0.0,0.3890926685713801,0.4054648236246951,Ftl1
ENSMUSG00000032126,0.39128553805766186,0.0,0.0,0.3830219697028548,0.39948648461815783,Hmbs
ENSMUSG00000024661,0.38859344569809123,0.0,0.0,0.3803096090501793,0.3968149372344841,Fth1
ENSMUSG00000032952,0.38731285817507133,0.0,0.0,0.37901943021905277,0.39554407375542533,Ap4b1
ENSMUSG00000027562,0.3843689538740019,0.0,0.0,0.3760535989965914,0.3926224042449083,Car2
ENSMUSG00000021361,0.3830148994254966,0.0,0.0,0.37468951642205406,0.3912785207972647,Tmem14c
ENSMUSG00000024997,0.3774600682075772,0.0,0.0,0.3690939233211853,0.3857650458899123,Prdx3
ENSMUSG00000039910,0.37506131120848063,0.0,0.0,0.366677751510411,0.3833839644894745,Cited2
ENSMUSG00000070803,0.3748326184291785,0.0,0.0,0.3664474043418606,0.38315695109034215,Cited4
ENSMUSG00000038871,0.37095273383965455,0.0,0.0,0.3625396088677478,0.3793054047448017,Bpgm
ENSMUSG00000104818,0.37042583883202546,0.0,0.0,0.3620089463282678,0.3787823357949047,Gm43661
ENSMUSG00000042770,0.3625812576943307,0.0,0.0,0.3541089181552445,0.3709940867438393,Hebp1
ENSMUSG00000024942,0.359656323493335,0.0,0.0,0.35116361938552604,0.3680898536160713,Capn1
ENSMUSG00000034248,0.35751161414865607,0.0,0.0,0.3490040845071873,0.3659602187655406,Slc25a37
ENSMUSG00000026688,0.35621528986726975,0.0,0.0,0.3476988430560302,0.3646729630375875,Mgst3
ENSMUSG00000071713,0.35426913189027054,0.0,0.0,0.3457393598006741,0.3627403588831364,Csf2rb
ENSMUSG00000028684,0.3457323465006654,0.0,0.0,0.3371450021194145,0.3542621661508353,Urod
ENSMUSG00000040435,0.34268244999810155,0.0,0.0,0.3340748840119683,0.3512328627568541,Ppp1r15a
ENSMUSG00000018659,0.34171603650966337,0.0,0.0,0.33310210105695925,0.3502729372080179,Pnpo
ENSMUSG00000059895,0.3316196858608422,0.0,0.0,0.3229403034743929,0.3402432926524646,Ptp4a3
ENSMUSG00000036718,0.3298169947411989,0.0,0.0,0.32112613741572715,0.33845230535927007,Micall2
ENSMUSG00000006574,0.32610418923206175,0.0,0.0,0.31738989918862875,0.3347634078037643,Slc4a1
