,Extra-Embryonic ectoderm_corr,Extra-Embryonic ectoderm_pval,Extra-Embryonic ectoderm_qval,Extra-Embryonic ectoderm_ci_low,Extra-Embryonic ectoderm_ci_high,gene_annotation
ENSMUSG00000012405,0.6269406850517477,0.0,0.0,0.6210047777771041,0.6328046825846965,Rpl15
ENSMUSG00000046865,0.6166644266409443,0.0,0.0,0.6106041442623705,0.6226524887601546,Fbl
ENSMUSG00000009927,0.5731324715837744,0.0,0.0,0.5665684888355261,0.5796237228484412,Rps25
ENSMUSG00000001056,0.5465548497171349,0.0,0.0,0.5397017619632425,0.5533355052777041,Nhp2
ENSMUSG00000047215,0.5433147808906643,0.0,0.0,0.5364274027976808,0.5501297936378045,Rpl9
ENSMUSG00000033307,0.5340880401873066,0.0,0.0,0.5271041493754144,0.5409997913147108,Mif
ENSMUSG00000067288,0.5270517072530876,0.0,0.0,0.5199953453757041,0.5340361362310858,Rps28
ENSMUSG00000025362,0.5175496820331517,0.0,0.0,0.5103970046400055,0.5246307526553385,Rps26
ENSMUSG00000003429,0.5141037582796065,0.0,0.0,0.5069165922160382,0.5212194489851978,Rps11
ENSMUSG00000015656,0.5139644025508828,0.0,0.0,0.5067758466695564,0.5210814885346,Hspa8
ENSMUSG00000028081,0.5110634385508734,0.0,0.0,0.5038460378948023,0.5182094855428867,Rps3a1
ENSMUSG00000031490,0.507527856897308,0.0,0.0,0.5002755258689191,0.5147089825130803,Eif4ebp1
ENSMUSG00000013822,0.5046146149198881,0.0,0.0,0.49733368735811967,0.5118244646325973,Elof1
ENSMUSG00000001416,0.500930549947877,0.0,0.0,0.4936136991535833,0.5081764911584072,Cct3
ENSMUSG00000042462,0.499490054732271,0.0,0.0,0.49215923051038957,0.5067500372627411,Dctpp1
ENSMUSG00000078812,0.49927382796455605,0.0,0.0,0.4919409097823914,0.5065359147478687,Eif5a
ENSMUSG00000028010,0.489684067565725,0.0,0.0,0.4822592085861955,0.4970385780760364,Gar1
ENSMUSG00000032199,0.48647815943342815,0.0,0.0,0.4790229686362465,0.4938631746446093,Polr2m
ENSMUSG00000008668,0.4862589917621969,0.0,0.0,0.47880173477116683,0.49364608519360564,Rps18
ENSMUSG00000024258,0.4827772439431424,0.0,0.0,0.47528728995370223,0.49019722897090495,Polr2d
ENSMUSG00000034203,0.4810428616467664,0.0,0.0,0.4735367093013917,0.4884791444455841,Chchd4
