,Extra-Embryonic endoderm_corr,Extra-Embryonic endoderm_pval,Extra-Embryonic endoderm_qval,Extra-Embryonic endoderm_ci_low,Extra-Embryonic endoderm_ci_high,gene_annotation
ENSMUSG00000021228,0.9433411009896608,0.0,0.0,0.9422609098128455,0.9444016622713577,Acot3
ENSMUSG00000024863,0.9411542987175303,0.0,0.0,0.9400337030412482,0.9422545770225215,Mbl2
ENSMUSG00000002992,0.9392754038322849,0.0,0.0,0.9381201690368935,0.940409734655645,Apoc2
ENSMUSG00000032554,0.9301578171151504,0.0,0.0,0.9288354929992276,0.9314564439616325,Trf
ENSMUSG00000028001,0.9273884223275467,0.0,0.0,0.9260156749736848,0.9287366413718102,Fga
ENSMUSG00000021278,0.927287834412694,0.0,0.0,0.925913258506385,0.9286378519769256,Amn
ENSMUSG00000046811,0.9269002033141739,0.0,0.0,0.9255185826880316,0.9282571499629263,Gltpd2
ENSMUSG00000024391,0.9268047222952451,0.0,0.0,0.9254213668793603,0.9281633752747773,Apom
ENSMUSG00000061808,0.9265947841163076,0.0,0.0,0.9252076149847555,0.9279571882712685,Ttr
ENSMUSG00000033831,0.9253350584133203,0.0,0.0,0.9239250237216566,0.9267199538305043,Fgb
ENSMUSG00000063354,0.9246357151632125,0.0,0.0,0.9232130002196036,0.9260330837579147,Slc39a4
ENSMUSG00000032083,0.9229776428967728,0.0,0.0,0.921524903389273,0.9244045471513768,Apoa1
ENSMUSG00000090231,0.9219695694962006,0.0,0.0,0.9204986025180163,0.923414405384942,Cfb
ENSMUSG00000046312,0.9217266446417287,0.0,0.0,0.9202512882544464,0.923175798807987,AI464131
ENSMUSG00000032081,0.9211409099157326,0.0,0.0,0.9196549747345886,0.922600471618688,Apoc3
ENSMUSG00000074261,0.9184942774817861,0.0,0.0,0.9169606276210276,0.9200007845066213,Erich4
ENSMUSG00000032359,0.9176227833501948,0.0,0.0,0.9160734524146236,0.9191447197103325,Ctsh
ENSMUSG00000026295,0.9173834942184387,0.0,0.0,0.9158298603302031,0.9189096645485876,Spp2
ENSMUSG00000002985,0.9172987164880932,0.0,0.0,0.9157435583813506,0.9188263866111813,Apoe
ENSMUSG00000021876,0.9171230364676823,0.0,0.0,0.9155647202673349,0.9186538140924723,Rnase4
ENSMUSG00000039783,0.9157141129193619,0.0,0.0,0.914130491641543,0.9172697910437272,Kmo
ENSMUSG00000010601,0.9156703206788982,0.0,0.0,0.9140859135023944,0.9172267721598835,Apol7a
ENSMUSG00000028536,0.9150787672015812,0.0,0.0,0.9134837477162423,0.9166456617660244,2610528J11Rik
ENSMUSG00000030492,0.91234184437247,0.0,0.0,0.9106978161799368,0.9139569694170926,Slc7a9
ENSMUSG00000025494,0.9114115425131779,0.0,0.0,0.9097508899287041,0.9130430291902019,Sigirr
ENSMUSG00000029811,0.9099159653360551,0.0,0.0,0.908228623168765,0.9115737210514357,Aoc1
ENSMUSG00000027690,0.9078582340105525,0.0,0.0,0.9061342432261216,0.9095520634968911,Slc2a2
ENSMUSG00000020609,0.9071575257246264,0.0,0.0,0.905421074474713,0.9088636209225989,Apob
ENSMUSG00000027890,0.9066668556532242,0.0,0.0,0.9049216848132052,0.9083815343658788,Gstm4
ENSMUSG00000040413,0.9060184949387624,0.0,0.0,0.9042618095938465,0.9077445087288537,Timd2
ENSMUSG00000089953,0.9059067488299282,0.0,0.0,0.9041480797876194,0.9076347154364176,Rnf224
ENSMUSG00000023057,0.9051438668913054,0.0,0.0,0.9033716619616858,0.9068851589056192,Fabp2
ENSMUSG00000001665,0.9049217276450169,0.0,0.0,0.9031455834613527,0.9066668977373737,Gstt3
ENSMUSG00000024990,0.903390677423756,0.0,0.0,0.9015874095108766,0.9051625509786027,Rbp4
ENSMUSG00000026175,0.901690825751529,0.0,0.0,0.8998574984731861,0.9034922948828452,Vil1
ENSMUSG00000030800,0.8997701697973399,0.0,0.0,0.8979029479512574,0.9016050130178778,Prss8
ENSMUSG00000034918,0.8997667502094263,0.0,0.0,0.8978994680821952,0.9016016527877977,Cdhr2
ENSMUSG00000034528,0.8992537773106745,0.0,0.0,0.8973774550426434,0.9010975816583456,Hsd17b13
ENSMUSG00000034435,0.8991637343467568,0.0,0.0,0.8972858257899935,0.9010091007222761,Tmem30b
ENSMUSG00000024503,0.8989958837777011,0.0,0.0,0.8971150186259973,0.9008441615451169,Spink1
ENSMUSG00000043501,0.8988062229846726,0.0,0.0,0.8969220177396148,0.9006577898033525,Lgals2
ENSMUSG00000059412,0.8984788863430745,0.0,0.0,0.8965889181006146,0.9003361281515643,Fxyd2
ENSMUSG00000066366,0.8980824104501482,0.0,0.0,0.8961854648275607,0.899946523188616,Serpina1a
ENSMUSG00000061947,0.897073689803387,0.0,0.0,0.8951590063566744,0.89895527025534,Serpina10
ENSMUSG00000028356,0.8968694931275183,0.0,0.0,0.8949512214605941,0.8987546072468388,Ambp
ENSMUSG00000040891,0.8968220860972526,0.0,0.0,0.8949029814953138,0.8987080204924702,Foxa3
ENSMUSG00000038580,0.8963199282910568,0.0,0.0,0.8943920035990253,0.8982145488252832,Sct
ENSMUSG00000011008,0.8963133001281754,0.0,0.0,0.8943852590502271,0.8982080352819638,Mcoln2
ENSMUSG00000050097,0.8957605029589929,0.0,0.0,0.8938227582340208,0.8976647946007187,Ces2b
ENSMUSG00000046687,0.8953046749062871,0.0,0.0,0.8933589332904677,0.8972168423272584,Gm5424
