,Amnion_1_corr,Amnion_1_pval,Amnion_1_qval,Amnion_1_ci_low,Amnion_1_ci_high,gene_annotation
ENSMUSG00000086558,0.5622762139916934,0.0,0.0,0.555592453184546,0.5688873113193462,Gm14223
ENSMUSG00000034936,0.561760610424753,0.0,0.0,0.5550712188567797,0.5683773436234852,Arl4d
ENSMUSG00000026042,0.5607761811932886,0.0,0.0,0.5540760535420365,0.5674036607023292,Col5a2
ENSMUSG00000048583,0.5522075457041744,0.0,0.0,0.5454147780974365,0.5589277800924439,Igf2
ENSMUSG00000019909,0.5521090816949963,0.0,0.0,0.5453152579731319,0.5588303737875315,Fam162b
ENSMUSG00000058925,0.54958628521441,0.0,0.0,0.5427654675478026,0.5563346140346312,1700011I03Rik
ENSMUSG00000022676,0.5495098921800082,0.0,0.0,0.5426882590684583,0.5562590378026432,Snai2
ENSMUSG00000110599,0.5488600930916132,0.0,0.0,0.5420315284667101,0.5556161819211995,RP23-91H23.1
ENSMUSG00000019975,0.5476566999224701,0.0,0.0,0.5408153205315137,0.5544256258677108,Ikbip
ENSMUSG00000111611,0.5473378238833181,0.0,0.0,0.540493053620053,0.5541101467738718,Olfr157
ENSMUSG00000000794,0.5460247917813169,0.0,0.0,0.5391660801252799,0.5528110817358578,Kcnn3
ENSMUSG00000090625,0.5451014436674573,0.0,0.0,0.5382329485631633,0.5518975357620787,Gm20721
ENSMUSG00000059430,0.5448884864053806,0.0,0.0,0.5380177372760402,0.5516868369108665,Actg2
ENSMUSG00000028369,0.5431466641612099,0.0,0.0,0.5362575125113666,0.5499634541105254,Svep1
ENSMUSG00000015889,0.5430707352948664,0.0,0.0,0.5361807828121775,0.5498883277291172,Lta4h
ENSMUSG00000019817,0.541355669962832,0.0,0.0,0.5344476587678549,0.548191359371168,Plagl1
ENSMUSG00000021994,0.5397958025416292,0.0,0.0,0.5328714172282593,0.5466479024357506,Wnt5a
ENSMUSG00000028591,0.5380325833687098,0.0,0.0,0.5310897471841207,0.5449031770352971,Pramef12
ENSMUSG00000028011,0.5365941046574054,0.0,0.0,0.5296362612598421,0.5434797419419478,Tdo2
ENSMUSG00000026837,0.5362006386712768,0.0,0.0,0.5292386974788895,0.5430903839278828,Col5a1
ENSMUSG00000036062,0.5359304271227191,0.0,0.0,0.52896567355298,0.5428229918003826,Phf24
ENSMUSG00000001833,0.535857779008653,0.0,0.0,0.5288922695590775,0.5427511014674669,Sept7
ENSMUSG00000055980,0.5355055666511481,0.0,0.0,0.5285363940247259,0.542402561550205,Irs1
ENSMUSG00000060284,0.5353257664729605,0.0,0.0,0.528354724783151,0.5422246351932998,Sp7
ENSMUSG00000044641,0.5344415913915965,0.0,0.0,0.5274613677901353,0.5413496657061138,Pard6b
ENSMUSG00000000359,0.5340749916698637,0.0,0.0,0.527090965559429,0.5409868784516568,Rem1
ENSMUSG00000064272,0.533303220163254,0.0,0.0,0.5263111976245488,0.5402231246036304,Gpbar1
ENSMUSG00000040043,0.5331902984169072,0.0,0.0,0.5261971068670653,0.5401113750049495,Rbms2
ENSMUSG00000063253,0.5320919534230241,0.0,0.0,0.5250874044996577,0.5390244182942558,Scoc
ENSMUSG00000036098,0.5316719997689792,0.0,0.0,0.52466311463337,0.5386088128632224,Myrf
ENSMUSG00000105437,0.5313422255456355,0.0,0.0,0.5243299377820635,0.5382824507739833,Gm42450
ENSMUSG00000097249,0.531242046418311,0.0,0.0,0.5242287254263739,0.538183307775785,Gm26889
ENSMUSG00000099170,0.5295672177710431,0.0,0.0,0.5225366522628065,0.536525773035158,5730403I07Rik
ENSMUSG00000022505,0.5295071517122761,0.0,0.0,0.5224759687753313,0.5364663262077516,Emp2
ENSMUSG00000100987,0.5287058858136653,0.0,0.0,0.5216664733478242,0.5356733140920341,Gm1627
ENSMUSG00000020114,0.5272278612240283,0.0,0.0,0.520173301724666,0.5342104822844382,Cand1
ENSMUSG00000032320,0.5269300960972343,0.0,0.0,0.5198724902722293,0.5339157728580165,Rcn2
ENSMUSG00000038204,0.5263300295903589,0.0,0.0,0.519266290023044,0.5333218591466361,Asb10
ENSMUSG00000003200,0.5261251896719616,0.0,0.0,0.5190593579053159,0.5331191179808121,Sh3gl1
ENSMUSG00000072623,0.5260954023078489,0.0,0.0,0.5190292663672238,0.5330896357457212,Zfp9
ENSMUSG00000096039,0.5260938172249288,0.0,0.0,0.5190276650987038,0.5330880668992368,D830030K20Rik
ENSMUSG00000046093,0.525925721867618,0.0,0.0,0.5188578535674692,0.5329216931154032,Hpcal4
ENSMUSG00000002265,0.5253004720990231,0.0,0.0,0.5182262251910017,0.5323028421867844,Peg3
ENSMUSG00000048310,0.5250730952123337,0.0,0.0,0.5179965305879617,0.5320777904317536,Pskh1
ENSMUSG00000039661,0.5249897298045746,0.0,0.0,0.5179123156689092,0.5319952772617464,Dusp26
ENSMUSG00000056043,0.523792705546041,0.0,0.0,0.5167031086045913,0.5308104754134035,Rgs9bp
ENSMUSG00000032547,0.5229190451065264,0.0,0.0,0.5158205742738556,0.529945718308095,Ryk
ENSMUSG00000022350,0.5227875385952974,0.0,0.0,0.5156877333371847,0.5298155506933767,E430025E21Rik
ENSMUSG00000068323,0.5226274542053693,0.0,0.0,0.5155260249964881,0.5296570957107345,Slc4a5
ENSMUSG00000097181,0.5223520451603556,0.0,0.0,0.5152478232916735,0.529384488748443,4930594M17Rik
ENSMUSG00000061723,0.5213225473827375,0.0,0.0,0.5142078996193449,0.5283654524866805,Tnnt3
ENSMUSG00000017144,0.5212611401882956,0.0,0.0,0.5141458712051681,0.5283046686565042,Rnd3
ENSMUSG00000067780,0.5212209457415317,0.0,0.0,0.5141052701756094,0.5282648821974569,Pi15
ENSMUSG00000027864,0.521052583966267,0.0,0.0,0.5139352057006306,0.5280982290170536,Ptgfrn
ENSMUSG00000022311,0.5210128940587966,0.0,0.0,0.5138951144771605,0.5280589418177548,Csmd3
ENSMUSG00000032334,0.5202013765388568,0.0,0.0,0.5130753982885063,0.5272556516354268,Loxl1
ENSMUSG00000051041,0.5201754998436642,0.0,0.0,0.5130492603778607,0.5272300370762398,Olfml1
ENSMUSG00000046785,0.5195096576871062,0.0,0.0,0.5123767013416248,0.5265709356221873,Epm2aip1
ENSMUSG00000060147,0.5189240948350256,0.0,0.0,0.511785238682278,0.525991293743752,Serpinb6a
ENSMUSG00000036655,0.5182632206417553,0.0,0.0,0.5111177140150054,0.5253370941554648,Colec11
ENSMUSG00000106754,0.5180008606323376,0.0,0.0,0.5108527162285004,0.5250773815740608,Gm43101
ENSMUSG00000039542,0.517678035314853,0.0,0.0,0.5105266470776629,0.5247578120205485,Ncam1
ENSMUSG00000085389,0.5170625158798466,0.0,0.0,0.5099049484413865,0.5241484947039663,1700003M07Rik
ENSMUSG00000040124,0.5165396787838741,0.0,0.0,0.5093768684552831,0.5236309201389816,Gorab
ENSMUSG00000021806,0.5163538514470171,0.0,0.0,0.5091891789840639,0.5234469619558328,Nid2
ENSMUSG00000030754,0.5155285649259352,0.0,0.0,0.5083556306843187,0.5226299686315281,Copb1
ENSMUSG00000040322,0.5145660794661572,0.0,0.0,0.5073835269529268,0.5216771385873938,Slc25a24
ENSMUSG00000036667,0.5144414256337834,0.0,0.0,0.5072576287719238,0.5215537339538159,Tcaf1
ENSMUSG00000058145,0.5143260776253555,0.0,0.0,0.5071411295827862,0.5214395416222571,Adamts17
ENSMUSG00000078429,0.5137791589810297,0.0,0.0,0.5065887562281843,0.5208980991121739,Ctdsp2
ENSMUSG00000055972,0.5133249748557179,0.0,0.0,0.5061300467694052,0.5204484582441296,2810407A14Rik
ENSMUSG00000032280,0.5129040177221843,0.0,0.0,0.5057048989994085,0.5200317084668068,Tle3
ENSMUSG00000069808,0.5128521854957009,0.0,0.0,0.5056525510238823,0.5199803940551869,Fam57a
ENSMUSG00000098294,0.5124204260662522,0.0,0.0,0.5052164974949515,0.5195529459940772,Gm27204
ENSMUSG00000063430,0.5122932874202616,0.0,0.0,0.5050880950819999,0.5194270762207915,Wscd2
ENSMUSG00000097542,0.511654695551255,0.0,0.0,0.5044431603899128,0.5187948529619583,Gm26751
ENSMUSG00000073209,0.5112698743267611,0.0,0.0,0.5040545208084943,0.5184138657481775,Klf14
ENSMUSG00000027428,0.5109823347502558,0.0,0.0,0.503764130051572,0.5181291891046862,Rbbp9
ENSMUSG00000066324,0.5109039899437277,0.0,0.0,0.5036850086776447,0.518051624076047,Impad1
ENSMUSG00000037552,0.5107607826707037,0.0,0.0,0.503540382222148,0.5179098418631719,Plekhg2
ENSMUSG00000023886,0.5100828173835529,0.0,0.0,0.5028557037990394,0.5172386176989497,Smoc2
ENSMUSG00000042353,0.5099880062396879,0.0,0.0,0.5027599545687259,0.517144748576611,Frem3
