,Blood_3_corr,Blood_3_pval,Blood_3_qval,Blood_3_ci_low,Blood_3_ci_high,gene_annotation
ENSMUSG00000052187,0.5347764134202717,0.0,0.0,0.5277996650362795,0.5416810034933799,Hbb-y
ENSMUSG00000069917,0.5199590009993293,0.0,0.0,0.5128305765773926,0.5270157309053687,Hba-a2
ENSMUSG00000069919,0.5101712758228432,0.0,0.0,0.5029450376293811,0.5173261970804638,Hba-a1
ENSMUSG00000055609,0.5019408094653546,0.0,0.0,0.49463378304525213,0.5091768793897952,Hba-x
ENSMUSG00000073940,0.49747478802564615,0.0,0.0,0.4901244835279335,0.5047543477852747,Hbb-bt
ENSMUSG00000052305,0.4903978574009199,0.0,0.0,0.4829797793323533,0.49774554928349424,Hbb-bs
ENSMUSG00000027869,0.4488633218966906,0.0,0.0,0.44106738119487643,0.456591528920813,Hsd3b6
ENSMUSG00000052217,0.4269884024150497,0.0,0.0,0.41900711574099425,0.43490371051075427,Hbb-bh1
ENSMUSG00000073400,0.42439428990816397,0.0,0.0,0.41639164815492274,0.43233117681347366,Trim10
ENSMUSG00000005161,0.4128515873024938,0.0,0.0,0.40475553012828297,0.42088292411655653,Prdx2
ENSMUSG00000023216,0.40386623579140435,0.0,0.0,0.39569927448477243,0.41196932528758085,Epb42
ENSMUSG00000058794,0.39955593341433066,0.0,0.0,0.39135552280712177,0.4076928924343473,Nfe2
ENSMUSG00000063856,0.3990552531784254,0.0,0.0,0.3908509808229507,0.4071961233067326,Gpx1
ENSMUSG00000040466,0.3896691512982146,0.0,0.0,0.38139339635650976,0.39788245018729257,Blvrb
ENSMUSG00000030217,0.3869691910735536,0.0,0.0,0.37867319461664345,0.39520301089934745,Art4
ENSMUSG00000032126,0.3867872755216702,0.0,0.0,0.37848992040326435,0.39502247295083187,Hmbs
ENSMUSG00000021361,0.3867543945449814,0.0,0.0,0.3784567939198729,0.39498984090611094,Tmem14c
ENSMUSG00000027078,0.38163197221473316,0.0,0.0,0.37329638445614516,0.3899059450848344,Ube2l6
ENSMUSG00000027562,0.3776293973810155,0.0,0.0,0.36926448608613066,0.38593312315565576,Car2
ENSMUSG00000038871,0.3744425463422504,0.0,0.0,0.366054512801391,0.38276974113424583,Bpgm
ENSMUSG00000024661,0.362372905927018,0.0,0.0,0.3538991101994355,0.370787215019238,Fth1
ENSMUSG00000042770,0.3593576504824876,0.0,0.0,0.35086287635001845,0.3677932851880545,Hebp1
ENSMUSG00000033685,0.35720551541211115,0.0,0.0,0.3486958771983625,0.3656562642858914,Ucp2
ENSMUSG00000071713,0.35365706130917096,0.0,0.0,0.34512311377023613,0.36213253594383704,Csf2rb
ENSMUSG00000024997,0.35293916585525126,0.0,0.0,0.34440033032258255,0.3614196133493347,Prdx3
ENSMUSG00000104818,0.3524149741194324,0.0,0.0,0.3438725758732908,0.3608990464243665,Gm43661
ENSMUSG00000024942,0.3509515035814855,0.0,0.0,0.34239918729910185,0.35944566787053206,Capn1
