,Extra-Embryonic ectoderm_corr,Extra-Embryonic ectoderm_pval,Extra-Embryonic ectoderm_qval,Extra-Embryonic ectoderm_ci_low,Extra-Embryonic ectoderm_ci_high,gene_annotation
ENSMUSG00000033307,0.724303237349268,0.0,0.0,0.7196495570616985,0.7288918473379417,Mif
ENSMUSG00000032959,0.6973129552689852,0.0,0.0,0.6922849900997294,0.7022732188302244,Pebp1
ENSMUSG00000024258,0.6857071989981653,0.0,0.0,0.6805227363385002,0.6908230069827704,Polr2d
ENSMUSG00000003429,0.6833637955868824,0.0,0.0,0.6781480575529455,0.6885106992701374,Rps11
ENSMUSG00000002477,0.6776070821070893,0.0,0.0,0.6723149765637253,0.6828299299513665,Snrpd1
ENSMUSG00000030423,0.6619880036872007,0.0,0.0,0.656492007993292,0.66741372069423,Pop4
ENSMUSG00000036398,0.6496078947644744,0.0,0.0,0.6439537252335524,0.6551911066514264,Ppp1r11
ENSMUSG00000030357,0.6459978852439147,0.0,0.0,0.6402981644715943,0.6516264717448282,Fkbp4
ENSMUSG00000057666,0.6295115067478626,0.0,0.0,0.6236070414416611,0.6353441516858097,Gapdh
ENSMUSG00000023106,0.6231455797097516,0.0,0.0,0.6171634962463198,0.629055630077796,Denr
ENSMUSG00000026385,0.6212183214224372,0.0,0.0,0.6152128975917979,0.6271516534153371,Dbi
ENSMUSG00000031609,0.6072460416463233,0.0,0.0,0.601073602841322,0.6133460404754233,Sap30
ENSMUSG00000039640,0.6050887269001569,0.0,0.0,0.5988908453499355,0.6112141267789866,Mrpl12
ENSMUSG00000034203,0.5983745636548518,0.0,0.0,0.592098086453343,0.6045784497987362,Chchd4
ENSMUSG00000078812,0.5980499453076578,0.0,0.0,0.5917696907420172,0.6042576043049149,Eif5a
ENSMUSG00000040824,0.5971195936259357,0.0,0.0,0.5908285247353114,0.6033380544161303,Snrpd2
ENSMUSG00000055762,0.5950729619270781,0.0,0.0,0.588758163433238,0.6013151268131522,Eef1d
ENSMUSG00000007338,0.5932699195868855,0.0,0.0,0.5869342844270194,0.5995329010095047,Mrpl49
ENSMUSG00000062397,0.5913289091738652,0.0,0.0,0.584970914804451,0.5976142305803155,Zfp706
ENSMUSG00000030753,0.5892169548324898,0.0,0.0,0.5828347167343052,0.5955265019180415,Prkrir
ENSMUSG00000046865,0.5863612504088526,0.0,0.0,0.5799463711389155,0.5927034189968321,Fbl
ENSMUSG00000007564,0.5850485587435134,0.0,0.0,0.5786187292954382,0.5914056702887053,Ppp2r1a
ENSMUSG00000012405,0.5848014265934743,0.0,0.0,0.5783687863813749,0.5911613476711857,Rpl15
