,Extra-Embryonic endoderm_2_corr,Extra-Embryonic endoderm_2_pval,Extra-Embryonic endoderm_2_qval,Extra-Embryonic endoderm_2_ci_low,Extra-Embryonic endoderm_2_ci_high,gene_annotation
ENSMUSG00000021278,0.26667967996836917,0.0,0.0,0.2576271380501319,0.275685410780428,Amn
ENSMUSG00000032359,0.2646685464795806,0.0,0.0,0.2556057678880029,0.2736848135434329,Ctsh
ENSMUSG00000058135,0.264141784459219,0.0,0.0,0.25507633774254634,0.2731607983155884,Gstm1
ENSMUSG00000027227,0.2578221538453054,0.0,0.0,0.24872512105452402,0.2668737039899633,Sord
ENSMUSG00000031827,0.25578214392374604,0.0,0.0,0.24667508199502497,0.2648440324466995,Cotl1
ENSMUSG00000021953,0.2549327922369111,0.0,0.0,0.24582157873971902,0.2639989614359647,Tdh
ENSMUSG00000032554,0.25291401230049837,0.0,0.0,0.24379298785236286,0.26199030015519253,Trf
ENSMUSG00000002985,0.24992991055660604,0.0,0.0,0.24079453002315215,0.2590210114744046,Apoe
ENSMUSG00000061808,0.24656695661065542,0.0,0.0,0.23741560636720416,0.2556745452552738,Ttr
ENSMUSG00000024391,0.2425828030785688,0.0,0.0,0.2334128197868794,0.25170964256346273,Apom
ENSMUSG00000032083,0.24252990510834302,0.0,0.0,0.23335967651440975,0.2516569981274869,Apoa1
ENSMUSG00000032081,0.24229326935571702,0.0,0.0,0.23312194408822812,0.2514214958831967,Apoc3
ENSMUSG00000021876,0.23835023276192122,0.0,0.0,0.22916079505230996,0.24749718775763024,Rnase4
ENSMUSG00000001665,0.23796123341511077,0.0,0.0,0.22877002532055074,0.24711001979849884,Gstt3
ENSMUSG00000021228,0.23770072950531254,0.0,0.0,0.22850833748067717,0.24685074069372814,Acot3
ENSMUSG00000028307,0.2372217218254229,0.0,0.0,0.2280271562884732,0.24637398173364733,Aldob
ENSMUSG00000024990,0.2370770553040396,0.0,0.0,0.22788183422126157,0.24622999348386806,Rbp4
ENSMUSG00000039783,0.23529269636757374,0.0,0.0,0.22608942327883808,0.24445396732120475,Kmo
ENSMUSG00000027890,0.2344733462429436,0.0,0.0,0.22526639667526763,0.24363842288471818,Gstm4
ENSMUSG00000003585,0.23445656915927868,0.0,0.0,0.22524954444898337,0.243621723591238,Sec14l2
ENSMUSG00000026295,0.2332879040152653,0.0,0.0,0.22407565854632963,0.24245846381491357,Spp2
ENSMUSG00000020609,0.231619754403014,0.0,0.0,0.22240010314545036,0.2407979841271318,Apob
ENSMUSG00000031838,0.2315438002041689,0.0,0.0,0.22232381304250107,0.2407223778764589,Ifi30
ENSMUSG00000023057,0.23004558074014178,0.0,0.0,0.2208189908468508,0.2392309990258524,Fabp2
ENSMUSG00000035504,0.22880289122182587,0.0,0.0,0.2195708580593365,0.2379939505307633,Reep6
ENSMUSG00000034918,0.22792804138893913,0.0,0.0,0.21869219430695172,0.23712305407604378,Cdhr2
ENSMUSG00000046312,0.2279276584816111,0.0,0.0,0.21869180973361318,0.23712267289580838,AI464131
ENSMUSG00000023045,0.2274991639318061,0.0,0.0,0.21826145262366464,0.23669610928415105,Soat2
ENSMUSG00000043501,0.22747494861646425,0.0,0.0,0.2182371321575784,0.2366720029851829,Lgals2
ENSMUSG00000024863,0.2274365354002942,0.0,0.0,0.21819855216231723,0.23663376268053551,Mbl2
ENSMUSG00000091387,0.22650796394422976,0.0,0.0,0.2172659579024538,0.235709362384555,Gcnt4
ENSMUSG00000011008,0.22597956634450073,0.0,0.0,0.21673527868444004,0.23518333092320642,Mcoln2
ENSMUSG00000003309,0.2239232158320966,0.0,0.0,0.21467010086193125,0.23313613732479618,Ap1m2
ENSMUSG00000010601,0.22267088301669644,0.0,0.0,0.21341243268646654,0.23188934112728438,Apol7a
