,Amnion_corr,Amnion_pval,Amnion_qval,Amnion_ci_low,Amnion_ci_high,gene_annotation
ENSMUSG00000027460,0.5619339616443216,0.0,0.0,0.5552464626098135,0.5685488005725663,Angpt4
ENSMUSG00000058672,0.5115866402393171,0.0,0.0,0.5043744295920592,0.5187274758980442,Tubb2a
ENSMUSG00000042812,0.4764690154632644,0.0,0.0,0.4689204298346529,0.48394800157184825,Foxf1
ENSMUSG00000033585,0.4708556170468473,0.0,0.0,0.4632555174161587,0.47838646399121815,Ndn
ENSMUSG00000038591,0.46821251000424796,0.0,0.0,0.4605883697046648,0.47576756676390863,Colec10
ENSMUSG00000041959,0.46145734229064095,0.0,0.0,0.45377238516028956,0.46907366498191666,S100a10
ENSMUSG00000036446,0.4574805853061147,0.0,0.0,0.4497602458527648,0.4651325658923849,Lum
ENSMUSG00000068522,0.44668677057648754,0.0,0.0,0.43887196585721233,0.45443400553529,Aard
ENSMUSG00000037335,0.4456382853352746,0.0,0.0,0.4378144267656304,0.4533946539633941,Hand1
ENSMUSG00000018672,0.4442110602143239,0.0,0.0,0.43637491210304513,0.45197982792807634,Copz2
ENSMUSG00000035783,0.4409208622195277,0.0,0.0,0.4330565357172797,0.4487180647603658,Acta2
ENSMUSG00000024212,0.43790810925323337,0.0,0.0,0.4300181674539915,0.4457311666507403,Mllt1
ENSMUSG00000073209,0.4346458088573788,0.0,0.0,0.4267283315667624,0.44249666622968803,Klf14
ENSMUSG00000068196,0.43296528480350416,0.0,0.0,0.4250337047947199,0.44083038318776213,Col8a1
ENSMUSG00000029309,0.4308614336161853,0.0,0.0,0.4229122767572556,0.43874428393436926,Sparcl1
ENSMUSG00000014769,0.4265073430320571,0.0,0.0,0.41852208620956993,0.4344266625199192,Psmb1
ENSMUSG00000031891,0.42614684870967195,0.0,0.0,0.4181586197391375,0.43406917132599476,Hsd11b2
ENSMUSG00000038402,0.4253303194965464,0.0,0.0,0.41733536798987964,0.43325943505255377,Foxf2
ENSMUSG00000045377,0.42439117470508475,0.0,0.0,0.4163885073866998,0.4323280874461608,Tmem88
ENSMUSG00000061111,0.4239841922986542,0.0,0.0,0.41597818669158304,0.43192447872376455,Fam195b
ENSMUSG00000027404,0.4234933541598552,0.0,0.0,0.41548332677086486,0.4314377051610969,Snrpb
ENSMUSG00000074364,0.42141830691687165,0.0,0.0,0.4133913296002777,0.4293797900374239,Ehd2
ENSMUSG00000026999,0.42016726278842753,0.0,0.0,0.41213010732055055,0.42813903489820554,Nup35
ENSMUSG00000035413,0.41985175981606127,0.0,0.0,0.41181204236592,0.4278261219783276,Tmem98
ENSMUSG00000040681,0.41397105474135226,0.0,0.0,0.40588394264726574,0.4219933433868041,Hmgn1
ENSMUSG00000021996,0.41324118543105504,0.0,0.0,0.4051482385348175,0.4212693760235586,Esd
ENSMUSG00000020831,0.4091116137487105,0.0,0.0,0.4009858511798018,0.4171730046052247,0610010K14Rik
ENSMUSG00000057777,0.4048189399900632,0.0,0.0,0.39665942127837484,0.41291449515431766,Mab21l2
ENSMUSG00000030298,0.4041939617598481,0.0,0.0,0.3960295586580638,0.4122944614471252,Sec13
ENSMUSG00000005124,0.4031511247451943,0.0,0.0,0.3949785886684756,0.4112598581434322,Wisp1
ENSMUSG00000000827,0.40161744091935964,0.0,0.0,0.3934329826676224,0.40973824554622174,Tpd52l2
ENSMUSG00000059898,0.40059353045780416,0.0,0.0,0.3924011385355013,0.4087223688621367,Dsc3
ENSMUSG00000023886,0.3974121092519002,0.0,0.0,0.38919519796104707,0.40556578110257513,Smoc2
ENSMUSG00000056158,0.390320595402562,0.0,0.0,0.3820497457789656,0.39852892203637896,Car10
ENSMUSG00000021235,0.3898313798734781,0.0,0.0,0.38155684571877996,0.398043441288703,Coq6
ENSMUSG00000039810,0.38901919548483577,0.0,0.0,0.3807385547470783,0.39723744714104153,Zc3h10
ENSMUSG00000050069,0.38872440738220504,0.0,0.0,0.3804415534246213,0.39694490269447075,Grem2
ENSMUSG00000036655,0.38849398814785,0.0,0.0,0.38020940543081205,0.3967162360365265,Colec11
ENSMUSG00000047976,0.3860136307710623,0.0,0.0,0.37771050484653884,0.3942546797237531,Kcna1
ENSMUSG00000020180,0.38593722478263287,0.0,0.0,0.37763352956551693,0.39417885101387556,Snrpd3
ENSMUSG00000043903,0.385895681994427,0.0,0.0,0.37759167729474274,0.3941376220513653,Gm22
ENSMUSG00000001506,0.38436398306689945,0.0,0.0,0.37604859130978185,0.39261747084055476,Col1a1
ENSMUSG00000085562,0.3834857464903868,0.0,0.0,0.3751638464924412,0.39174583508417643,2610028E06Rik
ENSMUSG00000028629,0.3828325418805267,0.0,0.0,0.37450581109110426,0.3910975303408656,Exo5
ENSMUSG00000021835,0.3827842364976579,0.0,0.0,0.3744571487976019,0.39104958698418546,Bmp4
ENSMUSG00000029729,0.3818786501632233,0.0,0.0,0.3735448799105139,0.3901507792915852,Zkscan1
ENSMUSG00000045534,0.3817721175137659,0.0,0.0,0.3734375621892038,0.39004504304121396,Kcna5
ENSMUSG00000022639,0.3816464411026573,0.0,0.0,0.37331095991680224,0.38992030586043486,Dubr
ENSMUSG00000017188,0.38087753348523806,0.0,0.0,0.37253639449802317,0.38915713798693113,Coa3
ENSMUSG00000020846,0.3803228761352575,0.0,0.0,0.3719776630652067,0.3886066139882091,Rflnb
ENSMUSG00000027712,0.3792837531650771,0.0,0.0,0.37093092377986253,0.3875752187265459,Anxa5
ENSMUSG00000044927,0.37541091768012097,0.0,0.0,0.36702988906123196,0.38373100172088564,H1fx
ENSMUSG00000026728,0.3752969445189983,0.0,0.0,0.36691509049388715,0.38361786640093243,Vim
ENSMUSG00000000359,0.3750754337347959,0.0,0.0,0.3666919762343644,0.38339798327560953,Rem1
ENSMUSG00000039130,0.37255731064944936,0.0,0.0,0.36415569271405995,0.38089829700651157,Zc3hc1
ENSMUSG00000041881,0.37170671108739967,0.0,0.0,0.36329898687442513,0.3800538976872608,Ndufa7
ENSMUSG00000020708,0.37154906936488175,0.0,0.0,0.3631402150364191,0.3798974035283278,Psmc5
ENSMUSG00000069833,0.3709984875039213,0.0,0.0,0.3625856899483381,0.37935082591607533,Ahnak
ENSMUSG00000058925,0.3707845288672174,0.0,0.0,0.3623702005627267,0.37913842177596146,1700011I03Rik
ENSMUSG00000002266,0.37066306821885187,0.0,0.0,0.36224787133474645,0.37901784319692655,Zim1
ENSMUSG00000030588,0.36896113647188905,0.0,0.0,0.3605337993606134,0.37732824134897175,Yif1b
ENSMUSG00000026497,0.3685332747107871,0.0,0.0,0.3601028945270914,0.37690347053417395,Mixl1
ENSMUSG00000049866,0.3680970424837401,0.0,0.0,0.35966356339789257,0.3764703860984918,Arl4c
ENSMUSG00000044243,0.36796241936629015,0.0,0.0,0.35952798470110175,0.3763367336638421,Bhlha9
ENSMUSG00000018293,0.3676437591860582,0.0,0.0,0.3592070640321085,0.37602036975319914,Pfn1
ENSMUSG00000057604,0.36756679523706637,0.0,0.0,0.35912955442091005,0.375943960114675,Lmcd1
ENSMUSG00000039323,0.3666324787062932,0.0,0.0,0.3581886230164838,0.3750163636412679,Igfbp2
ENSMUSG00000037049,0.3654575990504405,0.0,0.0,0.3570054496671489,0.3738499104597051,Smpd1
ENSMUSG00000020186,0.3650930392809082,0.0,0.0,0.35663832191588035,0.3734879599895393,Csrp2
ENSMUSG00000027805,0.3650130911843904,0.0,0.0,0.3565578110090984,0.3734085837716147,Pfn2
ENSMUSG00000000902,0.36466818024392905,0.0,0.0,0.3562104734401421,0.3730661386124187,Smarcb1
ENSMUSG00000034566,0.3643804486115057,0.0,0.0,0.35592071925369473,0.37278046223367906,Atp5h
ENSMUSG00000020843,0.3637318425802827,0.0,0.0,0.35526755993736037,0.37213648332470367,Timm22
ENSMUSG00000020427,0.36357752192254006,0.0,0.0,0.355112157148952,0.3719832623910097,Igfbp3
ENSMUSG00000007987,0.3630777969720294,0.0,0.0,0.35460893122693987,0.3714870954506687,Ift22
ENSMUSG00000092250,0.363003761601051,0.0,0.0,0.3545343775964625,0.37141358679834224,Gm20467
ENSMUSG00000030934,0.36265052531756065,0.0,0.0,0.35417867008477094,0.3710628621342677,Oat
ENSMUSG00000038193,0.36251257952322347,0.0,0.0,0.3540397598922413,0.37092589652562774,Hand2
ENSMUSG00000049382,0.36134744690388304,0.0,0.0,0.35286649658265945,0.3697690282543628,Krt8
ENSMUSG00000028031,0.36046231121701033,0.0,0.0,0.3519752019447716,0.3688901534284123,Dkk2
ENSMUSG00000028011,0.3604100363323592,0.0,0.0,0.3519225638023534,0.3688382478302068,Tdo2
ENSMUSG00000066392,0.3601415642314553,0.0,0.0,0.35165222693672177,0.3685716714735639,Nrxn3
ENSMUSG00000022090,0.3594104090378684,0.0,0.0,0.35091600043374016,0.36784567210798497,Pdlim2
