,Blood_3_corr,Blood_3_pval,Blood_3_qval,Blood_3_ci_low,Blood_3_ci_high,gene_annotation
ENSMUSG00000052217,0.4691873827702896,0.0,0.0,0.46157209350719863,0.4767335256734111,Hbb-bh1
ENSMUSG00000020932,0.4527710309382885,0.0,0.0,0.44500919221664204,0.4604648477482985,Gfap
ENSMUSG00000027562,0.4415504610324465,0.0,0.0,0.43369151013875906,0.4493422384742149,Car2
ENSMUSG00000073063,0.43481143520675025,0.0,0.0,0.4268953508387068,0.44266088610200743,Hbq1b
ENSMUSG00000036390,0.43354224145639025,0.0,0.0,0.4256154969181344,0.441402456734621,Gadd45a
ENSMUSG00000024997,0.4184611565949795,0.0,0.0,0.4104101703581354,0.4264469118297865,Prdx3
ENSMUSG00000027510,0.4139922489686887,0.0,0.0,0.4059053064644419,0.4220143660782547,Rbm38
ENSMUSG00000005161,0.4104498442362749,0.0,0.0,0.40233467918090615,0.41850051207824923,Prdx2
ENSMUSG00000063856,0.4043013947605967,0.0,0.0,0.396137830732714,0.4124010450244471,Gpx1
ENSMUSG00000040466,0.399630907985052,0.0,0.0,0.39143107608135813,0.40776728091988856,Blvrb
ENSMUSG00000021361,0.3994733712450966,0.0,0.0,0.391272323496151,0.4076109755385026,Tmem14c
ENSMUSG00000020372,0.39925530242475205,0.0,0.0,0.39105257245835917,0.40739461042832414,Rack1
ENSMUSG00000058558,0.39621675877263013,0.0,0.0,0.3879906863021471,0.40437971099152015,Rpl5
ENSMUSG00000001014,0.3959958504153524,0.0,0.0,0.3877680879770105,0.4041605146992385,Icam4
ENSMUSG00000024661,0.3933300755738277,0.0,0.0,0.38508199539172533,0.4015153259789152,Fth1
ENSMUSG00000031762,0.3921074106661647,0.0,0.0,0.3838500584389612,0.4003020572697714,Mt2
ENSMUSG00000027869,0.3906565136435439,0.0,0.0,0.3823881967160695,0.3988622731383533,Hsd3b6
ENSMUSG00000027078,0.3904597881773972,0.0,0.0,0.3821899877453276,0.3986670513416984,Ube2l6
ENSMUSG00000021118,0.3867191825110981,0.0,0.0,0.3784213189979544,0.3949548954288838,Plek2
ENSMUSG00000071713,0.38522080244573903,0.0,0.0,0.37691177482802296,0.39346783608229696,Csf2rb
ENSMUSG00000036825,0.38443457162796785,0.0,0.0,0.37611970363122005,0.3926875282147436,Ssx2ip
ENSMUSG00000032126,0.3829036245850164,0.0,0.0,0.374577419082856,0.39116808023225463,Hmbs
