,Endothelial_1_corr,Endothelial_1_pval,Endothelial_1_qval,Endothelial_1_ci_low,Endothelial_1_ci_high,gene_annotation
ENSMUSG00000054435,0.5752819689897829,0.0,0.0,0.5687419781224221,0.5817492239464023,Gimap4
ENSMUSG00000043505,0.528553582054108,0.0,0.0,0.5215126067618479,0.5355225778126176,Gimap5
ENSMUSG00000107481,0.5098313370889243,0.0,0.0,0.5026017356807787,0.5169896356768774,4833403J16Rik
ENSMUSG00000041481,0.4975255142541606,0.0,0.0,0.4901756991112024,0.5048045821904815,Serpina3g
ENSMUSG00000022831,0.4889971396540815,0.0,0.0,0.48156576443518956,0.49635820296825334,Hcls1
ENSMUSG00000039167,0.48365594896149816,0.0,0.0,0.4761742243185521,0.4910676549032799,Adgrl4
ENSMUSG00000047867,0.4829815375647802,0.0,0.0,0.475493495490638,0.49039959907537756,Gimap6
ENSMUSG00000047261,0.4570885102123107,0.0,0.0,0.44936469923004246,0.4647439899419955,Gap43
ENSMUSG00000068220,0.45432177023485704,0.0,0.0,0.44657354794381104,0.4620018584000926,Lgals1
ENSMUSG00000052921,0.45194512954966876,0.0,0.0,0.4441760582457156,0.4596462392097238,Arhgef15
ENSMUSG00000026890,0.4452822216352721,0.0,0.0,0.43745529331888083,0.45304168724291777,Lhx6
ENSMUSG00000107061,0.4441293943351491,0.0,0.0,0.4362925442291444,0.4518988703428014,Gm19590
ENSMUSG00000024349,0.4438028324910132,0.0,0.0,0.4359631765927153,0.4515751395133707,Tmem173
ENSMUSG00000004837,0.4422262080408692,0.0,0.0,0.43437303546063544,0.4500121542719346,Grap
ENSMUSG00000062515,0.44084482807858016,0.0,0.0,0.4329798529137329,0.4486426852722055,Fabp4
ENSMUSG00000038811,0.42473834517451475,0.0,0.0,0.41673852811162115,0.4326723775295951,Gngt2
ENSMUSG00000098557,0.42455170440462103,0.0,0.0,0.41655035473372326,0.43248728555882077,Kctd12
ENSMUSG00000034786,0.4201577148984767,0.0,0.0,0.41212048187002037,0.42812956541761193,Gpsm3
ENSMUSG00000079363,0.41830976948439075,0.0,0.0,0.41025755877527414,0.42629676277719786,Gbp4
ENSMUSG00000034037,0.41466739829368937,0.0,0.0,0.4065858627566087,0.42268404655452185,Fgd5
ENSMUSG00000028936,0.4143666787405969,0.0,0.0,0.4062827337681972,0.422385763973088,Rpl22
ENSMUSG00000071637,0.41253394302303703,0.0,0.0,0.40443535220986554,0.42056784283390103,Cebpd
ENSMUSG00000054920,0.41152644577900094,0.0,0.0,0.4034198319581488,0.4195684620261578,Klhl5
ENSMUSG00000021719,0.4053044328038514,0.0,0.0,0.3971487136647368,0.4133961418070474,Rgs7bp
ENSMUSG00000032766,0.4023760118184682,0.0,0.0,0.3941974445766529,0.4104908515783166,Gng11
ENSMUSG00000098659,0.40115625303939834,0.0,0.0,0.39296821876611887,0.40928067871875895,1110015O18Rik
ENSMUSG00000000058,0.39783068559084095,0.0,0.0,0.38961698891642166,0.40598110124086384,Cav2
ENSMUSG00000044220,0.39399875622066416,0.0,0.0,0.3857557593937874,0.4021788556523568,Nkx2-3
ENSMUSG00000026238,0.3923911954241606,0.0,0.0,0.3841359926511996,0.40058366369778636,Ptma
ENSMUSG00000046280,0.3913626220912836,0.0,0.0,0.383099636187208,0.3995629783258936,She
ENSMUSG00000028037,0.3905278476050016,0.0,0.0,0.3822585603222441,0.398734590641775,Ifi44
ENSMUSG00000074874,0.38910324202000546,0.0,0.0,0.3808232326025945,0.39732085368526227,Ctla2b
ENSMUSG00000040699,0.3889833607078323,0.0,0.0,0.3807024508373332,0.39720188519459715,Limd2
ENSMUSG00000090019,0.3887658821455941,0.0,0.0,0.3804833394703247,0.39698606189105007,Gimap1
ENSMUSG00000026728,0.38556005527332254,0.0,0.0,0.37725355148939654,0.39380452953057865,Vim
ENSMUSG00000001175,0.3844572812883741,0.0,0.0,0.3761425818159597,0.39271006696203115,Calm1
ENSMUSG00000030220,0.3812055019840319,0.0,0.0,0.37286677484411584,0.38948265965553885,Arhgdib
ENSMUSG00000031805,0.38048188657474336,0.0,0.0,0.372137840853785,0.38876444007382316,Jak3
ENSMUSG00000067274,0.37528819038322736,0.0,0.0,0.3669062729702554,0.3836091766083636,Rplp0
ENSMUSG00000024986,0.37102161385891874,0.0,0.0,0.36260898181275125,0.37937378419597134,Hhex
ENSMUSG00000050493,0.36779483740588587,0.0,0.0,0.3593592137110552,0.3761703595447781,Fam167b
ENSMUSG00000034911,0.36247511564743495,0.0,0.0,0.3540020341658496,0.3708886987894274,Ushbp1
ENSMUSG00000050105,0.3597479462072327,0.0,0.0,0.3512558774637702,0.36818083037164173,Grrp1
ENSMUSG00000048200,0.35942595730988103,0.0,0.0,0.3509316564396432,0.3678611108465206,Cracr2b
ENSMUSG00000020357,0.3590150074689594,0.0,0.0,0.35051786072553504,0.36745305447599474,Flt4
ENSMUSG00000022103,0.3584480345952641,0.0,0.0,0.3499469669476733,0.366890068287468,Gfra2
ENSMUSG00000020736,0.35683146775810504,0.0,0.0,0.3483192554021201,0.3652848344316513,Nt5c
ENSMUSG00000038393,0.3565024251007504,0.0,0.0,0.34798795059257775,0.36495809237798815,Txnip
ENSMUSG00000031068,0.35556523953702435,0.0,0.0,0.3470443335785621,0.3640274480225448,Glrx3
ENSMUSG00000064262,0.3535606875443215,0.0,0.0,0.34502608322919903,0.36203683033595657,Gimap8
ENSMUSG00000039997,0.35352285588239746,0.0,0.0,0.3449879937986849,0.3619992609111826,Ifi203
ENSMUSG00000056737,0.3530444307342621,0.0,0.0,0.34450631129392667,0.3615241496792601,Capg
ENSMUSG00000056201,0.3515641112685199,0.0,0.0,0.34301594155026266,0.36005405607508456,Cfl1
ENSMUSG00000020053,0.3497387837649748,0.0,0.0,0.34117828066980455,0.3582412796563218,Igf1
ENSMUSG00000026181,0.3493454431054001,0.0,0.0,0.3407822908545004,0.3578506352397016,Ppm1f
ENSMUSG00000046722,0.3490046291028145,0.0,0.0,0.34043918392092376,0.35751215501686406,Cdc42se1
ENSMUSG00000022216,0.34705818142057987,0.0,0.0,0.33847968462748756,0.35557899311960284,Psme1
ENSMUSG00000044317,0.346444444528923,0.0,0.0,0.33786184784350765,0.354969430267429,Gpr4
ENSMUSG00000023034,0.3451216760755999,0.0,0.0,0.33653026816687254,0.3536556333472633,Nr4a1
ENSMUSG00000043866,0.33989059223312246,0.0,0.0,0.3312646756188495,0.34845969886142236,Taf10
ENSMUSG00000044627,0.33860723544843974,0.0,0.0,0.32997293478651185,0.34718488491424937,Swi5
ENSMUSG00000059518,0.33801752241646743,0.0,0.0,0.32937938005809486,0.3465990867561378,Znhit1
ENSMUSG00000038188,0.3366409946719047,0.0,0.0,0.3279939114654339,0.3452316711910494,Scarf1
ENSMUSG00000001053,0.33537344174974426,0.0,0.0,0.32671815840720736,0.34397247681228843,N4bp3
ENSMUSG00000021368,0.33497018009810436,0.0,0.0,0.3263122945622284,0.3435718678781982,Tbc1d7
ENSMUSG00000005089,0.33249182313701525,0.0,0.0,0.32381801519041,0.3411097451917845,Slc1a2
ENSMUSG00000072618,0.3323659401282149,0.0,0.0,0.32369132665322625,0.34098468361378664,Gm10384
ENSMUSG00000085452,0.3308219204880102,0.0,0.0,0.3221374520988081,0.33945071442422203,4930554G24Rik
ENSMUSG00000009687,0.3298386356479826,0.0,0.0,0.3211479156983519,0.3384738061352503,Fxyd5
ENSMUSG00000054072,0.32978209137892256,0.0,0.0,0.32109101250729943,0.33841762798683295,Iigp1
ENSMUSG00000037060,0.3294115106286695,0.0,0.0,0.32071808100157695,0.33804944520026203,Prkcdbp
ENSMUSG00000029538,0.3279538089575003,0.0,0.0,0.3192511586457392,0.33660115040722766,Srsf9
ENSMUSG00000053317,0.32713851279144146,0.0,0.0,0.3184307235130719,0.33579109769099297,Sec61b
ENSMUSG00000031506,0.32649276343325745,0.0,0.0,0.31778091313207324,0.3351494922857841,Ptpn7
ENSMUSG00000042106,0.32577249063461633,0.0,0.0,0.3170561202983265,0.3344338322051486,Fam212a
ENSMUSG00000036181,0.3234008336162279,0.0,0.0,0.314669652020571,0.3320772929769356,Hist1h1c
ENSMUSG00000059013,0.3232078980480954,0.0,0.0,0.31447551640349897,0.3318855824851031,Sh2d3c
ENSMUSG00000110647,0.3223674732814792,0.0,0.0,0.31362987276065185,0.33105048577257984,RP23-381H23.1
ENSMUSG00000079014,0.32209903234430803,0.0,0.0,0.3133597677773928,0.330783743808538,Serpina3i
ENSMUSG00000025076,0.3218505738456516,0.0,0.0,0.31310977036239823,0.330536856576782,Casp7
ENSMUSG00000029298,0.3203738320496973,0.0,0.0,0.3116239068349406,0.32906942925586896,Gbp9
ENSMUSG00000044258,0.31989883776125927,0.0,0.0,0.31114598763511936,0.3285974220433531,Ctla2a
ENSMUSG00000046546,0.3192229728284636,0.0,0.0,0.31046596850424474,0.3279257999030022,Fam43a
ENSMUSG00000024338,0.3159760417447971,0.0,0.0,0.3071992051397901,0.3246991290161262,Psmb8
ENSMUSG00000023064,0.31563377321401787,0.0,0.0,0.30685485808120616,0.32435898434175037,Sncg
ENSMUSG00000028268,0.3155811710899493,0.0,0.0,0.3068019367187932,0.32430670842614706,Gbp3
ENSMUSG00000038775,0.31284525841337396,0.0,0.0,0.3040494948290708,0.3215876888497501,Vill
ENSMUSG00000030787,0.3115913291935978,0.0,0.0,0.3027880389790022,0.3203414539263855,Lyve1
ENSMUSG00000001741,0.31017699087386713,0.0,0.0,0.3013652481984113,0.31893575784882294,Il16
ENSMUSG00000022407,0.3088896571581435,0.0,0.0,0.3000702551464735,0.3176562568202791,Adsl
ENSMUSG00000060126,0.3086086669425558,0.0,0.0,0.29978759742651273,0.3173769720241516,Tpt1
ENSMUSG00000059291,0.30832395180965644,0.0,0.0,0.2995011942637787,0.3170939833669684,Rpl11
ENSMUSG00000011958,0.30692071305096624,0.0,0.0,0.29808965915962626,0.3156992308504865,Bnip2
ENSMUSG00000060791,0.3067668986373433,0.0,0.0,0.29793493770034146,0.3155463443395662,Gmfg
ENSMUSG00000020267,0.3067422623131587,0.0,0.0,0.29791015613853733,0.3155218565944203,Hint1
ENSMUSG00000047423,0.3056669896567301,0.0,0.0,0.29682855606514075,0.3144530573993693,AI837181
ENSMUSG00000069793,0.30433996679710307,0.0,0.0,0.2954937556327284,0.3131339929020886,Slfn9
ENSMUSG00000039640,0.30356405300442896,0.0,0.0,0.29471331027345327,0.3123627166658278,Mrpl12
ENSMUSG00000044562,0.30185604962422935,0.0,0.0,0.2929953732490654,0.31066488097237527,Rasip1
ENSMUSG00000020415,0.300963089407817,0.0,0.0,0.2920972424041683,0.3097772141418786,Pttg1
ENSMUSG00000040283,0.3006974051535025,0.0,0.0,0.2918300227407366,0.30951310187350295,Btnl9
ENSMUSG00000025492,0.29849857835934057,0.0,0.0,0.2896185418961521,0.30732723276456936,Ifitm3
ENSMUSG00000019832,0.2970430102659791,0.0,0.0,0.28815464929226775,0.30588019108116465,Rab32
ENSMUSG00000032128,0.29702833905955406,0.0,0.0,0.28813989439151777,0.3058656056077212,Robo3
ENSMUSG00000024451,0.29615381531166673,0.0,0.0,0.28726038940203247,0.3049961847528319,Arap3
ENSMUSG00000046865,0.2959366840077826,0.0,0.0,0.28704202365343245,0.30478031813772893,Fbl
ENSMUSG00000008398,0.2952164096130988,0.0,0.0,0.2863176609415589,0.3040642324999492,Elk3
ENSMUSG00000029121,0.294709579995139,0.0,0.0,0.2858079606279301,0.3035603443573604,Crmp1
ENSMUSG00000031480,0.2945229323434925,0.0,0.0,0.28562025706822686,0.30337477870109547,Thsd1
ENSMUSG00000042099,0.29398301907335583,0.0,0.0,0.28507729323205155,0.30283799152493535,Kank3
ENSMUSG00000013698,0.2934250491984078,0.0,0.0,0.2845161767747047,0.3022832463883313,Pea15a
ENSMUSG00000032959,0.2930396216288882,0.0,0.0,0.28412857921220763,0.30190004285988525,Pebp1
ENSMUSG00000020150,0.29232150497250314,0.0,0.0,0.28340642726099696,0.3011860623306504,Gamt
ENSMUSG00000018923,0.29165418156719636,0.0,0.0,0.2827353630451302,0.3005225735894508,Med11
ENSMUSG00000048758,0.2913588534034698,0.0,0.0,0.28243838214906514,0.3002289397405627,Rpl29
ENSMUSG00000005804,0.290822566238179,0.0,0.0,0.2818990981546626,0.2996957249877919,Bloc1s6
ENSMUSG00000033538,0.29035208160327525,0.0,0.0,0.2814259890451984,0.2992279312148545,Casp4
ENSMUSG00000030725,0.2898851446702925,0.0,0.0,0.28095645171816813,0.29876366063477483,Lipt2
ENSMUSG00000017309,0.28986051960192927,0.0,0.0,0.280931689630277,0.29873917606643213,Cd300lg
ENSMUSG00000035165,0.289853087363524,0.0,0.0,0.28092421603952816,0.29873178623087787,Kcne3
ENSMUSG00000062397,0.28921126267374275,0.0,0.0,0.2802788243762433,0.29809361930152667,Zfp706
ENSMUSG00000063060,0.2890351146637068,0.0,0.0,0.28010169882694613,0.29791847377074887,Sox7
ENSMUSG00000029610,0.28892794974137564,0.0,0.0,0.2799939394868973,0.29781191844410515,Aimp2
ENSMUSG00000046470,0.2886661410184378,0.0,0.0,0.27973067952161057,0.29755159805979775,Sox18
ENSMUSG00000070526,0.2885234105737536,0.0,0.0,0.2795871584680725,0.2974096784572229,Peg12
ENSMUSG00000076437,0.288454729596858,0.0,0.0,0.27951809719757426,0.29734138751241806,Selenoh
ENSMUSG00000028843,0.2877739610112657,0.0,0.0,0.27883356412740445,0.29666448002305457,Sh3bgrl3
ENSMUSG00000030826,0.28748274680209507,0.0,0.0,0.2785407423489079,0.296374914757232,Bcat2
ENSMUSG00000041789,0.286982056132296,0.0,0.0,0.27803729163784097,0.29587705532852127,2700046A07Rik
ENSMUSG00000045954,0.2868973983937403,0.0,0.0,0.2779521677119108,0.29579287582400776,Sdpr
ENSMUSG00000051124,0.2863726742469286,0.0,0.0,0.27742455718448944,0.29527111277723256,Gimap9
ENSMUSG00000043008,0.2860943434733499,0.0,0.0,0.2771446975713396,0.2949943505131372,Klhl6
ENSMUSG00000026222,0.2855069097535574,0.0,0.0,0.2765540421288947,0.2944102223241675,Sp100
ENSMUSG00000087006,0.28291005152292525,0.0,0.0,0.27394302272679477,0.2918278970895476,Gm13889
ENSMUSG00000097287,0.2817078847031498,0.0,0.0,0.272734345016425,0.29063241402321005,D130017N08Rik
ENSMUSG00000027935,0.28048386248913365,0.0,0.0,0.2715037226461726,0.2894151684451498,Rab13
ENSMUSG00000030966,0.2785431047685933,0.0,0.0,0.26955256018586193,0.28748509625889124,Trim21
ENSMUSG00000002504,0.2783869647168681,0.0,0.0,0.26939558624844334,0.28732981273546737,Slc9a3r2
ENSMUSG00000030551,0.2780634194294187,0.0,0.0,0.2690703145472354,0.28700804080509756,Nr2f2
ENSMUSG00000025978,0.2777278033180497,0.0,0.0,0.2687329097807997,0.2866742620783476,Rftn2
ENSMUSG00000020792,0.2770963291094024,0.0,0.0,0.2680980761349639,0.286046239089467,Exoc7
ENSMUSG00000020803,0.2758071714495191,0.0,0.0,0.2668020844284549,0.28476410323940643,Txndc17
ENSMUSG00000022579,0.27524864888976663,0.0,0.0,0.26624061115585873,0.28420861290166394,Gpihbp1
ENSMUSG00000039834,0.27445639511692227,0.0,0.0,0.2654441823374591,0.28342064996052874,Zfp335
ENSMUSG00000053310,0.2742005996799646,0.0,0.0,0.2651870415277423,0.2831662373220096,Nrgn
ENSMUSG00000024517,0.27353036083675364,0.0,0.0,0.26451328360067133,0.28249961572238214,Grp
ENSMUSG00000002458,0.2721639464801049,0.0,0.0,0.26313972216111203,0.2811405489977858,Rgs19
ENSMUSG00000001123,0.27109471882681524,0.0,0.0,0.2620649273853767,0.2800770457998182,Lgals9
ENSMUSG00000034255,0.27093647981495556,0.0,0.0,0.2619058663770392,0.2799196520986013,Arhgap27
ENSMUSG00000010529,0.2706587035996563,0.0,0.0,0.26162664839769756,0.2796433585921377,Gm266
ENSMUSG00000029465,0.2705664927595555,0.0,0.0,0.26153395928254813,0.2795516396243913,Arpc3
ENSMUSG00000006456,0.2702737920938113,0.0,0.0,0.26123974155383617,0.27926049920019835,Rbm14
ENSMUSG00000062098,0.2701290833350659,0.0,0.0,0.26109428339194696,0.2791165612014264,Btbd3
ENSMUSG00000061650,0.2700128511402737,0.0,0.0,0.2609774495626949,0.2790009477998571,Med9
ENSMUSG00000027368,0.2696590019013272,0.0,0.0,0.26062177037899886,0.27864898076806194,Dusp2
ENSMUSG00000035863,0.2685290774031743,0.0,0.0,0.2594860188573375,0.27752505043569076,Palm
ENSMUSG00000060216,0.26837920456608655,0.0,0.0,0.2593353750045982,0.27737597081318693,Arrb2
ENSMUSG00000036850,0.26684797974364943,0.0,0.0,0.2577962980644739,0.27585282530203364,Mrpl41
ENSMUSG00000036949,0.2667313909515375,0.0,0.0,0.25767911328717963,0.275736849822935,Slc39a12
ENSMUSG00000025132,0.26591758997349574,0.0,0.0,0.256861159691857,0.2749273225264842,Arhgdia
ENSMUSG00000097084,0.26544425557554024,0.0,0.0,0.25638541595780207,0.2744564679716367,Foxl1
ENSMUSG00000028416,0.2654263432450885,0.0,0.0,0.25636741253735673,0.2744386494006906,Bag1
ENSMUSG00000031639,0.2653576667513718,0.0,0.0,0.25629838685970563,0.2743703323268048,Tlr3
ENSMUSG00000017837,0.2652973950758544,0.0,0.0,0.2562378088104706,0.27431037600937347,Nkiras2
ENSMUSG00000040732,0.26491646043577977,0.0,0.0,0.25585493944503107,0.27393143290376887,Erg
ENSMUSG00000050345,0.2649151082778657,0.0,0.0,0.255853580424718,0.2739300878099799,4930486L24Rik
ENSMUSG00000069763,0.26464395895259296,0.0,0.0,0.2555810557007301,0.27366035434681696,Tmem100
ENSMUSG00000074129,0.2639052811294098,0.0,0.0,0.254838638257585,0.27292552648772916,Rpl13a
ENSMUSG00000016494,0.2631344523312038,0.0,0.0,0.2540639184690945,0.2721587040007369,Cd34
ENSMUSG00000001240,0.262811608689633,0.0,0.0,0.25373944863538395,0.2718375349034813,Ramp2
