,Extra-Embryonic ectoderm_corr,Extra-Embryonic ectoderm_pval,Extra-Embryonic ectoderm_qval,Extra-Embryonic ectoderm_ci_low,Extra-Embryonic ectoderm_ci_high,gene_annotation
ENSMUSG00000012405,0.6346724131391337,0.0,0.0,0.6288314624125872,0.6404417371743713,Rpl15
ENSMUSG00000009927,0.6021202117871067,0.0,0.0,0.5958874709610579,0.6082804187852029,Rps25
ENSMUSG00000033307,0.5565770119877769,0.0,0.0,0.5498313036842675,0.5632501226800912,Mif
ENSMUSG00000046865,0.5337174844781596,0.0,0.0,0.5267297527255671,0.5406330866918041,Fbl
ENSMUSG00000047215,0.5198132593909798,0.0,0.0,0.5126833646321938,0.5268714648445447,Rpl9
ENSMUSG00000067288,0.5191452783575907,0.0,0.0,0.5120086499323039,0.5262102415199993,Rps28
ENSMUSG00000025362,0.5137466107971547,0.0,0.0,0.506555883610065,0.5208658766430202,Rps26
ENSMUSG00000015656,0.5037457548144587,0.0,0.0,0.49645633089166513,0.5109641398747224,Hspa8
ENSMUSG00000001416,0.49789168504708875,0.0,0.0,0.49054540385077877,0.5051672012604055,Cct3
ENSMUSG00000028081,0.4922923773013291,0.0,0.0,0.4848923456489949,0.4996219240358008,Rps3a1
ENSMUSG00000003429,0.4904622035796634,0.0,0.0,0.4830447372851357,0.49780928030204985,Rps11
ENSMUSG00000098274,0.489432342025584,0.0,0.0,0.4820050940823639,0.49678925486829684,Rpl24
ENSMUSG00000031490,0.4822725942417212,0.0,0.0,0.4747779209321628,0.48969732734663485,Eif4ebp1
ENSMUSG00000073676,0.48152571821438933,0.0,0.0,0.47402406957683957,0.4889574694629023,Hspe1
ENSMUSG00000042462,0.47110006788857933,0.0,0.0,0.4635021986427673,0.478628668992467,Dctpp1
ENSMUSG00000029614,0.4707675188649241,0.0,0.0,0.4631666157095715,0.47829917491186025,Rpl6
ENSMUSG00000001056,0.4698613755097959,0.0,0.0,0.4622522164925675,0.47740134503101306,Nhp2
ENSMUSG00000036398,0.46830926713811427,0.0,0.0,0.46068600447589925,0.4758634400028827,Ppp1r11
ENSMUSG00000090862,0.4612210933227914,0.0,0.0,0.4535340255138098,0.46883954283325596,Rps13
ENSMUSG00000063229,0.4495188891287936,0.0,0.0,0.4417286484657191,0.45724134721497073,Ldha
ENSMUSG00000034203,0.448000412070712,0.0,0.0,0.4401969814273545,0.45573617373477676,Chchd4
ENSMUSG00000032199,0.44777895904489884,0.0,0.0,0.43997360858374024,0.45551665719166656,Polr2m
ENSMUSG00000030695,0.4467714563690204,0.0,0.0,0.4389573838710865,0.4545179526838153,Aldoa
ENSMUSG00000017404,0.4449073299783726,0.0,0.0,0.4370771722912858,0.45267005369868124,Rpl19
ENSMUSG00000024608,0.44473933932169507,0.0,0.0,0.43690773543691847,0.4525035221421052,Rps14
ENSMUSG00000020803,0.44308583340988855,0.0,0.0,0.4352400244822381,0.45086434902811034,Txndc17
ENSMUSG00000057322,0.43699206551491454,0.0,0.0,0.42909437067795164,0.4448229496844063,Rpl38
ENSMUSG00000035530,0.43362174745991083,0.0,0.0,0.4256956697747823,0.4414812893335515,Eif1
ENSMUSG00000021290,0.431474737397745,0.0,0.0,0.4235306954530323,0.43935242153844206,2010107E04Rik
ENSMUSG00000062328,0.4310596247688172,0.0,0.0,0.42311212000162035,0.43894080640926486,Rpl17
ENSMUSG00000025794,0.4292734020290421,0.0,0.0,0.4213110354958272,0.4371695956110504,Rpl14
ENSMUSG00000078812,0.42792979297016015,0.0,0.0,0.4199562887031398,0.43583723827276527,Eif5a
ENSMUSG00000023944,0.4278634907240777,0.0,0.0,0.4198894377702102,0.43577149036106566,Hsp90ab1
ENSMUSG00000052146,0.42480628976207724,0.0,0.0,0.4168070307990536,0.4327397581272489,Rps10
ENSMUSG00000024258,0.42441803915728415,0.0,0.0,0.41641559231028524,0.4323547290933701,Polr2d
ENSMUSG00000012848,0.4235418633273646,0.0,0.0,0.4155322331969362,0.43148581283557086,Rps5
ENSMUSG00000008668,0.42347002716984805,0.0,0.0,0.41545980876445676,0.4314145712241581,Rps18
ENSMUSG00000028010,0.41816093530462206,0.0,0.0,0.4101075212118738,0.42614914534828024,Gar1
ENSMUSG00000057863,0.41779941161804857,0.0,0.0,0.4097430762776254,0.42579057542257864,Rpl36
ENSMUSG00000030007,0.41401598719230437,0.0,0.0,0.40592923464468433,0.42203791216585906,Cct7
ENSMUSG00000057113,0.4127491916651844,0.0,0.0,0.40465231753167424,0.42078135489716734,Npm1
ENSMUSG00000046434,0.4116216381011902,0.0,0.0,0.40351578147151784,0.41966288830938464,Hnrnpa1
ENSMUSG00000006333,0.41128142561275977,0.0,0.0,0.40317286364056,0.4193254128044485,Rps9
ENSMUSG00000049641,0.4108732953186619,0.0,0.0,0.4027614909313855,0.4189205629541963,Vgll2
ENSMUSG00000059070,0.4090693841936192,0.0,0.0,0.40094328778019955,0.41713111286852156,Rpl18
ENSMUSG00000022234,0.40440526094439655,0.0,0.0,0.39624250834868524,0.4125040897751887,Cct5
ENSMUSG00000040824,0.40306924172957603,0.0,0.0,0.3948960679616619,0.41117862074981376,Snrpd2
ENSMUSG00000096199,0.40131629043874434,0.0,0.0,0.39312949661134133,0.40943946003501264,Ptrhd1
ENSMUSG00000013822,0.4010412405255196,0.0,0.0,0.392852315104216,0.40916656859794376,Elof1
ENSMUSG00000032959,0.39569508123381,0.0,0.0,0.3874650194282334,0.4038620750056489,Pebp1
ENSMUSG00000061477,0.3914074271253037,0.0,0.0,0.3831447798239491,0.3996074401809768,Rps7
ENSMUSG00000060636,0.38823937077340975,0.0,0.0,0.3799528789603019,0.39646355410351686,Rpl35a
ENSMUSG00000062691,0.387206885239677,0.0,0.0,0.37891266501499743,0.3954389041053263,Cebpzos
ENSMUSG00000036850,0.3831856670125875,0.0,0.0,0.37486154672763133,0.39144800760317133,Mrpl41
ENSMUSG00000021807,0.3823112668468673,0.0,0.0,0.373980686971984,0.39058015964933457,2700060E02Rik
ENSMUSG00000063888,0.3816648410831089,0.0,0.0,0.37332949543097405,0.3899385683494107,Rpl7l1
ENSMUSG00000031848,0.379150906946639,0.0,0.0,0.3707971053870791,0.38744335895698917,Lsm4
ENSMUSG00000031609,0.3757603535813362,0.0,0.0,0.36738185720708993,0.3840778672870125,Sap30
ENSMUSG00000007739,0.3701686441924118,0.0,0.0,0.36174991461485867,0.37852700683983553,Cct4
ENSMUSG00000009013,0.3691913787613636,0.0,0.0,0.36076568068627796,0.37755681887190107,Dynll1
ENSMUSG00000023456,0.3667542113968097,0.0,0.0,0.3583112165912722,0.37513722172248154,Tpi1
ENSMUSG00000030057,0.36642459647718334,0.0,0.0,0.3579792713333158,0.3748099743186145,Cnbp
ENSMUSG00000063480,0.3622374853887431,0.0,0.0,0.3537627436526162,0.3706527560033827,Nhp2l1
ENSMUSG00000058833,0.36157539005521655,0.0,0.0,0.3530960283001565,0.3699953566472878,2810428I15Rik
ENSMUSG00000030869,0.3614042824952326,0.0,0.0,0.35292372817328566,0.36982546131364047,Ndufab1
ENSMUSG00000037894,0.36047309945015454,0.0,0.0,0.3519860651519466,0.3689008654434958,H2afz
ENSMUSG00000057666,0.3589285083624257,0.0,0.0,0.3504307630257311,0.3673671639900278,Gapdh
ENSMUSG00000059518,0.35798685125336865,0.0,0.0,0.34948259894689987,0.36643212320795987,Znhit1
ENSMUSG00000007564,0.3572869564404537,0.0,0.0,0.3487778790564944,0.365737134986443,Ppp2r1a
ENSMUSG00000030335,0.35685239115257117,0.0,0.0,0.3483403227158166,0.3653056114632868,Mrpl51
ENSMUSG00000004285,0.3536887694126506,0.0,0.0,0.3451550380006982,0.3621640241767373,Atp6v1f
ENSMUSG00000028998,0.3524299892534784,0.0,0.0,0.3438876929838875,0.36091395780159435,Tomm7
ENSMUSG00000020460,0.3515238225760428,0.0,0.0,0.3429753799288642,0.36001404510247736,Rps27a
ENSMUSG00000039640,0.3481338747521767,0.0,0.0,0.33956258166149134,0.3566473531491636,Mrpl12
ENSMUSG00000043716,0.34703208524476675,0.0,0.0,0.33845341397312995,0.35555307457206625,Rpl7
ENSMUSG00000002477,0.34570785631750767,0.0,0.0,0.3371203488325617,0.35423784204000985,Snrpd1
ENSMUSG00000037563,0.34245364472723155,0.0,0.0,0.3338445690677383,0.35100559517593044,Rps16
ENSMUSG00000040952,0.3421410485752272,0.0,0.0,0.3335299120456692,0.3506950982033958,Rps19
ENSMUSG00000071415,0.34115964718266456,0.0,0.0,0.3325420529803994,0.34972027500277136,Rpl23
ENSMUSG00000059291,0.3398557985596443,0.0,0.0,0.33122965421517536,0.3484251372148051,Rpl11
ENSMUSG00000074129,0.33960392197407663,0.0,0.0,0.33097612976559193,0.34817493961135904,Rpl13a
ENSMUSG00000049489,0.3359290328116716,0.0,0.0,0.3272773398525443,0.3445244079827069,Fam58b
ENSMUSG00000041453,0.33573236213930635,0.0,0.0,0.3270793975469447,0.34432903353493943,Rpl21
ENSMUSG00000034024,0.33560299999116533,0.0,0.0,0.32694919938299605,0.3442005235858546,Cct2
ENSMUSG00000031701,0.3343120609971093,0.0,0.0,0.32564993556287986,0.3429180712631835,Dnaja2
ENSMUSG00000048758,0.33325289242736483,0.0,0.0,0.3245839612063569,0.34186584174027146,Rpl29
ENSMUSG00000032399,0.3313136332786287,0.0,0.0,0.3226322982347332,0.3399392315012231,Rpl4
ENSMUSG00000031068,0.3281676974180028,0.0,0.0,0.3194663974459683,0.33681366115830663,Glrx3
ENSMUSG00000076437,0.32801594445884563,0.0,0.0,0.31931368633395013,0.33666288576894127,Selenoh
ENSMUSG00000071644,0.3243597461169339,0.0,0.0,0.3156345397431734,0.33303010606946626,Eef1g
ENSMUSG00000021967,0.32362113804442544,0.0,0.0,0.3148913276238003,0.33229619766917706,Mrpl57
ENSMUSG00000067367,0.3236057308240918,0.0,0.0,0.3148758244779338,0.33228088837123543,Lyar
ENSMUSG00000063457,0.32342017815217866,0.0,0.0,0.3146891169187945,0.33209651464201734,Rps15
