,Extra-Embryonic endoderm_1_corr,Extra-Embryonic endoderm_1_pval,Extra-Embryonic endoderm_1_qval,Extra-Embryonic endoderm_1_ci_low,Extra-Embryonic endoderm_1_ci_high,gene_annotation
ENSMUSG00000024640,0.6221454030526534,0.0,0.0,0.6161511976133328,0.6280675445843878,Psat1
ENSMUSG00000030674,0.6119928251422,0.0,0.0,0.6058766927710973,0.6180366205791676,Qprt
ENSMUSG00000036880,0.6015356749923596,0.0,0.0,0.5952960904955027,0.6077027161008978,Acaa2
ENSMUSG00000034424,0.5999343389858062,0.0,0.0,0.5936760409071811,0.6061200686785551,Gcsh
ENSMUSG00000053398,0.5983562494643051,0.0,0.0,0.5920795590974632,0.6045603485171339,Phgdh
ENSMUSG00000020733,0.5962467269991754,0.0,0.0,0.5899455275523475,0.602475307120703,Slc9a3r1
ENSMUSG00000029198,0.5935220490252568,0.0,0.0,0.587189323705088,0.5997821232913259,Grpel1
ENSMUSG00000049960,0.5754464970910356,0.0,0.0,0.5689083463875222,0.5819119116689664,Mrps16
ENSMUSG00000058135,0.5719086656035102,0.0,0.0,0.5653310639966267,0.5784135395894715,Gstm1
ENSMUSG00000052738,0.5636084455292728,0.0,0.0,0.5569392579698516,0.5702049571902719,Suclg1
ENSMUSG00000075227,0.5493885608636476,0.0,0.0,0.5425656328577669,0.5561390035440914,Znhit2
ENSMUSG00000027636,0.5414109344551887,0.0,0.0,0.5345035042597029,0.5482460416029428,Sla2
ENSMUSG00000028307,0.5395607230123515,0.0,0.0,0.5326338742069857,0.5464152920084407,Aldob
ENSMUSG00000031827,0.5382752218827594,0.0,0.0,0.5313349210997551,0.5451432741313983,Cotl1
ENSMUSG00000021953,0.5382138194860535,0.0,0.0,0.5312728769813718,0.5450825149754828,Tdh
ENSMUSG00000020098,0.5375541902513,0.0,0.0,0.530606358601302,0.544429791350529,Pcbd1
ENSMUSG00000018585,0.5365204112921682,0.0,0.0,0.5295618001742801,0.5434068181959931,Atox1
ENSMUSG00000024990,0.5358424414517189,0.0,0.0,0.5288767724332096,0.5427359238812843,Rbp4
ENSMUSG00000021486,0.5347439045165503,0.0,0.0,0.5277668186159462,0.5416488329794535,Prelid1
ENSMUSG00000000088,0.5305285728125196,0.0,0.0,0.5235078989208457,0.5374772079036548,Cox5a
ENSMUSG00000072949,0.5304036594871213,0.0,0.0,0.5233816993003895,0.5373535845523794,Acot1
ENSMUSG00000010607,0.530203270107113,0.0,0.0,0.5231792470540817,0.5371552639603275,Pigyl
ENSMUSG00000048572,0.5287122808573442,0.0,0.0,0.5216729340226405,0.5356796433094759,Tmem252
ENSMUSG00000003657,0.5277776591048706,0.0,0.0,0.5207287289852016,0.5347546336152514,Calb2
ENSMUSG00000006378,0.5257430275944638,0.0,0.0,0.5186732947049245,0.5327408693192461,Gcat
