,Mixed mesoderm_corr,Mixed mesoderm_pval,Mixed mesoderm_qval,Mixed mesoderm_ci_low,Mixed mesoderm_ci_high,gene_annotation
ENSMUSG00000004885,0.5311528063294028,0.0,0.0,0.5241385650991185,0.538094990514328,Crabp2
ENSMUSG00000033307,0.5148534160671195,0.0,0.0,0.5076737330405144,0.5219615945562629,Mif
ENSMUSG00000076437,0.5076797133697026,0.0,0.0,0.5004288775637372,0.5148593372473156,Selenoh
ENSMUSG00000052146,0.4824000381235613,0.0,0.0,0.4749065561539222,0.4898235726131258,Rps10
ENSMUSG00000039640,0.4776062035849643,0.0,0.0,0.47006812955656097,0.48507460989722795,Mrpl12
ENSMUSG00000035960,0.4492424661825449,0.0,0.0,0.4414498210397527,0.4569673493403263,Apex1
ENSMUSG00000020358,0.4455806328135613,0.0,0.0,0.43775627703243386,0.45333750305825027,Hnrnpab
ENSMUSG00000031917,0.43756293687125813,0.0,0.0,0.4296700717274486,0.445388945348105,Nip7
ENSMUSG00000057113,0.43304049557063035,0.0,0.0,0.4251095455314185,0.4409049577663928,Npm1
ENSMUSG00000012405,0.4308409975933313,0.0,0.0,0.42289167042675474,0.43872401993048105,Rpl15
ENSMUSG00000001056,0.42932502920519505,0.0,0.0,0.4213630913400375,0.4372207897568002,Nhp2
ENSMUSG00000021645,0.4264264246397964,0.0,0.0,0.4184405004511778,0.43434641844234345,Smn1
ENSMUSG00000001525,0.42222049025370084,0.0,0.0,0.41420005548716926,0.4301753601470172,Tubb5
ENSMUSG00000049489,0.41489518696544775,0.0,0.0,0.4068154777087956,0.42290998811595765,Fam58b
ENSMUSG00000020308,0.4145084267722733,0.0,0.0,0.40642561729653515,0.42252636352319967,Tpgs1
ENSMUSG00000042462,0.4123088721542511,0.0,0.0,0.40420848730079595,0.42034458683583614,Dctpp1
ENSMUSG00000039001,0.4104821221450286,0.0,0.0,0.4023672131351615,0.41853253092471915,Rps21
ENSMUSG00000029649,0.4085280145853067,0.0,0.0,0.40039764149800444,0.4165940709511826,Pomp
ENSMUSG00000014551,0.4064398651367305,0.0,0.0,0.39829305023990597,0.4145225613632529,Mrps25
ENSMUSG00000005732,0.40152741637316314,0.0,0.0,0.39334225974821446,0.40964892815574105,Ranbp1
ENSMUSG00000022972,0.40132923796274317,0.0,0.0,0.3931425445133002,0.4094523059164614,1110004E09Rik
ENSMUSG00000054766,0.4009729758157981,0.0,0.0,0.3927835215841212,0.4090988393758385,Set
ENSMUSG00000055762,0.39991420494976887,0.0,0.0,0.39171656071822475,0.40804836234328523,Eef1d
ENSMUSG00000090862,0.3962846983695159,0.0,0.0,0.38805914583572676,0.40444712386022164,Rps13
ENSMUSG00000043162,0.3936639104150264,0.0,0.0,0.3854183669687873,0.4018465903013353,Pyurf
ENSMUSG00000023944,0.3915941481220515,0.0,0.0,0.3833329123424526,0.3997927305945899,Hsp90ab1
ENSMUSG00000032959,0.39070647337962394,0.0,0.0,0.3824385333191351,0.39891185088916753,Pebp1
ENSMUSG00000027133,0.39021592584308146,0.0,0.0,0.38194428750407344,0.39842505193465644,Nop10
ENSMUSG00000057967,0.38959325866523126,0.0,0.0,0.38131693280117845,0.3978071362869727,Fgf18
ENSMUSG00000063480,0.3881313404047404,0.0,0.0,0.3798440389756599,0.39635634453738877,Nhp2l1
ENSMUSG00000026238,0.3872617431206048,0.0,0.0,0.3789679329936418,0.3954933461850582,Ptma
ENSMUSG00000021807,0.3869818390161205,0.0,0.0,0.37868593704631104,0.3952155630383923,2700060E02Rik
ENSMUSG00000026234,0.381930781637088,0.0,0.0,0.3735973956385352,0.3902025209701316,Ncl
ENSMUSG00000028010,0.37937894489309437,0.0,0.0,0.3710268123383773,0.3876697034002311,Gar1
ENSMUSG00000045948,0.37911461569516397,0.0,0.0,0.3707605486149882,0.3874073371270019,Mrps12
ENSMUSG00000063229,0.37710832820756685,0.0,0.0,0.3687396226372565,0.3854159046604382,Ldha
ENSMUSG00000036398,0.3763000380163777,0.0,0.0,0.3679254572693301,0.3846135773684977,Ppp1r11
ENSMUSG00000030942,0.37554736749711354,0.0,0.0,0.36716732739864905,0.38386644813748155,Thumpd1
ENSMUSG00000032199,0.3753016994884551,0.0,0.0,0.3669198798942547,0.38362258642058095,Polr2m
ENSMUSG00000096199,0.3745465278684139,0.0,0.0,0.36615924561703983,0.3828729599881204,Ptrhd1
ENSMUSG00000023110,0.3719908748054536,0.0,0.0,0.3635851889632435,0.3803359916092068,Prmt5
ENSMUSG00000040824,0.37185834898839426,0.0,0.0,0.3634517123110023,0.380204431278973,Snrpd2
ENSMUSG00000046865,0.3702709994792685,0.0,0.0,0.3618530008429451,0.37862861979596746,Fbl
ENSMUSG00000026377,0.36783578599886907,0.0,0.0,0.3594004527920683,0.3762110130520184,Nifk
ENSMUSG00000059070,0.36749746781920495,0.0,0.0,0.3590597355822769,0.37587513190986027,Rpl18
ENSMUSG00000028937,0.3661217051402418,0.0,0.0,0.35767424047269825,0.37450925670840823,Acot7
ENSMUSG00000003429,0.3655100590940578,0.0,0.0,0.35705827945749563,0.37390199481552916,Rps11
ENSMUSG00000025794,0.3625652279585228,0.0,0.0,0.3540927763559458,0.37097817090613483,Rpl14
ENSMUSG00000034203,0.3623949536367469,0.0,0.0,0.35392131196216353,0.3708091061508793,Chchd4
ENSMUSG00000034192,0.3615623586878042,0.0,0.0,0.35308290608790077,0.36998241762153905,Lsm3
ENSMUSG00000033126,0.3606789905172704,0.0,0.0,0.35219338752022,0.36910530147653253,Ybey
ENSMUSG00000055302,0.360117255508818,0.0,0.0,0.3516277494394502,0.3685475343320464,Mrfap1
ENSMUSG00000022956,0.35800231788517095,0.0,0.0,0.3494981723143884,0.36644748130498406,Atp5o
ENSMUSG00000030057,0.35499843703174805,0.0,0.0,0.34647364975443057,0.36346459338878573,Cnbp
