,Amnion_2_corr,Amnion_2_pval,Amnion_2_qval,Amnion_2_ci_low,Amnion_2_ci_high,gene_annotation
ENSMUSG00000024608,0.6263906213332043,0.0,0.0,0.6204480035984052,0.632261310814415,Rps14
ENSMUSG00000046434,0.5912393136401023,0.0,0.0,0.5848802889861034,0.5975256645047475,Hnrnpa1
ENSMUSG00000027805,0.550041145241286,0.0,0.0,0.5432251852903095,0.5567846083385178,Pfn2
ENSMUSG00000061650,0.5447973136096922,0.0,0.0,0.5379255997447598,0.5515966307370241,Med9
ENSMUSG00000049489,0.5317598023286025,0.0,0.0,0.5247518235064087,0.5386957065894644,Fam58b
ENSMUSG00000020460,0.5261539865326407,0.0,0.0,0.5190884488420893,0.5331476198426148,Rps27a
ENSMUSG00000046058,0.5233034622477123,0.0,0.0,0.5162088941375313,0.5303262197158585,Eid2
ENSMUSG00000018293,0.5222341841739431,0.0,0.0,0.5151287676471286,0.5292678264664183,Pfn1
ENSMUSG00000021996,0.520198190626195,0.0,0.0,0.5130721802145475,0.5272524979973782,Esd
ENSMUSG00000041959,0.5156631667895925,0.0,0.0,0.5084915791030485,0.5227632187887212,S100a10
ENSMUSG00000027404,0.512852686576936,0.0,0.0,0.5056530570907997,0.5199808901307612,Snrpb
ENSMUSG00000058672,0.5118137060433607,0.0,0.0,0.5046037495036914,0.518952278389229,Tubb2a
ENSMUSG00000003429,0.5110724584545703,0.0,0.0,0.5038551472275681,0.5182184156485402,Rps11
ENSMUSG00000020018,0.5109423508175751,0.0,0.0,0.5037237497760382,0.5180896031529149,Snrpf
ENSMUSG00000020180,0.5107694733996112,0.0,0.0,0.5035491590645483,0.5179184461215534,Snrpd3
ENSMUSG00000040681,0.506672403664212,0.0,0.0,0.49941165809814186,0.5138619807705836,Hmgn1
ENSMUSG00000009013,0.5028603756676013,0.0,0.0,0.49556230916816835,0.5100874434758005,Dynll1
ENSMUSG00000055762,0.4992383278639269,0.0,0.0,0.491905065983594,0.5065007600377693,Eef1d
ENSMUSG00000024258,0.4987193575842525,0.0,0.0,0.49138107407340986,0.5059868362103811,Polr2d
ENSMUSG00000031917,0.4952157355112123,0.0,0.0,0.48784368944310563,0.5025171482456778,Nip7
ENSMUSG00000021381,0.49407482249693924,0.0,0.0,0.4866918343077674,0.5013872347060527,Barx1
