,Blood_3_corr,Blood_3_pval,Blood_3_qval,Blood_3_ci_low,Blood_3_ci_high,gene_annotation
ENSMUSG00000055609,0.8480461309855695,0.0,0.0,0.8452937901884778,0.8507534659193137,Hba-x
ENSMUSG00000052217,0.8226157754409621,0.0,0.0,0.8194478166558405,0.8257334733032055,Hbb-bh1
ENSMUSG00000052187,0.8170662116350876,0.0,0.0,0.813809266299893,0.820271830090341,Hbb-y
ENSMUSG00000069919,0.8163552471810557,0.0,0.0,0.8130869459320972,0.8195720870544705,Hba-a1
ENSMUSG00000069917,0.7905831672674541,0.0,0.0,0.7869100127828048,0.7942002976592185,Hba-a2
ENSMUSG00000073940,0.7838235932097493,0.0,0.0,0.7800464404298697,0.7875436245324113,Hbb-bt
ENSMUSG00000027869,0.7587537440697204,0.0,0.0,0.7545988176309157,0.7628478310099623,Hsd3b6
ENSMUSG00000052305,0.7580833487037781,0.0,0.0,0.7539184917090463,0.7621872742783635,Hbb-bs
ENSMUSG00000005161,0.7491375046883837,0.0,0.0,0.7448409878577591,0.7533719003246879,Prdx2
ENSMUSG00000073400,0.7394135682131016,0.0,0.0,0.734975743632078,0.7437880554219174,Trim10
ENSMUSG00000027562,0.7376966349692455,0.0,0.0,0.7332340551146951,0.742095670978322,Car2
ENSMUSG00000021361,0.7346296798543165,0.0,0.0,0.730123025407947,0.7390724277650408,Tmem14c
ENSMUSG00000063856,0.7277629304246802,0.0,0.0,0.7231582726794039,0.7323028979519076,Gpx1
ENSMUSG00000040466,0.7234235895457615,0.0,0.0,0.7187574828772973,0.7280245308468215,Blvrb
ENSMUSG00000032126,0.714239011730734,0.0,0.0,0.7094440763178252,0.7189678269141458,Hmbs
ENSMUSG00000023216,0.7071797327520916,0.0,0.0,0.7022869174831085,0.7120057403636165,Epb42
ENSMUSG00000027078,0.6991245879572484,0.0,0.0,0.6941212927987094,0.7040603398440709,Ube2l6
ENSMUSG00000024997,0.6845984002889236,0.0,0.0,0.6793991258794881,0.6897289344771579,Prdx3
ENSMUSG00000071713,0.6840151953845193,0.0,0.0,0.6788081400899466,0.6891534658455092,Csf2rb
ENSMUSG00000058794,0.6779948487498927,0.0,0.0,0.6727078666066635,0.683212600908165,Nfe2
ENSMUSG00000073063,0.6707306116766844,0.0,0.0,0.6653481453749779,0.6760433479386169,Hbq1b
ENSMUSG00000036390,0.6638922060409601,0.0,0.0,0.6584208088058162,0.6692934391751401,Gadd45a
ENSMUSG00000024661,0.6631039347630355,0.0,0.0,0.6576223459335706,0.6685153117264465,Fth1
ENSMUSG00000033685,0.6479638351456778,0.0,0.0,0.6422888887904891,0.6535677422306231,Ucp2
ENSMUSG00000059895,0.646367460973369,0.0,0.0,0.640672391659673,0.6519914136584382,Ptp4a3
ENSMUSG00000024942,0.6445439996368763,0.0,0.0,0.6388260066034741,0.6501907899637756,Capn1
ENSMUSG00000030217,0.6439159177303339,0.0,0.0,0.6381900439899817,0.6495705596781016,Art4
ENSMUSG00000028684,0.6433262364267397,0.0,0.0,0.6375929709139628,0.6489882431013089,Urod
ENSMUSG00000032596,0.6428106045144399,0.0,0.0,0.6370708810977773,0.6484790456514096,Uba7
ENSMUSG00000054191,0.6402342696586372,0.0,0.0,0.6344623584682668,0.6459347843447757,Klf1
ENSMUSG00000070803,0.6260522464165941,0.0,0.0,0.6201055036788949,0.631927049619775,Cited4
