,Endothelial_corr,Endothelial_pval,Endothelial_qval,Endothelial_ci_low,Endothelial_ci_high,gene_annotation
ENSMUSG00000054435,0.5942012826675634,0.0,0.0,0.5878764026765069,0.6004535190457982,Gimap4
ENSMUSG00000043505,0.5749794595878202,0.0,0.0,0.5684360867018322,0.5814500970041581,Gimap5
ENSMUSG00000068220,0.5652950477699569,0.0,0.0,0.5586443602203848,0.5718730453259665,Lgals1
ENSMUSG00000028936,0.5411290132071477,0.0,0.0,0.5342186197847464,0.5479670900346392,Rpl22
ENSMUSG00000039167,0.5269038773987241,0.0,0.0,0.519846003423688,0.5338898231375354,Adgrl4
ENSMUSG00000041481,0.5219306494880933,0.0,0.0,0.5148221575466446,0.5289673776536388,Serpina3g
ENSMUSG00000107481,0.5210679826540784,0.0,0.0,0.5139507600973475,0.5281134714560821,4833403J16Rik
ENSMUSG00000022831,0.5027000634932351,0.0,0.0,0.4954004337693898,0.5099287018473196,Hcls1
ENSMUSG00000052921,0.5004937374669662,0.0,0.0,0.4931726450783973,0.5077439407349463,Arhgef15
ENSMUSG00000001175,0.49697232259292423,0.0,0.0,0.4896171735639687,0.5042567514142582,Calm1
ENSMUSG00000047867,0.4940372014305262,0.0,0.0,0.4866538528673054,0.501349975917324,Gimap6
ENSMUSG00000026238,0.49272905370721864,0.0,0.0,0.48533319169192096,0.5000544083313205,Ptma
ENSMUSG00000047261,0.4910283102292758,0.0,0.0,0.4836162297368789,0.49836997145804107,Gap43
ENSMUSG00000024349,0.4870931761026839,0.0,0.0,0.4796437884067254,0.49447235460638267,Tmem173
ENSMUSG00000004837,0.48426402531865004,0.0,0.0,0.47678800441261093,0.4916699933509316,Grap
ENSMUSG00000098659,0.4830429477739412,0.0,0.0,0.47555548057813957,0.4904604309231697,1110015O18Rik
ENSMUSG00000040699,0.4800803730320956,0.0,0.0,0.47256525705926883,0.4875256753366325,Limd2
ENSMUSG00000034037,0.4754754410524869,0.0,0.0,0.4679176921826003,0.48296365055797785,Fgd5
