,Extra-Embryonic endoderm_1_corr,Extra-Embryonic endoderm_1_pval,Extra-Embryonic endoderm_1_qval,Extra-Embryonic endoderm_1_ci_low,Extra-Embryonic endoderm_1_ci_high,gene_annotation
ENSMUSG00000106036,0.8805676817215807,0.0,0.0,0.8783656330141396,0.8827323537311921,Gm43608
ENSMUSG00000031681,0.8780062222997258,0.0,0.0,0.8757600664284004,0.8802143627791105,Smad1
ENSMUSG00000020448,0.8744484280947377,0.0,0.0,0.8721412257407227,0.8767167387629985,Rnf185
ENSMUSG00000014470,0.8713660746142974,0.0,0.0,0.8690061877286128,0.8736863207723872,Rnf166
ENSMUSG00000023021,0.871219253579473,0.0,0.0,0.8688568619109374,0.8735419690759789,Cers5
ENSMUSG00000032615,0.8683975960357283,0.0,0.0,0.8659871500941042,0.8707676887552126,Nt5m
ENSMUSG00000097569,0.8680284789452016,0.0,0.0,0.8656117584928844,0.8704047581870514,Gm26640
ENSMUSG00000095448,0.8679910392578097,0.0,0.0,0.8655736825312305,0.8703679458567243,Olfr859
ENSMUSG00000022031,0.8674186318766142,0.0,0.0,0.8649915507689944,0.8698051266952093,Elp3
ENSMUSG00000031652,0.8653311882819076,0.0,0.0,0.8628686998520757,0.8677525966013803,N4bp1
ENSMUSG00000086369,0.8653207836565836,0.0,0.0,0.8628581189605776,0.8677423657915521,E330017L17Rik
ENSMUSG00000001034,0.8649380292904629,0.0,0.0,0.8624688818007772,0.8673660041399626,Mapk7
ENSMUSG00000005882,0.8640910511008064,0.0,0.0,0.8616075685409015,0.8665331621995395,Uqcc1
ENSMUSG00000044715,0.8627261597079918,0.0,0.0,0.8602196065131641,0.8651910225237015,Gskip
ENSMUSG00000020375,0.861653777237692,0.0,0.0,0.8591291237133033,0.8641364910907552,Rufy1
ENSMUSG00000039065,0.861563299414607,0.0,0.0,0.8590371197987399,0.8640475183775739,Fam173b
ENSMUSG00000042364,0.8614419770360965,0.0,0.0,0.8589137513290738,0.8639282139684239,Snx18
ENSMUSG00000047368,0.860967345991373,0.0,0.0,0.8584311184933174,0.8634614748362589,Abhd17b
ENSMUSG00000004071,0.8609134323328408,0.0,0.0,0.8583762961900141,0.8634084573552411,Cdip1
ENSMUSG00000028700,0.860510329184618,0.0,0.0,0.8579664010974573,0.8630120530257327,Pomgnt1
ENSMUSG00000048337,0.8601551899434545,0.0,0.0,0.8576052807469576,0.8626628129803801,Npy4r
ENSMUSG00000025873,0.8600618484214528,0.0,0.0,0.8575103676226078,0.8625710215517494,Faf2
ENSMUSG00000052496,0.8600428442155706,0.0,0.0,0.8574910434619234,0.8625523329225123,Pkdrej
ENSMUSG00000032557,0.8599994111810206,0.0,0.0,0.8574468792158517,0.8625096210947766,Uba5
ENSMUSG00000040614,0.8589062267379174,0.0,0.0,0.8563353029848574,0.8614345772324775,Nlrp9c
ENSMUSG00000046897,0.8587047787520292,0.0,0.0,0.8561304684277516,0.8612364696533461,Zfp740
ENSMUSG00000068922,0.8581557718771061,0.0,0.0,0.8555722362252947,0.8606965624943658,Msto1
ENSMUSG00000110216,0.8574062347202042,0.0,0.0,0.8548101137979358,0.859959439588975,Gm45451
ENSMUSG00000089789,0.8570975719556383,0.0,0.0,0.8544962716178878,0.8596558859723362,Rdh1
ENSMUSG00000034620,0.8568616476815399,0.0,0.0,0.8542563897734794,0.859423865622462,Tmem5
ENSMUSG00000097704,0.856830340456939,0.0,0.0,0.8542245574614484,0.8593930763705036,Gm26741
ENSMUSG00000014303,0.8565632960848352,0.0,0.0,0.8539530349925083,0.8591304494462241,Glis2
ENSMUSG00000030881,0.8561974640379167,0.0,0.0,0.8535810705746912,0.8587706667977539,Arfip2
ENSMUSG00000097722,0.855825157102544,0.0,0.0,0.8532025254699928,0.858404513724131,Gm26841
ENSMUSG00000107482,0.8557640765045613,0.0,0.0,0.853140421703074,0.8583444424764477,Gm45233
ENSMUSG00000048307,0.8557251979607278,0.0,0.0,0.8531008919384939,0.8583062063595163,Ankrd46
ENSMUSG00000030232,0.8554957520005655,0.0,0.0,0.85286760334175,0.8580805511679725,Aebp2
ENSMUSG00000074156,0.8550436057569226,0.0,0.0,0.8524078878691941,0.8576358720916994,Ces1h
ENSMUSG00000111444,0.854851695297272,0.0,0.0,0.8522127659325769,0.8574471298496018,RP23-9A12.3
ENSMUSG00000111413,0.8547208458209794,0.0,0.0,0.8520797272097606,0.8573184401449251,RP23-21O10.2
ENSMUSG00000068083,0.8544042366326409,0.0,0.0,0.851757822235414,0.8570070554924525,Cyp2d40
ENSMUSG00000031513,0.8531875045818695,0.0,0.0,0.850520757022324,0.855810383692526,Leprotl1
ENSMUSG00000110223,0.8526858420984116,0.0,0.0,0.8500107197022739,0.855316983940528,Gm45489
ENSMUSG00000032305,0.8524644424041968,0.0,0.0,0.8497856255201814,0.8550992293360158,Fam219b
ENSMUSG00000105662,0.8521317541365665,0.0,0.0,0.849447387533637,0.8547720166477758,Gm6639
