,Foregut/Placodes_corr,Foregut/Placodes_pval,Foregut/Placodes_qval,Foregut/Placodes_ci_low,Foregut/Placodes_ci_high,gene_annotation
ENSMUSG00000032959,0.7490543046647187,0.0,0.0,0.744756570807461,0.7532899065825913,Pebp1
ENSMUSG00000033307,0.7418539175629382,0.0,0.0,0.7374513794559633,0.7461934160212604,Mif
ENSMUSG00000024258,0.738472834253835,0.0,0.0,0.7340214386280016,0.7428607790718597,Polr2d
ENSMUSG00000003429,0.7305167169861372,0.0,0.0,0.7259512492392135,0.7350178041028738,Rps11
ENSMUSG00000002477,0.7233208873975037,0.0,0.0,0.7186533309044943,0.7279232674649019,Snrpd1
ENSMUSG00000036398,0.7078182930118958,0.0,0.0,0.7029342909618497,0.7126355479372571,Ppp1r11
ENSMUSG00000030423,0.6959251624585064,0.0,0.0,0.6908783429875514,0.7009041607843752,Pop4
ENSMUSG00000057666,0.6846339461921581,0.0,0.0,0.6794351462399529,0.6897640086507876,Gapdh
ENSMUSG00000031609,0.677924912928599,0.0,0.0,0.6726370065319442,0.6831435843333611,Sap30
ENSMUSG00000007338,0.676203265122727,0.0,0.0,0.6708926364608321,0.6814445367188233,Mrpl49
ENSMUSG00000041881,0.674231553763975,0.0,0.0,0.6688949746976602,0.679498638751192,Ndufa7
ENSMUSG00000030357,0.6713196875612246,0.0,0.0,0.6659449253393892,0.6766247587929289,Fkbp4
ENSMUSG00000064326,0.6674975003410317,0.0,0.0,0.6620728730966704,0.6728521879167128,Siva1
ENSMUSG00000026385,0.6674552254061834,0.0,0.0,0.6620300482537659,0.6728104602013765,Dbi
ENSMUSG00000062397,0.664738028344868,0.0,0.0,0.6592775804810557,0.6701283638803336,Zfp706
ENSMUSG00000007564,0.6622561586768727,0.0,0.0,0.6567636226577447,0.6676784319805913,Ppp2r1a
ENSMUSG00000079523,0.6601695462186908,0.0,0.0,0.6546501267997497,0.6656185800653049,Tmsb10
ENSMUSG00000014226,0.6593008789884297,0.0,0.0,0.6537702933135449,0.6647610289064496,Cacybp
ENSMUSG00000046058,0.6553123647053506,0.0,0.0,0.6497307007529349,0.6608233697067756,Eid2
ENSMUSG00000039640,0.6551451611779571,0.0,0.0,0.6495613628445494,0.6606582914624494,Mrpl12
ENSMUSG00000020308,0.65510591518392,0.0,0.0,0.6495216159491086,0.6606195442373618,Tpgs1
ENSMUSG00000060126,0.6520076210618871,0.0,0.0,0.6463838742300059,0.6575605329695532,Tpt1
ENSMUSG00000061650,0.6490998172371919,0.0,0.0,0.6434392211528313,0.6546894302396035,Med9
ENSMUSG00000026377,0.648890828657737,0.0,0.0,0.6432275906103369,0.6544830732148874,Nifk
ENSMUSG00000049760,0.6437834556090107,0.0,0.0,0.6380559208297819,0.6494397524982033,2410015M20Rik
ENSMUSG00000031633,0.6421632456379253,0.0,0.0,0.6364154219921097,0.6478397578483868,Slc25a4
ENSMUSG00000056612,0.6359422426542931,0.0,0.0,0.6301170004011156,0.6416959088021716,Ppp1r14b
ENSMUSG00000023106,0.6348398499409791,0.0,0.0,0.6290009686699635,0.6406071111243755,Denr
ENSMUSG00000030725,0.631263818807416,0.0,0.0,0.6253808598332612,0.6370750210340801,Lipt2
ENSMUSG00000055762,0.6289697830388608,0.0,0.0,0.6230586813971578,0.6348090450878825,Eef1d
ENSMUSG00000032294,0.6205083367545768,0.0,0.0,0.6144943330746333,0.626450227616491,Pkm
ENSMUSG00000076437,0.617872966588469,0.0,0.0,0.6118272028876808,0.6238465426933437,Selenoh
ENSMUSG00000096199,0.6169527508125237,0.0,0.0,0.6108959295627601,0.6229373595026862,Ptrhd1
ENSMUSG00000030652,0.6157685574212308,0.0,0.0,0.6096975312618222,0.6217673397676513,Coq7
ENSMUSG00000034345,0.613074318544455,0.0,0.0,0.6069710772364625,0.6191052485776258,Gtf2h5
ENSMUSG00000052253,0.6128210247944788,0.0,0.0,0.6067147622284175,0.6188549700032582,Zfp622
ENSMUSG00000019471,0.6119933573233988,0.0,0.0,0.6058772312900372,0.618037146435052,Cdc37
ENSMUSG00000036992,0.6109380511272888,0.0,0.0,0.6048093684760047,0.6169943726008623,Nxt1
ENSMUSG00000012405,0.6109320696202294,0.0,0.0,0.6048033158604728,0.6169884620669916,Rpl15
ENSMUSG00000003235,0.6094731896584404,0.0,0.0,0.6033271138016749,0.615546871946306,Eif2b5
ENSMUSG00000061787,0.6083380585032409,0.0,0.0,0.6021785337341259,0.6144251656232491,Rps17
ENSMUSG00000052419,0.6071979297044247,0.0,0.0,0.6010249224771559,0.6132984959910159,2610001J05Rik
ENSMUSG00000003038,0.6070858187628851,0.0,0.0,0.6009114871699222,0.6131877071732227,Hmgn2
ENSMUSG00000061479,0.6068452832876622,0.0,0.0,0.6006681110901821,0.6129500075215802,Snrpa
ENSMUSG00000019362,0.6057496722830231,0.0,0.0,0.5995595759465776,0.6118672993826958,D8Ertd738e
ENSMUSG00000023110,0.604734726026934,0.0,0.0,0.5985326782880555,0.6108642855577391,Prmt5
ENSMUSG00000047945,0.6010106655130945,0.0,0.0,0.5947649400447721,0.6071838392049898,Marcksl1
ENSMUSG00000020775,0.6007918687010536,0.0,0.0,0.5945435856030865,0.606967596582324,Mrpl38
ENSMUSG00000057322,0.5996338355614315,0.0,0.0,0.5933720313836585,0.6058230668568587,Rpl38
ENSMUSG00000024953,0.5978281320769728,0.0,0.0,0.5915452976196438,0.6040383679247926,Prdx5
ENSMUSG00000022956,0.5936653440071441,0.0,0.0,0.5873342730226012,0.5999237654815885,Atp5o
ENSMUSG00000035960,0.5935001741899116,0.0,0.0,0.5871671963612548,0.5997605007299833,Apex1
ENSMUSG00000026238,0.5920266954457223,0.0,0.0,0.5856767305528592,0.5983039939959449,Ptma
ENSMUSG00000029466,0.5919227305242593,0.0,0.0,0.5855715686890864,0.5982012250097015,Anapc7
ENSMUSG00000020180,0.5894263548730418,0.0,0.0,0.5830465165983254,0.5957335037914934,Snrpd3
ENSMUSG00000071172,0.5877653854826131,0.0,0.0,0.581366535554109,0.594091533721284,Srsf3
ENSMUSG00000006057,0.5864065367232147,0.0,0.0,0.5799921738248478,0.5927481892091659,Atp5g1
ENSMUSG00000008333,0.5862745473372285,0.0,0.0,0.5798586795594468,0.5926177039208045,Snrpb2
ENSMUSG00000031917,0.5857574515529153,0.0,0.0,0.5793356914166575,0.5921064975436754,Nip7
ENSMUSG00000049641,0.5843224415655058,0.0,0.0,0.5778843570432814,0.5906878046817646,Vgll2
ENSMUSG00000073838,0.5836662543509603,0.0,0.0,0.5772207187416801,0.5900390656890485,Tufm
ENSMUSG00000030246,0.5836352941491101,0.0,0.0,0.5771894071932399,0.5900084567056435,Ldhb
ENSMUSG00000040824,0.5835159158310973,0.0,0.0,0.5770686743081085,0.5898904324665775,Snrpd2
ENSMUSG00000025491,0.5829299628224095,0.0,0.0,0.5764760766682797,0.5893111218295862,Ifitm1
ENSMUSG00000056209,0.5822318185230901,0.0,0.0,0.5757700243662768,0.5886208831371413,Npm3
ENSMUSG00000046434,0.5799309356693928,0.0,0.0,0.5734431472286032,0.5863459889471136,Hnrnpa1
ENSMUSG00000040681,0.5794518792783818,0.0,0.0,0.5729586918510167,0.5858723308108028,Hmgn1
ENSMUSG00000047459,0.5781837995675805,0.0,0.0,0.571676342727508,0.5846185193028781,Dynlrb1
ENSMUSG00000028955,0.5781358802060552,0.0,0.0,0.5716278847636865,0.584571138518616,Vamp3
ENSMUSG00000030753,0.5778260584978376,0.0,0.0,0.5713145818283349,0.5842647979120037,Prkrir
ENSMUSG00000020018,0.5765112218903162,0.0,0.0,0.5699849925337479,0.5829647141581825,Snrpf
ENSMUSG00000085111,0.5764210077757569,0.0,0.0,0.5698937674546601,0.5828755110610424,Ascl4
ENSMUSG00000032892,0.5762230830782072,0.0,0.0,0.5696936253214687,0.5826798039338089,Rangrf
ENSMUSG00000034192,0.5754126107514375,0.0,0.0,0.5688740810025453,0.5818784044175518,Lsm3
ENSMUSG00000020935,0.5746314509656423,0.0,0.0,0.5680841896228881,0.5811059774199729,Dcakd
ENSMUSG00000032199,0.5734693849803504,0.0,0.0,0.5669091566966316,0.5799568808878622,Polr2m
ENSMUSG00000071866,0.5728770578032677,0.0,0.0,0.5663102302937124,0.5793711545550992,Ppia
ENSMUSG00000031490,0.5723463643723525,0.0,0.0,0.5657736302002992,0.5788463694303222,Eif4ebp1
ENSMUSG00000030079,0.5713985273200081,0.0,0.0,0.5648152574926135,0.5779090714235269,Ruvbl1
ENSMUSG00000048758,0.5700537483484027,0.0,0.0,0.5634555611396987,0.5765792156416983,Rpl29
ENSMUSG00000024608,0.568827721120236,0.0,0.0,0.5622159649705852,0.5753667636686998,Rps14
ENSMUSG00000024208,0.5661620516343755,0.0,0.0,0.5595208959577076,0.572730510781009,Uqcc2
ENSMUSG00000017837,0.5624249732061318,0.0,0.0,0.555742837932815,0.5690344435570673,Nkiras2
ENSMUSG00000015656,0.5622092229237543,0.0,0.0,0.5555247302291485,0.5688210527932513,Hspa8
ENSMUSG00000004285,0.5620207948405779,0.0,0.0,0.5553342440164527,0.5686346846955465,Atp6v1f
ENSMUSG00000034203,0.5613550807298618,0.0,0.0,0.5546612641775145,0.5679762430512283,Chchd4
ENSMUSG00000109324,0.561222675881021,0.0,0.0,0.5545274152815131,0.5678452836233545,Prmt1
