,Cardiomyocytes_1_corr,Cardiomyocytes_1_pval,Cardiomyocytes_1_qval,Cardiomyocytes_1_ci_low,Cardiomyocytes_1_ci_high,gene_annotation
ENSMUSG00000068614,0.9065367747182187,0.0,0.0,0.9053608485728082,0.9076987973646242,Actc1
ENSMUSG00000038663,0.9063566388552845,0.0,0.0,0.9051785590146725,0.9075207924842266,Fsd2
ENSMUSG00000002100,0.9038322844780204,0.0,0.0,0.9026240691765395,0.9050262568777558,Mybpc3
ENSMUSG00000061462,0.9024302792537187,0.0,0.0,0.9012053637303491,0.9036407772736151,Obscn
ENSMUSG00000091898,0.8997467445620251,0.0,0.0,0.898489936872784,0.9009888031016591,Tnnc1
ENSMUSG00000020475,0.8991943334008229,0.0,0.0,0.897930972579582,0.9004428772180548,Pgam2
ENSMUSG00000061086,0.897480929211046,0.0,0.0,0.8961972685754173,0.898749563280869,Myl4
ENSMUSG00000108322,0.8955054827739045,0.0,0.0,0.8941984663945901,0.8967972326645532,Gm45123
ENSMUSG00000007122,0.891081767786339,0.0,0.0,0.8897226387353254,0.8924250996174691,Casq1
ENSMUSG00000061816,0.8908663790370187,0.0,0.0,0.8895047193138204,0.8922122159295378,Myl1
ENSMUSG00000019787,0.8884418647806506,0.0,0.0,0.8870517613836091,0.8898158585313297,Trdn
ENSMUSG00000039376,0.8876830000849336,0.0,0.0,0.8862840100421275,0.8890657912635982,Synpo2l
ENSMUSG00000006221,0.8863555445403836,0.0,0.0,0.8849410278862399,0.8877537068995173,Hspb7
ENSMUSG00000031972,0.8844616412450972,0.0,0.0,0.8830250132383235,0.8858816945970602,Acta1
ENSMUSG00000031448,0.8843785073104765,0.0,0.0,0.8829409098107734,0.8857995205201161,Adprhl1
ENSMUSG00000001349,0.8839279211354124,0.0,0.0,0.8824850705864231,0.8853541352261499,Cnn1
ENSMUSG00000029683,0.8835907889423428,0.0,0.0,0.8821440097924033,0.8850208926619904,Lmod2
ENSMUSG00000026418,0.8834309059969302,0.0,0.0,0.8819822642616966,0.8848628538377444,Tnni1
ENSMUSG00000021200,0.8831015427972008,0.0,0.0,0.8816490651614147,0.8845372885387214,Asb2
ENSMUSG00000030046,0.8827053527839284,0.0,0.0,0.8812482628735671,0.8841456651556706,Bmp10
ENSMUSG00000052374,0.879560713236751,0.0,0.0,0.8780670891009432,0.8810372000808545,Actn2
ENSMUSG00000018845,0.8758234863815235,0.0,0.0,0.8742866150416457,0.8773427987234226,Unc45b
ENSMUSG00000004951,0.8753716302111716,0.0,0.0,0.873829542623304,0.8768961082425147,Hspb1
ENSMUSG00000051747,0.8744296079246577,0.0,0.0,0.8728766543524769,0.8759648468334387,Ttn
ENSMUSG00000097487,0.8739322594517664,0.0,0.0,0.8723735738707754,0.875473175038978,Ptges3l
ENSMUSG00000060913,0.8737208941807284,0.0,0.0,0.8721597735859608,0.8752642213009842,Trim55
ENSMUSG00000053093,0.8728430918169999,0.0,0.0,0.8712718649630796,0.8743964278963067,Myh7
ENSMUSG00000020469,0.8723001200795999,0.0,0.0,0.8707226470658768,0.8738596423068389,Myl7
ENSMUSG00000040752,0.8709696968388311,0.0,0.0,0.8693769357278173,0.8725443606797609,Myh6
ENSMUSG00000072720,0.8708289305273786,0.0,0.0,0.8692345532311554,0.8724051951013205,Myo18b
ENSMUSG00000027022,0.869372093575442,0.0,0.0,0.8677610053777404,0.8709649096540729,Xirp2
ENSMUSG00000021798,0.869305180568371,0.0,0.0,0.8676933255137923,0.8708987562056321,Ldb3
ENSMUSG00000048070,0.8683734086226107,0.0,0.0,0.8667508812003571,0.8699775552073602,Pirt
ENSMUSG00000030470,0.8681816650290587,0.0,0.0,0.8665569428437541,0.8697879855545444,Csrp3
ENSMUSG00000024803,0.8653378272094329,0.0,0.0,0.8636806110850768,0.8669763347819097,Ankrd1
ENSMUSG00000026208,0.8648346946436003,0.0,0.0,0.8631717409194589,0.8664788858970505,Des
ENSMUSG00000059741,0.8637310766707709,0.0,0.0,0.8620555493913881,0.8653877236048038,Myl3
ENSMUSG00000044086,0.863328921192422,0.0,0.0,0.8616488161832553,0.8649901030381183,Lmod3
ENSMUSG00000038086,0.8624474803604948,0.0,0.0,0.8607573494728171,0.8641185944884987,Hspb2
ENSMUSG00000024049,0.8611746468621144,0.0,0.0,0.8594700565269119,0.8628600858917846,Myom1
ENSMUSG00000031880,0.8599850850093874,0.0,0.0,0.8582670007403168,0.8616838928807443,Rrad
ENSMUSG00000062694,0.85988917122848,0.0,0.0,0.8581699997728578,0.8615890562276589,Cav3
ENSMUSG00000044938,0.8587733234096863,0.0,0.0,0.8570415127957166,0.8604857308454368,Klhl31
ENSMUSG00000020836,0.8577323485120526,0.0,0.0,0.8559887618015763,0.8594564236524042,Coro6
ENSMUSG00000026414,0.857570395808486,0.0,0.0,0.855824978297246,0.8592962849293779,Tnnt2
ENSMUSG00000032845,0.8566579829416682,0.0,0.0,0.8549022575629536,0.8583940853848794,Alpk2
ENSMUSG00000027861,0.8562858386059587,0.0,0.0,0.8545259121635752,0.8580261036566286,Casq2
ENSMUSG00000035458,0.8531871019771577,0.0,0.0,0.8513922662640799,0.8549619584605171,Tnni3
ENSMUSG00000015365,0.8527886977465279,0.0,0.0,0.850989383047172,0.8545679926590408,Mov10l1
ENSMUSG00000033342,0.8524082868268419,0.0,0.0,0.8506046974041271,0.8541918178025295,Plppr5
ENSMUSG00000053702,0.8517638797457787,0.0,0.0,0.8499530534485382,0.8535545822519,Nebl
ENSMUSG00000040694,0.8490340183986945,0.0,0.0,0.8471925964301193,0.8508550417873427,Apobec2
ENSMUSG00000032532,0.8489222208059966,0.0,0.0,0.8470795479543833,0.8507444838938182,Cck
ENSMUSG00000054640,0.8485201118222865,0.0,0.0,0.8466729412244457,0.8503468324759642,Slc8a1
ENSMUSG00000060843,0.8477298619874838,0.0,0.0,0.8458738584215385,0.8495653368506961,Ctnna3
ENSMUSG00000028977,0.84768432630445,0.0,0.0,0.8458278140201185,0.8495203053561646,Casz1
ENSMUSG00000085271,0.8475031743352739,0.0,0.0,0.8456446385199835,0.8493411589059614,E130006D01Rik
ENSMUSG00000032494,0.8470777190412656,0.0,0.0,0.8452144324628009,0.8489204121284737,Tdgf1
ENSMUSG00000040666,0.8463934636914953,0.0,0.0,0.8445225415746612,0.8482437245382867,Sh3bgr
ENSMUSG00000020908,0.8449894995809124,0.0,0.0,0.8431029303217177,0.8468552691412302,Myh3
ENSMUSG00000030785,0.844331818269213,0.0,0.0,0.8424379282133997,0.8462048440756543,Cox6a2
ENSMUSG00000032034,0.8432470728537392,0.0,0.0,0.8413411208627384,0.8451320545411414,Kcnj5
ENSMUSG00000067818,0.840706895351342,0.0,0.0,0.8387727590169203,0.84261981503592,Myl9
ENSMUSG00000030399,0.8402808471511173,0.0,0.0,0.8383419920604485,0.8421984445483875,Ckm
ENSMUSG00000038239,0.840138453896428,0.0,0.0,0.8381980222492496,0.8420576141502509,Hrc
ENSMUSG00000068697,0.8395297856714401,0.0,0.0,0.8375826179909109,0.8414556234965066,Myoz1
ENSMUSG00000024063,0.8395034266192634,0.0,0.0,0.8375559673389792,0.8414295535159481,Lbh
ENSMUSG00000038216,0.8376129520145135,0.0,0.0,0.8356446033297773,0.8395597877822948,Pnmt
ENSMUSG00000021313,0.8364140495026685,0.0,0.0,0.8344324778620944,0.8383739945368293,Ryr2
ENSMUSG00000090066,0.8352929738741319,0.0,0.0,0.8332990549922226,0.8372651604020748,1110002E22Rik
ENSMUSG00000015579,0.8347790248536985,0.0,0.0,0.8327794510721204,0.8367568179833977,Nkx2-5
ENSMUSG00000033182,0.8341476585723526,0.0,0.0,0.8321411427897843,0.8361323345268069,Kbtbd12
ENSMUSG00000026163,0.8334963698459091,0.0,0.0,0.831482698581802,0.835488140418322,Sphkap
ENSMUSG00000020067,0.8315670611757212,0.0,0.0,0.8295322264724215,0.8335798159625027,Mypn
ENSMUSG00000035783,0.8299120791929766,0.0,0.0,0.8278591298168184,0.8319427961854798,Acta2
ENSMUSG00000055027,0.8287616650944944,0.0,0.0,0.8266961453341083,0.8308048471797445,Smyd1
ENSMUSG00000007877,0.8273442788558154,0.0,0.0,0.8252632958189968,0.8294027952702115,Tcap
ENSMUSG00000028116,0.8255719532116358,0.0,0.0,0.8234716723052589,0.8276496074650885,Myoz2
ENSMUSG00000006216,0.8252182730531767,0.0,0.0,0.8231141461334768,0.8272997415451144,Clcnkb
ENSMUSG00000018830,0.8238194292679982,0.0,0.0,0.8217001072892289,0.8259159676681951,Myh11
ENSMUSG00000013936,0.823651352025704,0.0,0.0,0.8215302060495778,0.8257496994418881,Myl2
ENSMUSG00000034842,0.8230496085227762,0.0,0.0,0.8209219354318413,0.8251544295165644,Art3
ENSMUSG00000085515,0.8222200870262294,0.0,0.0,0.8200834240270739,0.8243338243778923,C630028M04Rik
ENSMUSG00000039103,0.821943660820291,0.0,0.0,0.8198040041006587,0.8240603674477477,Nexn
ENSMUSG00000027568,0.8197433597813601,0.0,0.0,0.8175799099366794,0.8218836661144473,Ntsr1
ENSMUSG00000046794,0.8195427504319952,0.0,0.0,0.8173771344936573,0.8216852053260293,Ppp1r3b
ENSMUSG00000010066,0.8185981533666049,0.0,0.0,0.8164223452862397,0.8207507180763084,Cacna2d2
ENSMUSG00000041616,0.8170284379044913,0.0,0.0,0.8148357190055935,0.8191977774582061,Nppa
ENSMUSG00000048304,0.8169988858008252,0.0,0.0,0.8148058488470242,0.8191685408595084,Slitrk3
ENSMUSG00000021702,0.8151593305699292,0.0,0.0,0.812946518299572,0.8173486029420017,Thbs4
ENSMUSG00000060600,0.8144657149983631,0.0,0.0,0.812245458036436,0.8166623728559508,Eno3
ENSMUSG00000042717,0.811957309398545,0.0,0.0,0.8097101828415092,0.8141806244251751,Ppp1r3a
ENSMUSG00000038403,0.8094963110979073,0.0,0.0,0.8072229042833619,0.81174570053482,Hfe2
ENSMUSG00000002930,0.809308110621129,0.0,0.0,0.8070326973937947,0.8115594908333419,Ppp1r17
ENSMUSG00000019528,0.8089137076524299,0.0,0.0,0.8066340912108734,0.8111692583561232,Gyg
ENSMUSG00000027962,0.8087398325823454,0.0,0.0,0.80645836378552,0.8109972212359182,Vcam1
ENSMUSG00000036242,0.8080268757648574,0.0,0.0,0.8057378157902598,0.8102917966603942,3632451O06Rik
ENSMUSG00000039891,0.8069017664120105,0.0,0.0,0.8046007406664782,0.8091785605039358,Txlnb
ENSMUSG00000020722,0.8025509297392299,0.0,0.0,0.800203790734567,0.8048734840587224,Cacng1
ENSMUSG00000070495,0.8024110289010957,0.0,0.0,0.8000624113150169,0.8047350505807214,Ctcfl
ENSMUSG00000017300,0.8022850414542346,0.0,0.0,0.7999350925575828,0.8046103843460682,Tnnc2
ENSMUSG00000059742,0.8007436354524696,0.0,0.0,0.7983774156318277,0.8030851262509552,Kcnh7
ENSMUSG00000062444,0.800400537734906,0.0,0.0,0.7980307005187618,0.8027456186805249,Ap3b2
ENSMUSG00000050762,0.8001886093374967,0.0,0.0,0.7978165384723173,0.802535907125388,Prss27
ENSMUSG00000005583,0.7996589095528923,0.0,0.0,0.7972812584605485,0.8020117456418114,Mef2c
ENSMUSG00000057606,0.7992184476875384,0.0,0.0,0.7968361593102173,0.8015758862867839,Colq
ENSMUSG00000021604,0.7966347995146434,0.0,0.0,0.7942253619548899,0.7990191849271762,Irx4
ENSMUSG00000038132,0.7961583982337417,0.0,0.0,0.793743964325548,0.7985477429798198,Rbm24
ENSMUSG00000032648,0.7956557893587444,0.0,0.0,0.7932360875238904,0.7980503630814954,Pygm
ENSMUSG00000055775,0.7943286605024772,0.0,0.0,0.7918950649917158,0.7967370255531793,Myh8
ENSMUSG00000031698,0.7942975066008278,0.0,0.0,0.791863585222684,0.7967061951250124,Mylk3
ENSMUSG00000051860,0.7934028693326399,0.0,0.0,0.7909595956372792,0.79582084159895,Samd7
ENSMUSG00000030730,0.792647350182115,0.0,0.0,0.7901961867832102,0.7950731544958876,Atp2a1
ENSMUSG00000064179,0.79183356104308,0.0,0.0,0.7893739079506199,0.7942677932089351,Tnnt1
