,Endothelium_corr,Endothelium_pval,Endothelium_qval,Endothelium_ci_low,Endothelium_ci_high,gene_annotation
ENSMUSG00000030787,0.6892373036968011,0.0,0.0,0.6857779791940809,0.6926654870548977,Lyve1
ENSMUSG00000090019,0.6627899480902497,0.0,0.0,0.659095632626854,0.6664522775929128,Gimap1
ENSMUSG00000034845,0.6494242409861227,0.0,0.0,0.645614704932668,0.6532014558000606,Plvap
ENSMUSG00000054435,0.6252029293493577,0.0,0.0,0.6211906392978536,0.6291824423807415,Gimap4
ENSMUSG00000024440,0.6211866267889661,0.0,0.0,0.6171414699720349,0.6251989495148499,Pcdh12
ENSMUSG00000001029,0.6195143399398592,0.0,0.0,0.6154555614050823,0.6235402621484305,Icam2
ENSMUSG00000000489,0.6092523437607101,0.0,0.0,0.6051107886840967,0.6133609255648163,Pdgfb
ENSMUSG00000031871,0.6081701622239842,0.0,0.0,0.6040199594334754,0.6122873813503104,Cdh5
ENSMUSG00000026712,0.6013190484763498,0.0,0.0,0.5971144592489492,0.6054905967595734,Mrc1
ENSMUSG00000045930,0.5859033640675803,0.0,0.0,0.5815786783748771,0.5901949329725834,Clec14a
ENSMUSG00000109827,0.5812540913452886,0.0,0.0,0.5768938044134218,0.5855812528146973,Gm6213
ENSMUSG00000035459,0.569005647817633,0.0,0.0,0.5645529431724399,0.5734252350739248,Stab2
ENSMUSG00000020154,0.5689481673302437,0.0,0.0,0.5644950336724677,0.5733681837416719,Ptprb
ENSMUSG00000038188,0.5683178735397936,0.0,0.0,0.5638600384836401,0.5727425929764091,Scarf1
ENSMUSG00000022579,0.567488883396259,0.0,0.0,0.5630248728788756,0.5719197806112529,Gpihbp1
ENSMUSG00000009654,0.5589046401590876,0.0,0.0,0.5543772183637404,0.5633989844324946,Oit3
ENSMUSG00000028978,0.5582457044490697,0.0,0.0,0.5537134555338765,0.562744879471968,Nos3
ENSMUSG00000058396,0.5568782437625986,0.0,0.0,0.5523359957132169,0.5613874258513764,Gpr182
ENSMUSG00000015468,0.5547142212207395,0.0,0.0,0.5501562001083607,0.5592391900228338,Notch4
ENSMUSG00000001946,0.5476853902694194,0.0,0.0,0.5430765661269166,0.552261215666049,Esam
ENSMUSG00000027474,0.5428950767612185,0.0,0.0,0.5382520045911474,0.5475051947081764,Ccm2l
ENSMUSG00000002885,0.5424053250155959,0.0,0.0,0.5377587685439447,0.5470189321794907,Adgre5
ENSMUSG00000022220,0.5423196079783642,0.0,0.0,0.5376724420064186,0.5469338255097559,Adcy4
ENSMUSG00000002699,0.5401126492709551,0.0,0.0,0.5354498240270714,0.5447425491097663,Lcp2
ENSMUSG00000050234,0.5389926504463757,0.0,0.0,0.5343219030587182,0.5436304846391201,Gja4
ENSMUSG00000054690,0.5373410016198782,0.0,0.0,0.5326586018915429,0.5419905067963504,Emcn
ENSMUSG00000039167,0.5345116203566888,0.0,0.0,0.5298093434678393,0.5391810363881866,Adgrl4
ENSMUSG00000085452,0.5325827058356297,0.0,0.0,0.5278669386515908,0.5372656364007853,4930554G24Rik
ENSMUSG00000029084,0.5304431055982279,0.0,0.0,0.5257124323462327,0.53514097031415,Cd38
ENSMUSG00000040283,0.5302711795947941,0.0,0.0,0.5255393112110159,0.5349702417535698,Btnl9
ENSMUSG00000050919,0.523960760286393,0.0,0.0,0.5191852965997007,0.5287035081533876,Zfp366
ENSMUSG00000032125,0.5219998064587088,0.0,0.0,0.5172109030985502,0.526756024292886,Robo4
ENSMUSG00000059588,0.519615252750116,0.0,0.0,0.5148100751902955,0.5243877830178685,Calcrl
ENSMUSG00000026814,0.5179922444998173,0.0,0.0,0.5131760332728331,0.5227758353311092,Eng
ENSMUSG00000031805,0.5160347740747178,0.0,0.0,0.5112053018592401,0.5208316592707412,Jak3
ENSMUSG00000038587,0.5158910000842118,0.0,0.0,0.5110605558661206,0.5206888597745953,Akap12
ENSMUSG00000034911,0.5153247058459065,0.0,0.0,0.5104904357872162,0.5201264012448801,Ushbp1
ENSMUSG00000046916,0.5151600862202603,0.0,0.0,0.5103247048013032,0.5199628958641028,Myct1
ENSMUSG00000044258,0.5145955011431517,0.0,0.0,0.509756310893338,0.5194021295657283,Ctla2a
ENSMUSG00000033191,0.5061423402813572,0.0,0.0,0.5012466280224769,0.5110056497326355,Tie1
ENSMUSG00000064262,0.5001137378601647,0.0,0.0,0.4951782938340569,0.5050169039155847,Gimap8
ENSMUSG00000024168,0.4986683091960442,0.0,0.0,0.4937234105792919,0.5035809611725012,Tmem204
ENSMUSG00000029553,0.4983562758564365,0.0,0.0,0.49340933985341956,0.5032709720532991,Tfec
ENSMUSG00000011263,0.4960001551155642,0.0,0.0,0.49103787673381744,0.5009302461026233,Exoc3l2
ENSMUSG00000074874,0.4934994766706013,0.0,0.0,0.48852099504440377,0.4984458280844965,Ctla2b
ENSMUSG00000009687,0.4916802272879949,0.0,0.0,0.4866900098209412,0.49663835714493243,Fxyd5
ENSMUSG00000000530,0.4895470682877621,0.0,0.0,0.4845431458167594,0.49451895417191294,Acvrl1
ENSMUSG00000043008,0.48930501956842715,0.0,0.0,0.48429954580387535,0.49427846260848024,Klhl6
ENSMUSG00000027435,0.4865605617360361,0.0,0.0,0.4815375529895934,0.4915516072617373,Cd93
ENSMUSG00000022221,0.4852695374143236,0.0,0.0,0.4802383145172262,0.49026882950038764,Ripk3
ENSMUSG00000008398,0.4837732781426785,0.0,0.0,0.4787325629064068,0.4887821006522905,Elk3
ENSMUSG00000060791,0.4836759118188242,0.0,0.0,0.4786345799136188,0.4886853534950408,Gmfg
ENSMUSG00000026288,0.4835635523783839,0.0,0.0,0.47852150900150375,0.48857370841149717,Inpp5d
ENSMUSG00000047867,0.4815163622462001,0.0,0.0,0.47646138512619707,0.48653950514246,Gimap6
ENSMUSG00000030047,0.48052031050189287,0.0,0.0,0.47545906059734155,0.48554975240516274,Arhgap25
ENSMUSG00000006386,0.4754244287142351,0.0,0.0,0.4703312923041329,0.4804858951199431,Tek
ENSMUSG00000033036,0.475187062672032,0.0,0.0,0.4700924493719288,0.48025001255155997,Gm7879
ENSMUSG00000024818,0.4744817956091268,0.0,0.0,0.4693827985438315,0.47954914889737105,Slc25a45
ENSMUSG00000073599,0.47444347154472677,0.0,0.0,0.469344236455242,0.47951106392807835,Ecscr
ENSMUSG00000040181,0.47419661711858513,0.0,0.0,0.4690958493247336,0.4792657491129629,Fmo1
ENSMUSG00000046207,0.47411379490098954,0.0,0.0,0.46901251304973507,0.4791834432733696,Pik3r6
ENSMUSG00000041445,0.47359914144037163,0.0,0.0,0.46849466729599626,0.4786719965636006,Mmrn2
ENSMUSG00000044562,0.4723674679742953,0.0,0.0,0.46725536824580455,0.47744798354489454,Rasip1
ENSMUSG00000001123,0.4709382506274312,0.0,0.0,0.4658173274534163,0.4760276305621733,Lgals9
ENSMUSG00000037306,0.4705926084629871,0.0,0.0,0.46546955548713814,0.4756841281699809,Man1c1
ENSMUSG00000046768,0.46505494972345857,0.0,0.0,0.4598979901161687,0.4701805397456588,Rhoj
ENSMUSG00000054404,0.4639194622110059,0.0,0.0,0.458755600270486,0.469051989042237,Slfn5
ENSMUSG00000039005,0.46113022239792867,0.0,0.0,0.4559494778621883,0.4662797178213057,Tlr4
ENSMUSG00000033538,0.46110657333810445,0.0,0.0,0.45592568610067297,0.46625621220024877,Casp4
ENSMUSG00000110647,0.4609991883953784,0.0,0.0,0.45581765327552554,0.4661494784885128,RP23-381H23.1
ENSMUSG00000054641,0.4583688801680813,0.0,0.0,0.453171523353568,0.46353507483194945,Mmrn1
ENSMUSG00000030123,0.457918410484153,0.0,0.0,0.45271835321388587,0.4630873199617349,Plxnd1
ENSMUSG00000043251,0.45686709219220417,0.0,0.0,0.4516607429762113,0.46204232731109846,Exoc3l
ENSMUSG00000020787,0.4564065679000051,0.0,0.0,0.45119746713968106,0.46158456940556536,P2rx1
ENSMUSG00000026480,0.45512797492483936,0.0,0.0,0.4499112495347443,0.46031364253009666,Ncf2
ENSMUSG00000016087,0.4545708052871547,0.0,0.0,0.4493507640989499,0.4597598068820394,Fli1
ENSMUSG00000016494,0.4533991591183582,0.0,0.0,0.4481721586988427,0.4585951584362833,Cd34
ENSMUSG00000022667,0.4527955939121315,0.0,0.0,0.4475650155855712,0.4579951910913267,Cd200r1
ENSMUSG00000020717,0.4527751237734209,0.0,0.0,0.44754442418535684,0.45797484289236895,Pecam1
ENSMUSG00000027314,0.45066479207729593,0.0,0.0,0.44542162101624466,0.4558770531169637,Dll4
ENSMUSG00000020377,0.4500072331478007,0.0,0.0,0.44476018814213497,0.4552233902949245,Ltc4s
ENSMUSG00000020641,0.4490282048833419,0.0,0.0,0.4437754026316893,0.45425015246045314,Rsad2
ENSMUSG00000028339,0.44449021807477046,0.0,0.0,0.4392108955518951,0.4497388426323877,Col15a1
ENSMUSG00000024887,0.4439700918187309,0.0,0.0,0.4386877470563288,0.4492217568801223,Asah2
ENSMUSG00000108025,0.4439375234955036,0.0,0.0,0.43865498961109944,0.44918937882459864,Gm43998
ENSMUSG00000028041,0.44393440873952245,0.0,0.0,0.438651856768681,0.4491862822646396,Adam15
ENSMUSG00000031480,0.44240431827199733,0.0,0.0,0.43711289705665307,0.44766511514261,Thsd1
ENSMUSG00000000317,0.44174328770579663,0.0,0.0,0.43644804437866436,0.4470079302264948,Bcl6b
ENSMUSG00000021904,0.4395115569151744,0.0,0.0,0.43420345232751034,0.44478914090042265,Sema3g
ENSMUSG00000074457,0.4388185535649774,0.0,0.0,0.4335064686737234,0.44410014298927086,S100a16
ENSMUSG00000015533,0.4368713890890023,0.0,0.0,0.43154815456451073,0.44216419935272955,Itga2
ENSMUSG00000066189,0.43311841300925924,0.0,0.0,0.42777383015755427,0.4384327112531621,Cacng3
ENSMUSG00000030159,0.4327978953137359,0.0,0.0,0.4274514978760305,0.43811402021689994,Clec1b
ENSMUSG00000022912,0.4324246444350757,0.0,0.0,0.4270761355797421,0.4377428948444179,Pros1
ENSMUSG00000032766,0.4315844368221808,0.0,0.0,0.42623118179850344,0.43690746522773677,Gng11
ENSMUSG00000022623,0.43002455375822163,0.0,0.0,0.424662512028768,0.4353564283763812,Shank3
ENSMUSG00000030748,0.42845343976328076,0.0,0.0,0.42308258060792203,0.4337941922887877,Il4ra
ENSMUSG00000028859,0.42782811620279876,0.0,0.0,0.4224537566847364,0.4331723933154547,Csf3r
ENSMUSG00000090958,0.4253040730222025,0.0,0.0,0.41991563729692655,0.4306625249979202,Lrrc32
ENSMUSG00000042286,0.4245503220887491,0.0,0.0,0.41915769915177353,0.42991299100928576,Stab1
ENSMUSG00000024349,0.42437531563020003,0.0,0.0,0.4189817215784321,0.42973896258681227,Tmem173
ENSMUSG00000040552,0.42326342927412475,0.0,0.0,0.4178636748047732,0.42863328077868346,C3ar1
ENSMUSG00000038147,0.4229163362845012,0.0,0.0,0.4175146620926271,0.4282881213429519,Cd84
