,Erythroid3_1_corr,Erythroid3_1_pval,Erythroid3_1_qval,Erythroid3_1_ci_low,Erythroid3_1_ci_high,gene_annotation
ENSMUSG00000052187,0.5727936271450844,0.0,0.0,0.5683692911752625,0.577184838476467,Hbb-y
ENSMUSG00000055609,0.5510245787111869,0.0,0.0,0.5464398078752847,0.5555763236010948,Hba-x
ENSMUSG00000069919,0.5459690060949541,0.0,0.0,0.5413478757944661,0.5505571528590648,Hba-a1
ENSMUSG00000069917,0.5400618351402238,0.0,0.0,0.5353986501100048,0.5446920953117715,Hba-a2
ENSMUSG00000052217,0.4991987618899127,0.0,0.0,0.49425732976429393,0.504107935814833,Hbb-bh1
ENSMUSG00000073940,0.49762146919850553,0.0,0.0,0.49266974045453754,0.5025409743289756,Hbb-bt
ENSMUSG00000006574,0.46544564493046836,0.0,0.0,0.4602910642050906,0.4705688442799843,Slc4a1
ENSMUSG00000071713,0.4378646873038572,0.0,0.0,0.4325471342223615,0.44315177969337954,Csf2rb
ENSMUSG00000038725,0.4272975035756219,0.0,0.0,0.42192017791408193,0.432644767454947,Pkhd1l1
ENSMUSG00000027495,0.42606769591274185,0.0,0.0,0.4206835099042543,0.43142186817637435,Fam210b
ENSMUSG00000028332,0.42336573666571736,0.0,0.0,0.41796654834828545,0.4287350179465149,Hemgn
ENSMUSG00000052305,0.4171932614172467,0.0,0.0,0.4117601634867832,0.42259670205148786,Hbb-bs
ENSMUSG00000051839,0.4092925157681089,0.0,0.0,0.4038167490382399,0.4147389568290704,Gypa
ENSMUSG00000028716,0.40595795856558664,0.0,0.0,0.4004644309682278,0.41142230443326133,Pdzk1ip1
ENSMUSG00000073063,0.38886262312022163,0.0,0.0,0.3832803497699577,0.3944164888709135,Hbq1b
ENSMUSG00000071714,0.3872131545539143,0.0,0.0,0.3816225228397164,0.3927754565070745,Csf2rb2
ENSMUSG00000023216,0.3868802759322456,0.0,0.0,0.3812879617816365,0.3924442760964297,Epb42
ENSMUSG00000058794,0.386473757116947,0.0,0.0,0.38087939032417667,0.3920398292176249,Nfe2
ENSMUSG00000073400,0.3832302370767143,0.0,0.0,0.37761957097720855,0.38881276360763833,Trim10
ENSMUSG00000021991,0.3817179980962278,0.0,0.0,0.37609978024205615,0.38730814941834957,Cacna2d3
ENSMUSG00000026532,0.3795678399733283,0.0,0.0,0.3739389367968154,0.3851687812395579,Spta1
ENSMUSG00000044197,0.3696496391862795,0.0,0.0,0.3639722380248575,0.37529957268488917,Gpr146
ENSMUSG00000026614,0.36747106407805513,0.0,0.0,0.36178318427297124,0.37313158731669555,Slc30a10
ENSMUSG00000084833,0.36416767077915707,0.0,0.0,0.3584640217640277,0.36984413340070565,Gm12649
ENSMUSG00000034853,0.3631410793979884,0.0,0.0,0.3574325591744568,0.3688224665311756,Acot11
ENSMUSG00000025648,0.3580243962149846,0.0,0.0,0.3522918048365917,0.3637301231103931,Pfkfb4
ENSMUSG00000034248,0.35760759822623667,0.0,0.0,0.3518730612811398,0.36331529278286767,Slc25a37
ENSMUSG00000001348,0.35536536145383996,0.0,0.0,0.3496203973829196,0.3610836025471399,Acp5
ENSMUSG00000070803,0.35477975552844004,0.0,0.0,0.3490320791400055,0.3605007402780152,Cited4
ENSMUSG00000032126,0.3533597554475946,0.0,0.0,0.3476055209386533,0.35908737456980183,Hmbs
ENSMUSG00000032596,0.350958613662932,0.0,0.0,0.3451933503402397,0.35669739137334877,Uba7
ENSMUSG00000029866,0.35067812593942743,0.0,0.0,0.34491157926174215,0.3564182022326463,Kel
ENSMUSG00000062729,0.347091639563962,0.0,0.0,0.34130877473441545,0.35284822997284293,Ppox
ENSMUSG00000054191,0.3443882375635611,0.0,0.0,0.3385931848352245,0.35015716510890216,Klf1
ENSMUSG00000034041,0.34272626450032617,0.0,0.0,0.3369237669216312,0.34850272928878384,Lyl1
ENSMUSG00000042770,0.34173032661629155,0.0,0.0,0.3359233851907043,0.34751129085242616,Hebp1
ENSMUSG00000053897,0.3365047822177846,0.0,0.0,0.3306747392549296,0.34230914257726824,Slc39a8
ENSMUSG00000008843,0.3354021862227185,0.0,0.0,0.32956731488375285,0.34121143772501794,Cldn13
ENSMUSG00000050549,0.3316328010944023,0.0,0.0,0.32578154450950064,0.33745865400588965,5730508B09Rik
ENSMUSG00000027869,0.331285964170317,0.0,0.0,0.32543320933689124,0.33711333534308013,Hsd3b6
ENSMUSG00000025573,0.3303357457853512,0.0,0.0,0.3244788943844844,0.33616726845922945,6030468B19Rik
ENSMUSG00000023926,0.32835040575773244,0.0,0.0,0.3224850336682285,0.3341905643925545,Rhag
ENSMUSG00000024663,0.3206284613791287,0.0,0.0,0.31473044310711784,0.3265017208639132,Rab3il1
ENSMUSG00000105283,0.32030717105712037,0.0,0.0,0.3144078115210459,0.32618179093909494,Gm33370
ENSMUSG00000025915,0.3195266271731061,0.0,0.0,0.3136240148424543,0.32540454640283734,Sgk3
ENSMUSG00000097615,0.31897261589982795,0.0,0.0,0.3130676996944451,0.3248528721076285,Gm2061
ENSMUSG00000040466,0.31345022818936386,0.0,0.0,0.3075225684464469,0.3193535606582097,Blvrb
ENSMUSG00000028644,0.31326525715636405,0.0,0.0,0.3073368425923949,0.31916935567667853,Ermap
ENSMUSG00000031974,0.31224298555901947,0.0,0.0,0.30631040750302624,0.3181513097377582,Abcb10
ENSMUSG00000096982,0.31132428410611573,0.0,0.0,0.3053879761462888,0.3172363942005528,Redrum
ENSMUSG00000090523,0.31009044949425546,0.0,0.0,0.3041491497271407,0.31600762683445865,Gypc
ENSMUSG00000040447,0.309137423941661,0.0,0.0,0.3031922822103878,0.31505850168233174,Spns2
ENSMUSG00000042453,0.30728677806548416,0.0,0.0,0.3013342100063357,0.31321539602312676,Reln
ENSMUSG00000063856,0.30620157007373994,0.0,0.0,0.3002446682853999,0.31213458879746553,Gpx1
ENSMUSG00000027333,0.304274630676082,0.0,0.0,0.29831007204634424,0.3102154257330908,Smox
ENSMUSG00000001542,0.30362852333408286,0.0,0.0,0.29766140831824656,0.30957191497389175,Ell2
ENSMUSG00000000253,0.30123765842323985,0.0,0.0,0.2952611316347059,0.30719061114833435,Gmpr
ENSMUSG00000078621,0.3011930506347963,0.0,0.0,0.29521634896212917,0.30714618103830954,Hbb-bh2
ENSMUSG00000034663,0.30115811263896386,0.0,0.0,0.29518127401077254,0.30711138218677553,Bmp2k
ENSMUSG00000073938,0.30071418234619335,0.0,0.0,0.29473560493207535,0.30666921850752793,Olfr632
ENSMUSG00000025889,0.2995955064256678,0.0,0.0,0.29361255891710747,0.3055549829408272,Snca
ENSMUSG00000030000,0.2989674906896551,0.0,0.0,0.2929820970832388,0.3049294528306268,Add2
ENSMUSG00000018659,0.2976995118162022,0.0,0.0,0.2917091953425636,0.30366647681773246,Pnpo
ENSMUSG00000032131,0.29612883487800884,0.0,0.0,0.29013244974560026,0.30210196797063354,Abcg4
ENSMUSG00000021061,0.2954070737489876,0.0,0.0,0.28940791084956835,0.30138303042662523,Sptb
ENSMUSG00000036019,0.28964308782161646,0.0,0.0,0.28362198831869556,0.29564134984053797,Tmtc2
ENSMUSG00000028825,0.2894551472454507,0.0,0.0,0.28343333985745167,0.2954541292567085,Rhd
ENSMUSG00000069814,0.288103575492994,0.0,0.0,0.2820766910875285,0.29410772174617666,Ccdc92b
ENSMUSG00000054362,0.2858415125821791,0.0,0.0,0.2798061849339545,0.2918542486690628,Lexm
ENSMUSG00000036533,0.2855780347184987,0.0,0.0,0.2795417280180193,0.2915917669813062,Cdc42ep3
ENSMUSG00000005161,0.28473895505299673,0.0,0.0,0.2786995365355789,0.2907558537334715,Prdx2
ENSMUSG00000001014,0.28416718932016544,0.0,0.0,0.27812565566951836,0.2901862403992256,Icam4
ENSMUSG00000028278,0.2828919591977749,0.0,0.0,0.27684572362481774,0.28891579548610763,Rragd
