,Gut_corr,Gut_pval,Gut_qval,Gut_ci_low,Gut_ci_high,gene_annotation
ENSMUSG00000031819,0.812341235688611,0.0,0.0,0.8100982162448738,0.8145604759437961,Emc8
ENSMUSG00000051495,0.798354371407116,0.0,0.0,0.7959629933454723,0.800720831704079,Irf2bp2
ENSMUSG00000031774,0.7920923061340419,0.0,0.0,0.7896353513914363,0.7945238595832252,Fam192a
ENSMUSG00000031652,0.7838894146722182,0.0,0.0,0.7813473494031411,0.7864054695056434,N4bp1
ENSMUSG00000024454,0.7589357833598629,0.0,0.0,0.7561403186868129,0.7617035508306952,Hdac3
ENSMUSG00000042688,0.7576517795704314,0.0,0.0,0.7548435004424401,0.7604322813732277,Mapk6
ENSMUSG00000057177,0.7566073139774869,0.0,0.0,0.7537886271974248,0.7593981587326075,Gsk3a
ENSMUSG00000025986,0.7502360868602068,0.0,0.0,0.7473542281093035,0.7530897181272632,Slc39a10
ENSMUSG00000026238,0.7484388490033762,0.0,0.0,0.7455392680253491,0.7513100966144717,Ptma
ENSMUSG00000024222,0.7423306506175372,0.0,0.0,0.7393711592930698,0.7452614580285685,Fkbp5
ENSMUSG00000022526,0.7410561926946645,0.0,0.0,0.738084263881848,0.7439993662609197,Zfp251
ENSMUSG00000012117,0.7385738379454669,0.0,0.0,0.7355777458031131,0.7415410376840211,Dhdds
ENSMUSG00000062352,0.7335214528723345,0.0,0.0,0.7304764340125033,0.7365373074210714,Itgb1bp1
ENSMUSG00000003190,0.7317527883759989,0.0,0.0,0.7286907222646761,0.7347855972793225,Bcl2l12
ENSMUSG00000001761,0.7290153075531784,0.0,0.0,0.7259269383591596,0.7320742780861316,Smo
ENSMUSG00000044807,0.7285415713193266,0.0,0.0,0.7254486603548137,0.7316050594301953,Zfp354c
ENSMUSG00000020659,0.7275421026420549,0.0,0.0,0.7244396194406272,0.7306151122262793,Cbll1
ENSMUSG00000048058,0.7272525124568293,0.0,0.0,0.724147258240061,0.7303282784181012,Ldlrad3
ENSMUSG00000053110,0.7252696139479575,0.0,0.0,0.7221454158617968,0.7283642243919806,Yap1
ENSMUSG00000029454,0.723662393408299,0.0,0.0,0.7205228789351285,0.7267722407631498,Mapkapk5
ENSMUSG00000021720,0.7222886272104939,0.0,0.0,0.7191360483579853,0.7254114717779849,Rnf180
ENSMUSG00000024982,0.7207128163974261,0.0,0.0,0.7175452826683569,0.723850539663113,Zdhhc6
ENSMUSG00000030980,0.7195261090286855,0.0,0.0,0.7163473349340967,0.722675015901879,Knop1
ENSMUSG00000048232,0.7192786932905145,0.0,0.0,0.7160975780613001,0.7224299295308486,Fbxo10
ENSMUSG00000066900,0.7174132234724228,0.0,0.0,0.7142144827369667,0.7205819972257836,Suds3
ENSMUSG00000020738,0.7172155933138336,0.0,0.0,0.7140149880233946,0.7203862223756561,Sumo2
ENSMUSG00000039191,0.7170290719795904,0.0,0.0,0.7138267074178336,0.7202014515992275,Rbpj
ENSMUSG00000022205,0.7170051807930101,0.0,0.0,0.7138025909227589,0.7201777846059753,Sub1
ENSMUSG00000035575,0.716937498635787,0.0,0.0,0.7137342705226536,0.720110737533589,Utp6
ENSMUSG00000042148,0.7156817680098144,0.0,0.0,0.7124667094107328,0.7188667791087203,Cox10
ENSMUSG00000066149,0.7152988420499482,0.0,0.0,0.712080180004522,0.718487438937661,Cdc26
ENSMUSG00000022322,0.7143705230838101,0.0,0.0,0.7111431333810921,0.7175678050468007,Shcbp1
ENSMUSG00000010362,0.7133272988384136,0.0,0.0,0.7100901148714169,0.7165343275923252,Rdm1
ENSMUSG00000020389,0.7130971523410959,0.0,0.0,0.7098578096036328,0.7163063294463391,Cdkl3
ENSMUSG00000021245,0.7121798007541876,0.0,0.0,0.7089318602764326,0.7153975342633722,Mlh3
ENSMUSG00000038025,0.7116742338879515,0.0,0.0,0.7084215598462029,0.714896678312331,Phf2
ENSMUSG00000029249,0.7112776143197421,0.0,0.0,0.7080212291553434,0.714503752164441,Rest
ENSMUSG00000029672,0.711126561844126,0.0,0.0,0.707868763849815,0.7143541057920036,Fam3c
ENSMUSG00000040820,0.711125835544188,0.0,0.0,0.7078680307573533,0.7143533862522655,Hlcs
ENSMUSG00000040599,0.7103760327932422,0.0,0.0,0.7071112194227139,0.7136105588186696,Mis12
ENSMUSG00000025903,0.7099418214145445,0.0,0.0,0.7066729527875666,0.7131803835261702,Lypla1
ENSMUSG00000027678,0.7099051892429611,0.0,0.0,0.7066359786096775,0.7131440917467597,Ncoa3
ENSMUSG00000021810,0.7086021810100741,0.0,0.0,0.7053208168066253,0.711853179989032,Ecd
ENSMUSG00000095253,0.7068728031570443,0.0,0.0,0.7035753433832359,0.7101398228880746,Zfp799
