,Spinal cord_corr,Spinal cord_pval,Spinal cord_qval,Spinal cord_ci_low,Spinal cord_ci_high,gene_annotation
ENSMUSG00000042846,0.10863098524694982,6.834246816011782e-233,6.834246816011783e-229,0.10214377711450967,0.11510895414768156,Lrrtm3
ENSMUSG00000000560,0.10520041795249818,1.9379115776714485e-218,9.689557888357242e-215,0.09870854041736411,0.11168334138930784,Gabra2
ENSMUSG00000026312,0.10361352105152473,6.479307020416428e-212,2.159769006805476e-208,0.09711953590306978,0.11009868421494691,Cdh7
ENSMUSG00000062257,0.09987467539866174,6.036186842957919e-197,1.5090467107394795e-193,0.0933758554411839,0.10636498516872779,Opcml
ENSMUSG00000028234,0.09950152722096275,1.7530355423519545e-195,3.506071084703909e-192,0.09300223481997459,0.10599234059290202,Rps20
ENSMUSG00000038895,0.09643679778809662,1.1163504793090935e-183,1.8605841321818225e-180,0.089933694376759,0.10293167834755501,Zfp653
ENSMUSG00000059734,0.09476634595127074,2.1020953394409693e-177,3.0029933420585276e-174,0.08826121730827176,0.10126339157141535,Ndufs8
ENSMUSG00000063600,0.08926133389677375,1.6204774040687247e-157,2.025596755085906e-154,0.08274979064946936,0.09576525588442455,Egfem1
ENSMUSG00000039717,0.08761954362406692,8.052682458333306e-152,8.947424953703673e-149,0.08110616441982314,0.09412543955717488,Ralyl
ENSMUSG00000040463,0.08355123965352491,3.612312419425703e-138,3.6123124194257033e-135,0.07703346365194243,0.09006187483580026,Mybbp1a
ENSMUSG00000110874,0.08349213809802239,5.639631781598298e-138,5.1269379832711795e-135,0.07697429982558346,0.09000284053140804,RP24-295B16.1
ENSMUSG00000038156,0.08176890721725005,2.1431227841571158e-132,1.7859356534642632e-129,0.07524927348649224,0.08828155038456065,Spon1
ENSMUSG00000003617,0.08141340820529812,2.933961960131465e-131,2.2568938154857421e-128,0.07489340893054869,0.08792644690234967,Cp
ENSMUSG00000006333,0.07878360053895339,5.225328257176791e-123,3.732377326554851e-120,0.07226094872942418,0.08529951375416772,Rps9
ENSMUSG00000058546,0.0783708032501581,9.733792601882958e-122,6.489195067921971e-119,0.07184774332766904,0.08488715944854605,Rpl23a
ENSMUSG00000025551,0.0782146053257589,2.9318195723804175e-121,1.8323872327377608e-118,0.07169139156174516,0.0847311285619747,Fgf14
ENSMUSG00000037946,0.07665570491619504,1.5604577668181646e-116,9.179163334224499e-114,0.07013097333468211,0.08317387772649827,Fgd3
ENSMUSG00000020153,0.07546309847545742,5.544600438524727e-113,3.080333576958182e-110,0.06893722727521807,0.08198251176735195,Ndufs7
ENSMUSG00000100252,0.07441683440034652,6.492848214235514e-110,3.417288533808165e-107,0.06788997881039066,0.08093732061381023,Mir124-2hg
ENSMUSG00000067274,0.07290807114637496,1.449491187266814e-105,6.90233898698483e-103,0.06637982134321997,0.07943007931415312,Rplp0
ENSMUSG00000007721,0.07241390392411944,3.681420168728392e-104,1.600617464664518e-101,0.06588520397453325,0.07893640409626332,Ccdc124
ENSMUSG00000012848,0.07229454530783208,8.014508257218854e-104,3.339378440507856e-101,0.06576573711323742,0.07881716383650679,Rps5
ENSMUSG00000040478,0.0709150431602399,5.86035137783191e-100,2.2539812991661192e-97,0.06438499749301749,0.07743901606509793,Prdm13
ENSMUSG00000060424,0.06968041490370666,1.4537074670654737e-96,5.191812382376692e-94,0.06314928292289414,0.07620557880775373,Pantr1
ENSMUSG00000054517,0.06856252445025063,1.5282857135941011e-93,4.775892854981566e-91,0.06203042614486768,0.07508874951346957,Trim65
ENSMUSG00000090266,0.0675408545917605,7.994025652002593e-91,2.2840073291435977e-88,0.0610078874950318,0.07406803515690695,Mettl23
ENSMUSG00000003429,0.06744939819550039,1.3935309108335397e-90,3.8709191967598324e-88,0.06091635399622578,0.0739766636270113,Rps11
ENSMUSG00000030034,0.06713799246166495,9.192590882842075e-90,2.4844840223897498e-87,0.06060468655503166,0.07366554603823931,Ino80b
ENSMUSG00000020219,0.06676855751230998,8.520878353137238e-89,2.0782630129603017e-86,0.06023494278231887,0.0732964512808665,Timm13
ENSMUSG00000020037,0.06632629705815436,1.2053005456813455e-87,2.869763204003204e-85,0.059792314985373254,0.07285459572790588,Rfx4
ENSMUSG00000039199,0.06604671762024232,6.375205780052259e-87,1.4489104045573316e-84,0.059512504653543116,0.0725752709302979,Zdhhc1
ENSMUSG00000057411,0.06487996269478781,6.169096154422541e-84,1.3125736498771364e-81,0.05834479723398746,0.07140956762720074,Fam173a
ENSMUSG00000052572,0.06480433740697608,9.59177561145386e-84,1.9982865857195543e-81,0.058269110825695344,0.07133400988662568,Dlg2
ENSMUSG00000026273,0.06404349942940632,7.902858462521648e-82,1.549580090690519e-79,0.05750766211763516,0.07057384730736889,Mterf4
ENSMUSG00000042210,0.06290552384491409,5.2588174282477145e-79,9.066926600427094e-77,0.056368787263498386,0.06943686775101192,Abhd14a
ENSMUSG00000037355,0.06235706636920838,1.1570215475800193e-77,1.8078461680937802e-75,0.05581990245163558,0.0688888842601497,Uvssa
ENSMUSG00000020163,0.062189990366562996,2.950831063410103e-77,4.470956156681974e-75,0.05565269705521181,0.06872195186374981,Uqcr11
ENSMUSG00000036095,0.06172029939191429,4.04699284846957e-76,5.7814183549565285e-74,0.05518264428772035,0.06825266264141427,Dgkb
ENSMUSG00000061531,0.06070697312955755,1.0741109996137183e-73,1.3426387495171478e-71,0.05416854735172572,0.06724019328640649,Tmem236
ENSMUSG00000064068,0.06017493537329415,1.9389967916482436e-72,2.308329513866957e-70,0.0536361103600753,0.06670860005467845,Mtx1
ENSMUSG00000040612,0.060131664162190304,2.4506637021602184e-72,2.8831337672473156e-70,0.053592806842215596,0.06666536483413411,Ildr2
ENSMUSG00000026058,0.059505789743747324,7.11470700820738e-71,7.489165271797242e-69,0.05296646788959824,0.06604000823885044,Khdrbs2
ENSMUSG00000039982,0.05944520741287849,9.838809706716092e-71,1.0248760111162596e-68,0.052905840866658546,0.06597947575887023,Dtx4
ENSMUSG00000027331,0.05892385584314752,1.5796134702792007e-69,1.6284674951331965e-67,0.052384106684187866,0.06545855120160876,Knstrn
ENSMUSG00000047495,0.05883189762468836,2.57096427415827e-69,2.6234329328145613e-67,0.0522920813492491,0.06536666793190345,Dlgap2
ENSMUSG00000038406,0.0584446395386693,1.983023641659503e-68,1.9830236416595027e-66,0.051904541838419804,0.06497972425709188,Scaf1
ENSMUSG00000075020,0.058295747916978266,4.33395033842567e-68,4.1672599407939134e-66,0.05175554253976515,0.06483095299606424,Mir670hg
ENSMUSG00000023505,0.05818827081882836,7.61118106762692e-68,7.180359497761245e-66,0.05164798789618217,0.06472356259946375,Cdca3
ENSMUSG00000028089,0.05794604488707374,2.6976599630424963e-67,2.497833299113422e-65,0.051405587753115975,0.0644815315158403,Chd1l
ENSMUSG00000061576,0.05784629071824609,4.535553400698715e-67,4.086084144773617e-65,0.05130576206412622,0.06438185736639898,Dpp6
ENSMUSG00000008036,0.05741433755610425,4.258020020460185e-66,3.702626104747987e-64,0.05087350071535642,0.06395024919745028,Ap2s1
ENSMUSG00000028689,0.05720879021673605,1.2287083687719355e-65,1.0501780929674662e-63,0.050667807584185195,0.06374486516644098,Ccdc163
ENSMUSG00000020956,0.05717231598967994,1.4823319696335832e-65,1.2562135335877825e-63,0.05063130754445035,0.06370841986049432,Dtd2
