,Cardiomyocytes_2_corr,Cardiomyocytes_2_pval,Cardiomyocytes_2_qval,Cardiomyocytes_2_ci_low,Cardiomyocytes_2_ci_high,gene_annotation
ENSMUSG00000099906,0.748147084724929,0.0,0.0,0.7452446307714324,0.7510211882402607,Gm28653
ENSMUSG00000039103,0.7425943499306668,0.0,0.0,0.7396374347587884,0.7455225960264258,Nexn
ENSMUSG00000055409,0.7420461599895635,0.0,0.0,0.7390838904344296,0.7449797296539923,Nell1
ENSMUSG00000026459,0.7403627289443572,0.0,0.0,0.7373840416734988,0.743312622415753,Myog
ENSMUSG00000032366,0.7400562247836402,0.0,0.0,0.7370745523808662,0.743009086405551,Tpm1
ENSMUSG00000022309,0.7386681600738095,0.0,0.0,0.7356729845671621,0.7416344483452203,Angpt1
ENSMUSG00000086733,0.7380975884862433,0.0,0.0,0.7350968698933342,0.7410693886301571,Gm11685
ENSMUSG00000090053,0.7338182646810157,0.0,0.0,0.7307761107182963,0.7368312700383495,Palm2
ENSMUSG00000018830,0.7313592101028188,0.0,0.0,0.728293356155656,0.7343957863306686,Myh11
ENSMUSG00000030730,0.7278063020225719,0.0,0.0,0.724706347851919,0.730876795958338,Atp2a1
ENSMUSG00000026430,0.7270314773143415,0.0,0.0,0.72392410881919,0.7301093464022397,Rassf5
ENSMUSG00000024049,0.7255687774630788,0.0,0.0,0.722447434121177,0.7286605480630568,Myom1
ENSMUSG00000026950,0.7249136314971779,0.0,0.0,0.7217860380284489,0.7280116196372914,Neb
ENSMUSG00000002930,0.7214996407491907,0.0,0.0,0.7183395700682915,0.7246299388879763,Ppp1r17
ENSMUSG00000043639,0.7211350114830382,0.0,0.0,0.7179714812603538,0.7242687515615124,Rbm20
ENSMUSG00000044033,0.7203532219077183,0.0,0.0,0.7171822801590871,0.7234943359389199,Ccdc141
ENSMUSG00000027107,0.7187318988143797,0.0,0.0,0.7155456125131449,0.7218882802009648,Chrna1
ENSMUSG00000015579,0.7134201334378031,0.0,0.0,0.7101838204573372,0.7166262954134909,Nkx2-5
ENSMUSG00000027971,0.7133220409719696,0.0,0.0,0.7100848076784033,0.7165291188142001,Ndst4
ENSMUSG00000031698,0.7126267652444039,0.0,0.0,0.7093830124756796,0.7158403311463283,Mylk3
ENSMUSG00000050762,0.7113729664511476,0.0,0.0,0.7081174732943265,0.7145982165388457,Prss27
ENSMUSG00000024471,0.7095655912335957,0.0,0.0,0.7062932108858044,0.7128076485115253,Myot
ENSMUSG00000038244,0.7089836602354717,0.0,0.0,0.7057058518709738,0.7122311200267022,Mical2
ENSMUSG00000008136,0.7083499701495957,0.0,0.0,0.7050662561048703,0.7116033079902984,Fhl2
ENSMUSG00000021356,0.7077812033934838,0.0,0.0,0.7044921932714956,0.7110398126366364,Irf4
ENSMUSG00000026414,0.7069123482651851,0.0,0.0,0.7036152560989198,0.7101790020873103,Tnnt2
ENSMUSG00000072720,0.7067286526404054,0.0,0.0,0.7034298530333203,0.7099970060176413,Myo18b
ENSMUSG00000017817,0.7030744922873128,0.0,0.0,0.6997418207426137,0.706376563290888,Jph2
ENSMUSG00000057606,0.7030071547071615,0.0,0.0,0.6996738606491628,0.7063098454260129,Colq
ENSMUSG00000062209,0.7023487433985889,0.0,0.0,0.699009365727564,0.705657490458757,Erbb4
ENSMUSG00000085515,0.7012199985214111,0.0,0.0,0.6978702048490557,0.7045391151955104,C630028M04Rik
ENSMUSG00000040653,0.7005601634786479,0.0,0.0,0.6972042887308981,0.7038853343249981,Ppp1r14c
ENSMUSG00000040694,0.7000039968139766,0.0,0.0,0.696643000902271,0.7033342662703036,Apobec2
ENSMUSG00000022044,0.6997828860188453,0.0,0.0,0.6964198552694285,0.7031151813773449,Stmn4
ENSMUSG00000019528,0.6984622148882803,0.0,0.0,0.6950870438132055,0.7018065975691467,Gyg
ENSMUSG00000004366,0.6982539784632756,0.0,0.0,0.6948768952834207,0.7016002649490929,Sst
ENSMUSG00000020067,0.697898250799548,0.0,0.0,0.6945179025294093,0.7012477882333232,Mypn
ENSMUSG00000055775,0.6975960077786105,0.0,0.0,0.6942128866561796,0.7009483060845273,Myh8
ENSMUSG00000032845,0.6970584392090131,0.0,0.0,0.6936703893019053,0.7004156450730551,Alpk2
ENSMUSG00000064179,0.6970343016394603,0.0,0.0,0.6936460305132982,0.700391727771896,Tnnt1
ENSMUSG00000042451,0.6955183847149978,0.0,0.0,0.692116235847564,0.6988896293040496,Mybph
ENSMUSG00000038132,0.6926134620645636,0.0,0.0,0.6891848049506312,0.6960111035988372,Rbm24
ENSMUSG00000021423,0.6925754153645469,0.0,0.0,0.6891464118082516,0.6959734019034872,Ly86
ENSMUSG00000020469,0.6925426511463422,0.0,0.0,0.6891133492638802,0.6959409347737806,Myl7
ENSMUSG00000059430,0.6920629209306186,0.0,0.0,0.6886292526229356,0.6954655529054207,Actg2
ENSMUSG00000032355,0.6918198056526993,0.0,0.0,0.6883839257185106,0.6952246401240075,Mlip
ENSMUSG00000018845,0.6917410665084427,0.0,0.0,0.6883044704505732,0.6951466141509737,Unc45b
ENSMUSG00000038216,0.690890242366253,0.0,0.0,0.6874459134175824,0.6943034911376991,Pnmt
ENSMUSG00000055027,0.6907838796779778,0.0,0.0,0.6873385847070694,0.6941980905192338,Smyd1
ENSMUSG00000020908,0.6903152246513043,0.0,0.0,0.6868656749874767,0.6937336728183582,Myh3
ENSMUSG00000039376,0.6900909940914101,0.0,0.0,0.6866394097796238,0.6935114686247249,Synpo2l
ENSMUSG00000028949,0.6897662802940087,0.0,0.0,0.6863117507436847,0.6931896881046912,Smarcd3
ENSMUSG00000038239,0.6889039775907453,0.0,0.0,0.6854416335370472,0.6923351683232392,Hrc
ENSMUSG00000108986,0.6863055293808059,0.0,0.0,0.6828196970314913,0.6897601148398363,Gm45009
ENSMUSG00000046709,0.686057476359771,0.0,0.0,0.6825694064660631,0.6895142905561722,Mapk10
ENSMUSG00000049537,0.6859286470008765,0.0,0.0,0.6824394153340612,0.6893866184049522,Tecrl
ENSMUSG00000022358,0.6858316060647927,0.0,0.0,0.6823414994361254,0.689290448995682,Fbxo32
ENSMUSG00000024064,0.6857203064274469,0.0,0.0,0.6822291964286661,0.689180148792791,Galnt14
ENSMUSG00000090066,0.6827555803371059,0.0,0.0,0.6792378038644723,0.686241985953284,1110002E22Rik
ENSMUSG00000024063,0.6823993909228498,0.0,0.0,0.6788784185397492,0.6858889802568279,Lbh
ENSMUSG00000038242,0.6820613400172573,0.0,0.0,0.6785373360318583,0.6855539494231156,Aox4
ENSMUSG00000021313,0.6819362973708846,0.0,0.0,0.6784111724021664,0.685430023505241,Ryr2
ENSMUSG00000041324,0.6811416046823715,0.0,0.0,0.6776093603057103,0.6846424233123515,Inhba
ENSMUSG00000061816,0.6807602588112952,0.0,0.0,0.6772246010556751,0.6842644779848237,Myl1
ENSMUSG00000010066,0.6797342550823934,0.0,0.0,0.6761894232962327,0.6832476140067709,Cacna2d2
ENSMUSG00000097222,0.6796622702981571,0.0,0.0,0.6761167953842423,0.683176269959092,1010001N08Rik
ENSMUSG00000026208,0.6794341009759816,0.0,0.0,0.675886588002916,0.6829501311287376,Des
ENSMUSG00000053702,0.6789010105563148,0.0,0.0,0.675348738598989,0.682421782084352,Nebl
ENSMUSG00000021314,0.6784411135818702,0.0,0.0,0.6748847390860114,0.6819659725372347,Amph
ENSMUSG00000048304,0.6782489012831898,0.0,0.0,0.6746908129792919,0.6817754677528792,Slitrk3
ENSMUSG00000019848,0.6782341422851379,0.0,0.0,0.6746759224070052,0.681760839846335,Popdc3
ENSMUSG00000032034,0.6781477407283508,0.0,0.0,0.674588750651518,0.6816752056638166,Kcnj5
ENSMUSG00000059742,0.6781358523743828,0.0,0.0,0.6745767563304363,0.6816634228885413,Kcnh7
ENSMUSG00000026255,0.6775698989746997,0.0,0.0,0.6740057604663603,0.6811024935194545,Efhd1
ENSMUSG00000015365,0.6772501172848537,0.0,0.0,0.673683131506575,0.6807855487334261,Mov10l1
ENSMUSG00000027962,0.6771756057172889,0.0,0.0,0.6736079566987564,0.6807116979958678,Vcam1
ENSMUSG00000033910,0.6769361406985044,0.0,0.0,0.6733663606605651,0.6804743562635917,Gucy1a3
ENSMUSG00000038583,0.6738940182313804,0.0,0.0,0.6702972324534969,0.6774591430415169,Pln
ENSMUSG00000044951,0.672349484373103,0.0,0.0,0.6687390344453362,0.6759282255747352,Mylk4
ENSMUSG00000038763,0.6721489010738845,0.0,0.0,0.6685366789568197,0.6757294083234067,Alpk3
ENSMUSG00000032661,0.6715338946798234,0.0,0.0,0.6679162422055576,0.675119813543474,Oas3
ENSMUSG00000049265,0.6713781804896852,0.0,0.0,0.6677591538946557,0.6749654687493332,Kcnk3
ENSMUSG00000031962,0.6713230840413795,0.0,0.0,0.6677035713175556,0.6749108567600685,Cdh15
ENSMUSG00000052479,0.6704238455205882,0.0,0.0,0.6667964043102627,0.6740195196221433,A330008L17Rik
ENSMUSG00000040666,0.6704033272892918,0.0,0.0,0.666775705297434,0.6739991815572145,Sh3bgr
