,Endothelium_corr,Endothelium_pval,Endothelium_qval,Endothelium_ci_low,Endothelium_ci_high,gene_annotation
ENSMUSG00000036356,0.6857235149336267,0.0,0.0,0.6822324338573351,0.689183328489876,Csgalnact1
ENSMUSG00000025027,0.673670896423854,0.0,0.0,0.6700721347767286,0.677237990152846,Xpnpep1
ENSMUSG00000004043,0.6517645568874313,0.0,0.0,0.6479750243327211,0.6555218225478044,Stat5a
ENSMUSG00000032698,0.6496160348051592,0.0,0.0,0.6458081353426003,0.6533916174127148,Lmo2
ENSMUSG00000098112,0.6388337865914954,0.0,0.0,0.6349346400547359,0.6427003888306269,Bin2
ENSMUSG00000029513,0.6317039988747817,0.0,0.0,0.62774536336576,0.6356299607949877,Prkab1
ENSMUSG00000004508,0.6230944896801061,0.0,0.0,0.6190649188385283,0.6270912528937688,Gab2
ENSMUSG00000078945,0.6225127003570401,0.0,0.0,0.618478371559008,0.6265142133334544,Naip2
ENSMUSG00000042106,0.6215432427380498,0.0,0.0,0.6175009955634579,0.6255526606792211,Fam212a
ENSMUSG00000052681,0.6117778236871472,0.0,0.0,0.6076565102125204,0.6158661895746596,Rap1b
ENSMUSG00000024965,0.6116036438380742,0.0,0.0,0.6074809316011237,0.6156934066518155,Fermt3
ENSMUSG00000044199,0.607082333546669,0.0,0.0,0.6029234535876409,0.6112082197663006,S1pr4
ENSMUSG00000031506,0.6028195584175893,0.0,0.0,0.5986268274442786,0.6069792597396919,Ptpn7
ENSMUSG00000017386,0.5992874656222829,0.0,0.0,0.5950668688013357,0.6034750073229804,Traf4
ENSMUSG00000025094,0.5914841328678843,0.0,0.0,0.5872025600899701,0.5957326079123656,Slc18a2
ENSMUSG00000016481,0.5909014782179782,0.0,0.0,0.5866153849524584,0.595154471317512,Cr1l
ENSMUSG00000048376,0.5903959155054384,0.0,0.0,0.5861059035162194,0.5946528253019162,F2r
ENSMUSG00000020007,0.588653048842954,0.0,0.0,0.5843495535314004,0.5929234355717313,Il20ra
ENSMUSG00000026069,0.5884801714305482,0.0,0.0,0.5841753408870488,0.5927518928078176,Il1rl1
ENSMUSG00000027637,0.585152595142617,0.0,0.0,0.5808221411065099,0.5894499305487928,1110008F13Rik
ENSMUSG00000059336,0.583374468654827,0.0,0.0,0.579030382672125,0.587685432323444,Slc14a1
ENSMUSG00000031659,0.5828407803448711,0.0,0.0,0.5784926110457884,0.5871558264100801,Adcy7
ENSMUSG00000037936,0.5819290533889682,0.0,0.0,0.5775739170967273,0.586251065074292,Scarb1
ENSMUSG00000084992,0.5810619089808788,0.0,0.0,0.5767001566099533,0.5853905356707655,Gm13842
ENSMUSG00000021281,0.5761301456843707,0.0,0.0,0.571730955042393,0.5804962088171212,Tnfaip2
ENSMUSG00000036718,0.5730954240732714,0.0,0.0,0.5686733564886456,0.5774843666240465,Micall2
ENSMUSG00000017561,0.5695969785681939,0.0,0.0,0.5651486899368293,0.5740121484005231,Crlf3
ENSMUSG00000027368,0.5693698178513604,0.0,0.0,0.5649198322519694,0.5737866851812609,Dusp2
ENSMUSG00000030220,0.5678696742353168,0.0,0.0,0.5634084992408128,0.5722977348380396,Arhgdib
ENSMUSG00000021596,0.5619394898071669,0.0,0.0,0.5574343745513134,0.5664115124441038,Mctp1
ENSMUSG00000096965,0.5616293280234329,0.0,0.0,0.5571219274329289,0.5661036374155575,3300005D01Rik
ENSMUSG00000068328,0.5600924887631961,0.0,0.0,0.5555737832579207,0.5645781105201247,Aup1
ENSMUSG00000027957,0.5595204489525253,0.0,0.0,0.5549975435515734,0.5640102735527304,Slc35a3
ENSMUSG00000039834,0.5584995909891256,0.0,0.0,0.5539692012709855,0.5629969054016453,Zfp335
ENSMUSG00000020120,0.5577683211690185,0.0,0.0,0.5532325787178501,0.5622709924356825,Plek
ENSMUSG00000036672,0.5552661251957641,0.0,0.0,0.5507121208839343,0.5597870735883415,Cenpt
ENSMUSG00000032020,0.5550836907283426,0.0,0.0,0.5505283581970908,0.5596059685236439,Ubash3b
ENSMUSG00000068798,0.5532858032986243,0.0,0.0,0.5487174048078224,0.5578211592246822,Rap1a
ENSMUSG00000110747,0.5512787448916676,0.0,0.0,0.5466958109573122,0.5558286509393588,RP24-531B21.4
ENSMUSG00000065954,0.549551757264273,0.0,0.0,0.54495635896819,0.554114141221613,Tacc1
ENSMUSG00000031960,0.5489395738190854,0.0,0.0,0.5443397666456942,0.553506371659539,Aars
ENSMUSG00000049577,0.548130508115456,0.0,0.0,0.5435248817655358,0.5527031319111058,Zfpm1
ENSMUSG00000056917,0.5476474374309361,0.0,0.0,0.5430383407511873,0.5522235356921269,Sipa1
ENSMUSG00000038717,0.5467326689654709,0.0,0.0,0.5421170091626246,0.5513153383621302,Atp5l
ENSMUSG00000050106,0.5448559001448345,0.0,0.0,0.5402268099636068,0.5494520170974677,Tmc8
ENSMUSG00000022175,0.5444657667664463,0.0,0.0,0.5398338906089705,0.549064673390652,Lrp10
ENSMUSG00000028465,0.5426903435213802,0.0,0.0,0.5380458144053364,0.5473019204609246,Tln1
ENSMUSG00000042594,0.5401036213230982,0.0,0.0,0.5354407321548825,0.5447335851832658,Sh2b3
ENSMUSG00000036943,0.5357561902111407,0.0,0.0,0.5310626436827136,0.5404168607879869,Rab8b
ENSMUSG00000019173,0.5356264449980631,0.0,0.0,0.5309319873790553,0.5402880282190572,Rab5c
ENSMUSG00000034731,0.5348424915680845,0.0,0.0,0.5301425336576573,0.5395095845665671,Dgkh
ENSMUSG00000034664,0.5338664263584165,0.0,0.0,0.5291596316704763,0.538540368182298,Itga2b
ENSMUSG00000031024,0.532951766687812,0.0,0.0,0.5282385767971802,0.537632115242716,St5
ENSMUSG00000021866,0.5308066994212798,0.0,0.0,0.5260785549574089,0.5355020304882331,Anxa11
ENSMUSG00000026966,0.5298246406016862,0.0,0.0,0.5250896699634457,0.5345268110552142,Ssna1
ENSMUSG00000060279,0.5297871845670461,0.0,0.0,0.5250519538294791,0.5344896156290453,Ap2a1
ENSMUSG00000038975,0.5297803961265053,0.0,0.0,0.5250451182511604,0.5344828744185997,Rabggtb
ENSMUSG00000059900,0.5284253629887461,0.0,0.0,0.5236806882251966,0.5331372568485958,Tmem40
ENSMUSG00000030844,0.5275266958552707,0.0,0.0,0.5227758024366956,0.5322448210349648,Rgs10
ENSMUSG00000047953,0.5258239850917682,0.0,0.0,0.5210613385041453,0.5305538880396405,Gp5
ENSMUSG00000024986,0.5258194046417451,0.0,0.0,0.5210567264888395,0.530549339222137,Hhex
ENSMUSG00000022876,0.5236917194401031,0.0,0.0,0.5189144088271483,0.5284363183281323,Samsn1
ENSMUSG00000026288,0.5227343287387127,0.0,0.0,0.5179504535600433,0.527485506922538,Inpp5d
ENSMUSG00000030054,0.522326634626851,0.0,0.0,0.5175399676899181,0.5270806109167223,Gp9
ENSMUSG00000034416,0.5222262463040064,0.0,0.0,0.5174388922781444,0.5269809112527294,Pkd1l2
ENSMUSG00000030403,0.5219100302185755,0.0,0.0,0.5171205127844961,0.5266668635384218,Vasp
ENSMUSG00000029373,0.5199593650892014,0.0,0.0,0.5151565313879931,0.52472954588648,Pf4
ENSMUSG00000050592,0.5162758189329797,0.0,0.0,0.5114479769470592,0.521071069734258,Fam78a
ENSMUSG00000026357,0.5139486533411071,0.0,0.0,0.5091051044883901,0.5187596518680294,Rgs18
ENSMUSG00000021285,0.513837383019759,0.0,0.0,0.5089930849621074,0.5186491327412843,Ppp1r13b
