,Erythroid3_2_corr,Erythroid3_2_pval,Erythroid3_2_qval,Erythroid3_2_ci_low,Erythroid3_2_ci_high,gene_annotation
ENSMUSG00000052217,0.430161536961244,0.0,0.0,0.4248002655585557,0.43549263600529725,Hbb-bh1
ENSMUSG00000055609,0.41964999883871523,0.0,0.0,0.41423033706241263,0.425039902928285,Hba-x
ENSMUSG00000052187,0.4142945600886003,0.0,0.0,0.4088457115292966,0.41971387147391936,Hbb-y
ENSMUSG00000069919,0.4130981491357006,0.0,0.0,0.4076428320593436,0.4185239791421733,Hba-a1
ENSMUSG00000069917,0.3954358907728842,0.0,0.0,0.3898872834821336,0.4009557857208111,Hba-a2
ENSMUSG00000073940,0.3814749671530544,0.0,0.0,0.3758555384807272,0.38706634107307514,Hbb-bt
ENSMUSG00000038725,0.36152155505569855,0.0,0.0,0.35580537845128557,0.36721068306118204,Pkhd1l1
ENSMUSG00000051839,0.3595312262822068,0.0,0.0,0.35380568776775734,0.3652298207046206,Gypa
ENSMUSG00000006574,0.35857142029442024,0.0,0.0,0.3528413858466446,0.3642745613101336,Slc4a1
ENSMUSG00000027495,0.35828192783871066,0.0,0.0,0.352550539736556,0.3639864378221452,Fam210b
ENSMUSG00000021991,0.3471201457106203,0.0,0.0,0.3413374099112747,0.3528766055226179,Cacna2d3
ENSMUSG00000028332,0.3405946794833189,0.0,0.0,0.33478268681863854,0.346380758572517,Hemgn
ENSMUSG00000052305,0.33328145253853864,0.0,0.0,0.3274373394366123,0.3391000671206871,Hbb-bs
ENSMUSG00000028716,0.33183832872215774,0.0,0.0,0.3259879607146412,0.3376632812068805,Pdzk1ip1
ENSMUSG00000023216,0.3227292716624224,0.0,0.0,0.3168400570590693,0.32859360279543187,Epb42
ENSMUSG00000032596,0.31373915471654706,0.0,0.0,0.30781267491508185,0.3196412897130052,Uba7
ENSMUSG00000026532,0.3118138543789793,0.0,0.0,0.3058795326750153,0.3177239483522673,Spta1
ENSMUSG00000073063,0.3109802167749819,0.0,0.0,0.3050425147783963,0.3168937419183981,Hbq1b
ENSMUSG00000058794,0.3069537378156258,0.0,0.0,0.300999838122069,0.31288370796083176,Nfe2
ENSMUSG00000070803,0.3069475692525376,0.0,0.0,0.30099364490829095,0.31287756442928427,Cited4
ENSMUSG00000034853,0.30693358821600897,0.0,0.0,0.3009796080028799,0.3128636401248584,Acot11
ENSMUSG00000071713,0.30670857754250214,0.0,0.0,0.3007536985309831,0.31263954214665984,Csf2rb
ENSMUSG00000026614,0.3045940630067585,0.0,0.0,0.29863077027722396,0.31053357231473183,Slc30a10
ENSMUSG00000034041,0.30344213477796106,0.0,0.0,0.2974742833217669,0.3093862744662123,Lyl1
ENSMUSG00000073400,0.30341031903586413,0.0,0.0,0.29744234191821306,0.30935458636756746,Trim10
ENSMUSG00000034248,0.2944839386429923,0.0,0.0,0.28848123298826994,0.30046349679311446,Slc25a37
ENSMUSG00000029866,0.29179421258975546,0.0,0.0,0.2857812485725168,0.29778420092322666,Kel
ENSMUSG00000032126,0.28726785380668773,0.0,0.0,0.28123784217200676,0.29327518135892156,Hmbs
ENSMUSG00000054191,0.2870952538488386,0.0,0.0,0.2810645975017641,0.2931032372933212,Klf1
ENSMUSG00000025573,0.28679904842350307,0.0,0.0,0.2807672865767614,0.29280815656412423,6030468B19Rik
ENSMUSG00000001348,0.2862774437562063,0.0,0.0,0.28024373798744334,0.2922885296545661,Acp5
ENSMUSG00000044197,0.28542872791831325,0.0,0.0,0.27939186681817363,0.2914430242889124,Gpr146
ENSMUSG00000071714,0.2846396876777316,0.0,0.0,0.2785999016310644,0.2906569603538524,Csf2rb2
ENSMUSG00000025648,0.28378992487461596,0.0,0.0,0.2777469979712346,0.2898103938212419,Pfkfb4
ENSMUSG00000084833,0.2834308312366036,0.0,0.0,0.2773865799302628,0.2894526480348313,Gm12649
ENSMUSG00000050549,0.28292325550501246,0.0,0.0,0.2768771350683907,0.2889469746101589,5730508B09Rik
ENSMUSG00000042770,0.2816004828679082,0.0,0.0,0.2755495073368952,0.28762914370443454,Hebp1
ENSMUSG00000062729,0.2795985996228609,0.0,0.0,0.27354032029648406,0.28563469585463325,Ppox
ENSMUSG00000053897,0.2748643078584335,0.0,0.0,0.26878896599503505,0.2809177801450197,Slc39a8
ENSMUSG00000031974,0.27478604074760854,0.0,0.0,0.26871041929137657,0.28083979783697316,Abcb10
ENSMUSG00000008843,0.2736559069871635,0.0,0.0,0.267576257372031,0.2797137675609173,Cldn13
ENSMUSG00000063856,0.27130775763262227,0.0,0.0,0.26521979232647824,0.27737409098207944,Gpx1
ENSMUSG00000023926,0.27025110811766373,0.0,0.0,0.2641594245396369,0.2763212306783478,Rhag
ENSMUSG00000027333,0.2686704457420879,0.0,0.0,0.2625732274208289,0.2747462094562275,Smox
ENSMUSG00000000253,0.266711795403338,0.0,0.0,0.26060776451603274,0.2727945040205629,Gmpr
ENSMUSG00000028644,0.2665327545853245,0.0,0.0,0.2604281034831826,0.27261609554076943,Ermap
ENSMUSG00000040466,0.2646549694944809,0.0,0.0,0.25854383903035494,0.2707449172275193,Blvrb
ENSMUSG00000024663,0.2610675917054663,0.0,0.0,0.2549442121489044,0.26717003328640476,Rab3il1
ENSMUSG00000090523,0.2599145779389665,0.0,0.0,0.2537872974588956,0.26602099947947155,Gypc
ENSMUSG00000034663,0.25987331983875706,0.0,0.0,0.2537459000974685,0.26597988347192525,Bmp2k
ENSMUSG00000001542,0.25893439510596894,0.0,0.0,0.2528038122173701,0.2650441863843031,Ell2
