,Mesenchyme_corr,Mesenchyme_pval,Mesenchyme_qval,Mesenchyme_ci_low,Mesenchyme_ci_high,gene_annotation
ENSMUSG00000051041,0.6997954875207646,0.0,0.0,0.6964325727229335,0.703127667436456,Olfml1
ENSMUSG00000032353,0.6977476168140094,0.0,0.0,0.6943658864385156,0.7010985303782742,Tmed3
ENSMUSG00000026725,0.6958675143432267,0.0,0.0,0.6924685589383005,0.6992355790503504,Tnn
ENSMUSG00000038742,0.6948165824947786,0.0,0.0,0.6914080192000202,0.6981942143446129,Angptl6
ENSMUSG00000022261,0.6934069298452661,0.0,0.0,0.6899855022094069,0.6967973720028023,Sdc2
ENSMUSG00000019539,0.690240851127432,0.0,0.0,0.6867906265308168,0.6936599714783868,Rcn3
ENSMUSG00000017466,0.6852859209336912,0.0,0.0,0.6817908965106003,0.688749662405033,Timp2
ENSMUSG00000019842,0.6816812481513624,0.0,0.0,0.6781538373598788,0.6851772514470034,Traf3ip2
ENSMUSG00000073856,0.6788523463170403,0.0,0.0,0.675299640114406,0.6823735504878785,Iqck
ENSMUSG00000026042,0.6763863721216622,0.0,0.0,0.672811702531256,0.6799294595617029,Col5a2
ENSMUSG00000071176,0.6723097820321111,0.0,0.0,0.6686989812846074,0.6758888728367755,Arhgef10
ENSMUSG00000025198,0.671128478879552,0.0,0.0,0.6675072494320713,0.6747179624326148,Erlin1
ENSMUSG00000028497,0.6691540261933947,0.0,0.0,0.6655154074345658,0.6727608400469761,Hacd4
ENSMUSG00000030788,0.6683126444315262,0.0,0.0,0.6646666312407056,0.6719268279801487,Rnf141
ENSMUSG00000111444,0.6681067480473282,0.0,0.0,0.6644589267820183,0.6717227336542279,RP23-9A12.3
ENSMUSG00000036955,0.6675298260133883,0.0,0.0,0.6638769415219725,0.6711508580668525,Kif1bp
ENSMUSG00000096956,0.6670449020943646,0.0,0.0,0.6633877652000071,0.6706701725357119,Snhg18
ENSMUSG00000000416,0.6665585084980827,0.0,0.0,0.662897109452996,0.670188027113996,Cttnbp2
ENSMUSG00000038591,0.6665199207387164,0.0,0.0,0.6628581836929699,0.6701497762499856,Colec10
ENSMUSG00000021032,0.6662202601354141,0.0,0.0,0.6625558989547826,0.6698527312155643,Ngb
ENSMUSG00000039058,0.6658005684898107,0.0,0.0,0.662132534066271,0.6694367008676264,Ak5
ENSMUSG00000024998,0.664473307215059,0.0,0.0,0.660793671690178,0.6681210033162024,Plce1
ENSMUSG00000052957,0.6638088370209547,0.0,0.0,0.6601234024031386,0.667462313729524,Gas1
ENSMUSG00000070280,0.6634039588136734,0.0,0.0,0.6597149935418724,0.6670609549867657,Slc22a14
