,Notochord_corr,Notochord_pval,Notochord_qval,Notochord_ci_low,Notochord_ci_high,gene_annotation
ENSMUSG00000028753,0.5969873851204341,0.0,0.0,0.5927487312459309,0.6011929693665332,Vwa5b1
ENSMUSG00000045648,0.5809232329472056,0.0,0.0,0.5765604234409467,0.5852529166215849,Vwc2l
ENSMUSG00000042567,0.5750501239203459,0.0,0.0,0.5706427776371129,0.5794243432620105,Nek10
ENSMUSG00000029155,0.5622288009131757,0.0,0.0,0.5577258185103227,0.566698689397235,Spata18
ENSMUSG00000030125,0.5607207545846501,0.0,0.0,0.5562066667860813,0.5652017555066128,Lrrc23
ENSMUSG00000031786,0.5601895320052701,0.0,0.0,0.5556715394186316,0.5646744403529061,Drc7
ENSMUSG00000026432,0.5585700620239259,0.0,0.0,0.5540401885128663,0.5630668598403655,Avpr1b
ENSMUSG00000030043,0.5499600759985062,0.0,0.0,0.545367621131824,0.5545195132467544,Tacr1
ENSMUSG00000047021,0.542135714856538,0.0,0.0,0.5374872416213184,0.5467512415185997,Ccdc108
ENSMUSG00000053141,0.53152281994536,0.0,0.0,0.5267996612114898,0.5362131558145737,Ptprt
ENSMUSG00000021940,0.5304566570870805,0.0,0.0,0.5257260780539886,0.5351544274022809,Ptpn20
ENSMUSG00000027867,0.5206165898194518,0.0,0.0,0.5158182370464188,0.5253822790587562,Spag17
ENSMUSG00000062760,0.5167217044573879,0.0,0.0,0.5118968801048914,0.5215139299613001,1810041L15Rik
ENSMUSG00000074771,0.5141542442697437,0.0,0.0,0.5093120801328176,0.5189638544132681,Ankef1
ENSMUSG00000014725,0.5134708953624619,0.0,0.0,0.5086241308316587,0.5182851181336752,Adam28
ENSMUSG00000022441,0.5050827763405982,0.0,0.0,0.5001800460976655,0.5099531250319335,Efcab6
ENSMUSG00000034227,0.49857344423968913,0.0,0.0,0.493627926076499,0.5034867178376603,Foxj1
ENSMUSG00000043592,0.4974157323784647,0.0,0.0,0.49246266300787145,0.5023365826941758,Unc5cl
ENSMUSG00000021879,0.4961402131763711,0.0,0.0,0.4911788447562964,0.5010693910463767,Dnah12
ENSMUSG00000046242,0.4942833314045466,0.0,0.0,0.48930991988180295,0.4992245946189225,Nme9
ENSMUSG00000028262,0.4894927679919174,0.0,0.0,0.48448849744205347,0.4944650032687792,Clca3a2
ENSMUSG00000037035,0.4871434544767444,0.0,0.0,0.48212416162330585,0.49213076961373475,Inhbb
ENSMUSG00000043020,0.4845559037738827,0.0,0.0,0.479520149852603,0.48955974497841453,Wdr63
ENSMUSG00000052273,0.4822300394001955,0.0,0.0,0.47717956484905016,0.4872486610907175,Dnah3
ENSMUSG00000047976,0.481665145448517,0.0,0.0,0.47661110644092053,0.48668734633660815,Kcna1
ENSMUSG00000075302,0.4802396003804343,0.0,0.0,0.4751765850353757,0.4852708151587883,Erich2
ENSMUSG00000054320,0.47970870146901406,0.0,0.0,0.4746423500508698,0.4847432664346727,Lrrc36
ENSMUSG00000063409,0.4788120523432323,0.0,0.0,0.4737400750198164,0.4838522672105398,Lrrc43
ENSMUSG00000051590,0.469103778520773,0.0,0.0,0.46397156965226843,0.4742044973989044,Map3k19
ENSMUSG00000026765,0.4646167017966767,0.0,0.0,0.45945707617138704,0.4697449711063605,Lypd6b
ENSMUSG00000063428,0.4599775023499715,0.0,0.0,0.454789810757727,0.46513398091179775,Ddo
ENSMUSG00000032446,0.45805558729255147,0.0,0.0,0.45285635207928243,0.4632236703357729,Eomes
ENSMUSG00000022783,0.4577421962348272,0.0,0.0,0.45254108333412807,0.46291216697243187,Spag6l
ENSMUSG00000031027,0.4563035883348415,0.0,0.0,0.45109387267546086,0.4614822080652488,Stk33
ENSMUSG00000089809,0.45605390962693704,0.0,0.0,0.4508427036992266,0.46123402769957905,A930011G23Rik
ENSMUSG00000035910,0.4541639038922873,0.0,0.0,0.44894144377071016,0.45935533775186993,Dcdc2a
ENSMUSG00000024033,0.45391594594728385,0.0,0.0,0.4486920128486,0.4591088609268719,Rsph1
ENSMUSG00000062713,0.4533104088872704,0.0,0.0,0.4480828820580264,0.4585069375437134,Sim2
ENSMUSG00000022935,0.4530894667761899,0.0,0.0,0.4478606299122232,0.4582873127665324,Grik1
ENSMUSG00000097648,0.4528973654906504,0.0,0.0,0.44766739012337275,0.45809635633996043,9330185C12Rik
ENSMUSG00000051354,0.4521515987741983,0.0,0.0,0.446917208191267,0.45735502959455365,Samd3
ENSMUSG00000022057,0.450077826391179,0.0,0.0,0.4448311970045254,0.4552935655351478,Adamdec1
ENSMUSG00000085180,0.44851620308219814,0.0,0.0,0.44326039501948405,0.45374117391312596,AI838599
ENSMUSG00000091345,0.44778125472738384,0.0,0.0,0.44252113806534643,0.453010559301792,Col6a5
ENSMUSG00000063704,0.4475515964362207,0.0,0.0,0.44229013487957486,0.4527822537879614,Mapk15
ENSMUSG00000039543,0.4472251514429812,0.0,0.0,0.44196177940358344,0.4524577305032525,Cfap70
ENSMUSG00000000125,0.4449183534210821,0.0,0.0,0.43964152130300416,0.45016447258650805,Wnt3
ENSMUSG00000032514,0.4429074423586632,0.0,0.0,0.4376189341077076,0.44816530841629704,Ttc21a
ENSMUSG00000110917,0.4420986461823747,0.0,0.0,0.436805456836951,0.44736122205518836,RP23-35O24.3
ENSMUSG00000084989,0.4371864297219714,0.0,0.0,0.43186499574543386,0.4424774278588692,Crocc2
ENSMUSG00000046634,0.43699828244331407,0.0,0.0,0.4316757729929241,0.4422903629664589,Pkd1l1
ENSMUSG00000061171,0.4353504225487032,0.0,0.0,0.43001851373866484,0.4406519633136654,Slc38a11
ENSMUSG00000061322,0.43453679358022107,0.0,0.0,0.42920025709760573,0.4398429923035269,Dnaic1
ENSMUSG00000102343,0.4342255799958845,0.0,0.0,0.42888727574173535,0.43953355811434,Gm37381
ENSMUSG00000049571,0.43336154970453494,0.0,0.0,0.4280183442589995,0.4386744613991199,Cfap46
ENSMUSG00000022262,0.4330915881688759,0.0,0.0,0.4277468533983017,0.43840603934120526,Dnah5
ENSMUSG00000028523,0.432361840180922,0.0,0.0,0.42701297623363765,0.4376804480558528,Tctex1d1
ENSMUSG00000071550,0.4311531783640984,0.0,0.0,0.4257974908734316,0.43647865563424965,Cfap44
ENSMUSG00000030041,0.4292642390569638,0.0,0.0,0.4238979262015197,0.4346004140017874,M1ap
ENSMUSG00000031595,0.4290397306714467,0.0,0.0,0.4236721580856613,0.4343771739936045,Pdgfrl
ENSMUSG00000096141,0.42883300356273873,0.0,0.0,0.4234642716082,0.4341716142256684,Dnah7a
ENSMUSG00000030897,0.42879591334075196,0.0,0.0,0.4234269734363351,0.43413473338487163,Cnga4
ENSMUSG00000108415,0.42819648786962783,0.0,0.0,0.42282418975300695,0.43353868930000716,Gm30146
ENSMUSG00000001604,0.42697851879855603,0.0,0.0,0.42159941179353094,0.43232757644917436,Tcea3
ENSMUSG00000010136,0.4256801348402395,0.0,0.0,0.42029379101139946,0.4310364801317005,Pifo
ENSMUSG00000110427,0.4254799444600176,0.0,0.0,0.4200924868113034,0.4308374114395402,RP23-163N19.1
ENSMUSG00000032595,0.4253294204500912,0.0,0.0,0.41994112566462144,0.4306877304882931,Cdhr4
ENSMUSG00000050138,0.424916747444518,0.0,0.0,0.41952615912246655,0.43027736728022387,Kcnk12
ENSMUSG00000020847,0.4235387337641919,0.0,0.0,0.4181405030986796,0.4289070505129793,Rph3al
ENSMUSG00000060985,0.42146196304741973,0.0,0.0,0.41605226225186026,0.42684183295097355,Tdrd5
ENSMUSG00000022375,0.4201616207770071,0.0,0.0,0.4147447671593427,0.4255486959656524,Lrrc6
ENSMUSG00000053153,0.41856488474181686,0.0,0.0,0.41313927851879667,0.42396077745868227,Spag16
ENSMUSG00000056598,0.4172397925133534,0.0,0.0,0.4118069483245714,0.42264297749239216,Lrrc48
ENSMUSG00000040387,0.41549855404490216,0.0,0.0,0.4100562341144004,0.4209112866889041,Klhl32
ENSMUSG00000031893,0.41392989938188646,0.0,0.0,0.4084790772416245,0.41935119958726563,Tsnaxip1
ENSMUSG00000042372,0.4135064993457266,0.0,0.0,0.4080533879279345,0.4189301065581021,Dmrt3
ENSMUSG00000022805,0.41339468805545915,0.0,0.0,0.40794097248205474,0.41881890411182715,Maats1
ENSMUSG00000057816,0.4132587197051591,0.0,0.0,0.4078042696698812,0.418683675928311,1700007G11Rik
ENSMUSG00000000386,0.41101279018429554,0.0,0.0,0.4055462436626556,0.41644993769753813,Mx1
ENSMUSG00000034467,0.40845445048490114,0.0,0.0,0.4029742061288745,0.4139054051275274,Dynlrb2
ENSMUSG00000028459,0.4081692946296401,0.0,0.0,0.4026875288571989,0.4136217829565137,Cd72
ENSMUSG00000023403,0.4079407116565178,0.0,0.0,0.4024577270823385,0.41339442863148856,Stk31
ENSMUSG00000029601,0.40789673874367455,0.0,0.0,0.40241351978569184,0.4133506919978729,Iqcd
ENSMUSG00000074071,0.4077461446939175,0.0,0.0,0.40226212323539734,0.41320090694299866,Fam169b
