,Spinal cord_corr,Spinal cord_pval,Spinal cord_qval,Spinal cord_ci_low,Spinal cord_ci_high,gene_annotation
ENSMUSG00000057177,0.787548922630426,0.0,0.0,0.7850447164483031,0.7900273867475881,Gsk3a
ENSMUSG00000025794,0.7741951930692877,0.0,0.0,0.7715536995480867,0.7768099913629064,Rpl14
ENSMUSG00000026238,0.7414343583157323,0.0,0.0,0.738466117780917,0.7443738647055199,Ptma
ENSMUSG00000045128,0.7398203501568914,0.0,0.0,0.7368363813550363,0.742775495134053,Rpl18a
ENSMUSG00000021039,0.7271443581974109,0.0,0.0,0.7240380693661128,0.7302211533142766,Snw1
ENSMUSG00000048058,0.7263162311062233,0.0,0.0,0.7232020254874321,0.7294009013575493,Ldlrad3
ENSMUSG00000024222,0.7147750437422823,0.0,0.0,0.711551455759869,0.7179685425012324,Fkbp5
ENSMUSG00000039191,0.7109507952968781,0.0,0.0,0.7076913536981734,0.714179975032386,Rbpj
ENSMUSG00000063457,0.6986107929642553,0.0,0.0,0.6952369865412611,0.7019538169245854,Rps15
ENSMUSG00000029454,0.696262813352921,0.0,0.0,0.6928674756753888,0.6996272757620202,Mapkapk5
ENSMUSG00000022674,0.6953797990766585,0.0,0.0,0.69197638302629,0.6987523054700268,Ube2v2
ENSMUSG00000020572,0.690657439347551,0.0,0.0,0.6872109961981444,0.6940727936740436,Nampt
ENSMUSG00000031652,0.6837507744498935,0.0,0.0,0.6802419363008201,0.6872282760460219,N4bp1
ENSMUSG00000034892,0.6805838818978986,0.0,0.0,0.6770466460686955,0.6840896732257762,Rps29
ENSMUSG00000005732,0.6762033628487796,0.0,0.0,0.6726270664951203,0.6797480711909338,Ranbp1
ENSMUSG00000024767,0.6759603415195001,0.0,0.0,0.6723818856457184,0.6795072016167402,Otub1
ENSMUSG00000030980,0.6758764769690377,0.0,0.0,0.6722972760458568,0.6794240794408155,Knop1
ENSMUSG00000035024,0.6746142639062915,0.0,0.0,0.6710238608261101,0.6781730285730949,Ncapd3
