,Cardiomyocytes_2_corr,Cardiomyocytes_2_pval,Cardiomyocytes_2_qval,Cardiomyocytes_2_ci_low,Cardiomyocytes_2_ci_high,gene_annotation
ENSMUSG00000026459,0.7174946763450707,0.0,0.0,0.7142967042334447,0.7206626852897474,Myog
ENSMUSG00000004366,0.6985173619313589,0.0,0.0,0.6951426973336711,0.701861240335493,Sst
ENSMUSG00000055409,0.6831377079538973,0.0,0.0,0.6796233619981152,0.6866206961835161,Nell1
ENSMUSG00000033910,0.6797348205658015,0.0,0.0,0.6761899938320655,0.6832481744565456,Gucy1a3
ENSMUSG00000028949,0.6667717693269997,0.0,0.0,0.6631122386483886,0.6703994256943021,Smarcd3
ENSMUSG00000043639,0.6546702871325761,0.0,0.0,0.650905692158471,0.6584026852532601,Rbm20
ENSMUSG00000097222,0.6443819143788598,0.0,0.0,0.6405295271291389,0.6482018695332203,1010001N08Rik
ENSMUSG00000009471,0.643574804468468,0.0,0.0,0.639715589524144,0.6474015703603121,Myod1
ENSMUSG00000036510,0.6371509869060384,0.0,0.0,0.633237738668811,0.6410316588248259,Cdh8
ENSMUSG00000056602,0.6314612427561316,0.0,0.0,0.6275005936451803,0.6353892141691232,Fry
ENSMUSG00000086490,0.6204126562681578,0.0,0.0,0.6163611904086926,0.6244312776342932,Gm12292
ENSMUSG00000107638,0.6196960479388244,0.0,0.0,0.6156387477194362,0.6237204942046748,Gm30524
ENSMUSG00000024087,0.6156444636171743,0.0,0.0,0.6115543051777671,0.6197017177022128,Cyp1b1
ENSMUSG00000085488,0.613294946064686,0.0,0.0,0.6091858329736146,0.6173711279668136,4930557F10Rik
ENSMUSG00000015627,0.6118883277092471,0.0,0.0,0.6077679018530422,0.6159758071481708,Gata5
ENSMUSG00000038193,0.6101436567737055,0.0,0.0,0.6060092358583917,0.6142451132520498,Hand2
ENSMUSG00000040797,0.6099347550641503,0.0,0.0,0.6057986611315589,0.6140378824664956,Iqsec3
ENSMUSG00000052479,0.609333872993262,0.0,0.0,0.6051929700467196,0.6134418034651007,A330008L17Rik
ENSMUSG00000021373,0.6082389563216828,0.0,0.0,0.6040893028020553,0.6123556268267704,Cap2
ENSMUSG00000108986,0.6050085033610093,0.0,0.0,0.600833124827075,0.609150869975439,Gm45009
ENSMUSG00000099906,0.6047510670610131,0.0,0.0,0.6005736444495521,0.6088954755900167,Gm28653
ENSMUSG00000028072,0.6042752240969499,0.0,0.0,0.6000940255471027,0.6084234046208344,Ntrk1
ENSMUSG00000100618,0.6028736696602713,0.0,0.0,0.5986813668765723,0.6070329432130916,Gm29595
ENSMUSG00000031962,0.5998034878277446,0.0,0.0,0.5955869517456425,0.6039869722691343,Cdh15
ENSMUSG00000022309,0.5965303062396414,0.0,0.0,0.5922880723782189,0.6007394677840143,Angpt1
ENSMUSG00000015968,0.5961372285345707,0.0,0.0,0.5918919181818063,0.600349464309584,Cacna1d
ENSMUSG00000090053,0.5952618318999924,0.0,0.0,0.5910096774726404,0.5994809068858133,Palm2
ENSMUSG00000038242,0.5952384692861886,0.0,0.0,0.5909861323433157,0.5994577266609546,Aox4
ENSMUSG00000029771,0.594843305173753,0.0,0.0,0.5905878821918163,0.5990656464720432,Irf5
ENSMUSG00000044033,0.5918160506096957,0.0,0.0,0.5875370550082946,0.5960619499097581,Ccdc141
ENSMUSG00000063430,0.5891856087390703,0.0,0.0,0.5848862291878761,0.593451881561968,Wscd2
ENSMUSG00000018822,0.5889349983995303,0.0,0.0,0.5846336815980164,0.593203207589328,Sfrp5
ENSMUSG00000027971,0.5887696929664538,0.0,0.0,0.5844670987888431,0.5930391789600898,Ndst4
ENSMUSG00000028364,0.5878678985572094,0.0,0.0,0.5835583422674646,0.5921443436873568,Tnc
ENSMUSG00000030730,0.5869679979627503,0.0,0.0,0.5826515049412377,0.5912513771013947,Atp2a1
ENSMUSG00000052562,0.5853549258173832,0.0,0.0,0.5810260256015543,0.5896507078829839,Slc22a30
ENSMUSG00000086733,0.5851742719804063,0.0,0.0,0.5808439843879312,0.5894714409937518,Gm11685
ENSMUSG00000026430,0.5851725108156208,0.0,0.0,0.5808422096999689,0.5894696933480104,Rassf5
ENSMUSG00000021314,0.5850846843153555,0.0,0.0,0.5807537088724962,0.5893825409700479,Amph
ENSMUSG00000070866,0.5832074557203938,0.0,0.0,0.5788620914943658,0.5875196973352762,Zfp804a
ENSMUSG00000021356,0.5823720435213704,0.0,0.0,0.5780202909757635,0.5866906720959708,Irf4
ENSMUSG00000008136,0.5807460606187888,0.0,0.0,0.5763819008890483,0.5850770943323291,Fhl2
