,Erythroid3_1_corr,Erythroid3_1_pval,Erythroid3_1_qval,Erythroid3_1_ci_low,Erythroid3_1_ci_high,gene_annotation
ENSMUSG00000055609,0.3399189732841075,0.0,0.0,0.3341039832320656,0.3457080877184457,Hba-x
ENSMUSG00000052187,0.3368740660536014,0.0,0.0,0.3310456438100946,0.3426767847189666,Hbb-y
ENSMUSG00000052217,0.32331358688660405,0.0,0.0,0.31742683127573973,0.3291754244785404,Hbb-bh1
ENSMUSG00000069919,0.3217337664080808,0.0,0.0,0.31584037277042115,0.3276023355672522,Hba-a1
ENSMUSG00000069917,0.30936274059427255,0.0,0.0,0.30341850610750337,0.315282897261679,Hba-a2
ENSMUSG00000073940,0.29370568298207506,0.0,0.0,0.28769999931849993,0.2996882687436843,Hbb-bt
ENSMUSG00000038725,0.2724005428625549,0.0,0.0,0.2663164384777031,0.2784629420899093,Pkhd1l1
ENSMUSG00000006574,0.2636935893711221,0.0,0.0,0.25757915963038736,0.2697869018011793,Slc4a1
ENSMUSG00000027495,0.2558391624574936,0.0,0.0,0.2496982343537274,0.26195951240527493,Fam210b
ENSMUSG00000051839,0.2545110615771306,0.0,0.0,0.248365733284652,0.2606359036914273,Gypa
ENSMUSG00000021991,0.2503991568638083,0.0,0.0,0.2442403527088019,0.25653776107569864,Cacna2d3
ENSMUSG00000028332,0.25013369605661334,0.0,0.0,0.24397402957264216,0.2562731811520531,Hemgn
ENSMUSG00000028716,0.24908032826135515,0.0,0.0,0.24291724915110907,0.25522329969863633,Pdzk1ip1
ENSMUSG00000052305,0.2432936927124472,0.0,0.0,0.23711212737704482,0.24945555785785256,Hbb-bs
ENSMUSG00000034853,0.22515923474176813,0.0,0.0,0.21892259533230377,0.23137747774104186,Acot11
ENSMUSG00000071713,0.22344885360843508,0.0,0.0,0.21720724346246512,0.2296721923335333,Csf2rb
ENSMUSG00000032596,0.2228496625750909,0.0,0.0,0.2166063201686606,0.2290747774276333,Uba7
ENSMUSG00000023216,0.2227691989572489,0.0,0.0,0.21652562429092254,0.22899455196360585,Epb42
ENSMUSG00000026532,0.2148466660650828,0.0,0.0,0.20858064056324416,0.2210950538324292,Spta1
ENSMUSG00000073063,0.21307796605375207,0.0,0.0,0.20680704133899055,0.21933138435489416,Hbq1b
ENSMUSG00000073400,0.2102323609104441,0.0,0.0,0.2039536405018388,0.21649378690455898,Trim10
ENSMUSG00000026614,0.20962681658990245,0.0,0.0,0.20334645102461846,0.21588993296791606,Slc30a10
ENSMUSG00000058794,0.20664807994495693,0.0,0.0,0.2003596920040119,0.21291944175179744,Nfe2
ENSMUSG00000070803,0.20612340229255158,0.0,0.0,0.1998336133895255,0.21239620444874407,Cited4
ENSMUSG00000034248,0.20412010632224664,0.0,0.0,0.19782500169624398,0.21039837485664695,Slc25a37
ENSMUSG00000001348,0.20222257605573596,0.0,0.0,0.19592248510504168,0.20850597400625404,Acp5
ENSMUSG00000044197,0.20024249045423242,0.0,0.0,0.19393724680668661,0.2065311908192996,Gpr146
ENSMUSG00000029866,0.19923709410708282,0.0,0.0,0.19292925392471372,0.20552846718216733,Kel
ENSMUSG00000071714,0.1968391228199901,0.0,0.0,0.19052514338619977,0.20313681725083005,Csf2rb2
ENSMUSG00000025648,0.19675099423576428,0.0,0.0,0.1904367906192609,0.20304891955306845,Pfkfb4
ENSMUSG00000034041,0.19669911674005952,0.0,0.0,0.19038478120469338,0.20299717792280458,Lyl1
ENSMUSG00000054191,0.19557426433346894,0.0,0.0,0.1892570771364355,0.20187526281807786,Klf1
ENSMUSG00000032126,0.19448558639878047,0.0,0.0,0.18816565511628458,0.2007894119766121,Hmbs
ENSMUSG00000084833,0.19401991815566508,0.0,0.0,0.18769881789147802,0.20032494825709404,Gm12649
ENSMUSG00000042770,0.1919476158069814,0.0,0.0,0.18562134800893845,0.19825797187249394,Hebp1
ENSMUSG00000025573,0.1897506253842484,0.0,0.0,0.18341894088815203,0.19606656657535387,6030468B19Rik
ENSMUSG00000050549,0.18895092172574465,0.0,0.0,0.18261728133280364,0.1952688802389496,5730508B09Rik
ENSMUSG00000053897,0.18585951074484053,0.0,0.0,0.17951838864990954,0.19218518899584822,Slc39a8
ENSMUSG00000062729,0.18522509786194583,0.0,0.0,0.17888245595018457,0.19155234489292253,Ppox
ENSMUSG00000025915,0.18396806376833139,0.0,0.0,0.17762242612475543,0.1902984036609132,Sgk3
ENSMUSG00000008843,0.18396008034839412,0.0,0.0,0.1776144237454226,0.1902904398177233,Cldn13
ENSMUSG00000069814,0.18349342153633097,0.0,0.0,0.17714665814860975,0.18982492388729344,Ccdc92b
ENSMUSG00000031974,0.1832257682714347,0.0,0.0,0.1768783713786255,0.18955792484025283,Abcb10
ENSMUSG00000000253,0.18292268758711797,0.0,0.0,0.17657457447530556,0.18925558383749605,Gmpr
ENSMUSG00000023926,0.1813687240293754,0.0,0.0,0.1750169576979826,0.18770539393317734,Rhag
ENSMUSG00000063856,0.18075830092234962,0.0,0.0,0.17440510824236422,0.18709644454516589,Gpx1
ENSMUSG00000028644,0.1772463321788162,0.0,0.0,0.17088502854376797,0.18359285996667304,Ermap
ENSMUSG00000040466,0.17686374087927728,0.0,0.0,0.17050156345124626,0.18321117229200162,Blvrb
ENSMUSG00000024663,0.1764893486629359,0.0,0.0,0.17012631803321868,0.18283766248286396,Rab3il1
ENSMUSG00000028278,0.17591324264771271,0.0,0.0,0.16954890273564957,0.1822629107156993,Rragd
ENSMUSG00000027869,0.1730296824246733,0.0,0.0,0.16665885488127014,0.1793860636401979,Hsd3b6
ENSMUSG00000027333,0.17222126278964794,0.0,0.0,0.16584863605403397,0.17857950655577987,Smox
ENSMUSG00000096982,0.1698459048730673,0.0,0.0,0.16346804139540813,0.1762095718807956,Redrum
ENSMUSG00000078621,0.16951117678130748,0.0,0.0,0.16313258132876152,0.17587560208480252,Hbb-bh2
ENSMUSG00000105283,0.16881485110424604,0.0,0.0,0.162434737669678,0.17518084917576823,Gm33370
ENSMUSG00000090523,0.167992251094048,0.0,0.0,0.1616103526242939,0.17436009897630914,Gypc
ENSMUSG00000023328,0.16660435511285498,0.0,0.0,0.16021946511176538,0.17297530394909735,Ache
ENSMUSG00000036019,0.16588830534310822,0.0,0.0,0.15950188185213934,0.17226084418796347,Tmtc2
ENSMUSG00000097615,0.16549518367521432,0.0,0.0,0.15910792114580669,0.17186859260679768,Gm2061
ENSMUSG00000040447,0.16505506725643668,0.0,0.0,0.15866686780127096,0.17142944788932618,Spns2
ENSMUSG00000001542,0.16487661294042047,0.0,0.0,0.15848803431576733,0.17125138684797023,Ell2
ENSMUSG00000034663,0.1643012014531599,0.0,0.0,0.15791140308194604,0.1706772406067088,Bmp2k
ENSMUSG00000025889,0.1640986994980668,0.0,0.0,0.157708472903674,0.1704751828938932,Snca
ENSMUSG00000021061,0.16390970027843,0.0,0.0,0.15751907450152583,0.17028659781085548,Sptb
ENSMUSG00000030000,0.16253311864224937,0.0,0.0,0.1561395995899917,0.16891301845957268,Add2
ENSMUSG00000073938,0.15929715915084053,0.0,0.0,0.1528969370381136,0.16568401890364393,Olfr632
ENSMUSG00000042453,0.15574891610509245,0.0,0.0,0.14934150245987893,0.16214325004431407,Reln
ENSMUSG00000005161,0.1545097519183138,0.0,0.0,0.1480998657862356,0.1609066572962681,Prdx2
