,Mesenchyme_2_corr,Mesenchyme_2_pval,Mesenchyme_2_qval,Mesenchyme_2_ci_low,Mesenchyme_2_ci_high,gene_annotation
ENSMUSG00000026725,0.8066320809525704,0.0,0.0,0.8043281895534269,0.8089117185866572,Tnn
ENSMUSG00000027750,0.7909615123708557,0.0,0.0,0.7884927715993344,0.7934047662476191,Postn
ENSMUSG00000027460,0.7898848873644938,0.0,0.0,0.7874049409885641,0.7923392658303099,Angpt4
ENSMUSG00000026043,0.7757389887292125,0.0,0.0,0.7731132452486349,0.7783381435071582,Col3a1
ENSMUSG00000029661,0.7675868748699262,0.0,0.0,0.7648783210814842,0.7702682881896242,Col1a2
ENSMUSG00000026042,0.7631729547749321,0.0,0.0,0.7604199331702645,0.7658985481710525,Col5a2
ENSMUSG00000036655,0.7599851066519626,0.0,0.0,0.7572001306079078,0.762742451452262,Colec11
ENSMUSG00000041559,0.7548777930885373,0.0,0.0,0.7520419043184211,0.7576857336350136,Fmod
ENSMUSG00000036545,0.7506012651355551,0.0,0.0,0.7477230125966627,0.7534513118577147,Adamts2
ENSMUSG00000000416,0.7493985958226417,0.0,0.0,0.74650847337781,0.7522604412878682,Cttnbp2
ENSMUSG00000022676,0.74465419085188,0.0,0.0,0.7417174307033059,0.7475623987418909,Snai2
ENSMUSG00000053519,0.7427579825858643,0.0,0.0,0.7398026664527731,0.7456846388632054,Kcnip1
ENSMUSG00000022371,0.7424830313360179,0.0,0.0,0.7395250285486372,0.7454123587805704,Col14a1
ENSMUSG00000027188,0.7381598699596847,0.0,0.0,0.735159756218758,0.7411310686527591,Pamr1
ENSMUSG00000038591,0.7380435631480468,0.0,0.0,0.7350423199251583,0.7410158849728559,Colec10
ENSMUSG00000036446,0.7370226780592122,0.0,0.0,0.7340115285155975,0.7400048506866701,Lum
ENSMUSG00000026837,0.7335255403874829,0.0,0.0,0.7304805609733422,0.7365413557065922,Col5a1
ENSMUSG00000001119,0.7309188209574701,0.0,0.0,0.7278487311062484,0.7339596102078741,Col6a1
ENSMUSG00000004791,0.7214585872906814,0.0,0.0,0.7182981270130137,0.7245892730419485,Pgf
ENSMUSG00000029718,0.7185190260124322,0.0,0.0,0.7153307276347749,0.721677409412283,Pcolce
ENSMUSG00000050069,0.7181136554642746,0.0,0.0,0.714921527186503,0.72127584964761,Grem2
ENSMUSG00000048126,0.7131161259974848,0.0,0.0,0.7098769612059599,0.7163251260150224,Col6a3
ENSMUSG00000048583,0.7127738556713356,0.0,0.0,0.709531481606609,0.7159860495005798,Igf2
ENSMUSG00000073209,0.7101626702000159,0.0,0.0,0.7068958638459256,0.7133991797804953,Klf14
ENSMUSG00000051041,0.7085772159530994,0.0,0.0,0.7052956191132002,0.7118284464806626,Olfml1
ENSMUSG00000040856,0.7081183500670735,0.0,0.0,0.7048324787702109,0.7113738350972599,Dlk1
ENSMUSG00000067158,0.7074184509130322,0.0,0.0,0.7041260652655088,0.710680420006187,Col4a4
ENSMUSG00000074577,0.7073159215533809,0.0,0.0,0.7040225821553576,0.7105788399751748,Fam65c
ENSMUSG00000028011,0.7042139379197799,0.0,0.0,0.7008918093130961,0.7075055135815442,Tdo2
ENSMUSG00000063260,0.7024042005178702,0.0,0.0,0.6990653350391705,0.7057124376767074,Syt10
ENSMUSG00000029468,0.7012780768635417,0.0,0.0,0.6979288187216415,0.7045966603827338,P2rx7
ENSMUSG00000050737,0.6966145783115691,0.0,0.0,0.6932224616908793,0.6999758334412121,Ptges
ENSMUSG00000020241,0.6889884788102412,0.0,0.0,0.6855269001005482,0.6924189072818638,Col6a2
ENSMUSG00000022261,0.6880826786998356,0.0,0.0,0.6846129009288274,0.6915212733157959,Sdc2
