,Notochord_2_corr,Notochord_2_pval,Notochord_2_qval,Notochord_2_ci_low,Notochord_2_ci_high,gene_annotation
ENSMUSG00000072694,0.6217047888631585,0.0,0.0,0.6176638603050701,0.6257128904017513,1500011B03Rik
ENSMUSG00000068114,0.6080066493644444,0.0,0.0,0.6038551412947459,0.6121251722318253,Ccdc134
ENSMUSG00000002658,0.607628957527465,0.0,0.0,0.6034744358024253,0.6117504905293971,Gtf2f1
ENSMUSG00000034098,0.5907279734735813,0.0,0.0,0.5864405349536703,0.5949823111231545,Fstl5
ENSMUSG00000022283,0.5834979042817345,0.0,0.0,0.5791547632587675,0.5878079232155674,Pabpc1
ENSMUSG00000097077,0.5822034873976625,0.0,0.0,0.5778504470419089,0.5865234035334946,Gm16712
ENSMUSG00000032498,0.5779905965582005,0.0,0.0,0.5736054911602717,0.5823425742832157,Mlh1
ENSMUSG00000037316,0.5761684398195266,0.0,0.0,0.5717695386347637,0.5805342134813016,Bag4
ENSMUSG00000047246,0.573426060257771,0.0,0.0,0.569006479209046,0.577812515870392,Hist1h2be
ENSMUSG00000002489,0.5643203119938562,0.0,0.0,0.5598327816118931,0.5687747397834902,Tiam1
ENSMUSG00000085510,0.5635815558011328,0.0,0.0,0.559088560881947,0.5680414510462537,Gm12082
ENSMUSG00000051497,0.5607662613401454,0.0,0.0,0.5562525082161831,0.5652469273653519,Kcnj16
ENSMUSG00000028957,0.5573187211708736,0.0,0.0,0.5527796912685483,0.5618246824989168,Per3
ENSMUSG00000052407,0.5566211084837147,0.0,0.0,0.5520769829825078,0.5611321695758865,Ccdc171
ENSMUSG00000032952,0.5558767462492047,0.0,0.0,0.5513271907931934,0.5603932418948142,Ap4b1
ENSMUSG00000023004,0.5545410731454671,0.0,0.0,0.5499817926803483,0.5590673024505228,Tuba1b
ENSMUSG00000037355,0.5527669179478543,0.0,0.0,0.5481947564840867,0.5573060405314589,Uvssa
ENSMUSG00000051147,0.5522619588672281,0.0,0.0,0.5476861388527783,0.5568047436609957,Nat2
ENSMUSG00000090626,0.5514639431739284,0.0,0.0,0.5468823482381645,0.5560125088205403,Tex9
ENSMUSG00000064052,0.5510220747909341,0.0,0.0,0.5464372858630429,0.555573837792041,Gm5089
ENSMUSG00000037526,0.5509664087966031,0.0,0.0,0.54638121767747,0.5555185744164796,Atg14
ENSMUSG00000027238,0.5496794457041349,0.0,0.0,0.5450849676325062,0.5542409084063173,Frmd5
ENSMUSG00000068479,0.5496369286736503,0.0,0.0,0.5450421441664711,0.5541986981540676,Mfap1a
ENSMUSG00000030226,0.5475360443810603,0.0,0.0,0.5429261479042589,0.5521129434023385,Lmo3
ENSMUSG00000041168,0.546694395021329,0.0,0.0,0.5420784608590572,0.5512773391178037,Lonp1
ENSMUSG00000026649,0.5414054783134783,0.0,0.0,0.5367518183832846,0.5460261991793224,Cfap126
ENSMUSG00000055567,0.5413093033976277,0.0,0.0,0.5366549608870437,0.5459307078439157,Unc80
ENSMUSG00000066900,0.5408361995614743,0.0,0.0,0.5361785010857499,0.5454609649300018,Suds3
ENSMUSG00000054517,0.5374176589775779,0.0,0.0,0.5327357992645326,0.5420666232567183,Trim65
ENSMUSG00000030086,0.5373233346778198,0.0,0.0,0.5326408105051749,0.5419729645021139,Chchd6
ENSMUSG00000068394,0.524156552557268,0.0,0.0,0.5193824335592289,0.5288979527679845,Cep152
ENSMUSG00000040048,0.5241145248905402,0.0,0.0,0.5193401172063726,0.5288562144235243,Ndufb10
ENSMUSG00000022321,0.5228637878681441,0.0,0.0,0.5180807996448735,0.5276140770902807,Cdh10
ENSMUSG00000003680,0.5226907154070638,0.0,0.0,0.5179065414730757,0.5274421930231231,Taf6l
ENSMUSG00000025370,0.522615141923013,0.0,0.0,0.5178304503634311,0.5273671383388455,Cdh9
ENSMUSG00000045532,0.5211078822714104,0.0,0.0,0.516312882847413,0.5258702102914716,C1ql1
ENSMUSG00000021714,0.5206029390959084,0.0,0.0,0.5158044931946432,0.5253687216830483,Cenpk
ENSMUSG00000054499,0.5197130803967498,0.0,0.0,0.5149085690124781,0.5244849428903249,Dedd2
