,Spinal cord_corr,Spinal cord_pval,Spinal cord_qval,Spinal cord_ci_low,Spinal cord_ci_high,gene_annotation
ENSMUSG00000042846,0.1803978077610581,0.0,0.0,0.17404377503684404,0.18673681941965303,Lrrtm3
ENSMUSG00000110874,0.16530941279172354,0.0,0.0,0.15892175447980098,0.17168323218238593,RP24-295B16.1
ENSMUSG00000000560,0.1588127915887937,0.0,0.0,0.15241157800102584,0.16520068134095733,Gabra2
ENSMUSG00000026312,0.15861524459433268,0.0,0.0,0.15221362752463916,0.16500355354590837,Cdh7
ENSMUSG00000067274,0.14738305669463775,0.0,0.0,0.140959343040677,0.15379436103583904,Rplp0
ENSMUSG00000007279,0.13966017338749154,0.0,0.0,0.13322222992344748,0.14608633114251296,Scube2
ENSMUSG00000012848,0.13734899469182868,0.0,0.0,0.1309069453095022,0.14377944583412694,Rps5
ENSMUSG00000062257,0.13439384690158707,0.0,0.0,0.12794664992279178,0.1408296858952993,Opcml
ENSMUSG00000060424,0.12970331430669654,0.0,0.0,0.12324818271741064,0.13614747049250894,Pantr1
ENSMUSG00000063600,0.12584495894043127,0.0,0.0,0.11938351739470807,0.13229574089501267,Egfem1
ENSMUSG00000100252,0.1222068852062464,8.691905638958625e-295,6.2085040278275895e-292,0.11573967329709121,0.1286637361928583,Mir124-2hg
ENSMUSG00000020163,0.12177535488925953,1.0535672099217482e-292,7.023781399478321e-290,0.11530747007601394,0.12823291426245034,Uqcr11
ENSMUSG00000040213,0.12126463237030614,3.010794933002335e-290,1.881746833126459e-287,0.11479595432941309,0.12772302698032204,Kyat3
ENSMUSG00000044254,0.11762955223470893,4.468863046672572e-273,2.4827016925958734e-270,0.1111553274677615,0.12409379303992873,Pcsk9
ENSMUSG00000037946,0.11739351582674983,5.5778875055389325e-272,2.9357302660731224e-269,0.11091893690242483,0.12385813026277473,Fgd3
ENSMUSG00000038895,0.11609176904198273,5.6427129122231694e-266,2.8213564561115847e-263,0.10961525009228419,0.12255843096031964,Zfp653
ENSMUSG00000004032,0.11593002981047865,3.1099869066610004e-265,1.4809461460290478e-262,0.10945327137307956,0.12239694457492717,Gstm5
ENSMUSG00000028234,0.11586928591187295,5.900367277005699e-265,2.681985125911681e-262,0.10939243761967914,0.12233629554849762,Rps20
ENSMUSG00000035242,0.1154983088171966,2.9251812812000632e-263,1.2188255338333598e-260,0.10902091281389738,0.12196589681202707,Oaz1
ENSMUSG00000038156,0.11433453452838441,5.595453091303079e-258,2.1520973428088766e-255,0.10785543207003098,0.12080392517294544,Spon1
ENSMUSG00000039199,0.11426350929572487,1.1705404925397884e-257,4.335335157554772e-255,0.10778430326889095,0.12073300938213198,Zdhhc1
ENSMUSG00000040612,0.11366561735260337,5.736324368642021e-255,2.0486872745150077e-252,0.10718554211345595,0.12013603610522308,Ildr2
ENSMUSG00000025551,0.11270535038071477,1.1191701854711161e-250,3.73056728490372e-248,0.10622388894718081,0.11917723479889078,Fgf14
ENSMUSG00000040478,0.10959637289206192,4.803022739499743e-237,1.3722922112856408e-234,0.10311050666221197,0.11607291976963519,Prdm13
ENSMUSG00000030986,0.10863213468621659,6.757221965264264e-233,1.8770061014622956e-230,0.10214492814422746,0.11511010190107054,Dhx32
ENSMUSG00000020037,0.10856153827305438,1.3551825951447056e-232,3.5662699872229096e-230,0.10207423408076384,0.11503960899928131,Rfx4
ENSMUSG00000058546,0.1062533573546931,7.982551285923162e-223,1.7739002857607028e-220,0.09976289653627687,0.1127347764902137,Rpl23a
ENSMUSG00000039717,0.1039850217879949,1.9647748264928207e-213,3.929549652985642e-211,0.09749152707473946,0.11046966357566046,Ralyl
ENSMUSG00000003429,0.10375717064798226,1.679329854508345e-212,3.2928036362908727e-210,0.09726337492281958,0.11024213242333275,Rps11
ENSMUSG00000061531,0.10370647916375439,2.7049494887174654e-212,5.103678280598991e-210,0.09721261656337982,0.11019151203635649,Tmem236
ENSMUSG00000020956,0.1032710004767242,1.608300793126112e-210,2.924183260229295e-208,0.0967765647586793,0.10975664274321477,Dtd2
ENSMUSG00000028089,0.10315780533080138,4.6375309533425134e-210,8.136019216390375e-208,0.09666322104897519,0.10964360559210583,Chd1l
ENSMUSG00000055675,0.1020067196437573,2.059821303826802e-205,3.269557625121908e-203,0.09551063417693023,0.10849411703321823,Kbtbd11
ENSMUSG00000064068,0.10162291236747127,7.105075310262388e-204,1.076526562160968e-201,0.09512633023165395,0.10811083843186772,Mtx1
ENSMUSG00000003617,0.10095191700106923,3.3547262382111794e-201,4.792466054587399e-199,0.09445447121017435,0.10744076269384818,Cp
ENSMUSG00000039787,0.10029414306185831,1.3471842031404433e-198,1.8205191934330314e-196,0.09379585637831185,0.10678388454046707,Cercam
ENSMUSG00000052133,0.1001410124081046,5.4085983534828565e-198,7.116576780898496e-196,0.0936425307797839,0.10663096161391382,Sema5b
ENSMUSG00000054517,0.09954009730369114,1.2383012069976715e-195,1.5478765087470893e-193,0.09304085365152959,0.10603085870581924,Trim65
ENSMUSG00000039982,0.09952983325105354,1.3583320541530567e-195,1.6769531532753786e-193,0.09303057662421993,0.10602060848499645,Dtx4
ENSMUSG00000056671,0.09695753821989089,1.1716014482580039e-185,1.2874741189648393e-183,0.09045507364580603,0.10345173638061528,Prelid2
ENSMUSG00000038406,0.09681265088460929,4.173533543455364e-185,4.487670476833725e-183,0.09031000820682034,0.10330703926793285,Scaf1
ENSMUSG00000059734,0.0966289140718647,2.084256649311094e-184,2.1939543676958885e-182,0.09012604593123097,0.10312354328794653,Ndufs8
ENSMUSG00000007721,0.0961260110972673,1.6738644257283214e-182,1.7256334285858983e-180,0.08962252811549508,0.10262129723182777,Ccdc124
ENSMUSG00000021676,0.09575365708043639,4.241128376431495e-181,4.199137006367817e-179,0.08924972100649309,0.10224942746971229,Iqgap2
ENSMUSG00000025020,0.09499004584438514,3.082113422213091e-178,2.8538087242713805e-176,0.0884851862849375,0.10148680364769128,Slit1
ENSMUSG00000075020,0.09492039855351661,5.606121913597045e-178,5.0964744669064046e-176,0.08841545514640203,0.10141724603669584,Mir670hg
ENSMUSG00000040463,0.09421317421437929,2.3762045083968247e-175,2.102835848138783e-173,0.08770738299783841,0.10071092874279697,Mybbp1a
