,Surface ectoderm_corr,Surface ectoderm_pval,Surface ectoderm_qval,Surface ectoderm_ci_low,Surface ectoderm_ci_high,gene_annotation
ENSMUSG00000069833,0.841864135141843,0.0,0.0,0.8399428281982054,0.8437643373167454,Ahnak
ENSMUSG00000029576,0.8299570602644333,0.0,0.0,0.8279046027475279,0.8319872895260874,Radil
ENSMUSG00000034271,0.8250941098680622,0.0,0.0,0.82298863316002,0.8271769170060904,Jdp2
ENSMUSG00000028776,0.7980742981874172,0.0,0.0,0.7956799760199694,0.8004436806197468,Tinagl1
ENSMUSG00000054753,0.7799477372126329,0.0,0.0,0.7773650933006786,0.7825040876890701,AU018091
ENSMUSG00000025400,0.7792260500523069,0.0,0.0,0.7766359989601791,0.7817897565727997,Tac2
ENSMUSG00000042985,0.7734797131818596,0.0,0.0,0.7708309309916984,0.7761017510981708,Upk3b
ENSMUSG00000018217,0.7661807019470201,0.0,0.0,0.763457953574099,0.7688762173477952,Pmp22
ENSMUSG00000026621,0.7638207576276981,0.0,0.0,0.7610742460332419,0.7665398827615083,Marc1
ENSMUSG00000026837,0.7582467779144142,0.0,0.0,0.7554444341851666,0.761021381366624,Col5a1
ENSMUSG00000091243,0.757449431177176,0.0,0.0,0.754639134599547,0.7602319378617577,Vgll3
ENSMUSG00000049436,0.7568966934352622,0.0,0.0,0.7540808887425863,0.7596846739859837,Upk1b
ENSMUSG00000047420,0.7556691791819821,0.0,0.0,0.7528411566748971,0.758469301914458,Fam180a
ENSMUSG00000051279,0.755556775641353,0.0,0.0,0.7527276353512165,0.758358009260597,Gdf6
ENSMUSG00000037335,0.7546254082579283,0.0,0.0,0.7517870125731603,0.7574358403192976,Hand1
ENSMUSG00000016262,0.7533268942992937,0.0,0.0,0.750475614006615,0.7561501321294057,Sertad4
ENSMUSG00000031994,0.7527286801996412,0.0,0.0,0.7498714716344935,0.7555578102024804,Adamts8
ENSMUSG00000005125,0.7524641094942949,0.0,0.0,0.7496042805661733,0.7552958439387353,Ndrg1
ENSMUSG00000043895,0.7500338428579437,0.0,0.0,0.7471499876691313,0.752889458585403,S1pr2
ENSMUSG00000085562,0.7498245598957449,0.0,0.0,0.7469386393577905,0.752682228594651,2610028E06Rik
ENSMUSG00000024998,0.7490802308419227,0.0,0.0,0.7461869694750874,0.7519451964849904,Plce1
ENSMUSG00000076433,0.7487198767895391,0.0,0.0,0.7458230641373768,0.7515883725489151,BC100451
