,Cardiomyocytes_corr,Cardiomyocytes_pval,Cardiomyocytes_qval,Cardiomyocytes_ci_low,Cardiomyocytes_ci_high,gene_annotation
ENSMUSG00000039103,0.9466121402356014,0.0,0.0,0.9459261295091534,0.9472896836000017,Nexn
ENSMUSG00000072720,0.9424209226618859,0.0,0.0,0.9416826700342072,0.9431501032081028,Myo18b
ENSMUSG00000061816,0.9421454999967023,0.0,0.0,0.9414038225539482,0.942878065919113,Myl1
ENSMUSG00000039376,0.939967572991365,0.0,0.0,0.9391988492538741,0.9407268746414095,Synpo2l
ENSMUSG00000024049,0.9363955427165628,0.0,0.0,0.9355825974518935,0.9371985615137332,Myom1
ENSMUSG00000040694,0.9330274761655426,0.0,0.0,0.9321729906250873,0.9338715653110436,Apobec2
ENSMUSG00000018845,0.9330235387446516,0.0,0.0,0.9321690047304647,0.9338676758177206,Unc45b
ENSMUSG00000020469,0.9307794206065583,0.0,0.0,0.9298972928802456,0.931650841322348,Myl7
ENSMUSG00000032845,0.9302340962303043,0.0,0.0,0.9293452733503015,0.9311121371182399,Alpk2
ENSMUSG00000018830,0.9301170225622811,0.0,0.0,0.9292267628426922,0.9309964842109241,Myh11
ENSMUSG00000026208,0.9299112911559784,0.0,0.0,0.9290185069482885,0.9307932490535539,Des
ENSMUSG00000029683,0.9265847398985592,0.0,0.0,0.9256512147643837,0.9275069849308775,Lmod2
ENSMUSG00000060913,0.9256312727765469,0.0,0.0,0.9246860976071192,0.9265650387540662,Trim55
ENSMUSG00000021200,0.9237772544443613,0.0,0.0,0.9228094605364702,0.9247333893882526,Asb2
ENSMUSG00000090066,0.9234392344844936,0.0,0.0,0.9224673217350198,0.9243994429089911,1110002E22Rik
ENSMUSG00000020475,0.9215747799622142,0.0,0.0,0.9205801758894114,0.9225574304860702,Pgam2
ENSMUSG00000030046,0.9210010399740356,0.0,0.0,0.9199994625498528,0.9219905874897795,Bmp10
ENSMUSG00000026418,0.9207845367636357,0.0,0.0,0.9197803290587212,0.9217766857862284,Tnni1
ENSMUSG00000026414,0.9206938886119209,0.0,0.0,0.9196885798156237,0.9216871266851234,Tnnt2
ENSMUSG00000038216,0.9199483059796775,0.0,0.0,0.9189339448523489,0.9209504974965369,Pnmt
ENSMUSG00000097487,0.9196644889522195,0.0,0.0,0.9186466838731684,0.9206700868472785,Ptges3l
ENSMUSG00000020908,0.9189956094235009,0.0,0.0,0.9179696921437516,0.9200092311199937,Myh3
ENSMUSG00000040666,0.9189502724897401,0.0,0.0,0.9179238055779354,0.919964437834235,Sh3bgr
ENSMUSG00000091898,0.9189005973246916,0.0,0.0,0.9178735282187932,0.9199153583077406,Tnnc1
ENSMUSG00000053702,0.9177446983655175,0.0,0.0,0.9167036260221639,0.9187733103746996,Nebl
ENSMUSG00000015365,0.9177133224130173,0.0,0.0,0.9166718702118166,0.9187423101572235,Mov10l1
ENSMUSG00000031972,0.9172461547960258,0.0,0.0,0.9161990483131418,0.9182807354909341,Acta1
ENSMUSG00000001349,0.9163756104835816,0.0,0.0,0.9153179752981974,0.9174206058694497,Cnn1
ENSMUSG00000031880,0.9159520767375884,0.0,0.0,0.9148893228307892,0.917002135506145,Rrad
ENSMUSG00000051747,0.9149295904144374,0.0,0.0,0.9138544888730002,0.915991863569659,Ttn
ENSMUSG00000108322,0.914857842356931,0.0,0.0,0.9137818749040367,0.9159209720921289,Gm45123
ENSMUSG00000048070,0.9145605754846476,0.0,0.0,0.9134810211162229,0.9156272534990554,Pirt
ENSMUSG00000015579,0.914262007319727,0.0,0.0,0.9131788515221798,0.9153322479998169,Nkx2-5
ENSMUSG00000030730,0.9141678372001731,0.0,0.0,0.9130835457381536,0.915239201327255,Atp2a1
ENSMUSG00000062694,0.9140560370833478,0.0,0.0,0.9129703974979798,0.9151287348344459,Cav3
ENSMUSG00000004951,0.9140454828991965,0.0,0.0,0.9129597160565573,0.9151183065391009,Hspb1
ENSMUSG00000068614,0.9130460721144504,0.0,0.0,0.911948261599414,0.9141308100804051,Actc1
ENSMUSG00000038239,0.913043817106597,0.0,0.0,0.9119459794320595,0.9141285819407364,Hrc
ENSMUSG00000002930,0.9121577057443295,0.0,0.0,0.9110492009288804,0.9132530234314148,Ppp1r17
ENSMUSG00000007122,0.9118505850721768,0.0,0.0,0.910738385539809,0.9129495579510195,Casq1
ENSMUSG00000061086,0.911412290191528,0.0,0.0,0.9102948200749816,0.9125164773247336,Myl4
ENSMUSG00000020067,0.9107714359868192,0.0,0.0,0.9096462640883389,0.9118832427018931,Mypn
ENSMUSG00000031448,0.9106816078966811,0.0,0.0,0.909555356883124,0.9117944822203449,Adprhl1
ENSMUSG00000044938,0.9098620693341181,0.0,0.0,0.9087259780878271,0.9109846790873163,Klhl31
ENSMUSG00000054640,0.9096547007715587,0.0,0.0,0.908516121064733,0.9107797725168885,Slc8a1
ENSMUSG00000024063,0.908960125184896,0.0,0.0,0.907813214628369,0.9100934392718275,Lbh
ENSMUSG00000085515,0.9088242158167146,0.0,0.0,0.9076756758954855,0.9099591419762412,C630028M04Rik
