,Endothelium_corr,Endothelium_pval,Endothelium_qval,Endothelium_ci_low,Endothelium_ci_high,gene_annotation
ENSMUSG00000054435,0.871540698769966,0.0,0.0,0.8699544962357731,0.8731088668055099,Gimap4
ENSMUSG00000090019,0.8665307866869228,0.0,0.0,0.8648871882798569,0.8681558048392932,Gimap1
ENSMUSG00000031871,0.8623816739235951,0.0,0.0,0.8606907949417657,0.8640535291719501,Cdh5
ENSMUSG00000034845,0.8369214435208405,0.0,0.0,0.8349454656990226,0.8388758427755455,Plvap
ENSMUSG00000030787,0.8356459250354666,0.0,0.0,0.8336558916597376,0.8376142592914977,Lyve1
ENSMUSG00000020154,0.8262363680406528,0.0,0.0,0.8241433166702443,0.8283068525937829,Ptprb
ENSMUSG00000109827,0.8244620056266635,0.0,0.0,0.8223496604479569,0.8265516246129249,Gm6213
ENSMUSG00000001946,0.8169663734361027,0.0,0.0,0.8147729865810018,0.8191363755911473,Esam
ENSMUSG00000024440,0.8165364201106067,0.0,0.0,0.8143384073806126,0.8187110110891315,Pcdh12
ENSMUSG00000026712,0.8156637065348119,0.0,0.0,0.813456311843673,0.8178476045076668,Mrc1
ENSMUSG00000044258,0.8080726585266254,0.0,0.0,0.8057840858184726,0.8103370959339249,Ctla2a
ENSMUSG00000074874,0.8070919826107562,0.0,0.0,0.8047929786686256,0.8093667705132893,Ctla2b
ENSMUSG00000028978,0.8069541533510793,0.0,0.0,0.8046536843769382,0.8092303949703219,Nos3
ENSMUSG00000001029,0.8065851632038721,0.0,0.0,0.8042807733599237,0.8088652954390821,Icam2
ENSMUSG00000058396,0.80328926350515,0.0,0.0,0.8009499321103002,0.8056040695701252,Gpr182
ENSMUSG00000000489,0.8022315687853038,0.0,0.0,0.7998810549063936,0.8045574723753492,Pdgfb
ENSMUSG00000022220,0.8003971974364318,0.0,0.0,0.7980273250101007,0.8027423133271947,Adcy4
ENSMUSG00000002699,0.7996995443796804,0.0,0.0,0.7973223212305223,0.8020519557375866,Lcp2
ENSMUSG00000022579,0.7956754070230208,0.0,0.0,0.7932559107410093,0.7980697767112653,Gpihbp1
