,Mesenchyme_2_corr,Mesenchyme_2_pval,Mesenchyme_2_qval,Mesenchyme_2_ci_low,Mesenchyme_2_ci_high,gene_annotation
ENSMUSG00000053519,0.792636237219874,0.0,0.0,0.7901849578277627,0.7950621566805319,Kcnip1
ENSMUSG00000042757,0.7850748532662805,0.0,0.0,0.7825450322987436,0.7875787501376591,Tmem108
ENSMUSG00000020186,0.7660983648097678,0.0,0.0,0.7633747861024683,0.7687947051527318,Csrp2
ENSMUSG00000033585,0.764535486926658,0.0,0.0,0.761796164396122,0.7672474692496235,Ndn
ENSMUSG00000028399,0.763864051155767,0.0,0.0,0.7611179748332162,0.7665827438136394,Ptprd
ENSMUSG00000039883,0.7612495078180739,0.0,0.0,0.7584771897183186,0.7639942747260624,Lrrc17
ENSMUSG00000020620,0.7604995069188262,0.0,0.0,0.7577196779766944,0.7632517371092351,Abca8b
ENSMUSG00000059898,0.7544329345577419,0.0,0.0,0.7515926276200051,0.7572452661446012,Dsc3
ENSMUSG00000022887,0.7540457728071681,0.0,0.0,0.7512016228692776,0.7568619238480159,Masp1
ENSMUSG00000018340,0.7511841654053334,0.0,0.0,0.7483116728079983,0.7540284868782624,Anxa6
ENSMUSG00000018819,0.7510573156736491,0.0,0.0,0.7481835692228184,0.7539028834391733,Lsp1
ENSMUSG00000022894,0.7495328736374574,0.0,0.0,0.7466440755104219,0.752393402702433,Adamts5
ENSMUSG00000032334,0.7481741762894987,0.0,0.0,0.7452719890563608,0.7510480146682236,Loxl1
ENSMUSG00000022421,0.7469598126851057,0.0,0.0,0.7440456794654433,0.7498455263379806,Nptxr
ENSMUSG00000021263,0.74672133535864,0.0,0.0,0.7438048584867202,0.7496093788440948,Degs2
ENSMUSG00000023829,0.7462752029988908,0.0,0.0,0.7433543437638951,0.7491676030530923,Slc22a1
ENSMUSG00000020241,0.745879551935984,0.0,0.0,0.7429548084333799,0.7487758134463544,Col6a2
ENSMUSG00000024529,0.7449241649617513,0.0,0.0,0.7419900506286793,0.747829742467857,Lox
ENSMUSG00000062905,0.7446143958752384,0.0,0.0,0.7416772458077493,0.7475229914118721,Vmn1r32
ENSMUSG00000032816,0.744148184545058,0.0,0.0,0.741206468018722,0.7470613199652313,Igdcc4
ENSMUSG00000109127,0.7427192040015891,0.0,0.0,0.7397635088870901,0.7456462370743147,Gm45158
ENSMUSG00000028005,0.7423943081254613,0.0,0.0,0.7394354386042873,0.7453244973125139,Gucy1b3
ENSMUSG00000017466,0.7423277261941954,0.0,0.0,0.7393682063054059,0.7452585620051525,Timp2
ENSMUSG00000026042,0.7410934776417478,0.0,0.0,0.7381219123872497,0.7440362897277416,Col5a2
ENSMUSG00000019842,0.7401564035903652,0.0,0.0,0.7371757067201377,0.7431082952260347,Traf3ip2
ENSMUSG00000044139,0.7395811114615415,0.0,0.0,0.7365948142656965,0.7425385716245435,Prss53
ENSMUSG00000050737,0.7394981032106144,0.0,0.0,0.7365109983138379,0.7424563664968469,Ptges
ENSMUSG00000020542,0.7376382605234154,0.0,0.0,0.7346330827214687,0.7406144948384784,Myocd
ENSMUSG00000079056,0.7356317098283384,0.0,0.0,0.7326070851322668,0.7386272826025408,Kcnip3
ENSMUSG00000019817,0.7354385448271632,0.0,0.0,0.7324120508612542,0.7384359765132481,Plagl1
ENSMUSG00000091455,0.7353319595038486,0.0,0.0,0.7323044343177167,0.7383304167008715,Otogl
ENSMUSG00000039058,0.7345249852917333,0.0,0.0,0.7314896574820252,0.7375312020263736,Ak5
ENSMUSG00000047787,0.7325057177563007,0.0,0.0,0.7294509036560137,0.735531314050601,Flrt1
ENSMUSG00000036545,0.7312547064067171,0.0,0.0,0.7281878470521552,0.7342922826055917,Adamts2
ENSMUSG00000031452,0.7312227279137183,0.0,0.0,0.7281555609300555,0.7342606100789686,1700029H14Rik
ENSMUSG00000074971,0.7307189074959023,0.0,0.0,0.7276468956193618,0.733761608408789,Fibin
ENSMUSG00000027840,0.7302675155846015,0.0,0.0,0.7271911658533625,0.7333145310090246,Wnt2b
ENSMUSG00000028023,0.7299454757773792,0.0,0.0,0.726866032916557,0.732995567724473,Pitx2
ENSMUSG00000026674,0.7296525674472254,0.0,0.0,0.7265703124576754,0.7327054564523331,Ddr2
ENSMUSG00000054446,0.7286256741632204,0.0,0.0,0.7255335692854707,0.7316883604760912,Cpa1
ENSMUSG00000041660,0.7271268627790913,0.0,0.0,0.7240204065994895,0.7302038243616167,Bbox1
ENSMUSG00000032649,0.726711593621988,0.0,0.0,0.7236011664789596,0.7297925052513394,Colgalt2
ENSMUSG00000027254,0.7263400346770341,0.0,0.0,0.7232260564898859,0.7294244786903941,Map1a
ENSMUSG00000047767,0.7263145342985421,0.0,0.0,0.7232003124678594,0.7293992206766778,Atg16l2
ENSMUSG00000043795,0.7261399263925775,0.0,0.0,0.7230240365020127,0.7292262720811455,Prr33
ENSMUSG00000035711,0.7249253330640832,0.0,0.0,0.7217978511788137,0.7280232102013587,Dok3
ENSMUSG00000038463,0.7246176465058237,0.0,0.0,0.7214872311980721,0.7277184418154914,Olfml2b
ENSMUSG00000054675,0.7242769557524457,0.0,0.0,0.7211432938366539,0.7273809808255829,Tmem119
ENSMUSG00000026837,0.7236931356231228,0.0,0.0,0.720553913792648,0.7268026918464009,Col5a1
ENSMUSG00000048583,0.723559094469561,0.0,0.0,0.7204185967605472,0.7266699199852182,Igf2
ENSMUSG00000038591,0.722306455808823,0.0,0.0,0.7191540463436491,0.7254291318561503,Colec10
ENSMUSG00000027204,0.7214172321253859,0.0,0.0,0.7182563794104323,0.7245483083157038,Fbn1
ENSMUSG00000024593,0.7213417148416912,0.0,0.0,0.7181801455688652,0.7244735039426154,Megf10
ENSMUSG00000070867,0.7210195200255463,0.0,0.0,0.7178548944080837,0.7241543499338955,Trabd2b
ENSMUSG00000022243,0.7198925101609548,0.0,0.0,0.7167172045789788,0.7230379659899412,Slc45a2
ENSMUSG00000052957,0.719359099969863,0.0,0.0,0.7161787454875465,0.7225095792850741,Gas1
ENSMUSG00000045409,0.7191803100256857,0.0,0.0,0.7159982640858162,0.7223324723037297,Trim39
ENSMUSG00000032024,0.7185067543768908,0.0,0.0,0.7153183400259613,0.7216652531704082,Clmp
ENSMUSG00000111444,0.7181287206127284,0.0,0.0,0.7149367346298406,0.7212907732105379,RP23-9A12.3
ENSMUSG00000026725,0.7178815116683162,0.0,0.0,0.714687191103996,0.7210458872181125,Tnn
ENSMUSG00000111182,0.7175670027045672,0.0,0.0,0.7143697131691239,0.7207343324627938,RP23-373D18.1
ENSMUSG00000096926,0.7168536844304938,0.0,0.0,0.7136496660337103,0.7200277097035306,Gm26823
ENSMUSG00000071076,0.7164620806050318,0.0,0.0,0.7132543710167233,0.7196397788428208,Jund
ENSMUSG00000045680,0.7162530784034395,0.0,0.0,0.7130433996308241,0.7194327361209804,Tcf21
ENSMUSG00000050069,0.7157852200070698,0.0,0.0,0.7125711352565833,0.7189692620370711,Grem2
ENSMUSG00000054252,0.7149468050529462,0.0,0.0,0.7117248319567768,0.7181386968060088,Fgfr3
ENSMUSG00000039831,0.7147490042730589,0.0,0.0,0.7115251715038841,0.7179427466250384,Arhgap29
ENSMUSG00000067724,0.714647497057016,0.0,0.0,0.7114227101447441,0.7178421889010678,Gbx1
ENSMUSG00000105439,0.7142922670786563,0.0,0.0,0.7110641421705457,0.7174902806719704,Gm42806
ENSMUSG00000039607,0.7140792430051169,0.0,0.0,0.7108491171752497,0.7172792477997795,Rbms3
ENSMUSG00000029061,0.713583470252249,0.0,0.0,0.7103486899978146,0.7167881069138731,Mmp23
ENSMUSG00000050702,0.7130417924217262,0.0,0.0,0.7098019305142532,0.7162514861936491,4930563M21Rik
ENSMUSG00000016128,0.713040932499618,0.0,0.0,0.7098010625280443,0.7162506342967655,Stard13
