,Notochord_2_corr,Notochord_2_pval,Notochord_2_qval,Notochord_2_ci_low,Notochord_2_ci_high,gene_annotation
ENSMUSG00000037709,0.7693200899698653,0.0,0.0,0.7666290683243122,0.771984086242762,Fam13a
ENSMUSG00000051495,0.750011095278758,0.0,0.0,0.7471270155728384,0.7528669341771347,Irf2bp2
ENSMUSG00000040883,0.7481502528575034,0.0,0.0,0.7452478300942241,0.7510243253678096,Tmem205
ENSMUSG00000055373,0.7470640521236387,0.0,0.0,0.7441509435620189,0.7499487471659996,Fut9
ENSMUSG00000028607,0.7465244671447744,0.0,0.0,0.7436060561075495,0.7494144334036159,Cpt2
ENSMUSG00000039193,0.7453743791004462,0.0,0.0,0.7424446791397807,0.7482755680305518,Nlrc4
ENSMUSG00000031442,0.7436580765373678,0.0,0.0,0.7407115626083933,0.7465759815127554,Mcf2l
ENSMUSG00000037716,0.7411528686575595,0.0,0.0,0.7381818825516049,0.7440951049062354,Ccdc33
ENSMUSG00000011305,0.7401213166120932,0.0,0.0,0.7371402780527071,0.7430735479939274,Plin5
ENSMUSG00000031489,0.7343912150619013,0.0,0.0,0.7313545946670628,0.7373987172632882,Adrb3
ENSMUSG00000017453,0.733143170877211,0.0,0.0,0.7300945024505514,0.7361626550244642,Pipox
ENSMUSG00000046169,0.7326760479830068,0.0,0.0,0.7296228755037284,0.735700011599691,Adamts6
ENSMUSG00000041488,0.7324634797573868,0.0,0.0,0.729408258632405,0.7354894808603236,Stx3
ENSMUSG00000030838,0.7313668068450692,0.0,0.0,0.7283010259901838,0.7344033103759918,Ush1c
ENSMUSG00000049493,0.7300424884426101,0.0,0.0,0.7269639772242507,0.7330916537458639,Pls1
ENSMUSG00000060512,0.7296386321970255,0.0,0.0,0.7265562434475976,0.7326916542458207,0610040J01Rik
ENSMUSG00000001211,0.7265240760275133,0.0,0.0,0.7234118565212843,0.7296067705962451,Agpat3
ENSMUSG00000064181,0.7252140545869298,0.0,0.0,0.7220893264610896,0.7283091923071199,Rab3ip
ENSMUSG00000038567,0.72400178781018,0.0,0.0,0.7208655048127488,0.7271084203916849,Cyp24a1
ENSMUSG00000036980,0.7225237989281965,0.0,0.0,0.7193734547535473,0.7256444202659571,Taf6
ENSMUSG00000030029,0.7208362641873863,0.0,0.0,0.7176699008187304,0.7239728230270223,Lrig1
ENSMUSG00000079038,0.7196049394687988,0.0,0.0,0.7164269114666406,0.7227531040036401,D130040H23Rik
ENSMUSG00000037016,0.7167209412935613,0.0,0.0,0.7135156714537726,0.7198962118248602,Frem2
ENSMUSG00000020577,0.7149595933900914,0.0,0.0,0.7117377405445567,0.7181513654796801,Tspan13
ENSMUSG00000097857,0.7140868847996308,0.0,0.0,0.7108568307382185,0.7172868181742483,Gm26603
ENSMUSG00000039217,0.711405215784599,0.0,0.0,0.7081500243437403,0.7146301655946912,Il18
ENSMUSG00000108669,0.7111057604980003,0.0,0.0,0.7078477679675075,0.7143334980563818,4930441H08Rik
ENSMUSG00000039168,0.7086736208589864,0.0,0.0,0.7053929224123449,0.7119239571953686,Dap
ENSMUSG00000021245,0.7086473841455135,0.0,0.0,0.7053664411877978,0.7118979638490327,Mlh3
ENSMUSG00000021684,0.7080072587708228,0.0,0.0,0.7047203530503714,0.7112637734052373,Pde8b
ENSMUSG00000001247,0.7078845241841432,0.0,0.0,0.7045964758148219,0.711142176148204,Lsr
ENSMUSG00000018425,0.705154226892156,0.0,0.0,0.7018408114957894,0.7084371289763136,Dhx40
ENSMUSG00000031603,0.7036517644195905,0.0,0.0,0.7003244320368266,0.7069485203157154,Fgf20
ENSMUSG00000033703,0.7033141136461499,0.0,0.0,0.699983657809619,0.7066139789117005,Fuk
ENSMUSG00000051007,0.7019459674188435,0.0,0.0,0.6986028710063835,0.7052584166147972,Pddc1
ENSMUSG00000021728,0.7013032667759288,0.0,0.0,0.6979542409198514,0.7046216190400079,Emb
ENSMUSG00000027698,0.7008773052277354,0.0,0.0,0.6975243525526251,0.7041995669124484,Nceh1
ENSMUSG00000031834,0.7004861491571348,0.0,0.0,0.6971295926506527,0.7038119987542942,Pik3r2
ENSMUSG00000049502,0.6990132631491804,0.0,0.0,0.6956431547881319,0.7023526051550187,Dtx3l
ENSMUSG00000028017,0.6988831672155342,0.0,0.0,0.6955118632437571,0.7022236996190747,Egf
ENSMUSG00000034614,0.6982092878701749,0.0,0.0,0.694831794399746,0.7015559828673391,Pik3ip1
ENSMUSG00000051497,0.6981320969093541,0.0,0.0,0.6947538948350533,0.7014794974389508,Kcnj16
ENSMUSG00000027674,0.6980187593038094,0.0,0.0,0.6946395169473373,0.7013671956097506,Pex5l
ENSMUSG00000033579,0.6977880759299245,0.0,0.0,0.6944067167475245,0.7011386199050947,Fa2h
ENSMUSG00000074227,0.6976633961797204,0.0,0.0,0.6942808931899069,0.7010150790212747,Spint2
ENSMUSG00000097674,0.6970764724841679,0.0,0.0,0.6936885878557616,0.7004335137798875,Gm26610
ENSMUSG00000053646,0.6966761007322511,0.0,0.0,0.6932845476318659,0.7000367947557771,Plxnb1
ENSMUSG00000025207,0.6965251655144619,0.0,0.0,0.6931322299987355,0.6998872360329406,Sema4g
ENSMUSG00000026322,0.6961847523305894,0.0,0.0,0.6927887000835952,0.6995499262578104,Htr4
ENSMUSG00000022788,0.6958638841751613,0.0,0.0,0.6924648955570193,0.6992319819540679,Fgd4
ENSMUSG00000020258,0.6953786449847977,0.0,0.0,0.6919752183828535,0.6987511618849795,Glyctk
ENSMUSG00000040557,0.6943875369442701,0.0,0.0,0.6909750554272736,0.6977690704951821,Wbscr27
ENSMUSG00000019889,0.6943227780379069,0.0,0.0,0.6909097053283313,0.6977049002934758,Ptprk
ENSMUSG00000015944,0.6937565065228158,0.0,0.0,0.6903382666223808,0.6971437742781468,Gatsl2
ENSMUSG00000090963,0.6928621927184734,0.0,0.0,0.6894358009490413,0.6962575783199565,Gm17655
ENSMUSG00000030302,0.6928033031757191,0.0,0.0,0.6893763749883127,0.6961992229648577,Atp2b2
ENSMUSG00000024059,0.6924284050896683,0.0,0.0,0.6889980630807924,0.6958277245308783,Clip4
ENSMUSG00000025500,0.690848365662563,0.0,0.0,0.6874036563574193,0.6942619932338661,Lmntd2
ENSMUSG00000047139,0.6905039122253479,0.0,0.0,0.6870560752137085,0.6939206547230592,Cd24a
ENSMUSG00000027938,0.6903989586504812,0.0,0.0,0.6869501689529155,0.6938166499484881,Creb3l4
ENSMUSG00000029669,0.6900181730519765,0.0,0.0,0.6865659281124618,0.6934393055273135,Tspan12
ENSMUSG00000042784,0.6900157141512024,0.0,0.0,0.6865634469059309,0.6934368688416427,Muc1
ENSMUSG00000030200,0.6896005830885601,0.0,0.0,0.68614455116186,0.6930254871864638,Bcl2l14
ENSMUSG00000002204,0.6893162322486933,0.0,0.0,0.6858576229641994,0.6927437032776559,Napsa
ENSMUSG00000061601,0.689248893139891,0.0,0.0,0.6857896736507703,0.692676971908468,Pclo
ENSMUSG00000024187,0.6891151400453791,0.0,0.0,0.6856547087090126,0.6925444257698289,Fam234a
ENSMUSG00000109672,0.6887230592880901,0.0,0.0,0.6852590769413855,0.6921558817210989,Gm45639
ENSMUSG00000029228,0.6879037590243761,0.0,0.0,0.6844323630106228,0.6913439654155942,Lnx1
ENSMUSG00000022132,0.68777507654344,0.0,0.0,0.6843025169214982,0.691216441898336,Cldn10
ENSMUSG00000042050,0.6869078135366339,0.0,0.0,0.6834274174534442,0.6903569842041682,Wdr60
ENSMUSG00000022112,0.6868043319994086,0.0,0.0,0.6833230015401783,0.6902544333441651,Gpc5
ENSMUSG00000024837,0.6860148345449615,0.0,0.0,0.6825263800862579,0.689472031794574,Dmrt1
ENSMUSG00000033917,0.6858528319836261,0.0,0.0,0.6823629167260613,0.6893114842944795,Gde1
ENSMUSG00000086662,0.6846093690071631,0.0,0.0,0.6811082528969825,0.6880791784404234,BC046251
ENSMUSG00000005483,0.682804290187332,0.0,0.0,0.6792869508950875,0.6862902602939771,Dnajb1
ENSMUSG00000022445,0.6827913993433885,0.0,0.0,0.6792739443502399,0.6862774847086717,Cyp2d26
ENSMUSG00000033590,0.6819494993186479,0.0,0.0,0.6784244926930403,0.685443107558856,Myo5c
ENSMUSG00000048186,0.6816303592375367,0.0,0.0,0.6781024924688192,0.6851268167849628,Bend7
