,Somitic mesoderm_corr,Somitic mesoderm_pval,Somitic mesoderm_qval,Somitic mesoderm_ci_low,Somitic mesoderm_ci_high,gene_annotation
ENSMUSG00000078484,0.7181412054867794,0.0,0.0,0.7149493374295918,0.7213031407468156,Klhl17
ENSMUSG00000017978,0.6975089867109702,0.0,0.0,0.6941250674610073,0.7008620797012257,Cadps2
ENSMUSG00000032673,0.6900889901911124,0.0,0.0,0.6866373876991295,0.6935094828306929,Prorsd1
ENSMUSG00000023456,0.6679430286352008,0.0,0.0,0.6642937700737533,0.6715604467648603,Tpi1
ENSMUSG00000037172,0.667738217899443,0.0,0.0,0.6640871618019556,0.6713574276067293,E330009J07Rik
ENSMUSG00000039001,0.6465298298768505,0.0,0.0,0.6426956549490711,0.6503316188930733,Rps21
ENSMUSG00000037085,0.6462801255660167,0.0,0.0,0.6424438302292632,0.6500840295431206,Trmt12
ENSMUSG00000003623,0.6461493513265071,0.0,0.0,0.6423119458274041,0.6499543626210088,Crot
ENSMUSG00000072694,0.6457974373378442,0.0,0.0,0.6419570455160807,0.6496054273275667,1500011B03Rik
ENSMUSG00000064329,0.6383275125251542,0.0,0.0,0.6344241195033863,0.6421983515176213,Scn1a
ENSMUSG00000015749,0.6374692071742066,0.0,0.0,0.6335586227078747,0.6413472213057747,Anp32e
ENSMUSG00000028689,0.6335996134713909,0.0,0.0,0.6296567285399411,0.6375098575629248,Ccdc163
ENSMUSG00000025551,0.6330115330637925,0.0,0.0,0.629063756690996,0.6369266583112824,Fgf14
ENSMUSG00000002489,0.6312935883685898,0.0,0.0,0.6273315490629943,0.6352229471495513,Tiam1
ENSMUSG00000051695,0.6297949298788524,0.0,0.0,0.6258204802433809,0.6337366741288879,Pcbp1
ENSMUSG00000028766,0.629777819284445,0.0,0.0,0.6258032281290972,0.6337197047747348,Alpl
ENSMUSG00000021175,0.6286973087189727,0.0,0.0,0.6247137886545079,0.6326481056533998,Cdca7l
ENSMUSG00000041014,0.6269949087545855,0.0,0.0,0.6229973521996732,0.6309597154313044,Nrg3
ENSMUSG00000023791,0.6251219348317266,0.0,0.0,0.6211089798579126,0.6291021115831613,Pigx
ENSMUSG00000022340,0.6245025194710326,0.0,0.0,0.6204844823046943,0.6284877692905773,Sybu
ENSMUSG00000063446,0.6239669614523077,0.0,0.0,0.6199445342358033,0.6279565935326268,Plppr1
ENSMUSG00000037007,0.6227606089446873,0.0,0.0,0.6187283070289405,0.6267600985169576,Zfp113
ENSMUSG00000053825,0.6223728142922873,0.0,0.0,0.6183373421563721,0.6263754686527123,Ppfia2
ENSMUSG00000063229,0.6164870445594082,0.0,0.0,0.6124037014709773,0.6205374933440468,Ldha
ENSMUSG00000073910,0.6161750296188165,0.0,0.0,0.6120891616483389,0.6202279995373525,Mob3b
ENSMUSG00000036834,0.6092571825264692,0.0,0.0,0.6051156661513584,0.6133657256763642,Plch1
ENSMUSG00000033083,0.6088913882588247,0.0,0.0,0.604746947058066,0.6130028526800714,Tbc1d4
ENSMUSG00000027993,0.6081356476580703,0.0,0.0,0.6039851693175043,0.6122531420090824,Trim2
ENSMUSG00000025892,0.6067054617512355,0.0,0.0,0.602543579303238,0.6108343470558996,Gria4
ENSMUSG00000057315,0.6052619280943066,0.0,0.0,0.6010885626449852,0.6094022837735957,Arhgap24
ENSMUSG00000004936,0.6050889881563176,0.0,0.0,0.6009142488626193,0.6092307162109843,Map2k1
ENSMUSG00000026824,0.5998670210512014,0.0,0.0,0.5956509851761559,0.6040500057196398,Kcnj3
ENSMUSG00000005089,0.5997917233487874,0.0,0.0,0.5955750946489727,0.6039753003276431,Slc1a2
ENSMUSG00000019470,0.5997279585867904,0.0,0.0,0.595510827920818,0.6039120370976059,Xab2
ENSMUSG00000066900,0.5991766441024098,0.0,0.0,0.5949551756536442,0.6033650566944081,Suds3
ENSMUSG00000062075,0.59849471243089,0.0,0.0,0.594267884075938,0.6026884804805804,Lmnb2
ENSMUSG00000019906,0.5980832157657594,0.0,0.0,0.5938531560798697,0.6022802125315829,Lin7a
ENSMUSG00000021460,0.5979442456668737,0.0,0.0,0.5937130952080186,0.6021423323344095,Auh
ENSMUSG00000040452,0.5975210313600865,0.0,0.0,0.5932865606815363,0.601722435630764,Cdh12
ENSMUSG00000030556,0.5934424724371664,0.0,0.0,0.5891761263326414,0.5976757297447857,Lrrc28
ENSMUSG00000018800,0.5933400243413837,0.0,0.0,0.589072880410524,0.5975740789787343,Abca5
ENSMUSG00000061613,0.5920993148548175,0.0,0.0,0.5878225198161845,0.5963430148409129,U2af1
ENSMUSG00000042606,0.5911567397614158,0.0,0.0,0.5868726263710868,0.5954077540387059,Hirip3
ENSMUSG00000022604,0.585439563483962,0.0,0.0,0.5811113134134123,0.5897346956086202,Cep97
ENSMUSG00000016637,0.5850865036731122,0.0,0.0,0.5807555421981467,0.5893843463641317,Ift27
ENSMUSG00000028197,0.5832387121122632,0.0,0.0,0.578893587080714,0.5875507145876225,Col24a1
ENSMUSG00000023004,0.5817468770246564,0.0,0.0,0.577390349947743,0.5860702792502547,Tuba1b
ENSMUSG00000054934,0.5805457079161276,0.0,0.0,0.5761800218080464,0.5848782678109145,Kcnmb4
ENSMUSG00000021846,0.5804898174970564,0.0,0.0,0.5761237056852783,0.5848228030427058,Peli2
ENSMUSG00000047495,0.5802240275998006,0.0,0.0,0.5758558918984767,0.5845590367965521,Dlgap2
ENSMUSG00000039706,0.5783975843461232,0.0,0.0,0.5740155663252875,0.5827464747958425,Ldb2
ENSMUSG00000019303,0.577810302892062,0.0,0.0,0.5734238305032006,0.5821636475787179,Psmc3ip
ENSMUSG00000037071,0.5775371322725783,0.0,0.0,0.5731485895193625,0.5818925472976871,Scd1
ENSMUSG00000062006,0.5765704314371988,0.0,0.0,0.5721745699957684,0.5809331652375254,Rpl34
ENSMUSG00000040612,0.5748543739131785,0.0,0.0,0.5704455511065645,0.5792300699182092,Ildr2
ENSMUSG00000038156,0.5740286065467547,0.0,0.0,0.5696135606531282,0.5784105263544818,Spon1
ENSMUSG00000066440,0.5739181592502527,0.0,0.0,0.5695022816978851,0.5783009108277767,Zfyve26
ENSMUSG00000029245,0.572876661514513,0.0,0.0,0.5684529495323707,0.577267248746738,Epha5
ENSMUSG00000030268,0.5728551679911053,0.0,0.0,0.5684312944803991,0.5772459167805547,Bcat1
ENSMUSG00000022283,0.5700675912850985,0.0,0.0,0.5656228204696465,0.5744792422527505,Pabpc1
ENSMUSG00000032498,0.5694897543326879,0.0,0.0,0.5650406646144048,0.5739057255,Mlh1
ENSMUSG00000031546,0.5688588217506133,0.0,0.0,0.5644050213383,0.5732795051400856,Gins4
ENSMUSG00000044986,0.5685288555675022,0.0,0.0,0.5640725936518143,0.5729520013061121,Tst
ENSMUSG00000019505,0.5682166965363723,0.0,0.0,0.5637581072859555,0.5726421704392558,Ubb
ENSMUSG00000036114,0.5680179068325436,0.0,0.0,0.5635578361582151,0.5724448627025142,Rpp25l
ENSMUSG00000024776,0.5665936770034623,0.0,0.0,0.5621230079938735,0.5710312354390512,Stambpl1
ENSMUSG00000025352,0.5660669257472583,0.0,0.0,0.5615923437615321,0.570508398874007,Gdf11
ENSMUSG00000052373,0.5652673498861451,0.0,0.0,0.5607868352790459,0.5697147583925423,Mpp3
ENSMUSG00000071984,0.5649478840656985,0.0,0.0,0.5604650014860717,0.5693976616988685,Fndc1
ENSMUSG00000022366,0.5634047645515688,0.0,0.0,0.5589104629912698,0.5678659671597324,Slc22a22
ENSMUSG00000037526,0.5630979624828215,0.0,0.0,0.5586013943724862,0.5675614329154333,Atg14
ENSMUSG00000059187,0.5628491491728245,0.0,0.0,0.5583507438307811,0.5673144578907796,Fam19a1
ENSMUSG00000002658,0.5627714078625882,0.0,0.0,0.5582724286489024,0.5672372907850821,Gtf2f1
ENSMUSG00000034848,0.561536088100347,0.0,0.0,0.5570280007487418,0.5660110846860656,Ttc21b
ENSMUSG00000021556,0.5599610538067282,0.0,0.0,0.5554413829266435,0.5644476416073515,Golm1
ENSMUSG00000044254,0.559809248732994,0.0,0.0,0.5552884631470857,0.5642969520182078,Pcsk9
ENSMUSG00000024371,0.5596426562276126,0.0,0.0,0.5551206477034629,0.5641315833133621,C2
ENSMUSG00000035653,0.5590671099434603,0.0,0.0,0.5545408792269123,0.5635602622623818,Lrfn5
ENSMUSG00000052572,0.5580283938762017,0.0,0.0,0.553494554286858,0.5625291607977263,Dlg2
ENSMUSG00000033102,0.5574834190857305,0.0,0.0,0.552945593134554,0.561988175499691,Cdc14b
ENSMUSG00000005732,0.5570821370676676,0.0,0.0,0.5525413783516977,0.5615898286062453,Ranbp1
ENSMUSG00000001120,0.5569195719350003,0.0,0.0,0.5523776257216345,0.5614284519401588,Pcbp3
ENSMUSG00000064052,0.5562952701884991,0.0,0.0,0.5517487668659157,0.5608087110954737,Gm5089
ENSMUSG00000043987,0.5553891301862075,0.0,0.0,0.5508360216649368,0.55990918199578,Cep164
ENSMUSG00000003680,0.5526858157755699,0.0,0.0,0.5481130664789815,0.5572255267748449,Taf6l
ENSMUSG00000025427,0.5518819776094841,0.0,0.0,0.5473034067688344,0.5564275160311607,Rnf165
ENSMUSG00000019987,0.5509167167415074,0.0,0.0,0.5463311666280377,0.5554692417381122,Arg1
ENSMUSG00000026274,0.5497497910492458,0.0,0.0,0.5451558200345006,0.5543107461286932,Pask
ENSMUSG00000068114,0.5492860151434423,0.0,0.0,0.5446887023915749,0.5538503157164756,Ccdc134
ENSMUSG00000028226,0.5492168939795947,0.0,0.0,0.5446190834194611,0.5537816929259827,Mmp16
ENSMUSG00000066357,0.5491830535270344,0.0,0.0,0.5445849992722196,0.5537480964452549,Wdr6
ENSMUSG00000029910,0.5487436131828095,0.0,0.0,0.5441423957727715,0.5533118228847257,Mad2l1
ENSMUSG00000026273,0.547924314307623,0.0,0.0,0.5433172063041527,0.5524984215140331,Mterf4
ENSMUSG00000027316,0.5475352473212612,0.0,0.0,0.5429253451221996,0.5521121520717034,Gfra4
ENSMUSG00000031754,0.546900331331234,0.0,0.0,0.5422858736128368,0.5514817971572108,Nudt21
ENSMUSG00000024502,0.5450370243849175,0.0,0.0,0.5404092283136308,0.5496318455265639,Jakmip2
ENSMUSG00000022706,0.5450358391050186,0.0,0.0,0.5404080345636417,0.5496306687278567,Mrpl40
ENSMUSG00000021496,0.5447628957007835,0.0,0.0,0.5401331411835344,0.549359677866485,Pcbd2
ENSMUSG00000039840,0.5446380226151173,0.0,0.0,0.540007376302729,0.5492356977573584,Epg5
ENSMUSG00000000884,0.5441870310755929,0.0,0.0,0.5395531656785822,0.5487879296057158,Gnb1l
ENSMUSG00000068748,0.5435245649533996,0.0,0.0,0.5388859759006128,0.5481301935640316,Ptprz1
ENSMUSG00000041670,0.5430718246621196,0.0,0.0,0.5384300107326232,0.5476806826110956,Rims1
ENSMUSG00000062352,0.5413332857829194,0.0,0.0,0.5366791134705805,0.5459545197813446,Itgb1bp1
ENSMUSG00000031889,0.5412687064818459,0.0,0.0,0.5366140758803617,0.5458903994419481,D230025D16Rik
ENSMUSG00000060703,0.5406385539009759,0.0,0.0,0.5359794543034225,0.5452647224807449,Cd302
ENSMUSG00000021461,0.540145601594809,0.0,0.0,0.5354830096861334,0.5447752677444625,Fancc
ENSMUSG00000018861,0.5389592458574618,0.0,0.0,0.5342882624428935,0.5435973164466573,Fdxr
ENSMUSG00000035824,0.5384612723101359,0.0,0.0,0.5337867721165988,0.5431028652239779,Tk2
ENSMUSG00000001870,0.5384053336002583,0.0,0.0,0.5337304385628905,0.543047321985201,Ltbp1
ENSMUSG00000021891,0.538404452036849,0.0,0.0,0.5337295507772909,0.5430464466538742,Mettl6
ENSMUSG00000031851,0.5381464516031338,0.0,0.0,0.5334697297854509,0.5427902696826992,Ntpcr
ENSMUSG00000021714,0.5380882469070533,0.0,0.0,0.5334111144948982,0.5427324762388823,Cenpk
ENSMUSG00000063445,0.5375855269667076,0.0,0.0,0.5329048500773914,0.5422333064962772,Nmral1
ENSMUSG00000030086,0.5375813100141029,0.0,0.0,0.5329006034069136,0.5422291193098284,Chchd6
ENSMUSG00000039419,0.5361970190780089,0.0,0.0,0.5315065697842586,0.5408545871765013,Cntnap2
ENSMUSG00000028573,0.5361772991530737,0.0,0.0,0.5314867112533733,0.540835006090936,Fggy
ENSMUSG00000050783,0.5361473745018176,0.0,0.0,0.5314565762797901,0.5408052921164236,Htr1f
ENSMUSG00000028648,0.5352746622350605,0.0,0.0,0.5305777354670581,0.5399387188407141,Ndufs5
ENSMUSG00000024222,0.534979226031739,0.0,0.0,0.5302802268765695,0.5396453586082081,Fkbp5
ENSMUSG00000090626,0.5336488930307285,0.0,0.0,0.5289405763677162,0.5383243595505735,Tex9
ENSMUSG00000022032,0.5327721857781759,0.0,0.0,0.5280577415796472,0.5374537909314602,Scara5
ENSMUSG00000008540,0.5323178534626993,0.0,0.0,0.5276002378259697,0.5370026358886253,Mgst1
ENSMUSG00000048058,0.5320869590974467,0.0,0.0,0.5273677327658937,0.536773355205042,Ldlrad3
ENSMUSG00000055302,0.5319615316730325,0.0,0.0,0.527241430669212,0.536648804081563,Mrfap1
ENSMUSG00000027253,0.5298522451732243,0.0,0.0,0.5251174662364395,0.5345542235503095,Lrp4
ENSMUSG00000029456,0.5292662311054669,0.0,0.0,0.5245273847310639,0.5339722849254726,Acad10
ENSMUSG00000027487,0.5286585001537997,0.0,0.0,0.5239154404169039,0.5333687757374055,Cdk5rap1
ENSMUSG00000025255,0.5273129872128377,0.0,0.0,0.5225606165350726,0.5320325926958888,Zfhx4
ENSMUSG00000026452,0.5262060562798001,0.0,0.0,0.5214460436408009,0.5309333196906547,Syt2
ENSMUSG00000020142,0.5257547960879897,0.0,0.0,0.5209916727273992,0.5304851768250676,Slc1a4
ENSMUSG00000097415,0.5256605365656986,0.0,0.0,0.5208967637763778,0.5303915681180685,AU020206
ENSMUSG00000029433,0.5250947170600045,0.0,0.0,0.5203270483660853,0.5298296528908794,Diablo
