,Spinal cord_corr,Spinal cord_pval,Spinal cord_qval,Spinal cord_ci_low,Spinal cord_ci_high,gene_annotation
ENSMUSG00000042846,0.2664007346894239,0.0,0.0,0.26029562652830124,0.2724845416461336,Lrrtm3
ENSMUSG00000026312,0.22889617732483736,0.0,0.0,0.22267053240359036,0.23510315393873749,Cdh7
ENSMUSG00000062257,0.22686713129342093,0.0,0.0,0.2206354938659715,0.2330802478423172,Opcml
ENSMUSG00000000560,0.21786462252978123,0.0,0.0,0.21160705178413194,0.2241043322692711,Gabra2
ENSMUSG00000110874,0.20920420746406548,0.0,0.0,0.20292269660666634,0.2154685007217761,RP24-295B16.1
ENSMUSG00000067274,0.2052507847905744,0.0,0.0,0.19895867390862867,0.21152597449747018,Rplp0
ENSMUSG00000028234,0.20089344575515797,0.0,0.0,0.19458989036430357,0.2071804085987496,Rps20
ENSMUSG00000025551,0.2002068322977446,0.0,0.0,0.1939014963317835,0.20649562768113014,Fgf14
ENSMUSG00000060424,0.1976899402778819,0.0,0.0,0.19137813042607382,0.2039854004475445,Pantr1
ENSMUSG00000038895,0.1964328943559418,0.0,0.0,0.1901178824035026,0.202731652212915,Zfp653
ENSMUSG00000037946,0.191054611880922,0.0,0.0,0.1847261347069839,0.19736724572515224,Fgd3
ENSMUSG00000012848,0.18963653959955146,0.0,0.0,0.1833045755600488,0.19595276909316875,Rps5
ENSMUSG00000063600,0.18881345077889328,0.0,0.0,0.18247947501093748,0.1951317552325519,Egfem1
ENSMUSG00000038156,0.1872302769837759,0.0,0.0,0.18089245683032817,0.19355254763146712,Spon1
ENSMUSG00000100252,0.18583072370811415,0.0,0.0,0.17948953253538968,0.19215647325782476,Mir124-2hg
ENSMUSG00000003617,0.18521779017352297,0.0,0.0,0.17887513078613798,0.1915450552443455,Cp
ENSMUSG00000059734,0.18363765435440102,0.0,0.0,0.17729123274059794,0.1899688037725764,Ndufs8
ENSMUSG00000039199,0.18359399776179683,0.0,0.0,0.17724747267047583,0.18992525403486418,Zdhhc1
ENSMUSG00000040612,0.18285529932252204,0.0,0.0,0.17650702712784822,0.18918835987370708,Ildr2
ENSMUSG00000058546,0.1807766148588677,0.0,0.0,0.17442346490085875,0.1871147143379917,Rpl23a
ENSMUSG00000035242,0.17892178970996928,0.0,0.0,0.17256433531878126,0.18526433777129156,Oaz1
ENSMUSG00000052572,0.17481729828025797,0.0,0.0,0.1684504797418989,0.1811695305973599,Dlg2
ENSMUSG00000026273,0.17277664320268762,0.0,0.0,0.16640525157849922,0.179133608324214,Mterf4
ENSMUSG00000047495,0.1717280046631621,0.0,0.0,0.16535428437451588,0.17808738066908877,Dlgap2
ENSMUSG00000044254,0.17068424217308484,0.0,0.0,0.16430821842275115,0.17704600357516348,Pcsk9
ENSMUSG00000020163,0.1696397354550742,0.0,0.0,0.16326142095692356,0.17600386969397952,Uqcr11
ENSMUSG00000038406,0.16962945160525233,0.0,0.0,0.16325111462458936,0.17599360913536594,Scaf1
ENSMUSG00000032673,0.16837850039301142,0.0,0.0,0.16199743897177873,0.1747454808042621,Prorsd1
ENSMUSG00000039717,0.1681509333673708,0.0,0.0,0.16176937854345785,0.17451842510379312,Ralyl
ENSMUSG00000036834,0.16749866889425133,0.0,0.0,0.16111570363083516,0.17386762246545007,Plch1
ENSMUSG00000040213,0.16466879179702718,0.0,0.0,0.1582797721342388,0.17104402317247977,Kyat3
ENSMUSG00000040478,0.16369268698165923,0.0,0.0,0.1573016034339632,0.17007005945923637,Prdm13
ENSMUSG00000007279,0.1632410486533839,0.0,0.0,0.1568490144010242,0.16961940759088812,Scube2
ENSMUSG00000054517,0.16191002670139262,0.0,0.0,0.15551520624484239,0.16829127731714216,Trim65
ENSMUSG00000051695,0.16090842612173992,0.0,0.0,0.154511524407605,0.16729183746255494,Pcbp1
ENSMUSG00000003623,0.15953293926643342,0.0,0.0,0.1531332009005731,0.165919296526508,Crot
ENSMUSG00000078201,0.1585617065771894,0.0,0.0,0.15215998024666816,0.1649501290498037,Tmem203
ENSMUSG00000043987,0.15783913777193223,0.0,0.0,0.1514359405071364,0.16422908869912203,Cep164
ENSMUSG00000021127,0.15783183566159267,0.0,0.0,0.15142862356695075,0.16422180200013267,Zfp36l1
ENSMUSG00000064068,0.1575350760868612,0.0,0.0,0.15113126189734372,0.1639256681564245,Mtx1
ENSMUSG00000020153,0.1561988497250469,0.0,0.0,0.14979233882660475,0.1625922450191341,Ndufs7
ENSMUSG00000042606,0.15545417056484664,0.0,0.0,0.1490461669864311,0.16184911796264062,Hirip3
ENSMUSG00000003429,0.15372831481621446,0.0,0.0,0.14731687988288508,0.16012683145913054,Rps11
ENSMUSG00000028689,0.15341206213565792,0.0,0.0,0.14700000267648106,0.15981122859768424,Ccdc163
ENSMUSG00000039187,0.153167208732573,0.0,0.0,0.1467546666485542,0.1595668774077741,Fanci
ENSMUSG00000042210,0.15312134159145133,0.0,0.0,0.14670870918751353,0.15952110425648158,Abhd14a
ENSMUSG00000040463,0.1516821552475282,0.0,0.0,0.1452667029118599,0.1580848530803456,Mybbp1a
ENSMUSG00000030086,0.15150616042337545,0.0,0.0,0.14509036511495127,0.1579092153320674,Chchd6
ENSMUSG00000030986,0.15148514392013024,0.0,0.0,0.14506930768269757,0.15788824144212316,Dhx32
ENSMUSG00000055675,0.15138244180321622,0.0,0.0,0.14496640564009491,0.1577857474820884,Kbtbd11
ENSMUSG00000062991,0.15109975655581603,0.0,0.0,0.14468317081854085,0.1575036344692639,Nrg1
ENSMUSG00000025255,0.15103586859871054,0.0,0.0,0.1446191588012324,0.1574398756945684,Zfhx4
ENSMUSG00000056671,0.15047523949813504,0.0,0.0,0.14405744335207238,0.15688037790456696,Prelid2
ENSMUSG00000028226,0.15014242158678134,0.0,0.0,0.14372398248537357,0.15654822965183765,Mmp16
ENSMUSG00000026109,0.14960793350265714,0.0,0.0,0.14318846489858833,0.15601481397240077,Tmeff2
ENSMUSG00000022856,0.14901999420877846,0.0,0.0,0.142599397488808,0.15542805001233323,Tmem41a
ENSMUSG00000022450,0.14898267043329283,0.0,0.0,0.1425620022513952,0.15539080069717823,Ndufa6
ENSMUSG00000037355,0.1487255202374025,0.0,0.0,0.14230436020134157,0.1551341630165096,Uvssa
ENSMUSG00000023456,0.14748018987512576,0.0,0.0,0.1410566601909294,0.15389130243170435,Tpi1
ENSMUSG00000075020,0.14667398816770782,0.0,0.0,0.1402489353022155,0.15308668879033252,Mir670hg
ENSMUSG00000020037,0.14658976920488792,0.0,0.0,0.14016455771529923,0.1530026352325666,Rfx4
ENSMUSG00000090266,0.1457750373654067,0.0,0.0,0.13934829616906744,0.15218949872630058,Mettl23
ENSMUSG00000021556,0.14559686413272632,0.0,0.0,0.13916978956952025,0.15201167321896852,Golm1
ENSMUSG00000037007,0.14506701904194497,0.0,0.0,0.13863895559232406,0.15148285972742412,Zfp113
ENSMUSG00000029838,0.14506660161436677,0.0,0.0,0.1386385373871281,0.15148244311112236,Ptn
ENSMUSG00000039982,0.1448150268723764,0.0,0.0,0.13838649440847337,0.15123135689356607,Dtx4
ENSMUSG00000070336,0.14452998461702193,0.0,0.0,0.13810092263218218,0.150946867151561,Fbxo47
ENSMUSG00000057411,0.1442746218799188,0.0,0.0,0.1378450864173848,0.1506919984956707,Fam173a
ENSMUSG00000021175,0.14376058453257623,0.0,0.0,0.13733009857573042,0.15017895313161386,Cdca7l
ENSMUSG00000026058,0.14253939304563662,0.0,0.0,0.13610666295214988,0.14896010442462748,Khdrbs2
ENSMUSG00000062075,0.14232732906266082,0.0,0.0,0.13589421126673512,0.1487484452850437,Lmnb2
ENSMUSG00000028089,0.14218577708500746,0.0,0.0,0.13575240082830853,0.1486071632115303,Chd1l
ENSMUSG00000064052,0.14157688138428326,0.0,0.0,0.13514239634636765,0.14799942553321935,Gm5089
ENSMUSG00000039001,0.14099252613885108,0.0,0.0,0.1345569815939113,0.14741617707691912,Rps21
ENSMUSG00000019303,0.14082827581438695,0.0,0.0,0.1343924342724809,0.14725223704393664,Psmc3ip
ENSMUSG00000021253,0.14082671660395765,0.0,0.0,0.13439087224439236,0.14725068077737932,Tgfb3
ENSMUSG00000025020,0.14060582522726214,0.0,0.0,0.13416958201668694,0.14703020613388626,Slit1
ENSMUSG00000061531,0.1403350371350972,0.0,0.0,0.13389830585363519,0.1467599280390065,Tmem236
ENSMUSG00000022364,0.1398646990990129,0.0,0.0,0.13342712236896287,0.14629047354859764,Tbc1d31
ENSMUSG00000097213,0.13953894481295956,0.0,0.0,0.13310078423434774,0.14596532950636817,Gm26745
ENSMUSG00000021676,0.13922370362408765,0.0,0.0,0.13278497936866734,0.1456506775449904,Iqgap2
ENSMUSG00000040093,0.13891942422179418,0.0,0.0,0.13248015713007766,0.14534696564798885,Bmf
ENSMUSG00000020956,0.13845790121247878,0.0,0.0,0.13201781308570237,0.1448863011036905,Dtd2
ENSMUSG00000027523,0.1380683521601258,0.0,0.0,0.13162757321842594,0.14449747447091543,Gnas
ENSMUSG00000052133,0.1379639524827535,0.0,0.0,0.13152298874090532,0.14439326806562153,Sema5b
ENSMUSG00000063229,0.13751384172833753,0.0,0.0,0.13107208287731173,0.14394398895530675,Ldha
ENSMUSG00000041014,0.1374655462188609,0.0,0.0,0.13102370221337434,0.1438957825212321,Nrg3
ENSMUSG00000032118,0.13744399966593682,0.0,0.0,0.1310021176795473,0.14387427569855266,Fez1
ENSMUSG00000006333,0.13649105915780038,0.0,0.0,0.13004750349606212,0.1429230862668686,Rps9
ENSMUSG00000087085,0.1364253317655588,0.0,0.0,0.1299816611053989,0.14285747921401795,Gm12068
ENSMUSG00000061607,0.13510580721546872,0.0,0.0,0.12865983990198238,0.1415403586052331,Mdc1
ENSMUSG00000004032,0.1345874324802146,0.0,0.0,0.12814056919356684,0.14102292202448297,Gstm5
ENSMUSG00000029363,0.13406007488965554,0.0,0.0,0.12761230373074872,0.14049651523764412,Rfc5
ENSMUSG00000037846,0.13401319793486352,0.0,0.0,0.12756534625199709,0.1404497226239334,Rtkn2
ENSMUSG00000061576,0.1340014215278918,0.0,0.0,0.1275535496203763,0.14043796740057019,Dpp6
ENSMUSG00000028766,0.13350021532301518,0.0,0.0,0.12705148434146282,0.13993766109211875,Alpl
ENSMUSG00000037373,0.13334137183255623,0.0,0.0,0.12689236928073136,0.13977910211307995,Ctbp1
ENSMUSG00000078484,0.13319687533202682,0.0,0.0,0.12674762602685524,0.13963486413968937,Klhl17
ENSMUSG00000057132,0.13259385780260907,0.0,0.0,0.12614358170292753,0.13903292255504093,Rpgrip1
ENSMUSG00000031990,0.13258373410992857,0.0,0.0,0.1261334408128461,0.13902281688512785,Jam3
ENSMUSG00000039706,0.13240685699312663,0.0,0.0,0.12595626344745772,0.13884625443851772,Ldb2
ENSMUSG00000021130,0.13216213552775347,0.0,0.0,0.1257111272463988,0.13860196766562421,Galnt16
ENSMUSG00000014856,0.1320221740231531,0.0,0.0,0.125570928899581,0.13846225441880153,Tmem208
ENSMUSG00000032498,0.13197972505658234,0.0,0.0,0.12552840815198826,0.1384198806957454,Mlh1
ENSMUSG00000015749,0.13196931091705563,0.0,0.0,0.1255179764058166,0.13840948501234673,Anp32e
ENSMUSG00000008036,0.13188265578453964,0.0,0.0,0.1254311748252883,0.13832298339660296,Ap2s1
ENSMUSG00000036095,0.13161050833988577,0.0,0.0,0.12515856809102244,0.13805131744489596,Dgkb
ENSMUSG00000035824,0.1314560267133732,0.0,0.0,0.1250038261870549,0.13789710870156746,Tk2
ENSMUSG00000009772,0.13133348698423422,0.0,0.0,0.12488108022083189,0.13777478520992917,Nuak2
ENSMUSG00000024534,0.1308762249123978,0.0,0.0,0.12442305031039891,0.1373183283026405,Sncaip
ENSMUSG00000059187,0.1305450189661231,0.0,0.0,0.12409128991757097,0.1369877038478328,Fam19a1
ENSMUSG00000029346,0.13039101910624135,0.0,0.0,0.123937032749712,0.13683397387344234,Srrd
ENSMUSG00000023004,0.13031539242495063,0.0,0.0,0.12386127982310945,0.13675847961464904,Tuba1b
ENSMUSG00000014704,0.12999312633314802,0.0,0.0,0.12353847660860076,0.1364367769725508,Hoxa2
ENSMUSG00000035266,0.12970775452903183,0.0,0.0,0.12325263031408283,0.136151902977637,Helq
ENSMUSG00000108778,0.12950914544032435,0.0,0.0,0.1230536916283145,0.1359536397183038,Gm44670
ENSMUSG00000061477,0.12946155272436782,0.0,0.0,0.12300602000804027,0.13590612979680788,Rps7
ENSMUSG00000024759,0.12946016390162404,0.0,0.0,0.1230046288832043,0.13590474338967842,Atl3
ENSMUSG00000024962,0.1291210085721674,0.0,0.0,0.1226649121344169,0.13556617720591085,Vegfb
ENSMUSG00000036185,0.12806812770121254,0.0,0.0,0.12161029802025729,0.13451511570121663,Sapcd1
ENSMUSG00000025739,0.12778563542005403,0.0,0.0,0.12132734318359512,0.13423310909523153,Gng13
ENSMUSG00000061414,0.1274844441240041,0.0,0.0,0.12102565987020512,0.13393243447235195,Cracr2a
ENSMUSG00000024371,0.12735616590446597,0.0,0.0,0.12089717246139271,0.13380437594488973,C2
ENSMUSG00000044647,0.12723060171163475,0.0,0.0,0.12077140371478322,0.13367902658747502,Csrnp3
ENSMUSG00000063887,0.1267419707403125,0.0,0.0,0.12028197869942998,0.1331912296808576,Nlgn1
ENSMUSG00000057342,0.12663797047602227,0.0,0.0,0.120177809836041,0.13308740653568923,Sphk2
ENSMUSG00000032040,0.12652178066845962,0.0,0.0,0.12006143183665212,0.13297141443941746,Dcps
ENSMUSG00000075256,0.12648009259816523,0.0,0.0,0.12001967628776045,0.13292979726345117,Cerkl
ENSMUSG00000002658,0.1264795377061711,0.0,0.0,0.12001912049774183,0.13292924331494757,Gtf2f1
ENSMUSG00000053553,0.12563389730857594,0.0,0.0,0.11917211624078376,0.13208503608912306,3110082I17Rik
ENSMUSG00000027993,0.12546123931987477,0.0,0.0,0.11899918094330167,0.1319126695667245,Trim2
ENSMUSG00000019470,0.12538095983694436,2.38938060908066e-310,7.68289584913396e-309,0.11891877265572776,0.13183252547181168,Xab2
ENSMUSG00000044533,0.12528857893880088,6.87141671267217e-310,2.20237715149749e-308,0.11882624364168032,0.13174030026584732,Rps2
ENSMUSG00000064307,0.12490721312293811,5.335466308051858e-308,1.683112400016359e-306,0.1184442675634326,0.13135957599450604,Lrrc51
ENSMUSG00000041975,0.12472968178148686,4.027243285947817e-307,1.2664287062728984e-305,0.11826645278842336,0.1311823426521046,Mettl8
ENSMUSG00000037991,0.12453588864356022,3.645603429918624e-306,1.1321749782355976e-304,0.11807235072774212,0.13098887433893458,Rmi2
ENSMUSG00000009734,0.12424192201847112,1.0236113703622672e-304,3.1018526374614156e-303,0.11777791643770842,0.13069539950529502,Pou6f2
ENSMUSG00000059060,0.12421391343424744,1.4058754007985708e-304,4.234564460236659e-303,0.11774986335455401,0.13066743771901934,Rad51b
ENSMUSG00000035934,0.1239265514976334,3.630764474943195e-303,1.0870552320189205e-301,0.11746204546459363,0.1303805553260694,Pknox2
ENSMUSG00000063445,0.1238754747540471,6.465841905065537e-303,1.9301020612135927e-301,0.11741088779189124,0.13032956370518056,Nmral1
ENSMUSG00000024268,0.12382457653249584,1.1488655462306911e-302,3.419242697115152e-301,0.11735990895821541,0.13027875027484387,Celf4
ENSMUSG00000039621,0.12376175326365178,2.334833013863709e-302,6.907789981845293e-301,0.11729698623744841,0.1302160316163687,Prex1
ENSMUSG00000025574,0.12276081195841221,1.7921731683889853e-297,5.224994660026196e-296,0.11629446740084733,0.12921675006415398,Tk1
ENSMUSG00000057315,0.12271922331880782,2.8540549819305415e-297,8.296671459100412e-296,0.11625281350066041,0.1291752301027813,Arhgap24
ENSMUSG00000024502,0.12258886623828151,1.2257904347199964e-296,3.5325372758501333e-295,0.11612225201216467,0.12904508814334958,Jakmip2
ENSMUSG00000036114,0.1221764517599057,1.2198516268688726e-294,3.475360760310178e-293,0.11570919231428152,0.12863335278498558,Rpp25l
ENSMUSG00000071984,0.12204342368901966,5.36108902502323e-294,1.5187221034060142e-292,0.11557595659904288,0.1285005432956613,Fndc1
