,Surface ectoderm_corr,Surface ectoderm_pval,Surface ectoderm_qval,Surface ectoderm_ci_low,Surface ectoderm_ci_high,gene_annotation
ENSMUSG00000022510,0.5627426879512398,0.0,0.0,0.5582434967528832,0.5672087829818306,Trp63
ENSMUSG00000028786,0.5593284349255453,0.0,0.0,0.5548041207375738,0.5638196693233772,Tmem54
ENSMUSG00000074277,0.5552278124418047,0.0,0.0,0.5506735291562409,0.5597490400558276,Phldb3
ENSMUSG00000028841,0.5451835588489738,0.0,0.0,0.5405568100663799,0.5497773313324915,Cnksr1
ENSMUSG00000043088,0.5399198596556923,0.0,0.0,0.5352556695582353,0.5445511264249487,Il17re
ENSMUSG00000025856,0.5320533559370175,0.0,0.0,0.5273338952522666,0.5367399868337219,Pdgfa
ENSMUSG00000040525,0.5273819555509147,0.0,0.0,0.5226300615500387,0.5321010833732998,Cblc
ENSMUSG00000027376,0.5105775364611861,0.0,0.0,0.5057113620354379,0.5154112222964146,Prom2
ENSMUSG00000035498,0.5036736123923266,0.0,0.0,0.4987615716506415,0.5085533003053541,Cdcp1
ENSMUSG00000047281,0.502174747987837,0.0,0.0,0.4972528329641497,0.5070643413009812,Sfn
ENSMUSG00000027579,0.49869748261895697,0.0,0.0,0.4937527745526989,0.5036099434072461,Srms
ENSMUSG00000030093,0.4942148603356231,0.0,0.0,0.48924100560610023,0.49915656833125294,Wnt7a
ENSMUSG00000062157,0.4918318508566568,0.0,0.0,0.48684260982702554,0.4967890006933914,Ifnlr1
ENSMUSG00000018849,0.49159881992825655,0.0,0.0,0.4866080783333161,0.49655747583909965,Wwc1
ENSMUSG00000028736,0.49124397307790363,0.0,0.0,0.4862509478852748,0.49620492100141234,Pax7
ENSMUSG00000027315,0.4878985577512715,0.0,0.0,0.4828840853101433,0.49288103382470944,Spint1
ENSMUSG00000006411,0.4876817747410934,0.0,0.0,0.4826659176322679,0.4926656408221326,Nectin4
ENSMUSG00000029074,0.4873226435859132,0.0,0.0,0.48230449395263686,0.4923088110637365,Ttll10
ENSMUSG00000038751,0.48355136310931823,0.0,0.0,0.47850924255877136,0.48856159662928994,Ptk6
ENSMUSG00000022382,0.47850472259188026,0.0,0.0,0.47343081941919796,0.4835468715790633,Wnt7b
ENSMUSG00000097850,0.476146907458156,0.0,0.0,0.47105827089798374,0.4812038540597049,4631405K08Rik
ENSMUSG00000021553,0.47501414150362453,0.0,0.0,0.46991845275888827,0.4800781716328031,Slc28a3
ENSMUSG00000037016,0.47320714360520905,0.0,0.0,0.4681002403294025,0.4782824389153991,Frem2
ENSMUSG00000024479,0.4731627388663404,0.0,0.0,0.4680555605516413,0.47823831047013987,Mal2
ENSMUSG00000051397,0.472827412955368,0.0,0.0,0.4677181585057324,0.47790507018475076,Tacstd2
ENSMUSG00000020871,0.4682029213523317,0.0,0.0,0.4630651867139924,0.47330919244798014,Dlx4
ENSMUSG00000022286,0.46586423422943396,0.0,0.0,0.46071220447135974,0.4709848700197715,Grhl2
ENSMUSG00000025927,0.46563236325471424,0.0,0.0,0.460478920141707,0.470754419369851,Tfap2b
ENSMUSG00000057969,0.46477036108261227,0.0,0.0,0.459611669931913,0.4698976912598871,Sema3b
ENSMUSG00000004231,0.4645322084923472,0.0,0.0,0.45937206915663414,0.46966099407608375,Pax2
ENSMUSG00000040680,0.46450980559704,0.0,0.0,0.45934953006992807,0.46963872805219364,Kremen2
ENSMUSG00000026875,0.46370893992017626,0.0,0.0,0.4585438001452907,0.46884275101163975,Traf1
ENSMUSG00000023391,0.46149514226890315,0.0,0.0,0.45631660064867197,0.46664242342010825,Dlx2
ENSMUSG00000021359,0.46109109537414183,0.0,0.0,0.4559101147445483,0.4662408281109259,Tfap2a
ENSMUSG00000056078,0.4558752064265392,0.0,0.0,0.4506629343718467,0.4610563964139355,Lipm
ENSMUSG00000000792,0.45514714991316974,0.0,0.0,0.4499305387093854,0.4603327027073536,Slc5a5
ENSMUSG00000006143,0.4541736150962108,0.0,0.0,0.44895121267993404,0.4593649909318721,Upk3bl
