,Cardiomyocytes_1_corr,Cardiomyocytes_1_pval,Cardiomyocytes_1_qval,Cardiomyocytes_1_ci_low,Cardiomyocytes_1_ci_high,gene_annotation
ENSMUSG00000068614,0.87470402230945,0.0,0.0,0.8731542328138027,0.8762361277183128,Actc1
ENSMUSG00000091898,0.855902075560627,0.0,0.0,0.8541378188285979,0.8576466313082326,Tnnc1
ENSMUSG00000031972,0.8357311148201294,0.0,0.0,0.8337420195155139,0.8376985190346635,Acta1
ENSMUSG00000002100,0.8340592513135328,0.0,0.0,0.832051763899474,0.8360448906270159,Mybpc3
ENSMUSG00000035458,0.8112238577988735,0.0,0.0,0.8089688904880485,0.8134549519653155,Tnni3
ENSMUSG00000068745,0.8104477548140246,0.0,0.0,0.8081844986061931,0.8126870729259489,Mybphl
ENSMUSG00000059741,0.8041387277588753,0.0,0.0,0.8018083881271046,0.8064446106297217,Myl3
ENSMUSG00000007877,0.8012668450339892,0.0,0.0,0.7989061446098793,0.8036028580822834,Tcap
ENSMUSG00000040752,0.7980575649620105,0.0,0.0,0.7956630669294203,0.8004271219478629,Myh6
ENSMUSG00000024803,0.7946586045706384,0.0,0.0,0.792228461042991,0.797063543015928,Ankrd1
ENSMUSG00000020469,0.7893360335142539,0.0,0.0,0.7868503805650822,0.7917960774344067,Myl7
ENSMUSG00000032034,0.7847756985503541,0.0,0.0,0.7822427858710519,0.787282665291337,Kcnj5
ENSMUSG00000061086,0.7762812835193265,0.0,0.0,0.7736610801488074,0.7788749358331287,Myl4
ENSMUSG00000062077,0.7736166339040718,0.0,0.0,0.7709692460120936,0.7762372868923114,Trim54
ENSMUSG00000061816,0.7732005112124397,0.0,0.0,0.7705488866121786,0.7758253724549851,Myl1
ENSMUSG00000007122,0.7668431429620461,0.0,0.0,0.764127078305617,0.7695320181266603,Casq1
ENSMUSG00000026418,0.7656560275588365,0.0,0.0,0.7629279896174682,0.768356798213481,Tnni1
ENSMUSG00000053093,0.7619084844345475,0.0,0.0,0.7591427718022877,0.7646466878453544,Myh7
ENSMUSG00000020475,0.7610728003927792,0.0,0.0,0.7582987119917364,0.7638193263765675,Pgam2
ENSMUSG00000015579,0.7560527448898114,0.0,0.0,0.7532285379709226,0.7588490756040858,Nkx2-5
ENSMUSG00000013936,0.7556162941858872,0.0,0.0,0.752787745749568,0.7584169396023351,Myl2
ENSMUSG00000041616,0.7527986214353412,0.0,0.0,0.7499421057384225,0.7556270627834315,Nppa
ENSMUSG00000030470,0.7527079971936158,0.0,0.0,0.7498505837461151,0.7555373308331627,Csrp3
ENSMUSG00000044086,0.750460550917474,0.0,0.0,0.7475809085859034,0.7533119790771982,Lmod3
