,Endothelium_corr,Endothelium_pval,Endothelium_qval,Endothelium_ci_low,Endothelium_ci_high,gene_annotation
ENSMUSG00000026288,0.7641230193408608,0.0,0.0,0.7613795471983764,0.7668391245586992,Inpp5d
ENSMUSG00000038418,0.7431589326775627,0.0,0.0,0.7402075361857924,0.7460816919497295,Egr1
ENSMUSG00000002699,0.7334218395937934,0.0,0.0,0.7303758595060751,0.7364386501068904,Lcp2
ENSMUSG00000022876,0.7322628427802422,0.0,0.0,0.7292056885497981,0.7352907664712394,Samsn1
ENSMUSG00000026921,0.728952888280825,0.0,0.0,0.725863920494322,0.7320124542138274,Egfl7
ENSMUSG00000092356,0.7230663000405342,0.0,0.0,0.7199211136944303,0.7261817900373535,Gm20532
ENSMUSG00000027474,0.7227226352956813,0.0,0.0,0.7195741811028277,0.7258413763470744,Ccm2l
ENSMUSG00000034116,0.7186976443900951,0.0,0.0,0.7155110342748993,0.7218543479701931,Vav1
ENSMUSG00000044562,0.7173793421512642,0.0,0.0,0.7141802817232997,0.7205484340109007,Rasip1
ENSMUSG00000063564,0.7115621576295604,0.0,0.0,0.7083084346912946,0.714785645942296,Col23a1
ENSMUSG00000034911,0.7057596658445896,0.0,0.0,0.7024518669876402,0.709036977078648,Ushbp1
ENSMUSG00000066189,0.7043430361616232,0.0,0.0,0.701022103150325,0.7076334216503763,Cacng3
ENSMUSG00000016087,0.6958293528835118,0.0,0.0,0.6924300483396577,0.6991977652430122,Fli1
ENSMUSG00000031506,0.6938596057394182,0.0,0.0,0.6904423062950884,0.6972459369793147,Ptpn7
ENSMUSG00000031871,0.6902054799356298,0.0,0.0,0.6867549343745627,0.6936249199443891,Cdh5
ENSMUSG00000021998,0.6863357642451434,0.0,0.0,0.6828502046831885,0.6897900779917818,Lcp1
ENSMUSG00000046916,0.6831322048480527,0.0,0.0,0.679617809474845,0.6866152423056393,Myct1
ENSMUSG00000022623,0.6817299272882387,0.0,0.0,0.6782029527060665,0.6852254960259451,Shank3
ENSMUSG00000110647,0.6814893516355318,0.0,0.0,0.6779602215837821,0.6849870676897228,RP23-381H23.1
ENSMUSG00000016494,0.6801219994589548,0.0,0.0,0.6765806330506796,0.6836319059168631,Cd34
ENSMUSG00000059588,0.6787519622201197,0.0,0.0,0.6751983603601578,0.6822740587452722,Calcrl
ENSMUSG00000032577,0.6783958511575043,0.0,0.0,0.6748390730474825,0.6819211122438141,Mapkapk3
ENSMUSG00000028978,0.677181579940799,0.0,0.0,0.6736139840971335,0.6807176192376893,Nos3
ENSMUSG00000073002,0.6760196267309078,0.0,0.0,0.672441697601052,0.679565961976606,Vamp5
ENSMUSG00000046280,0.6748510142003156,0.0,0.0,0.6712627106681011,0.6784076867724035,She
ENSMUSG00000026814,0.67419766520511,0.0,0.0,0.6706035694554354,0.6777601094736678,Eng
ENSMUSG00000031805,0.673777489518936,0.0,0.0,0.670179671731119,0.6773436427069013,Jak3
ENSMUSG00000020787,0.6720159669535258,0.0,0.0,0.6684025706344608,0.6755976443426003,P2rx1
ENSMUSG00000050345,0.6718078196738106,0.0,0.0,0.6681925852697076,0.6753913287992904,4930486L24Rik
ENSMUSG00000090019,0.6712597535579289,0.0,0.0,0.6676396821043549,0.6748480830883741,Gimap1
ENSMUSG00000046768,0.6673280191102529,0.0,0.0,0.6636733645506122,0.6709508153895629,Rhoj
ENSMUSG00000109827,0.6632439443045244,0.0,0.0,0.6595535842611011,0.6669023308424653,Gm6213
ENSMUSG00000000617,0.660580369844934,0.0,0.0,0.6568668426522869,0.6642618514640453,Grm6
ENSMUSG00000034845,0.6593687168393012,0.0,0.0,0.655644682176397,0.6630606739465703,Plvap
ENSMUSG00000041992,0.6578350956545957,0.0,0.0,0.6540977893885213,0.6615402846011331,Rapgef5
ENSMUSG00000024451,0.6561684936206174,0.0,0.0,0.6524168004089247,0.6598880272068008,Arap3
ENSMUSG00000033016,0.6555636433230309,0.0,0.0,0.6518067378696233,0.659288374029965,Nfatc1
ENSMUSG00000040732,0.654708843149319,0.0,0.0,0.6509445798252806,0.6584409105684675,Erg
ENSMUSG00000054690,0.6514785591439296,0.0,0.0,0.6476865781626274,0.6552382664909125,Emcn
ENSMUSG00000096965,0.6503568343944169,0.0,0.0,0.6465552608200751,0.6541261081647617,3300005D01Rik
ENSMUSG00000001946,0.6486002045765428,0.0,0.0,0.6447836425210037,0.6523844266949541,Esam
ENSMUSG00000054435,0.6425765884094445,0.0,0.0,0.6387089410925703,0.6464117660010749,Gimap4
ENSMUSG00000062960,0.6341442285047215,0.0,0.0,0.6302058775827218,0.6380499482129157,Kdr
ENSMUSG00000044250,0.6340927449605462,0.0,0.0,0.6301539652609656,0.6379988925321902,Pced1b
ENSMUSG00000004837,0.6329067613862813,0.0,0.0,0.6289581140425102,0.636822755784181,Grap
ENSMUSG00000060791,0.6315302662223642,0.0,0.0,0.6275701895643366,0.63545766634884,Gmfg
ENSMUSG00000018008,0.6288169513031766,0.0,0.0,0.6248344191538693,0.6327667622376316,Cyth4
ENSMUSG00000039167,0.6270930127633374,0.0,0.0,0.6230962640423838,0.6310570131220061,Adgrl4
ENSMUSG00000033538,0.6261882833756561,0.0,0.0,0.6221840895395201,0.6301597149876808,Casp4
ENSMUSG00000024948,0.623029595604992,0.0,0.0,0.6189994938276139,0.6270268888351166,Map4k2
ENSMUSG00000018381,0.6228034401579589,0.0,0.0,0.6187714885097412,0.6268025800656214,Abi3
ENSMUSG00000009687,0.6212790273372338,0.0,0.0,0.6172346242575744,0.6252905975805588,Fxyd5
ENSMUSG00000085976,0.6200587259167841,0.0,0.0,0.6160043776349451,0.6240802250123787,Gm13816
ENSMUSG00000028073,0.6185377567729166,0.0,0.0,0.6144710405960548,0.6225716040526202,Pear1
ENSMUSG00000042106,0.6182995377544487,0.0,0.0,0.6142308872613371,0.6223353163301923,Fam212a
ENSMUSG00000020357,0.6171316741546439,0.0,0.0,0.6130535516217074,0.6211769102257264,Flt4
ENSMUSG00000074874,0.6162575619582465,0.0,0.0,0.6121723617288175,0.6203098651241583,Ctla2b
ENSMUSG00000001029,0.6144545415517885,0.0,0.0,0.6103547742956149,0.6185213906442012,Icam2
ENSMUSG00000027007,0.6141630094591378,0.0,0.0,0.6100608909009131,0.6182322065388418,Ssfa2
ENSMUSG00000045092,0.6135776579207922,0.0,0.0,0.6094708217182361,0.6176515660706839,S1pr1
ENSMUSG00000111531,0.6127935809421338,0.0,0.0,0.6086804325954774,0.6168737926001682,RP23-381H23.2
ENSMUSG00000070942,0.6114635098663553,0.0,0.0,0.6073396725670936,0.6155543962721592,Il1rl2
ENSMUSG00000040181,0.6101117520635844,0.0,0.0,0.6059770755976417,0.6142134637719705,Fmo1
ENSMUSG00000027368,0.6101110973735122,0.0,0.0,0.6059764156637687,0.6142128143191239,Dusp2
ENSMUSG00000047250,0.6099887750098666,0.0,0.0,0.6058531136476872,0.614091470381783,Ptgs1
ENSMUSG00000048827,0.6099519621723652,0.0,0.0,0.605816006023302,0.6140549519630849,Pkd1l3
ENSMUSG00000020007,0.6050512880897013,0.0,0.0,0.6008762493573178,0.6091933152640593,Il20ra
ENSMUSG00000052921,0.6045415090293104,0.0,0.0,0.6003624231496179,0.6086875790811421,Arhgef15
ENSMUSG00000024349,0.6033503665724413,0.0,0.0,0.5991618376358328,0.607505870020489,Tmem173
ENSMUSG00000087277,0.6020013776999279,0.0,0.0,0.5978021770890688,0.6061675424150962,2010013B24Rik
ENSMUSG00000002365,0.601603482774063,0.0,0.0,0.597401139082549,0.6057727876083199,Snx9
ENSMUSG00000033191,0.6014742850834979,0.0,0.0,0.5972709212761945,0.6056446090824944,Tie1
ENSMUSG00000027435,0.6000943475579906,0.0,0.0,0.5958801018991632,0.6042755435737145,Cd93
ENSMUSG00000033066,0.5985970033084975,0.0,0.0,0.5943709785547729,0.6027899684150754,Gas7
ENSMUSG00000034792,0.5976617016664607,0.0,0.0,0.5934283343170416,0.6018620034715777,Gna15
ENSMUSG00000030047,0.5975549981820621,0.0,0.0,0.5933207938937763,0.6017561362704372,Arhgap25
ENSMUSG00000054641,0.5965363503200678,0.0,0.0,0.5922941637797082,0.6007454645785104,Mmrn1
ENSMUSG00000046722,0.5952662417164355,0.0,0.0,0.5910141217406626,0.5994852822745881,Cdc42se1
ENSMUSG00000107481,0.591146500851847,0.0,0.0,0.5868623080292118,0.5953975945188251,4833403J16Rik
ENSMUSG00000107061,0.580892587735289,0.0,0.0,0.5765295446532572,0.585222504952886,Gm19590
ENSMUSG00000001227,0.5788598465967579,0.0,0.0,0.5744813379267754,0.5832052278712584,Sema6b
ENSMUSG00000008398,0.5778316151350499,0.0,0.0,0.573445304313649,0.5821847982572022,Elk3
ENSMUSG00000032440,0.5777080912706751,0.0,0.0,0.5733208441024152,0.5820622107244315,Tgfbr2
ENSMUSG00000001943,0.5769025711231334,0.0,0.0,0.5725092228428761,0.5812627917009939,Vsig2
ENSMUSG00000026204,0.576674116866687,0.0,0.0,0.5722790398120907,0.5810360662575182,Ptprn
ENSMUSG00000047867,0.5739289067752643,0.0,0.0,0.5695131101437364,0.5783115774209833,Gimap6
ENSMUSG00000030219,0.5737264230840311,0.0,0.0,0.5693091021590446,0.5781106182355519,Erp27
ENSMUSG00000050147,0.5707467279957332,0.0,0.0,0.5663070388867514,0.5751532958584005,F2rl3
ENSMUSG00000024168,0.5687143225557605,0.0,0.0,0.5642594440210944,0.573136084434028,Tmem204
ENSMUSG00000027776,0.5682444377615236,0.0,0.0,0.56378605528641,0.5726697048142253,Il12a
ENSMUSG00000062082,0.5682091179414821,0.0,0.0,0.5637504722041226,0.5726346483518036,Cd200r4
ENSMUSG00000064262,0.5668889854005219,0.0,0.0,0.5624205117021754,0.571324347598899,Gimap8
ENSMUSG00000004451,0.5657329399231054,0.0,0.0,0.5612558788277898,0.5701768932888728,Ralb
ENSMUSG00000075415,0.5656905496257097,0.0,0.0,0.5612131739815761,0.5701348176859761,Fnbp1
ENSMUSG00000022220,0.5652192854572261,0.0,0.0,0.5607384144962295,0.5696670504892761,Adcy4
ENSMUSG00000003518,0.5648694132623852,0.0,0.0,0.5603859492417299,0.5693197726246578,Dusp3
ENSMUSG00000007041,0.5644160313930462,0.0,0.0,0.5599292095718142,0.5688697502554685,Clic1
ENSMUSG00000030123,0.5636862326243547,0.0,0.0,0.5591940115533737,0.568145353598109,Plxnd1
ENSMUSG00000079442,0.5624006665037923,0.0,0.0,0.5578989516504037,0.5668692866776989,St6galnac4
ENSMUSG00000029406,0.560604393089014,0.0,0.0,0.5560894496470947,0.5650862502250938,Pitpnm2
ENSMUSG00000043251,0.5573922602677157,0.0,0.0,0.5528537678959211,0.5618976836343049,Exoc3l
ENSMUSG00000030411,0.5565815144228033,0.0,0.0,0.5520370999067767,0.5610928647703963,Nova2
ENSMUSG00000110329,0.5552364002358767,0.0,0.0,0.5506821794805117,0.5597575652641399,Gm45304
ENSMUSG00000030156,0.5550041474162568,0.0,0.0,0.5504482359058178,0.5595270047096639,Cd69
ENSMUSG00000060470,0.5536220771674977,0.0,0.0,0.5490561192524723,0.5581549901709908,Adgrg3
ENSMUSG00000023064,0.5531069569401261,0.0,0.0,0.5485372610465781,0.5576436115302257,Sncg
ENSMUSG00000004043,0.5525187142400412,0.0,0.0,0.5479447540577594,0.5570596373318217,Stat5a
ENSMUSG00000044258,0.5503158429911578,0.0,0.0,0.5457259545290446,0.5548727110158512,Ctla2a
ENSMUSG00000002603,0.5501891673423913,0.0,0.0,0.545598364884785,0.5547469503621936,Tgfb1
ENSMUSG00000034266,0.5498783318327425,0.0,0.0,0.5452852875234441,0.5544383591764015,Batf
ENSMUSG00000005107,0.5492814958888259,0.0,0.0,0.5446841505875047,0.5538458290482178,Slc2a9
ENSMUSG00000038811,0.5487922558533203,0.0,0.0,0.5441913884542141,0.5533601151399664,Gngt2
ENSMUSG00000028581,0.546180635004683,0.0,0.0,0.5415610199328748,0.5507672646198494,Laptm5
ENSMUSG00000038188,0.5443713267684657,0.0,0.0,0.5397387765102172,0.5489709083944098,Scarf1
ENSMUSG00000051124,0.5426567864769696,0.0,0.0,0.5380120186114865,0.5472686025025263,Gimap9
ENSMUSG00000047261,0.5416956305898221,0.0,0.0,0.5370440306950229,0.5463142884188594,Gap43
ENSMUSG00000043505,0.5412962692469561,0.0,0.0,0.5366418342387813,0.5459177663265664,Gimap5
ENSMUSG00000085632,0.5403923762063604,0.0,0.0,0.5357315321648956,0.5450202918477616,Gm12381
ENSMUSG00000027931,0.5397731037894322,0.0,0.0,0.5351078750645774,0.544405410773996,Npr1
ENSMUSG00000033082,0.5373385189694291,0.0,0.0,0.5326561017532833,0.5419880416623053,Clec1a
ENSMUSG00000033278,0.5373331128408506,0.0,0.0,0.5326506575441724,0.541982673676529,Ptprm
ENSMUSG00000034037,0.5356961802919123,0.0,0.0,0.5310022123369808,0.5403572730132421,Fgd5
ENSMUSG00000059900,0.5338303333014192,0.0,0.0,0.5291232860444716,0.5385045281448548,Tmem40
ENSMUSG00000022206,0.5336533461462127,0.0,0.0,0.5289450606331972,0.538328781460231,Npr3
ENSMUSG00000074570,0.5327745704676167,0.0,0.0,0.5280601429224827,0.5374561589370324,Cass4
ENSMUSG00000040447,0.5327061127837672,0.0,0.0,0.5279912071967942,0.5373881801704636,Spns2
ENSMUSG00000046410,0.5301568313615894,0.0,0.0,0.5254241683109249,0.5348566897288299,Kcnk6
ENSMUSG00000002111,0.5291734488603728,0.0,0.0,0.5244339589154938,0.5338801475269244,Spi1
ENSMUSG00000046546,0.5291431127801844,0.0,0.0,0.5244034124382783,0.5338500222614976,Fam43a
ENSMUSG00000023034,0.5280032830724737,0.0,0.0,0.5232556862396418,0.5327181049225095,Nr4a1
ENSMUSG00000030761,0.5262406600704558,0.0,0.0,0.5214808860810153,0.5309676843275754,Myo7a
ENSMUSG00000097252,0.5260349967458311,0.0,0.0,0.5212738046056115,0.5307634421550192,Gm6634
ENSMUSG00000034595,0.5254997662937024,0.0,0.0,0.5207348861020172,0.5302319076189392,Ppp1r18
ENSMUSG00000002257,0.5252206667437577,0.0,0.0,0.5204538648990328,0.5299547338539178,Def6
ENSMUSG00000108025,0.5236695077239399,0.0,0.0,0.5188920446736625,0.5284142593882268,Gm43998
ENSMUSG00000046080,0.5230826896659823,0.0,0.0,0.5183012016965888,0.5278314752521118,Clec9a
ENSMUSG00000029373,0.5209495313962487,0.0,0.0,0.5161534507885001,0.5257129431296554,Pf4
ENSMUSG00000023723,0.5202126722644039,0.0,0.0,0.5154115649218621,0.5249811225923409,Mrps23
ENSMUSG00000022831,0.5196584952246227,0.0,0.0,0.5148536121168295,0.524430730333394,Hcls1
ENSMUSG00000058396,0.5188119367438039,0.0,0.0,0.5140012936517478,0.5235899457680807,Gpr182
ENSMUSG00000029163,0.517839929149788,0.0,0.0,0.5130226842321882,0.5226245562320548,Emilin1
ENSMUSG00000053007,0.5177126785329061,0.0,0.0,0.5128945702626685,0.5224981711115988,9430076C15Rik
ENSMUSG00000050234,0.5171884920827226,0.0,0.0,0.5123668296466652,0.5219775477038251,Gja4
ENSMUSG00000024986,0.5154908875562659,0.0,0.0,0.5106577397678914,0.5202914577802639,Hhex
ENSMUSG00000006311,0.5151032000085043,0.0,0.0,0.5102674346296795,0.5199063946106983,Etv2
ENSMUSG00000000530,0.5136729407907432,0.0,0.0,0.5088275358116935,0.5184858003801379,Acvrl1
ENSMUSG00000047953,0.5135389612695818,0.0,0.0,0.5086926546898177,0.518352724865635,Gp5
ENSMUSG00000025094,0.5130438499504877,0.0,0.0,0.5081942136365257,0.5178609522130164,Slc18a2
ENSMUSG00000020154,0.5128036094294396,0.0,0.0,0.5079523586149484,0.5176223305500701,Ptprb
ENSMUSG00000017167,0.5122887092562239,0.0,0.0,0.5074340007085177,0.5171108975009948,Cntnap1
ENSMUSG00000034786,0.5108446462896565,0.0,0.0,0.5059802591031631,0.5156765398844847,Gpsm3
ENSMUSG00000006389,0.5096865481897686,0.0,0.0,0.5048144189739341,0.5145262056331917,Mpl
ENSMUSG00000056492,0.5095795055322658,0.0,0.0,0.5047066616203182,0.5144198797063835,Adgrf5
ENSMUSG00000048120,0.5089805750686164,0.0,0.0,0.5041037350546427,0.5138249567843667,Entpd1
ENSMUSG00000032946,0.5082166111947891,0.0,0.0,0.5033346808642685,0.513066097955659,Rasgrp2
ENSMUSG00000098715,0.5061848270963978,0.0,0.0,0.5012893965576457,0.5110478539813311,Gm28053
ENSMUSG00000022475,0.5059653260964883,0.0,0.0,0.501068440355403,0.510829812560669,Hdac7
ENSMUSG00000031453,0.5049766110807296,0.0,0.0,0.500073178475935,0.5098476642798672,Rasa3
ENSMUSG00000029084,0.5037355205229429,0.0,0.0,0.4988238882623937,0.5086147986821058,Cd38
ENSMUSG00000025959,0.5034834578964505,0.0,0.0,0.49857016279827315,0.5083644040814648,Klf7
ENSMUSG00000024440,0.503252586182064,0.0,0.0,0.49833776877974106,0.5081350594377674,Pcdh12
ENSMUSG00000040479,0.5022560517381748,0.0,0.0,0.4973346715671995,0.5071451084956898,Dgkz
ENSMUSG00000001240,0.5015201912492009,0.0,0.0,0.4965939734472766,0.5064141011127825,Ramp2
ENSMUSG00000017737,0.5012710548041468,0.0,0.0,0.4963432007765049,0.5061666061645634,Mmp9
ENSMUSG00000000317,0.5011881043723525,0.0,0.0,0.49625970574288003,0.5060842020931934,Bcl6b
ENSMUSG00000026712,0.50092735024046,0.0,0.0,0.4959972402524808,0.5058251648595319,Mrc1
ENSMUSG00000050105,0.49982153169002813,0.0,0.0,0.4948841741025622,0.5047266175970585,Grrp1
ENSMUSG00000046470,0.4995220580640812,0.0,0.0,0.4945827404969387,0.5044291104203523,Sox18
ENSMUSG00000032578,0.4994882284892369,0.0,0.0,0.4945486895907187,0.5043955029091627,Cish
ENSMUSG00000038517,0.499439929838049,0.0,0.0,0.49450007496990955,0.5043475212735857,Tbkbp1
ENSMUSG00000027082,0.49926358736095017,0.0,0.0,0.4943225791233167,0.5041723359900859,Tfpi
ENSMUSG00000022469,0.4982881735194808,0.0,0.0,0.4933407930214821,0.5032033157062312,Rapgef3
ENSMUSG00000079323,0.4963736717996413,0.0,0.0,0.49141382074529516,0.5013013270554786,Gm20661
ENSMUSG00000044199,0.4943407282117374,0.0,0.0,0.489367688260974,0.49928161853523,S1pr4
ENSMUSG00000020053,0.49226471831541946,0.0,0.0,0.48727826657563417,0.4972190686660268,Igf1
ENSMUSG00000038267,0.48933933884775715,0.0,0.0,0.4843340849887171,0.49431256115019423,Slc22a23
ENSMUSG00000032766,0.4893254036182677,0.0,0.0,0.48432006046544296,0.4942987155523268,Gng11
